na_item,aggreg,geo\time,date,value
EXP_PPS_EU28_HAB,00,AT,2007-01-01,32500.0
EXP_PPS_EU28_HAB,00,AT,2008-01-01,32600.0
EXP_PPS_EU28_HAB,00,AT,2009-01-01,31100.0
EXP_PPS_EU28_HAB,00,AT,2010-01-01,32200.0
EXP_PPS_EU28_HAB,00,AT,2011-01-01,33500.0
EXP_PPS_EU28_HAB,00,AT,2012-01-01,35100.0
EXP_PPS_EU28_HAB,00,AT,2013-01-01,35200.0
EXP_PPS_EU28_HAB,00,AT,2014-01-01,36000.0
EXP_PPS_EU28_HAB,00,AT,2015-01-01,37700.0
EXP_PPS_EU28_HAB,00,AT,2016-01-01,37200.0
EXP_PPS_EU28_HAB,00,AT,2017-01-01,38200.0
EXP_PPS_EU28_HAB,00,BA,2000-01-01,: 
EXP_PPS_EU28_HAB,00,BA,2001-01-01,: 
EXP_PPS_EU28_HAB,00,BA,2002-01-01,: 
EXP_PPS_EU28_HAB,00,BA,2003-01-01,: 
EXP_PPS_EU28_HAB,00,BA,2004-01-01,: 
EXP_PPS_EU28_HAB,00,BA,2005-01-01,5900.0
EXP_PPS_EU28_HAB,00,BA,2006-01-01,6500.0
EXP_PPS_EU28_HAB,00,BA,2007-01-01,7200.0
EXP_PPS_EU28_HAB,00,BA,2008-01-01,7600.0
EXP_PPS_EU28_HAB,00,BA,2009-01-01,7200.0
EXP_PPS_EU28_HAB,00,BA,2010-01-01,7500.0
EXP_PPS_EU28_HAB,00,BA,2011-01-01,7800.0
EXP_PPS_EU28_HAB,00,BA,2012-01-01,7900.0
EXP_PPS_EU28_HAB,00,BA,2013-01-01,8100.0
EXP_PPS_EU28_HAB,00,BA,2014-01-01,8300.0
EXP_PPS_EU28_HAB,00,BA,2015-01-01,8700.0
EXP_PPS_EU28_HAB,00,BA,2016-01-01,9000.0
EXP_PPS_EU28_HAB,00,BA,2017-01-01,9500.0
EXP_PPS_EU28_HAB,00,BE,2000-01-01,24500 
EXP_PPS_EU28_HAB,00,BE,2001-01-01,25100 
EXP_PPS_EU28_HAB,00,BE,2002-01-01,26200 
EXP_PPS_EU28_HAB,00,BE,2003-01-01,26300 
EXP_PPS_EU28_HAB,00,BE,2004-01-01,27300 
EXP_PPS_EU28_HAB,00,BE,2005-01-01,28300.0
EXP_PPS_EU28_HAB,00,BE,2006-01-01,29300.0
EXP_PPS_EU28_HAB,00,BE,2007-01-01,30400.0
EXP_PPS_EU28_HAB,00,BE,2008-01-01,30100.0
EXP_PPS_EU28_HAB,00,BE,2009-01-01,28900.0
EXP_PPS_EU28_HAB,00,BE,2010-01-01,30600.0
EXP_PPS_EU28_HAB,00,BE,2011-01-01,31300.0
EXP_PPS_EU28_HAB,00,BE,2012-01-01,32200.0
EXP_PPS_EU28_HAB,00,BE,2013-01-01,32100.0
EXP_PPS_EU28_HAB,00,BE,2014-01-01,33000.0
EXP_PPS_EU28_HAB,00,BE,2015-01-01,34400.0
EXP_PPS_EU28_HAB,00,BE,2016-01-01,34300.0
EXP_PPS_EU28_HAB,00,BE,2017-01-01,34900.0
EXP_PPS_EU28_HAB,00,BG,2000-01-01,5600 
EXP_PPS_EU28_HAB,00,BG,2001-01-01,6100 
EXP_PPS_EU28_HAB,00,BG,2002-01-01,6600 
EXP_PPS_EU28_HAB,00,BG,2003-01-01,7000 
EXP_PPS_EU28_HAB,00,BG,2004-01-01,7700 
EXP_PPS_EU28_HAB,00,BG,2005-01-01,8600.0
EXP_PPS_EU28_HAB,00,BG,2006-01-01,9200.0
EXP_PPS_EU28_HAB,00,BG,2007-01-01,10400.0
EXP_PPS_EU28_HAB,00,BG,2008-01-01,11100.0
EXP_PPS_EU28_HAB,00,BG,2009-01-01,10600.0
EXP_PPS_EU28_HAB,00,BG,2010-01-01,11200.0
EXP_PPS_EU28_HAB,00,BG,2011-01-01,11800.0
EXP_PPS_EU28_HAB,00,BG,2012-01-01,12200.0
EXP_PPS_EU28_HAB,00,BG,2013-01-01,12200.0
EXP_PPS_EU28_HAB,00,BG,2014-01-01,12900.0
EXP_PPS_EU28_HAB,00,BG,2015-01-01,13700.0
EXP_PPS_EU28_HAB,00,BG,2016-01-01,14200.0
EXP_PPS_EU28_HAB,00,BG,2017-01-01,14700.0
EXP_PPS_EU28_HAB,00,CH,2000-01-01,31000 
EXP_PPS_EU28_HAB,00,CH,2001-01-01,31700 
EXP_PPS_EU28_HAB,00,CH,2002-01-01,32200 
EXP_PPS_EU28_HAB,00,CH,2003-01-01,31800 
EXP_PPS_EU28_HAB,00,CH,2004-01-01,32900 
EXP_PPS_EU28_HAB,00,CH,2005-01-01,34300.0
EXP_PPS_EU28_HAB,00,CH,2006-01-01,37100.0
EXP_PPS_EU28_HAB,00,CH,2007-01-01,40800.0
EXP_PPS_EU28_HAB,00,CH,2008-01-01,41400.0
EXP_PPS_EU28_HAB,00,CH,2009-01-01,39200.0
EXP_PPS_EU28_HAB,00,CH,2010-01-01,40400.0
EXP_PPS_EU28_HAB,00,CH,2011-01-01,42400.0
EXP_PPS_EU28_HAB,00,CH,2012-01-01,43700.0
EXP_PPS_EU28_HAB,00,CH,2013-01-01,44100.0
EXP_PPS_EU28_HAB,00,CH,2014-01-01,45600.0
EXP_PPS_EU28_HAB,00,CH,2015-01-01,48100.0
EXP_PPS_EU28_HAB,00,CH,2016-01-01,47000.0
EXP_PPS_EU28_HAB,00,CH,2017-01-01,47300.0
EXP_PPS_EU28_HAB,00,CY,2000-01-01,18700 
EXP_PPS_EU28_HAB,00,CY,2001-01-01,19900 
EXP_PPS_EU28_HAB,00,CY,2002-01-01,20200 
EXP_PPS_EU28_HAB,00,CY,2003-01-01,20600 
EXP_PPS_EU28_HAB,00,CY,2004-01-01,21900 
EXP_PPS_EU28_HAB,00,CY,2005-01-01,23600.0
EXP_PPS_EU28_HAB,00,CY,2006-01-01,24800.0
EXP_PPS_EU28_HAB,00,CY,2007-01-01,27100.0
EXP_PPS_EU28_HAB,00,CY,2008-01-01,27500.0
EXP_PPS_EU28_HAB,00,CY,2009-01-01,25800.0
EXP_PPS_EU28_HAB,00,CY,2010-01-01,25400.0
EXP_PPS_EU28_HAB,00,CY,2011-01-01,25000.0
EXP_PPS_EU28_HAB,00,CY,2012-01-01,24100.0
EXP_PPS_EU28_HAB,00,CY,2013-01-01,22500.0
EXP_PPS_EU28_HAB,00,CY,2014-01-01,22400.0
EXP_PPS_EU28_HAB,00,CY,2015-01-01,23800.0
EXP_PPS_EU28_HAB,00,CY,2016-01-01,24200.0
EXP_PPS_EU28_HAB,00,CY,2017-01-01,25100.0
EXP_PPS_EU28_HAB,00,CZ,2000-01-01,14200 
EXP_PPS_EU28_HAB,00,CZ,2001-01-01,15200 
EXP_PPS_EU28_HAB,00,CZ,2002-01-01,15600 
EXP_PPS_EU28_HAB,00,CZ,2003-01-01,16500 
EXP_PPS_EU28_HAB,00,CZ,2004-01-01,17600 
EXP_PPS_EU28_HAB,00,CZ,2005-01-01,18600.0
EXP_PPS_EU28_HAB,00,CZ,2006-01-01,19600.0
EXP_PPS_EU28_HAB,00,CZ,2007-01-01,21500.0
EXP_PPS_EU28_HAB,00,CZ,2008-01-01,21900.0
EXP_PPS_EU28_HAB,00,CZ,2009-01-01,20900.0
EXP_PPS_EU28_HAB,00,CZ,2010-01-01,21100.0
EXP_PPS_EU28_HAB,00,CZ,2011-01-01,21700.0
EXP_PPS_EU28_HAB,00,CZ,2012-01-01,22000.0
EXP_PPS_EU28_HAB,00,CZ,2013-01-01,22400.0
EXP_PPS_EU28_HAB,00,CZ,2014-01-01,23800.0
EXP_PPS_EU28_HAB,00,CZ,2015-01-01,25300.0
EXP_PPS_EU28_HAB,00,CZ,2016-01-01,25600.0
EXP_PPS_EU28_HAB,00,CZ,2017-01-01,26500.0
EXP_PPS_EU28_HAB,00,DE,2000-01-01,24100 
EXP_PPS_EU28_HAB,00,DE,2001-01-01,25000 
