unit,na_item,geotime,date,value
EUR,D1_SAL_HW,EA,2007-01-01,22
EUR,D1_SAL_HW,EA,2008-01-01,23
EUR,D1_SAL_HW,EA,2009-01-01,23
EUR,D1_SAL_HW,EA,2010-01-01,24
EUR,D1_SAL_HW,EA,2011-01-01,24
EUR,D1_SAL_HW,EA,2012-01-01,25
EUR,D1_SAL_HW,EA,2013-01-01,25
EUR,D1_SAL_HW,EA,2014-01-01,26
EUR,D1_SAL_HW,EA,2015-01-01,26
EUR,D1_SAL_HW,EA,2016-01-01,26
EUR,D1_SAL_HW,EA,2017-01-01,26
EUR,D1_SAL_HW,EA19,2005-01-01,20
EUR,D1_SAL_HW,EA19,2006-01-01,21
EUR,D1_SAL_HW,EA19,2007-01-01,21
EUR,D1_SAL_HW,EA19,2008-01-01,22
EUR,D1_SAL_HW,EA19,2009-01-01,23
EUR,D1_SAL_HW,EA19,2010-01-01,23
EUR,D1_SAL_HW,EA19,2011-01-01,24
EUR,D1_SAL_HW,EA19,2012-01-01,24
EUR,D1_SAL_HW,EA19,2013-01-01,25
EUR,D1_SAL_HW,EA19,2014-01-01,25
EUR,D1_SAL_HW,EA19,2015-01-01,26
EUR,D1_SAL_HW,EA19,2016-01-01,26
EUR,D1_SAL_HW,EA19,2017-01-01,26
EUR,D1_SAL_HW,EE,2005-01-01,4
EUR,D1_SAL_HW,EE,2006-01-01,5
EUR,D1_SAL_HW,EE,2007-01-01,6
EUR,D1_SAL_HW,EE,2008-01-01,7
EUR,D1_SAL_HW,EE,2009-01-01,7
EUR,D1_SAL_HW,EE,2010-01-01,7
EUR,D1_SAL_HW,EE,2011-01-01,7
EUR,D1_SAL_HW,EE,2012-01-01,8
EUR,D1_SAL_HW,EE,2013-01-01,8
EUR,D1_SAL_HW,EE,2014-01-01,9
EUR,D1_SAL_HW,EE,2015-01-01,9
EUR,D1_SAL_HW,EE,2016-01-01,10
EUR,D1_SAL_HW,EE,2017-01-01,10
EUR,D1_SAL_HW,EL,2005-01-01,11
EUR,D1_SAL_HW,EL,2006-01-01,11
EUR,D1_SAL_HW,EL,2007-01-01,12
EUR,D1_SAL_HW,EL,2008-01-01,12
EUR,D1_SAL_HW,EL,2009-01-01,13
EUR,D1_SAL_HW,EL,2010-01-01,13
EUR,D1_SAL_HW,EL,2011-01-01,12
EUR,D1_SAL_HW,EL,2012-01-01,12
EUR,D1_SAL_HW,EL,2013-01-01,11
EUR,D1_SAL_HW,EL,2014-01-01,11
EUR,D1_SAL_HW,EL,2015-01-01,11
EUR,D1_SAL_HW,EL,2016-01-01,11
EUR,D1_SAL_HW,EL,2017-01-01,11
EUR,D1_SAL_HW,ES,2005-01-01,15
EUR,D1_SAL_HW,ES,2006-01-01,16
EUR,D1_SAL_HW,ES,2007-01-01,17
EUR,D1_SAL_HW,ES,2008-01-01,18
EUR,D1_SAL_HW,ES,2009-01-01,18
EUR,D1_SAL_HW,ES,2010-01-01,19
EUR,D1_SAL_HW,ES,2011-01-01,19
EUR,D1_SAL_HW,ES,2012-01-01,19
EUR,D1_SAL_HW,ES,2013-01-01,19
EUR,D1_SAL_HW,ES,2014-01-01,19
EUR,D1_SAL_HW,ES,2015-01-01,19
EUR,D1_SAL_HW,ES,2016-01-01,19
EUR,D1_SAL_HW,ES,2017-01-01,19
EUR,D1_SAL_HW,EU28,2005-01-01,18
EUR,D1_SAL_HW,EU28,2006-01-01,19
EUR,D1_SAL_HW,EU28,2007-01-01,19
EUR,D1_SAL_HW,EU28,2008-01-01,19
EUR,D1_SAL_HW,EU28,2009-01-01,19
EUR,D1_SAL_HW,EU28,2010-01-01,20
EUR,D1_SAL_HW,EU28,2011-01-01,20
EUR,D1_SAL_HW,EU28,2012-01-01,21
EUR,D1_SAL_HW,EU28,2013-01-01,21
EUR,D1_SAL_HW,EU28,2014-01-01,22
EUR,D1_SAL_HW,EU28,2015-01-01,23
EUR,D1_SAL_HW,EU28,2016-01-01,22
EUR,D1_SAL_HW,EU28,2017-01-01,23
EUR,D1_SAL_HW,FI,2005-01-01,22
EUR,D1_SAL_HW,FI,2006-01-01,23
EUR,D1_SAL_HW,FI,2007-01-01,24
EUR,D1_SAL_HW,FI,2008-01-01,25
EUR,D1_SAL_HW,FI,2009-01-01,26
EUR,D1_SAL_HW,FI,2010-01-01,26
EUR,D1_SAL_HW,FI,2011-01-01,27
EUR,D1_SAL_HW,FI,2012-01-01,28
