hhtyp,sex,indic_il,geotime,date,value
A1,DIFF,R_GE60_LT60,DK,2007-01-01,-0.08
A1,DIFF,R_GE60_LT60,DK,2008-01-01,-0.11
A1,DIFF,R_GE60_LT60,DK,2009-01-01,-0.06
A1,DIFF,R_GE60_LT60,DK,2010-01-01,-0.03
A1,DIFF,R_GE60_LT60,DK,2011-01-01,-0.02
A1,DIFF,R_GE60_LT60,DK,2012-01-01,-0.02
A1,DIFF,R_GE60_LT60,DK,2013-01-01,-0.02
A1,DIFF,R_GE60_LT60,DK,2014-01-01,0.06
A1,DIFF,R_GE60_LT60,DK,2015-01-01,0.02
A1,DIFF,R_GE60_LT60,DK,2016-01-01,0.07
A1,DIFF,R_GE60_LT60,DK,2017-01-01,0.08
A1,DIFF,R_GE60_LT60,EA18,2006-01-01,0.07
A1,DIFF,R_GE60_LT60,EA18,2007-01-01,0.03
A1,DIFF,R_GE60_LT60,EA18,2008-01-01,0.08
A1,DIFF,R_GE60_LT60,EA18,2009-01-01,0.1
A1,DIFF,R_GE60_LT60,EA18,2010-01-01,0.11
A1,DIFF,R_GE60_LT60,EA18,2011-01-01,0.11
A1,DIFF,R_GE60_LT60,EA18,2012-01-01,0.06
A1,DIFF,R_GE60_LT60,EA18,2013-01-01,0.08
A1,DIFF,R_GE60_LT60,EA18,2014-01-01,0.05
A1,DIFF,R_GE60_LT60,EA18,2015-01-01,0.04
A1,DIFF,R_GE60_LT60,EA18,2016-01-01,0.05
A1,DIFF,R_GE60_LT60,EA18,2017-01-01,0.04
A1,DIFF,R_GE60_LT60,EA19,2006-01-01,0.07
A1,DIFF,R_GE60_LT60,EA19,2007-01-01,0.03
A1,DIFF,R_GE60_LT60,EA19,2008-01-01,0.08
A1,DIFF,R_GE60_LT60,EA19,2009-01-01,0.1
A1,DIFF,R_GE60_LT60,EA19,2010-01-01,0.12
A1,DIFF,R_GE60_LT60,EA19,2011-01-01,0.11
A1,DIFF,R_GE60_LT60,EA19,2012-01-01,0.06
A1,DIFF,R_GE60_LT60,EA19,2013-01-01,0.08
A1,DIFF,R_GE60_LT60,EA19,2014-01-01,0.05
A1,DIFF,R_GE60_LT60,EA19,2015-01-01,0.04
A1,DIFF,R_GE60_LT60,EA19,2016-01-01,0.05
A1,DIFF,R_GE60_LT60,EA19,2017-01-01,0.04
A1,DIFF,R_GE60_LT60,EE,2006-01-01,-0.09
A1,DIFF,R_GE60_LT60,EE,2007-01-01,-0.02
A1,DIFF,R_GE60_LT60,EE,2008-01-01,0.06
A1,DIFF,R_GE60_LT60,EE,2009-01-01,-0.03
A1,DIFF,R_GE60_LT60,EE,2010-01-01,0.13
A1,DIFF,R_GE60_LT60,EE,2011-01-01,0.12
A1,DIFF,R_GE60_LT60,EE,2012-01-01,-0.09
A1,DIFF,R_GE60_LT60,EE,2013-01-01,-0.03
A1,DIFF,R_GE60_LT60,EE,2014-01-01,0.04
A1,DIFF,R_GE60_LT60,EE,2015-01-01,0.16
A1,DIFF,R_GE60_LT60,EE,2016-01-01,0.06
A1,DIFF,R_GE60_LT60,EE,2017-01-01,0.02
A1,DIFF,R_GE60_LT60,EL,2006-01-01,0.13
A1,DIFF,R_GE60_LT60,EL,2007-01-01,-0.06
A1,DIFF,R_GE60_LT60,EL,2008-01-01,-0.15
A1,DIFF,R_GE60_LT60,EL,2009-01-01,0.07
A1,DIFF,R_GE60_LT60,EL,2010-01-01,0.09
A1,DIFF,R_GE60_LT60,EL,2011-01-01,-0.05
A1,DIFF,R_GE60_LT60,EL,2012-01-01,-0.05
A1,DIFF,R_GE60_LT60,EL,2013-01-01,-0.08
A1,DIFF,R_GE60_LT60,EL,2014-01-01,0.01
A1,DIFF,R_GE60_LT60,EL,2015-01-01,0.09
A1,DIFF,R_GE60_LT60,EL,2016-01-01,0.07
A1,DIFF,R_GE60_LT60,EL,2017-01-01,0.05
A1,DIFF,R_GE60_LT60,ES,2006-01-01,0.08
A1,DIFF,R_GE60_LT60,ES,2007-01-01,-0.05
A1,DIFF,R_GE60_LT60,ES,2008-01-01,0.18
A1,DIFF,R_GE60_LT60,ES,2009-01-01,0.14
A1,DIFF,R_GE60_LT60,ES,2010-01-01,0.31
A1,DIFF,R_GE60_LT60,ES,2011-01-01,0.23
A1,DIFF,R_GE60_LT60,ES,2012-01-01,0.17
A1,DIFF,R_GE60_LT60,ES,2013-01-01,0.25
A1,DIFF,R_GE60_LT60,ES,2014-01-01,0.17
A1,DIFF,R_GE60_LT60,ES,2015-01-01,0.26
A1,DIFF,R_GE60_LT60,ES,2016-01-01,0.2
A1,DIFF,R_GE60_LT60,ES,2017-01-01,0.19
A1,DIFF,R_GE60_LT60,EU27,2006-01-01,0.07
A1,DIFF,R_GE60_LT60,EU27,2007-01-01,0.06
A1,DIFF,R_GE60_LT60,EU27,2008-01-01,0.08
A1,DIFF,R_GE60_LT60,EU27,2009-01-01,0.1
A1,DIFF,R_GE60_LT60,EU27,2010-01-01,0.1
A1,DIFF,R_GE60_LT60,EU27,2011-01-01,0.11
A1,DIFF,R_GE60_LT60,EU27,2012-01-01,0.08
A1,DIFF,R_GE60_LT60,EU27,2013-01-01,0.08
A1,DIFF,R_GE60_LT60,EU27,2014-01-01,0.04
A1,DIFF,R_GE60_LT60,EU27,2015-01-01,0.05
A1,DIFF,R_GE60_LT60,EU27,2016-01-01,0.06
A1,DIFF,R_GE60_LT60,EU27,2017-01-01,0.05
A1,DIFF,R_GE60_LT60,EU28,2006-01-01,
A1,DIFF,R_GE60_LT60,EU28,2007-01-01,
A1,DIFF,R_GE60_LT60,EU28,2008-01-01,
A1,DIFF,R_GE60_LT60,EU28,2009-01-01,
A1,DIFF,R_GE60_LT60,EU28,2010-01-01,0.11
A1,DIFF,R_GE60_LT60,EU28,2011-01-01,0.11
A1,DIFF,R_GE60_LT60,EU28,2012-01-01,0.08
A1,DIFF,R_GE60_LT60,EU28,2013-01-01,0.08
A1,DIFF,R_GE60_LT60,EU28,2014-01-01,0.04
A1,DIFF,R_GE60_LT60,EU28,2015-01-01,0.05
A1,DIFF,R_GE60_LT60,EU28,2016-01-01,0.06
A1,DIFF,R_GE60_LT60,EU28,2017-01-01,0.05
A1,DIFF,R_GE60_LT60,FI,2006-01-01,-0.04
A1,DIFF,R_GE60_LT60,FI,2007-01-01,0.03
A1,DIFF,R_GE60_LT60,FI,2008-01-01,0.01
A1,DIFF,R_GE60_LT60,FI,2009-01-01,0.07
A1,DIFF,R_GE60_LT60,FI,2010-01-01,0.03
A1,DIFF,R_GE60_LT60,FI,2011-01-01,0.14
A1,DIFF,R_GE60_LT60,FI,2012-01-01,0.06
A1,DIFF,R_GE60_LT60,FI,2013-01-01,0.0
A1,DIFF,R_GE60_LT60,FI,2014-01-01,0.09
A1,DIFF,R_GE60_LT60,FI,2015-01-01,0.15
A1,DIFF,R_GE60_LT60,FI,2016-01-01,0.07
A1,DIFF,R_GE60_LT60,FI,2017-01-01,0.06
A1,DIFF,R_GE60_LT60,FR,2006-01-01,0.08
A1,DIFF,R_GE60_LT60,FR,2007-01-01,0.01
A1,DIFF,R_GE60_LT60,FR,2008-01-01,0.14
A1,DIFF,R_GE60_LT60,FR,2009-01-01,0.17
A1,DIFF,R_GE60_LT60,FR,2010-01-01,0.18
A1,DIFF,R_GE60_LT60,FR,2011-01-01,0.13
A1,DIFF,R_GE60_LT60,FR,2012-01-01,0.07
A1,DIFF,R_GE60_LT60,FR,2013-01-01,0.03
A1,DIFF,R_GE60_LT60,FR,2014-01-01,0.08
A1,DIFF,R_GE60_LT60,FR,2015-01-01,0.07
A1,DIFF,R_GE60_LT60,FR,2016-01-01,0.06
A1,DIFF,R_GE60_LT60,FR,2017-01-01,0.08
