sex,unit,age,geotime,date,value
T,PC,TOTAL,EE,2009-01-01,6.2
T,PC,TOTAL,EE,2010-01-01,9.0
T,PC,TOTAL,EE,2011-01-01,8.7
T,PC,TOTAL,EE,2012-01-01,9.4
T,PC,TOTAL,EE,2013-01-01,7.6
T,PC,TOTAL,EE,2014-01-01,6.2
T,PC,TOTAL,EE,2015-01-01,4.5
T,PC,TOTAL,EE,2016-01-01,4.7
T,PC,TOTAL,EE,2017-01-01,4.1
T,PC,TOTAL,EL,2003-01-01,16.9
T,PC,TOTAL,EL,2004-01-01,14.1
T,PC,TOTAL,EL,2005-01-01,12.8
T,PC,TOTAL,EL,2006-01-01,11.5
T,PC,TOTAL,EL,2007-01-01,11.5
T,PC,TOTAL,EL,2008-01-01,11.2
T,PC,TOTAL,EL,2009-01-01,11.0
T,PC,TOTAL,EL,2010-01-01,11.6
T,PC,TOTAL,EL,2011-01-01,15.2
T,PC,TOTAL,EL,2012-01-01,19.5
T,PC,TOTAL,EL,2013-01-01,20.3
T,PC,TOTAL,EL,2014-01-01,21.5
T,PC,TOTAL,EL,2015-01-01,22.2
T,PC,TOTAL,EL,2016-01-01,22.4
T,PC,TOTAL,EL,2017-01-01,21.1
T,PC,TOTAL,ES,2003-01-01,
T,PC,TOTAL,ES,2004-01-01,4.8
T,PC,TOTAL,ES,2005-01-01,4.1
T,PC,TOTAL,ES,2006-01-01,4.1
T,PC,TOTAL,ES,2007-01-01,3.5
T,PC,TOTAL,ES,2008-01-01,3.6
T,PC,TOTAL,ES,2009-01-01,4.5
T,PC,TOTAL,ES,2010-01-01,4.9
T,PC,TOTAL,ES,2011-01-01,4.5
T,PC,TOTAL,ES,2012-01-01,5.8
T,PC,TOTAL,ES,2013-01-01,6.2
T,PC,TOTAL,ES,2014-01-01,7.1
T,PC,TOTAL,ES,2015-01-01,6.4
T,PC,TOTAL,ES,2016-01-01,5.8
T,PC,TOTAL,ES,2017-01-01,5.1
T,PC,TOTAL,FI,2003-01-01,
T,PC,TOTAL,FI,2004-01-01,3.8
T,PC,TOTAL,FI,2005-01-01,3.8
T,PC,TOTAL,FI,2006-01-01,3.3
T,PC,TOTAL,FI,2007-01-01,3.6
T,PC,TOTAL,FI,2008-01-01,3.5
T,PC,TOTAL,FI,2009-01-01,2.8
T,PC,TOTAL,FI,2010-01-01,2.8
T,PC,TOTAL,FI,2011-01-01,3.2
T,PC,TOTAL,FI,2012-01-01,2.9
T,PC,TOTAL,FI,2013-01-01,2.5
T,PC,TOTAL,FI,2014-01-01,2.8
T,PC,TOTAL,FI,2015-01-01,2.2
T,PC,TOTAL,FI,2016-01-01,2.2
T,PC,TOTAL,FI,2017-01-01,2.1
T,PC,TOTAL,FR,2003-01-01,
T,PC,TOTAL,FR,2004-01-01,6.1
T,PC,TOTAL,FR,2005-01-01,5.3
T,PC,TOTAL,FR,2006-01-01,5.0
T,PC,TOTAL,FR,2007-01-01,4.7
T,PC,TOTAL,FR,2008-01-01,5.4
T,PC,TOTAL,FR,2009-01-01,5.6
T,PC,TOTAL,FR,2010-01-01,5.8
T,PC,TOTAL,FR,2011-01-01,5.2
T,PC,TOTAL,FR,2012-01-01,5.3
T,PC,TOTAL,FR,2013-01-01,4.9
T,PC,TOTAL,FR,2014-01-01,4.8
T,PC,TOTAL,FR,2015-01-01,4.5
T,PC,TOTAL,FR,2016-01-01,4.4
T,PC,TOTAL,FR,2017-01-01,4.1
T,PC,TOTAL,HR,2003-01-01,
T,PC,TOTAL,HR,2004-01-01,
T,PC,TOTAL,HR,2005-01-01,
T,PC,TOTAL,HR,2006-01-01,
T,PC,TOTAL,HR,2007-01-01,
T,PC,TOTAL,HR,2008-01-01,
T,PC,TOTAL,HR,2009-01-01,
T,PC,TOTAL,HR,2010-01-01,14.3
T,PC,TOTAL,HR,2011-01-01,15.2
T,PC,TOTAL,HR,2012-01-01,15.9
T,PC,TOTAL,HR,2013-01-01,14.7
T,PC,TOTAL,HR,2014-01-01,13.9
T,PC,TOTAL,HR,2015-01-01,13.7
T,PC,TOTAL,HR,2016-01-01,12.5
T,PC,TOTAL,HR,2017-01-01,10.3
T,PC,TOTAL,HU,2003-01-01,
T,PC,TOTAL,HU,2004-01-01,
T,PC,TOTAL,HU,2005-01-01,22.9
T,PC,TOTAL,HU,2006-01-01,20.9
T,PC,TOTAL,HU,2007-01-01,19.9
