sex,unit,age,geotime,date,value
T,PPCH_3Y,TOTAL,EE,2013-01-01,-1.4
T,PPCH_3Y,TOTAL,EE,2014-01-01,-2.5
T,PPCH_3Y,TOTAL,EE,2015-01-01,-4.9
T,PPCH_3Y,TOTAL,EE,2016-01-01,-2.9
T,PPCH_3Y,TOTAL,EE,2017-01-01,-2.1
T,PPCH_3Y,TOTAL,EL,2003-01-01,
T,PPCH_3Y,TOTAL,EL,2004-01-01,
T,PPCH_3Y,TOTAL,EL,2005-01-01,
T,PPCH_3Y,TOTAL,EL,2006-01-01,-5.4
T,PPCH_3Y,TOTAL,EL,2007-01-01,-2.6
T,PPCH_3Y,TOTAL,EL,2008-01-01,-1.6
T,PPCH_3Y,TOTAL,EL,2009-01-01,-0.5
T,PPCH_3Y,TOTAL,EL,2010-01-01,0.1
T,PPCH_3Y,TOTAL,EL,2011-01-01,4.0
T,PPCH_3Y,TOTAL,EL,2012-01-01,8.5
T,PPCH_3Y,TOTAL,EL,2013-01-01,8.7
T,PPCH_3Y,TOTAL,EL,2014-01-01,6.3
T,PPCH_3Y,TOTAL,EL,2015-01-01,2.7
T,PPCH_3Y,TOTAL,EL,2016-01-01,2.1
T,PPCH_3Y,TOTAL,EL,2017-01-01,-0.4
T,PPCH_3Y,TOTAL,ES,2003-01-01,
T,PPCH_3Y,TOTAL,ES,2004-01-01,
T,PPCH_3Y,TOTAL,ES,2005-01-01,
T,PPCH_3Y,TOTAL,ES,2006-01-01,
T,PPCH_3Y,TOTAL,ES,2007-01-01,-1.3
T,PPCH_3Y,TOTAL,ES,2008-01-01,-0.5
T,PPCH_3Y,TOTAL,ES,2009-01-01,0.4
T,PPCH_3Y,TOTAL,ES,2010-01-01,1.4
T,PPCH_3Y,TOTAL,ES,2011-01-01,0.9
T,PPCH_3Y,TOTAL,ES,2012-01-01,1.3
T,PPCH_3Y,TOTAL,ES,2013-01-01,1.3
T,PPCH_3Y,TOTAL,ES,2014-01-01,2.6
T,PPCH_3Y,TOTAL,ES,2015-01-01,0.6
T,PPCH_3Y,TOTAL,ES,2016-01-01,-0.4
T,PPCH_3Y,TOTAL,ES,2017-01-01,-2.0
T,PPCH_3Y,TOTAL,FI,2003-01-01,
T,PPCH_3Y,TOTAL,FI,2004-01-01,
T,PPCH_3Y,TOTAL,FI,2005-01-01,
T,PPCH_3Y,TOTAL,FI,2006-01-01,
T,PPCH_3Y,TOTAL,FI,2007-01-01,-0.2
T,PPCH_3Y,TOTAL,FI,2008-01-01,-0.3
T,PPCH_3Y,TOTAL,FI,2009-01-01,-0.5
T,PPCH_3Y,TOTAL,FI,2010-01-01,-0.8
T,PPCH_3Y,TOTAL,FI,2011-01-01,-0.3
T,PPCH_3Y,TOTAL,FI,2012-01-01,0.1
T,PPCH_3Y,TOTAL,FI,2013-01-01,-0.3
T,PPCH_3Y,TOTAL,FI,2014-01-01,-0.4
T,PPCH_3Y,TOTAL,FI,2015-01-01,-0.7
T,PPCH_3Y,TOTAL,FI,2016-01-01,-0.3
T,PPCH_3Y,TOTAL,FI,2017-01-01,-0.7
T,PPCH_3Y,TOTAL,FR,2003-01-01,
T,PPCH_3Y,TOTAL,FR,2004-01-01,
T,PPCH_3Y,TOTAL,FR,2005-01-01,
T,PPCH_3Y,TOTAL,FR,2006-01-01,
T,PPCH_3Y,TOTAL,FR,2007-01-01,-1.4
T,PPCH_3Y,TOTAL,FR,2008-01-01,0.1
T,PPCH_3Y,TOTAL,FR,2009-01-01,0.6
T,PPCH_3Y,TOTAL,FR,2010-01-01,1.1
T,PPCH_3Y,TOTAL,FR,2011-01-01,-0.2
T,PPCH_3Y,TOTAL,FR,2012-01-01,-0.3
T,PPCH_3Y,TOTAL,FR,2013-01-01,-0.9
T,PPCH_3Y,TOTAL,FR,2014-01-01,-0.4
T,PPCH_3Y,TOTAL,FR,2015-01-01,-0.8
T,PPCH_3Y,TOTAL,FR,2016-01-01,-0.5
T,PPCH_3Y,TOTAL,FR,2017-01-01,-0.7
T,PPCH_3Y,TOTAL,HR,2003-01-01,
T,PPCH_3Y,TOTAL,HR,2004-01-01,
T,PPCH_3Y,TOTAL,HR,2005-01-01,
T,PPCH_3Y,TOTAL,HR,2006-01-01,
T,PPCH_3Y,TOTAL,HR,2007-01-01,
T,PPCH_3Y,TOTAL,HR,2008-01-01,
T,PPCH_3Y,TOTAL,HR,2009-01-01,
T,PPCH_3Y,TOTAL,HR,2010-01-01,
T,PPCH_3Y,TOTAL,HR,2011-01-01,
T,PPCH_3Y,TOTAL,HR,2012-01-01,
T,PPCH_3Y,TOTAL,HR,2013-01-01,0.4
T,PPCH_3Y,TOTAL,HR,2014-01-01,-1.3
T,PPCH_3Y,TOTAL,HR,2015-01-01,-2.2
T,PPCH_3Y,TOTAL,HR,2016-01-01,-2.2
T,PPCH_3Y,TOTAL,HR,2017-01-01,-3.6
T,PPCH_3Y,TOTAL,HU,2003-01-01,
T,PPCH_3Y,TOTAL,HU,2004-01-01,
T,PPCH_3Y,TOTAL,HU,2005-01-01,
T,PPCH_3Y,TOTAL,HU,2006-01-01,
T,PPCH_3Y,TOTAL,HU,2007-01-01,
T,PPCH_3Y,TOTAL,HU,2008-01-01,-5.0
T,PPCH_3Y,TOTAL,HU,2009-01-01,-0.6
T,PPCH_3Y,TOTAL,HU,2010-01-01,1.7
T,PPCH_3Y,TOTAL,HU,2011-01-01,5.5
T,PPCH_3Y,TOTAL,HU,2012-01-01,6.0
T,PPCH_3Y,TOTAL,HU,2013-01-01,6.2
T,PPCH_3Y,TOTAL,HU,2014-01-01,0.6
T,PPCH_3Y,TOTAL,HU,2015-01-01,-6.9
T,PPCH_3Y,TOTAL,HU,2016-01-01,-11.6
T,PPCH_3Y,TOTAL,HU,2017-01-01,-9.5
T,PPCH_3Y,TOTAL,IE,2003-01-01,
T,PPCH_3Y,TOTAL,IE,2004-01-01,
T,PPCH_3Y,TOTAL,IE,2005-01-01,
T,PPCH_3Y,TOTAL,IE,2006-01-01,-0.8
T,PPCH_3Y,TOTAL,IE,2007-01-01,-0.3
T,PPCH_3Y,TOTAL,IE,2008-01-01,0.4
T,PPCH_3Y,TOTAL,IE,2009-01-01,1.3
T,PPCH_3Y,TOTAL,IE,2010-01-01,1.2
T,PPCH_3Y,TOTAL,IE,2011-01-01,2.3
T,PPCH_3Y,TOTAL,IE,2012-01-01,3.7
T,PPCH_3Y,TOTAL,IE,2013-01-01,4.2
T,PPCH_3Y,TOTAL,IE,2014-01-01,0.6
T,PPCH_3Y,TOTAL,IE,2015-01-01,-2.3
T,PPCH_3Y,TOTAL,IE,2016-01-01,-3.4
T,PPCH_3Y,TOTAL,IE,2017-01-01,
T,PPCH_3Y,TOTAL,IT,2003-01-01,
T,PPCH_3Y,TOTAL,IT,2004-01-01,
T,PPCH_3Y,TOTAL,IT,2005-01-01,
T,PPCH_3Y,TOTAL,IT,2006-01-01,
T,PPCH_3Y,TOTAL,IT,2007-01-01,0.0
T,PPCH_3Y,TOTAL,IT,2008-01-01,0.7
T,PPCH_3Y,TOTAL,IT,2009-01-01,0.9
T,PPCH_3Y,TOTAL,IT,2010-01-01,0.4
T,PPCH_3Y,TOTAL,IT,2011-01-01,3.6
T,PPCH_3Y,TOTAL,IT,2012-01-01,7.2
T,PPCH_3Y,TOTAL,IT,2013-01-01,4.9
T,PPCH_3Y,TOTAL,IT,2014-01-01,0.5
T,PPCH_3Y,TOTAL,IT,2015-01-01,-3.0
T,PPCH_3Y,TOTAL,IT,2016-01-01,-0.2
T,PPCH_3Y,TOTAL,IT,2017-01-01,-1.5
T,PPCH_3Y,TOTAL,LT,2003-01-01,
T,PPCH_3Y,TOTAL,LT,2004-01-01,
T,PPCH_3Y,TOTAL,LT,2005-01-01,
T,PPCH_3Y,TOTAL,LT,2006-01-01,
T,PPCH_3Y,TOTAL,LT,2007-01-01,
T,PPCH_3Y,TOTAL,LT,2008-01-01,-20.1
T,PPCH_3Y,TOTAL,LT,2009-01-01,-9.7
T,PPCH_3Y,TOTAL,LT,2010-01-01,3.3
T,PPCH_3Y,TOTAL,LT,2011-01-01,6.5
T,PPCH_3Y,TOTAL,LT,2012-01-01,4.2
T,PPCH_3Y,TOTAL,LT,2013-01-01,-3.9
T,PPCH_3Y,TOTAL,LT,2014-01-01,-5.4
T,PPCH_3Y,TOTAL,LT,2015-01-01,-5.9
T,PPCH_3Y,TOTAL,LT,2016-01-01,-2.5
T,PPCH_3Y,TOTAL,LT,2017-01-01,-1.2
T,PPCH_3Y,TOTAL,LU,2003-01-01,
T,PPCH_3Y,TOTAL,LU,2004-01-01,
T,PPCH_3Y,TOTAL,LU,2005-01-01,
T,PPCH_3Y,TOTAL,LU,2006-01-01,-0.8
T,PPCH_3Y,TOTAL,LU,2007-01-01,0.0
T,PPCH_3Y,TOTAL,LU,2008-01-01,-1.1
T,PPCH_3Y,TOTAL,LU,2009-01-01,0.0
T,PPCH_3Y,TOTAL,LU,2010-01-01,-0.3
T,PPCH_3Y,TOTAL,LU,2011-01-01,0.5
T,PPCH_3Y,TOTAL,LU,2012-01-01,0.2
T,PPCH_3Y,TOTAL,LU,2013-01-01,1.3
T,PPCH_3Y,TOTAL,LU,2014-01-01,0.2
T,PPCH_3Y,TOTAL,LU,2015-01-01,0.7
T,PPCH_3Y,TOTAL,LU,2016-01-01,-0.2
T,PPCH_3Y,TOTAL,LU,2017-01-01,-0.2
T,PPCH_3Y,TOTAL,LV,2003-01-01,
T,PPCH_3Y,TOTAL,LV,2004-01-01,
T,PPCH_3Y,TOTAL,LV,2005-01-01,
T,PPCH_3Y,TOTAL,LV,2006-01-01,
T,PPCH_3Y,TOTAL,LV,2007-01-01,
T,PPCH_3Y,TOTAL,LV,2008-01-01,-20.0
T,PPCH_3Y,TOTAL,LV,2009-01-01,-9.2
T,PPCH_3Y,TOTAL,LV,2010-01-01,3.6
T,PPCH_3Y,TOTAL,LV,2011-01-01,11.7
T,PPCH_3Y,TOTAL,LV,2012-01-01,3.5
T,PPCH_3Y,TOTAL,LV,2013-01-01,-3.6
T,PPCH_3Y,TOTAL,LV,2014-01-01,-11.8
T,PPCH_3Y,TOTAL,LV,2015-01-01,-9.2
T,PPCH_3Y,TOTAL,LV,2016-01-01,-11.2
T,PPCH_3Y,TOTAL,LV,2017-01-01,-7.9
T,PPCH_3Y,TOTAL,MT,2003-01-01,
T,PPCH_3Y,TOTAL,MT,2004-01-01,
T,PPCH_3Y,TOTAL,MT,2005-01-01,
T,PPCH_3Y,TOTAL,MT,2006-01-01,
T,PPCH_3Y,TOTAL,MT,2007-01-01,
T,PPCH_3Y,TOTAL,MT,2008-01-01,-1.1
T,PPCH_3Y,TOTAL,MT,2009-01-01,1.1
T,PPCH_3Y,TOTAL,MT,2010-01-01,2.1
T,PPCH_3Y,TOTAL,MT,2011-01-01,2.3
T,PPCH_3Y,TOTAL,MT,2012-01-01,4.2
T,PPCH_3Y,TOTAL,MT,2013-01-01,3.0
T,PPCH_3Y,TOTAL,MT,2014-01-01,3.6
T,PPCH_3Y,TOTAL,MT,2015-01-01,-1.1
T,PPCH_3Y,TOTAL,MT,2016-01-01,-5.1
T,PPCH_3Y,TOTAL,MT,2017-01-01,-6.9
T,PPCH_3Y,TOTAL,NL,2003-01-01,
T,PPCH_3Y,TOTAL,NL,2004-01-01,
T,PPCH_3Y,TOTAL,NL,2005-01-01,
T,PPCH_3Y,TOTAL,NL,2006-01-01,
T,PPCH_3Y,TOTAL,NL,2007-01-01,
T,PPCH_3Y,TOTAL,NL,2008-01-01,-1.0
T,PPCH_3Y,TOTAL,NL,2009-01-01,-0.9
T,PPCH_3Y,TOTAL,NL,2010-01-01,0.5
T,PPCH_3Y,TOTAL,NL,2011-01-01,1.0
T,PPCH_3Y,TOTAL,NL,2012-01-01,0.9
T,PPCH_3Y,TOTAL,NL,2013-01-01,0.3
T,PPCH_3Y,TOTAL,NL,2014-01-01,0.7
T,PPCH_3Y,TOTAL,NL,2015-01-01,0.3
T,PPCH_3Y,TOTAL,NL,2016-01-01,0.1
T,PPCH_3Y,TOTAL,NL,2017-01-01,-0.6
T,PPCH_3Y,TOTAL,PL,2003-01-01,
T,PPCH_3Y,TOTAL,PL,2004-01-01,
T,PPCH_3Y,TOTAL,PL,2005-01-01,
T,PPCH_3Y,TOTAL,PL,2006-01-01,
T,PPCH_3Y,TOTAL,PL,2007-01-01,
T,PPCH_3Y,TOTAL,PL,2008-01-01,-16.1
T,PPCH_3Y,TOTAL,PL,2009-01-01,-12.6
T,PPCH_3Y,TOTAL,PL,2010-01-01,-8.1
T,PPCH_3Y,TOTAL,PL,2011-01-01,-4.7
T,PPCH_3Y,TOTAL,PL,2012-01-01,-1.5
T,PPCH_3Y,TOTAL,PL,2013-01-01,-2.3
T,PPCH_3Y,TOTAL,PL,2014-01-01,-2.6
T,PPCH_3Y,TOTAL,PL,2015-01-01,-5.4
T,PPCH_3Y,TOTAL,PL,2016-01-01,-5.2
T,PPCH_3Y,TOTAL,PL,2017-01-01,-4.5
T,PPCH_3Y,TOTAL,PT,2003-01-01,
T,PPCH_3Y,TOTAL,PT,2004-01-01,
T,PPCH_3Y,TOTAL,PT,2005-01-01,
T,PPCH_3Y,TOTAL,PT,2006-01-01,
T,PPCH_3Y,TOTAL,PT,2007-01-01,-0.3
T,PPCH_3Y,TOTAL,PT,2008-01-01,0.4
T,PPCH_3Y,TOTAL,PT,2009-01-01,0.0
T,PPCH_3Y,TOTAL,PT,2010-01-01,-0.6
T,PPCH_3Y,TOTAL,PT,2011-01-01,-1.4
T,PPCH_3Y,TOTAL,PT,2012-01-01,-0.5
T,PPCH_3Y,TOTAL,PT,2013-01-01,1.9
T,PPCH_3Y,TOTAL,PT,2014-01-01,2.3
T,PPCH_3Y,TOTAL,PT,2015-01-01,1.0
T,PPCH_3Y,TOTAL,PT,2016-01-01,-2.5
T,PPCH_3Y,TOTAL,PT,2017-01-01,-3.7
T,PPCH_3Y,TOTAL,RO,2003-01-01,
T,PPCH_3Y,TOTAL,RO,2004-01-01,
T,PPCH_3Y,TOTAL,RO,2005-01-01,
T,PPCH_3Y,TOTAL,RO,2006-01-01,
T,PPCH_3Y,TOTAL,RO,2007-01-01,
T,PPCH_3Y,TOTAL,RO,2008-01-01,
T,PPCH_3Y,TOTAL,RO,2009-01-01,
T,PPCH_3Y,TOTAL,RO,2010-01-01,-7.5
T,PPCH_3Y,TOTAL,RO,2011-01-01,-3.2
T,PPCH_3Y,TOTAL,RO,2012-01-01,-1.0
T,PPCH_3Y,TOTAL,RO,2013-01-01,-0.7
T,PPCH_3Y,TOTAL,RO,2014-01-01,-3.6
T,PPCH_3Y,TOTAL,RO,2015-01-01,-8.4
T,PPCH_3Y,TOTAL,RO,2016-01-01,-6.0
T,PPCH_3Y,TOTAL,RO,2017-01-01,-6.2
T,PPCH_3Y,TOTAL,SE,2003-01-01,
T,PPCH_3Y,TOTAL,SE,2004-01-01,
T,PPCH_3Y,TOTAL,SE,2005-01-01,
T,PPCH_3Y,TOTAL,SE,2006-01-01,
T,PPCH_3Y,TOTAL,SE,2007-01-01,-0.8
T,PPCH_3Y,TOTAL,SE,2008-01-01,-0.5
T,PPCH_3Y,TOTAL,SE,2009-01-01,-0.1
T,PPCH_3Y,TOTAL,SE,2010-01-01,-0.3
T,PPCH_3Y,TOTAL,SE,2011-01-01,-0.1
T,PPCH_3Y,TOTAL,SE,2012-01-01,-0.2
T,PPCH_3Y,TOTAL,SE,2013-01-01,0.0
T,PPCH_3Y,TOTAL,SE,2014-01-01,-0.7
T,PPCH_3Y,TOTAL,SE,2015-01-01,-0.7
T,PPCH_3Y,TOTAL,SE,2016-01-01,-1.1
T,PPCH_3Y,TOTAL,SE,2017-01-01,0.1
T,PPCH_3Y,TOTAL,SI,2003-01-01,
T,PPCH_3Y,TOTAL,SI,2004-01-01,
T,PPCH_3Y,TOTAL,SI,2005-01-01,
T,PPCH_3Y,TOTAL,SI,2006-01-01,
T,PPCH_3Y,TOTAL,SI,2007-01-01,
T,PPCH_3Y,TOTAL,SI,2008-01-01,1.6
T,PPCH_3Y,TOTAL,SI,2009-01-01,1.0
T,PPCH_3Y,TOTAL,SI,2010-01-01,0.8
T,PPCH_3Y,TOTAL,SI,2011-01-01,-0.6
T,PPCH_3Y,TOTAL,SI,2012-01-01,0.5
T,PPCH_3Y,TOTAL,SI,2013-01-01,0.8
T,PPCH_3Y,TOTAL,SI,2014-01-01,0.5
T,PPCH_3Y,TOTAL,SI,2015-01-01,-0.8
T,PPCH_3Y,TOTAL,SI,2016-01-01,-1.3
T,PPCH_3Y,TOTAL,SI,2017-01-01,-2.0
T,PPCH_3Y,TOTAL,SK,2003-01-01,
T,PPCH_3Y,TOTAL,SK,2004-01-01,
T,PPCH_3Y,TOTAL,SK,2005-01-01,
T,PPCH_3Y,TOTAL,SK,2006-01-01,
T,PPCH_3Y,TOTAL,SK,2007-01-01,
T,PPCH_3Y,TOTAL,SK,2008-01-01,-10.3
T,PPCH_3Y,TOTAL,SK,2009-01-01,-7.1
T,PPCH_3Y,TOTAL,SK,2010-01-01,-2.3
T,PPCH_3Y,TOTAL,SK,2011-01-01,-1.2
T,PPCH_3Y,TOTAL,SK,2012-01-01,-0.6
T,PPCH_3Y,TOTAL,SK,2013-01-01,-1.2
T,PPCH_3Y,TOTAL,SK,2014-01-01,-0.7
T,PPCH_3Y,TOTAL,SK,2015-01-01,-1.5
T,PPCH_3Y,TOTAL,SK,2016-01-01,-2.0
T,PPCH_3Y,TOTAL,SK,2017-01-01,-2.9
T,PPCH_3Y,TOTAL,UK,2003-01-01,
T,PPCH_3Y,TOTAL,UK,2004-01-01,
T,PPCH_3Y,TOTAL,UK,2005-01-01,
T,PPCH_3Y,TOTAL,UK,2006-01-01,
T,PPCH_3Y,TOTAL,UK,2007-01-01,
T,PPCH_3Y,TOTAL,UK,2008-01-01,-0.8
T,PPCH_3Y,TOTAL,UK,2009-01-01,-1.2
T,PPCH_3Y,TOTAL,UK,2010-01-01,0.6
T,PPCH_3Y,TOTAL,UK,2011-01-01,0.6
T,PPCH_3Y,TOTAL,UK,2012-01-01,4.5
T,PPCH_3Y,TOTAL,UK,2013-01-01,3.5
T,PPCH_3Y,TOTAL,UK,2014-01-01,2.3
T,PPCH_3Y,TOTAL,UK,2015-01-01,-1.7
T,PPCH_3Y,TOTAL,UK,2016-01-01,-3.1
T,PPCH_3Y,TOTAL,UK,2017-01-01,-2.5
