age,unit,indic_em,sex,geotime,date,value
Y20-64,PC_POP,EMP_LFS,F,DE,2008-01-01,67
Y20-64,PC_POP,EMP_LFS,F,DE,2009-01-01,68
Y20-64,PC_POP,EMP_LFS,F,DE,2010-01-01,69
Y20-64,PC_POP,EMP_LFS,F,DE,2011-01-01,71
Y20-64,PC_POP,EMP_LFS,F,DE,2012-01-01,71
Y20-64,PC_POP,EMP_LFS,F,DE,2013-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DE,2014-01-01,73
Y20-64,PC_POP,EMP_LFS,F,DE,2015-01-01,73
Y20-64,PC_POP,EMP_LFS,F,DE,2016-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DE,2017-01-01,75
Y20-64,PC_POP,EMP_LFS,F,DK,2005-01-01,73
Y20-64,PC_POP,EMP_LFS,F,DK,2006-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DK,2007-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DK,2008-01-01,75
Y20-64,PC_POP,EMP_LFS,F,DK,2009-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DK,2010-01-01,73
Y20-64,PC_POP,EMP_LFS,F,DK,2011-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2012-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2013-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2014-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2015-01-01,72
Y20-64,PC_POP,EMP_LFS,F,DK,2016-01-01,74
Y20-64,PC_POP,EMP_LFS,F,DK,2017-01-01,73
Y20-64,PC_POP,EMP_LFS,F,EA18,2005-01-01,59
Y20-64,PC_POP,EMP_LFS,F,EA18,2006-01-01,60
Y20-64,PC_POP,EMP_LFS,F,EA18,2007-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA18,2008-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2009-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA18,2010-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA18,2011-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2012-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2013-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2014-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA18,2015-01-01,63
Y20-64,PC_POP,EMP_LFS,F,EA18,2016-01-01,64
Y20-64,PC_POP,EMP_LFS,F,EA18,2017-01-01,65
Y20-64,PC_POP,EMP_LFS,F,EA19,2005-01-01,59
Y20-64,PC_POP,EMP_LFS,F,EA19,2006-01-01,60
Y20-64,PC_POP,EMP_LFS,F,EA19,2007-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA19,2008-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA19,2009-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA19,2010-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EA19,2011-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA19,2012-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA19,2013-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA19,2014-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EA19,2015-01-01,63
Y20-64,PC_POP,EMP_LFS,F,EA19,2016-01-01,64
Y20-64,PC_POP,EMP_LFS,F,EA19,2017-01-01,65
Y20-64,PC_POP,EMP_LFS,F,EE,2005-01-01,69
Y20-64,PC_POP,EMP_LFS,F,EE,2006-01-01,72
Y20-64,PC_POP,EMP_LFS,F,EE,2007-01-01,72
Y20-64,PC_POP,EMP_LFS,F,EE,2008-01-01,72
Y20-64,PC_POP,EMP_LFS,F,EE,2009-01-01,69
Y20-64,PC_POP,EMP_LFS,F,EE,2010-01-01,65
Y20-64,PC_POP,EMP_LFS,F,EE,2011-01-01,67
Y20-64,PC_POP,EMP_LFS,F,EE,2012-01-01,69
Y20-64,PC_POP,EMP_LFS,F,EE,2013-01-01,70
Y20-64,PC_POP,EMP_LFS,F,EE,2014-01-01,70
Y20-64,PC_POP,EMP_LFS,F,EE,2015-01-01,72
Y20-64,PC_POP,EMP_LFS,F,EE,2016-01-01,72
Y20-64,PC_POP,EMP_LFS,F,EE,2017-01-01,75
Y20-64,PC_POP,EMP_LFS,F,EL,2005-01-01,49
Y20-64,PC_POP,EMP_LFS,F,EL,2006-01-01,51
Y20-64,PC_POP,EMP_LFS,F,EL,2007-01-01,51
Y20-64,PC_POP,EMP_LFS,F,EL,2008-01-01,52
Y20-64,PC_POP,EMP_LFS,F,EL,2009-01-01,52
Y20-64,PC_POP,EMP_LFS,F,EL,2010-01-01,51
Y20-64,PC_POP,EMP_LFS,F,EL,2011-01-01,48
Y20-64,PC_POP,EMP_LFS,F,EL,2012-01-01,45
Y20-64,PC_POP,EMP_LFS,F,EL,2013-01-01,43
Y20-64,PC_POP,EMP_LFS,F,EL,2014-01-01,44
Y20-64,PC_POP,EMP_LFS,F,EL,2015-01-01,46
Y20-64,PC_POP,EMP_LFS,F,EL,2016-01-01,46
Y20-64,PC_POP,EMP_LFS,F,EL,2017-01-01,48
Y20-64,PC_POP,EMP_LFS,F,ES,2005-01-01,55
Y20-64,PC_POP,EMP_LFS,F,ES,2006-01-01,57
Y20-64,PC_POP,EMP_LFS,F,ES,2007-01-01,58
Y20-64,PC_POP,EMP_LFS,F,ES,2008-01-01,58
Y20-64,PC_POP,EMP_LFS,F,ES,2009-01-01,56
Y20-64,PC_POP,EMP_LFS,F,ES,2010-01-01,56
Y20-64,PC_POP,EMP_LFS,F,ES,2011-01-01,56
Y20-64,PC_POP,EMP_LFS,F,ES,2012-01-01,54
Y20-64,PC_POP,EMP_LFS,F,ES,2013-01-01,53
Y20-64,PC_POP,EMP_LFS,F,ES,2014-01-01,54
Y20-64,PC_POP,EMP_LFS,F,ES,2015-01-01,56
Y20-64,PC_POP,EMP_LFS,F,ES,2016-01-01,58
Y20-64,PC_POP,EMP_LFS,F,ES,2017-01-01,59
Y20-64,PC_POP,EMP_LFS,F,EU27,2005-01-01,60
Y20-64,PC_POP,EMP_LFS,F,EU27,2006-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EU27,2007-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU27,2008-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU27,2009-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU27,2010-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU27,2011-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU27,2012-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU27,2013-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU27,2014-01-01,63
Y20-64,PC_POP,EMP_LFS,F,EU27,2015-01-01,64
Y20-64,PC_POP,EMP_LFS,F,EU27,2016-01-01,65
Y20-64,PC_POP,EMP_LFS,F,EU27,2017-01-01,66
Y20-64,PC_POP,EMP_LFS,F,EU28,2005-01-01,60
Y20-64,PC_POP,EMP_LFS,F,EU28,2006-01-01,61
Y20-64,PC_POP,EMP_LFS,F,EU28,2007-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU28,2008-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU28,2009-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU28,2010-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU28,2011-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU28,2012-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU28,2013-01-01,62
Y20-64,PC_POP,EMP_LFS,F,EU28,2014-01-01,63
Y20-64,PC_POP,EMP_LFS,F,EU28,2015-01-01,64
Y20-64,PC_POP,EMP_LFS,F,EU28,2016-01-01,65
Y20-64,PC_POP,EMP_LFS,F,EU28,2017-01-01,66
Y20-64,PC_POP,EMP_LFS,F,FI,2005-01-01,70
Y20-64,PC_POP,EMP_LFS,F,FI,2006-01-01,71
Y20-64,PC_POP,EMP_LFS,F,FI,2007-01-01,72
Y20-64,PC_POP,EMP_LFS,F,FI,2008-01-01,73
