indic_nrg,unit,product,geotime,date,value
B_101550,PC,0000,BA,2010-01-01,
B_101550,PC,0000,BA,2011-01-01,
B_101550,PC,0000,BA,2012-01-01,
B_101550,PC,0000,BA,2013-01-01,
B_101550,PC,0000,BA,2014-01-01,27
B_101550,PC,0000,BA,2015-01-01,33
B_101550,PC,0000,BA,2016-01-01,31
B_101550,PC,0000,BE,2000-01-01,78
B_101550,PC,0000,BE,2001-01-01,80
B_101550,PC,0000,BE,2002-01-01,77
B_101550,PC,0000,BE,2003-01-01,79
B_101550,PC,0000,BE,2004-01-01,79
B_101550,PC,0000,BE,2005-01-01,80
B_101550,PC,0000,BE,2006-01-01,79
B_101550,PC,0000,BE,2007-01-01,76
B_101550,PC,0000,BE,2008-01-01,81
B_101550,PC,0000,BE,2009-01-01,75
B_101550,PC,0000,BE,2010-01-01,78
B_101550,PC,0000,BE,2011-01-01,75
B_101550,PC,0000,BE,2012-01-01,76
B_101550,PC,0000,BE,2013-01-01,77
B_101550,PC,0000,BE,2014-01-01,80
B_101550,PC,0000,BE,2015-01-01,84
B_101550,PC,0000,BE,2016-01-01,76
B_101550,PC,0000,BG,2000-01-01,46
B_101550,PC,0000,BG,2001-01-01,45
B_101550,PC,0000,BG,2002-01-01,45
B_101550,PC,0000,BG,2003-01-01,46
B_101550,PC,0000,BG,2004-01-01,48
B_101550,PC,0000,BG,2005-01-01,46
B_101550,PC,0000,BG,2006-01-01,45
B_101550,PC,0000,BG,2007-01-01,50
B_101550,PC,0000,BG,2008-01-01,51
B_101550,PC,0000,BG,2009-01-01,45
B_101550,PC,0000,BG,2010-01-01,39
B_101550,PC,0000,BG,2011-01-01,36
B_101550,PC,0000,BG,2012-01-01,36
B_101550,PC,0000,BG,2013-01-01,37
B_101550,PC,0000,BG,2014-01-01,34
B_101550,PC,0000,BG,2015-01-01,35
B_101550,PC,0000,BG,2016-01-01,37
B_101550,PC,0000,CY,2000-01-01,98
B_101550,PC,0000,CY,2001-01-01,95
B_101550,PC,0000,CY,2002-01-01,100
B_101550,PC,0000,CY,2003-01-01,96
B_101550,PC,0000,CY,2004-01-01,95
B_101550,PC,0000,CY,2005-01-01,100
B_101550,PC,0000,CY,2006-01-01,102
B_101550,PC,0000,CY,2007-01-01,95
B_101550,PC,0000,CY,2008-01-01,97
B_101550,PC,0000,CY,2009-01-01,96
B_101550,PC,0000,CY,2010-01-01,100
B_101550,PC,0000,CY,2011-01-01,92
B_101550,PC,0000,CY,2012-01-01,97
B_101550,PC,0000,CY,2013-01-01,96
B_101550,PC,0000,CY,2014-01-01,93
B_101550,PC,0000,CY,2015-01-01,97
B_101550,PC,0000,CY,2016-01-01,96
B_101550,PC,0000,CZ,2000-01-01,22
B_101550,PC,0000,CZ,2001-01-01,25
B_101550,PC,0000,CZ,2002-01-01,26
B_101550,PC,0000,CZ,2003-01-01,24
B_101550,PC,0000,CZ,2004-01-01,25
B_101550,PC,0000,CZ,2005-01-01,27
B_101550,PC,0000,CZ,2006-01-01,27
B_101550,PC,0000,CZ,2007-01-01,25
B_101550,PC,0000,CZ,2008-01-01,27
B_101550,PC,0000,CZ,2009-01-01,26
B_101550,PC,0000,CZ,2010-01-01,25
B_101550,PC,0000,CZ,2011-01-01,28
B_101550,PC,0000,CZ,2012-01-01,25
B_101550,PC,0000,CZ,2013-01-01,27
B_101550,PC,0000,CZ,2014-01-01,30
B_101550,PC,0000,CZ,2015-01-01,32
B_101550,PC,0000,CZ,2016-01-01,32
B_101550,PC,0000,DE,2000-01-01,59
B_101550,PC,0000,DE,2001-01-01,60
B_101550,PC,0000,DE,2002-01-01,60
B_101550,PC,0000,DE,2003-01-01,60
B_101550,PC,0000,DE,2004-01-01,61
B_101550,PC,0000,DE,2005-01-01,60
B_101550,PC,0000,DE,2006-01-01,60
B_101550,PC,0000,DE,2007-01-01,58
B_101550,PC,0000,DE,2008-01-01,61
B_101550,PC,0000,DE,2009-01-01,61
B_101550,PC,0000,DE,2010-01-01,60
B_101550,PC,0000,DE,2011-01-01,61
B_101550,PC,0000,DE,2012-01-01,61
B_101550,PC,0000,DE,2013-01-01,62
B_101550,PC,0000,DE,2014-01-01,61
B_101550,PC,0000,DE,2015-01-01,61
B_101550,PC,0000,DE,2016-01-01,63
B_101550,PC,0000,DK,2000-01-01,35
B_101550,PC,0000,DK,2001-01-01,28
B_101550,PC,0000,DK,2002-01-01,41
B_101550,PC,0000,DK,2003-01-01,31
B_101550,PC,0000,DK,2004-01-01,47
B_101550,PC,0000,DK,2005-01-01,50
B_101550,PC,0000,DK,2006-01-01,35
B_101550,PC,0000,DK,2007-01-01,24
B_101550,PC,0000,DK,2008-01-01,20
B_101550,PC,0000,DK,2009-01-01,19
B_101550,PC,0000,DK,2010-01-01,15
B_101550,PC,0000,DK,2011-01-01,5
B_101550,PC,0000,DK,2012-01-01,2
B_101550,PC,0000,DK,2013-01-01,12
B_101550,PC,0000,DK,2014-01-01,12
B_101550,PC,0000,DK,2015-01-01,13
B_101550,PC,0000,DK,2016-01-01,13
B_101550,PC,0000,EA19,2000-01-01,64
B_101550,PC,0000,EA19,2001-01-01,63
B_101550,PC,0000,EA19,2002-01-01,63
B_101550,PC,0000,EA19,2003-01-01,64
B_101550,PC,0000,EA19,2004-01-01,64
B_101550,PC,0000,EA19,2005-01-01,65
B_101550,PC,0000,EA19,2006-01-01,65
B_101550,PC,0000,EA19,2007-01-01,63
B_101550,PC,0000,EA19,2008-01-01,64
B_101550,PC,0000,EA19,2009-01-01,63
B_101550,PC,0000,EA19,2010-01-01,62
B_101550,PC,0000,EA19,2011-01-01,62
B_101550,PC,0000,EA19,2012-01-01,61
B_101550,PC,0000,EA19,2013-01-01,60
B_101550,PC,0000,EA19,2014-01-01,60
B_101550,PC,0000,EA19,2015-01-01,62
B_101550,PC,0000,EA19,2016-01-01,61
B_101550,PC,0000,EE,2000-01-01,32
B_101550,PC,0000,EE,2001-01-01,32
B_101550,PC,0000,EE,2002-01-01,29
B_101550,PC,0000,EE,2003-01-01,26
B_101550,PC,0000,EE,2004-01-01,28
B_101550,PC,0000,EE,2005-01-01,26
B_101550,PC,0000,EE,2006-01-01,29
B_101550,PC,0000,EE,2007-01-01,24
B_101550,PC,0000,EE,2008-01-01,24
B_101550,PC,0000,EE,2009-01-01,22
B_101550,PC,0000,EE,2010-01-01,13
B_101550,PC,0000,EE,2011-01-01,12
B_101550,PC,0000,EE,2012-01-01,17
B_101550,PC,0000,EE,2013-01-01,11
B_101550,PC,0000,EE,2014-01-01,9
B_101550,PC,0000,EE,2015-01-01,7
B_101550,PC,0000,EE,2016-01-01,6
B_101550,PC,0000,EL,2000-01-01,69
B_101550,PC,0000,EL,2001-01-01,68
B_101550,PC,0000,EL,2002-01-01,71
B_101550,PC,0000,EL,2003-01-01,67
B_101550,PC,0000,EL,2004-01-01,72
B_101550,PC,0000,EL,2005-01-01,68
B_101550,PC,0000,EL,2006-01-01,71
B_101550,PC,0000,EL,2007-01-01,71
B_101550,PC,0000,EL,2008-01-01,73
B_101550,PC,0000,EL,2009-01-01,67
B_101550,PC,0000,EL,2010-01-01,69
B_101550,PC,0000,EL,2011-01-01,65
B_101550,PC,0000,EL,2012-01-01,66
B_101550,PC,0000,EL,2013-01-01,62
B_101550,PC,0000,EL,2014-01-01,66
B_101550,PC,0000,EL,2015-01-01,71
B_101550,PC,0000,EL,2016-01-01,73
B_101550,PC,0000,ES,2000-01-01,76
B_101550,PC,0000,ES,2001-01-01,74
B_101550,PC,0000,ES,2002-01-01,78
B_101550,PC,0000,ES,2003-01-01,76
B_101550,PC,0000,ES,2004-01-01,77
B_101550,PC,0000,ES,2005-01-01,81
B_101550,PC,0000,ES,2006-01-01,81
B_101550,PC,0000,ES,2007-01-01,79
B_101550,PC,0000,ES,2008-01-01,81
B_101550,PC,0000,ES,2009-01-01,79
B_101550,PC,0000,ES,2010-01-01,76
B_101550,PC,0000,ES,2011-01-01,76
B_101550,PC,0000,ES,2012-01-01,73
B_101550,PC,0000,ES,2013-01-01,70
B_101550,PC,0000,ES,2014-01-01,72
B_101550,PC,0000,ES,2015-01-01,73
B_101550,PC,0000,ES,2016-01-01,71
B_101550,PC,0000,EU28,2000-01-01,46
B_101550,PC,0000,EU28,2001-01-01,47
B_101550,PC,0000,EU28,2002-01-01,47
B_101550,PC,0000,EU28,2003-01-01,48
B_101550,PC,0000,EU28,2004-01-01,50
B_101550,PC,0000,EU28,2005-01-01,52
B_101550,PC,0000,EU28,2006-01-01,53
B_101550,PC,0000,EU28,2007-01-01,52
B_101550,PC,0000,EU28,2008-01-01,54
B_101550,PC,0000,EU28,2009-01-01,53
B_101550,PC,0000,EU28,2010-01-01,52
B_101550,PC,0000,EU28,2011-01-01,54
B_101550,PC,0000,EU28,2012-01-01,53
B_101550,PC,0000,EU28,2013-01-01,53
B_101550,PC,0000,EU28,2014-01-01,53
B_101550,PC,0000,EU28,2015-01-01,53
B_101550,PC,0000,EU28,2016-01-01,53
B_101550,PC,0000,FI,2000-01-01,55
