stk_flow,sitc06,partner,unit,geotime,date,value
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2017-09-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2017-10-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2017-11-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2017-12-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2018-01-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2018-02-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2018-03-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2018-04-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2018-05-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2018-06-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2018-07-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EA19,2018-08-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2017-09-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2017-10-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2017-11-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2017-12-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2018-01-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2018-02-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2018-03-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2018-04-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2018-05-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2018-06-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2018-07-01,
EXP,TOTAL,WRL_REST,I2010_NSA,EU28,2018-08-01,117
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-09-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-10-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-11-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2017-12-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-01-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-02-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-03-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-04-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-05-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-06-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-07-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EA19,2018-08-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-09-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-10-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-11-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2017-12-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-01-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-02-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-03-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-04-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-05-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-06-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-07-01,
EXP,TOTAL,WRL_REST,PCH_M12_NSA,EU28,2018-08-01,4
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2017-09-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2017-10-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2017-11-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2017-12-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2018-01-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2018-02-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2018-03-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2018-04-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2018-05-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2018-06-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2018-07-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EA19,2018-08-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2017-09-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2017-10-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2017-11-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2017-12-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2018-01-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2018-02-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2018-03-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2018-04-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2018-05-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2018-06-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2018-07-01,
EXP,TOTAL,WRL_REST,PCH_M1_NSA,EU28,2018-08-01,0
