indic_il,sex,age,geo\time,date,value
LIP_MD60,T,Y18-24,AT,2004-01-01,: 
LIP_MD60,T,Y18-24,AT,2007-01-01,7.2 
LIP_MD60,T,Y18-24,AT,2008-01-01,4.7 
LIP_MD60,T,Y18-24,AT,2009-01-01,1.7 
LIP_MD60,T,Y18-24,AT,2010-01-01,6.4 
LIP_MD60,T,Y18-24,AT,2011-01-01,9.6 b
LIP_MD60,T,Y18-24,AT,2012-01-01,5.8 
LIP_MD60,T,Y18-24,AT,2013-01-01,6.0 
LIP_MD60,T,Y18-24,AT,2014-01-01,8.5 
LIP_MD60,T,Y18-24,AT,2015-01-01,5.9 
LIP_MD60,T,Y18-24,AT,2016-01-01,5.4 
LIP_MD60,T,Y18-24,AT,2017-01-01,9.4 
LIP_MD60,T,Y18-24,BE,2004-01-01,: 
LIP_MD60,T,Y18-24,BE,2007-01-01,4.2 
LIP_MD60,T,Y18-24,BE,2008-01-01,11.0 
LIP_MD60,T,Y18-24,BE,2009-01-01,7.2 
LIP_MD60,T,Y18-24,BE,2010-01-01,9.4 
LIP_MD60,T,Y18-24,BE,2011-01-01,8.6 
LIP_MD60,T,Y18-24,BE,2012-01-01,6.4 
LIP_MD60,T,Y18-24,BE,2013-01-01,6.4 
LIP_MD60,T,Y18-24,BE,2014-01-01,11.8 
LIP_MD60,T,Y18-24,BE,2015-01-01,14.0 
LIP_MD60,T,Y18-24,BE,2016-01-01,10.3 
LIP_MD60,T,Y18-24,BE,2017-01-01,16.0 
LIP_MD60,T,Y18-24,BG,2004-01-01,: 
LIP_MD60,T,Y18-24,BG,2007-01-01,: 
LIP_MD60,T,Y18-24,BG,2008-01-01,: 
LIP_MD60,T,Y18-24,BG,2009-01-01,10.3 
LIP_MD60,T,Y18-24,BG,2010-01-01,18.7 
LIP_MD60,T,Y18-24,BG,2011-01-01,20.1 
LIP_MD60,T,Y18-24,BG,2012-01-01,13.0 
LIP_MD60,T,Y18-24,BG,2013-01-01,11.2 
LIP_MD60,T,Y18-24,BG,2014-01-01,19.8 
LIP_MD60,T,Y18-24,BG,2015-01-01,15.7 
LIP_MD60,T,Y18-24,BG,2016-01-01,15.3 b
LIP_MD60,T,Y18-24,BG,2017-01-01,18.0 
LIP_MD60,T,Y18-24,CH,2004-01-01,: 
LIP_MD60,T,Y18-24,CH,2007-01-01,: 
LIP_MD60,T,Y18-24,CH,2008-01-01,: 
LIP_MD60,T,Y18-24,CH,2009-01-01,: 
LIP_MD60,T,Y18-24,CH,2010-01-01,: 
LIP_MD60,T,Y18-24,CH,2011-01-01,: 
LIP_MD60,T,Y18-24,CH,2012-01-01,: 
LIP_MD60,T,Y18-24,CH,2013-01-01,: 
LIP_MD60,T,Y18-24,CH,2014-01-01,2.4 
LIP_MD60,T,Y18-24,CH,2015-01-01,8.1 
LIP_MD60,T,Y18-24,CH,2016-01-01,4.3 
LIP_MD60,T,Y18-24,CH,2017-01-01,: 
LIP_MD60,T,Y18-24,CY,2004-01-01,: 
LIP_MD60,T,Y18-24,CY,2007-01-01,: 
LIP_MD60,T,Y18-24,CY,2008-01-01,4.9 
LIP_MD60,T,Y18-24,CY,2009-01-01,3.1 
LIP_MD60,T,Y18-24,CY,2010-01-01,5.3 
LIP_MD60,T,Y18-24,CY,2011-01-01,1.1 
LIP_MD60,T,Y18-24,CY,2012-01-01,0.9 
LIP_MD60,T,Y18-24,CY,2013-01-01,6.5 
LIP_MD60,T,Y18-24,CY,2014-01-01,4.4 
LIP_MD60,T,Y18-24,CY,2015-01-01,5.5 
LIP_MD60,T,Y18-24,CY,2016-01-01,2.5 
LIP_MD60,T,Y18-24,CY,2017-01-01,4.4 
LIP_MD60,T,Y18-24,CZ,2004-01-01,: 
LIP_MD60,T,Y18-24,CZ,2007-01-01,: 
LIP_MD60,T,Y18-24,CZ,2008-01-01,4.2 
LIP_MD60,T,Y18-24,CZ,2009-01-01,4.3 
LIP_MD60,T,Y18-24,CZ,2010-01-01,9.2 
LIP_MD60,T,Y18-24,CZ,2011-01-01,4.6 
LIP_MD60,T,Y18-24,CZ,2012-01-01,5.4 
LIP_MD60,T,Y18-24,CZ,2013-01-01,7.1 
LIP_MD60,T,Y18-24,CZ,2014-01-01,4.8 
LIP_MD60,T,Y18-24,CZ,2015-01-01,2.3 
LIP_MD60,T,Y18-24,CZ,2016-01-01,4.6 
LIP_MD60,T,Y18-24,CZ,2017-01-01,2.6 
LIP_MD60,T,Y18-24,DE,2004-01-01,: 
LIP_MD60,T,Y18-24,DE,2007-01-01,: 
LIP_MD60,T,Y18-24,DE,2008-01-01,5.3 
LIP_MD60,T,Y18-24,DE,2009-01-01,4.6 
LIP_MD60,T,Y18-24,DE,2010-01-01,7.6 
LIP_MD60,T,Y18-24,DE,2011-01-01,7.5 
LIP_MD60,T,Y18-24,DE,2012-01-01,11.2 
LIP_MD60,T,Y18-24,DE,2013-01-01,7.5 
LIP_MD60,T,Y18-24,DE,2014-01-01,9.0 
LIP_MD60,T,Y18-24,DE,2015-01-01,11.3 
LIP_MD60,T,Y18-24,DE,2016-01-01,9.9 
LIP_MD60,T,Y18-24,DE,2017-01-01,9.4 
LIP_MD60,T,Y18-24,DK,2004-01-01,: 
LIP_MD60,T,Y18-24,DK,2007-01-01,4.7 
LIP_MD60,T,Y18-24,DK,2008-01-01,13.7 
LIP_MD60,T,Y18-24,DK,2009-01-01,9.2 
LIP_MD60,T,Y18-24,DK,2010-01-01,12.1 
LIP_MD60,T,Y18-24,DK,2011-01-01,8.3 
LIP_MD60,T,Y18-24,DK,2012-01-01,1.8 
LIP_MD60,T,Y18-24,DK,2013-01-01,6.3 
LIP_MD60,T,Y18-24,DK,2014-01-01,13.3 
LIP_MD60,T,Y18-24,DK,2015-01-01,15.4 
LIP_MD60,T,Y18-24,DK,2016-01-01,30.7 
LIP_MD60,T,Y18-24,DK,2017-01-01,21.2 
LIP_MD60,T,Y18-24,EA,2004-01-01,: 
LIP_MD60,T,Y18-24,EA,2007-01-01,: 
LIP_MD60,T,Y18-24,EA,2008-01-01,9.7 e
LIP_MD60,T,Y18-24,EA,2009-01-01,9.9 e
LIP_MD60,T,Y18-24,EA,2010-01-01,11.8 e
LIP_MD60,T,Y18-24,EA,2011-01-01,11.3 e
LIP_MD60,T,Y18-24,EA,2012-01-01,13.3 e
LIP_MD60,T,Y18-24,EA,2013-01-01,12.9 e
LIP_MD60,T,Y18-24,EA,2014-01-01,13.6 e
LIP_MD60,T,Y18-24,EA,2015-01-01,15.0 e
LIP_MD60,T,Y18-24,EA,2016-01-01,12.2 e
LIP_MD60,T,Y18-24,EA,2017-01-01,: 
LIP_MD60,T,Y18-24,EA18,2004-01-01,: 
LIP_MD60,T,Y18-24,EA18,2007-01-01,: 
LIP_MD60,T,Y18-24,EA18,2008-01-01,9.6 
LIP_MD60,T,Y18-24,EA18,2009-01-01,10.0 
LIP_MD60,T,Y18-24,EA18,2010-01-01,11.8 
LIP_MD60,T,Y18-24,EA18,2011-01-01,11.3 e
LIP_MD60,T,Y18-24,EA18,2012-01-01,13.3 
LIP_MD60,T,Y18-24,EA18,2013-01-01,12.8 
