unit,age,sex,geotime,date,value
PC,Y_GE65,T,AT,2006-01-01,17.3
PC,Y_GE65,T,AT,2007-01-01,15.1
PC,Y_GE65,T,AT,2008-01-01,21.2
PC,Y_GE65,T,AT,2009-01-01,18.6
PC,Y_GE65,T,AT,2010-01-01,17.4
PC,Y_GE65,T,AT,2011-01-01,17.4
PC,Y_GE65,T,AT,2012-01-01,16.2
PC,Y_GE65,T,AT,2013-01-01,16.2
PC,Y_GE65,T,AT,2014-01-01,15.7
PC,Y_GE65,T,AT,2015-01-01,14.0
PC,Y_GE65,T,AT,2016-01-01,13.7
PC,Y_GE65,T,AT,2017-01-01,13.4
PC,Y_GE65,T,BE,2006-01-01,25.2
PC,Y_GE65,T,BE,2007-01-01,25.0
PC,Y_GE65,T,BE,2008-01-01,22.9
PC,Y_GE65,T,BE,2009-01-01,23.1
PC,Y_GE65,T,BE,2010-01-01,21.0
PC,Y_GE65,T,BE,2011-01-01,21.6
PC,Y_GE65,T,BE,2012-01-01,21.2
PC,Y_GE65,T,BE,2013-01-01,19.5
PC,Y_GE65,T,BE,2014-01-01,17.3
PC,Y_GE65,T,BE,2015-01-01,16.2
PC,Y_GE65,T,BE,2016-01-01,16.4
PC,Y_GE65,T,BE,2017-01-01,17.1
PC,Y_GE65,T,BG,2006-01-01,73.7
PC,Y_GE65,T,BG,2007-01-01,71.1
PC,Y_GE65,T,BG,2008-01-01,65.5
PC,Y_GE65,T,BG,2009-01-01,66.0
PC,Y_GE65,T,BG,2010-01-01,63.9
PC,Y_GE65,T,BG,2011-01-01,61.1
PC,Y_GE65,T,BG,2012-01-01,59.1
PC,Y_GE65,T,BG,2013-01-01,57.6
PC,Y_GE65,T,BG,2014-01-01,47.8
PC,Y_GE65,T,BG,2015-01-01,51.8
PC,Y_GE65,T,BG,2016-01-01,45.9
PC,Y_GE65,T,BG,2017-01-01,48.9
PC,Y_GE65,T,CH,2006-01-01,
PC,Y_GE65,T,CH,2007-01-01,26.6
PC,Y_GE65,T,CH,2008-01-01,28.3
PC,Y_GE65,T,CH,2009-01-01,30.3
PC,Y_GE65,T,CH,2010-01-01,27.8
PC,Y_GE65,T,CH,2011-01-01,28.3
PC,Y_GE65,T,CH,2012-01-01,30.1
PC,Y_GE65,T,CH,2013-01-01,29.6
PC,Y_GE65,T,CH,2014-01-01,25.8
PC,Y_GE65,T,CH,2015-01-01,26.6
PC,Y_GE65,T,CH,2016-01-01,25.5
PC,Y_GE65,T,CH,2017-01-01,
PC,Y_GE65,T,CY,2006-01-01,55.6
PC,Y_GE65,T,CY,2007-01-01,55.6
PC,Y_GE65,T,CY,2008-01-01,49.3
PC,Y_GE65,T,CY,2009-01-01,48.6
PC,Y_GE65,T,CY,2010-01-01,42.6
PC,Y_GE65,T,CY,2011-01-01,39.8
PC,Y_GE65,T,CY,2012-01-01,33.4
PC,Y_GE65,T,CY,2013-01-01,26.1
PC,Y_GE65,T,CY,2014-01-01,27.2
PC,Y_GE65,T,CY,2015-01-01,20.8
PC,Y_GE65,T,CY,2016-01-01,22.9
PC,Y_GE65,T,CY,2017-01-01,24.6
PC,Y_GE65,T,CZ,2006-01-01,12.7
PC,Y_GE65,T,CZ,2007-01-01,10.9
PC,Y_GE65,T,CZ,2008-01-01,12.5
PC,Y_GE65,T,CZ,2009-01-01,11.7
PC,Y_GE65,T,CZ,2010-01-01,10.1
PC,Y_GE65,T,CZ,2011-01-01,10.7
PC,Y_GE65,T,CZ,2012-01-01,10.8
PC,Y_GE65,T,CZ,2013-01-01,10.4
PC,Y_GE65,T,CZ,2014-01-01,10.7
PC,Y_GE65,T,CZ,2015-01-01,10.9
PC,Y_GE65,T,CZ,2016-01-01,10.1
PC,Y_GE65,T,CZ,2017-01-01,12.6
PC,Y_GE65,T,DE,2006-01-01,13.5
PC,Y_GE65,T,DE,2007-01-01,16.8
PC,Y_GE65,T,DE,2008-01-01,15.5
PC,Y_GE65,T,DE,2009-01-01,16.0
PC,Y_GE65,T,DE,2010-01-01,14.8
PC,Y_GE65,T,DE,2011-01-01,15.3
PC,Y_GE65,T,DE,2012-01-01,15.8
PC,Y_GE65,T,DE,2013-01-01,16.0
PC,Y_GE65,T,DE,2014-01-01,17.4
PC,Y_GE65,T,DE,2015-01-01,17.2
PC,Y_GE65,T,DE,2016-01-01,18.3
PC,Y_GE65,T,DE,2017-01-01,17.7
PC,Y_GE65,T,DK,2006-01-01,18.3
PC,Y_GE65,T,DK,2007-01-01,18.3
PC,Y_GE65,T,DK,2008-01-01,18.6
PC,Y_GE65,T,DK,2009-01-01,20.6
PC,Y_GE65,T,DK,2010-01-01,18.4
PC,Y_GE65,T,DK,2011-01-01,14.6
PC,Y_GE65,T,DK,2012-01-01,13.2
PC,Y_GE65,T,DK,2013-01-01,10.8
PC,Y_GE65,T,DK,2014-01-01,10.8
PC,Y_GE65,T,DK,2015-01-01,9.9
PC,Y_GE65,T,DK,2016-01-01,9.2
PC,Y_GE65,T,DK,2017-01-01,9.5
PC,Y_GE65,T,EA18,2006-01-01,21.1
PC,Y_GE65,T,EA18,2007-01-01,21.3
PC,Y_GE65,T,EA18,2008-01-01,20.2
PC,Y_GE65,T,EA18,2009-01-01,19.3
PC,Y_GE65,T,EA18,2010-01-01,17.4
PC,Y_GE65,T,EA18,2011-01-01,18.1
PC,Y_GE65,T,EA18,2012-01-01,17.4
PC,Y_GE65,T,EA18,2013-01-01,16.4
PC,Y_GE65,T,EA18,2014-01-01,16.0
PC,Y_GE65,T,EA18,2015-01-01,15.8
PC,Y_GE65,T,EA18,2016-01-01,17.1
PC,Y_GE65,T,EA18,2017-01-01,16.9
PC,Y_GE65,T,EA19,2006-01-01,21.3
PC,Y_GE65,T,EA19,2007-01-01,21.5
PC,Y_GE65,T,EA19,2008-01-01,20.4
PC,Y_GE65,T,EA19,2009-01-01,19.5
PC,Y_GE65,T,EA19,2010-01-01,17.6
PC,Y_GE65,T,EA19,2011-01-01,18.2
PC,Y_GE65,T,EA19,2012-01-01,17.6
PC,Y_GE65,T,EA19,2013-01-01,16.5
PC,Y_GE65,T,EA19,2014-01-01,16.2
PC,Y_GE65,T,EA19,2015-01-01,15.9
PC,Y_GE65,T,EA19,2016-01-01,17.3
PC,Y_GE65,T,EA19,2017-01-01,17.1
PC,Y_GE65,T,EE,2006-01-01,27.8
PC,Y_GE65,T,EE,2007-01-01,35.4
PC,Y_GE65,T,EE,2008-01-01,40.9
PC,Y_GE65,T,EE,2009-01-01,35.6
PC,Y_GE65,T,EE,2010-01-01,19.0
PC,Y_GE65,T,EE,2011-01-01,17.0
PC,Y_GE65,T,EE,2012-01-01,21.8
PC,Y_GE65,T,EE,2013-01-01,28.0
PC,Y_GE65,T,EE,2014-01-01,35.0
PC,Y_GE65,T,EE,2015-01-01,37.0
PC,Y_GE65,T,EE,2016-01-01,41.4
PC,Y_GE65,T,EE,2017-01-01,42.0
PC,Y_GE65,T,EL,2006-01-01,33.8
PC,Y_GE65,T,EL,2007-01-01,30.6
PC,Y_GE65,T,EL,2008-01-01,28.1
PC,Y_GE65,T,EL,2009-01-01,26.8
PC,Y_GE65,T,EL,2010-01-01,26.7
PC,Y_GE65,T,EL,2011-01-01,29.3
PC,Y_GE65,T,EL,2012-01-01,23.5
PC,Y_GE65,T,EL,2013-01-01,23.1
PC,Y_GE65,T,EL,2014-01-01,23.0
PC,Y_GE65,T,EL,2015-01-01,22.8
PC,Y_GE65,T,EL,2016-01-01,22.0
PC,Y_GE65,T,EL,2017-01-01,22.8
PC,Y_GE65,T,ES,2006-01-01,31.1
PC,Y_GE65,T,ES,2007-01-01,27.8
PC,Y_GE65,T,ES,2008-01-01,26.2
PC,Y_GE65,T,ES,2009-01-01,24.9
PC,Y_GE65,T,ES,2010-01-01,22.9
PC,Y_GE65,T,ES,2011-01-01,21.2
PC,Y_GE65,T,ES,2012-01-01,16.5
PC,Y_GE65,T,ES,2013-01-01,14.5
PC,Y_GE65,T,ES,2014-01-01,12.9
PC,Y_GE65,T,ES,2015-01-01,13.7
PC,Y_GE65,T,ES,2016-01-01,14.4
PC,Y_GE65,T,ES,2017-01-01,16.4
PC,Y_GE65,T,EU27,2006-01-01,24.7
PC,Y_GE65,T,EU27,2007-01-01,24.4
PC,Y_GE65,T,EU27,2008-01-01,23.3
PC,Y_GE65,T,EU27,2009-01-01,21.8
PC,Y_GE65,T,EU27,2010-01-01,19.9
PC,Y_GE65,T,EU27,2011-01-01,20.3
PC,Y_GE65,T,EU27,2012-01-01,19.1
PC,Y_GE65,T,EU27,2013-01-01,18.1
PC,Y_GE65,T,EU27,2014-01-01,17.7
PC,Y_GE65,T,EU27,2015-01-01,17.3
PC,Y_GE65,T,EU27,2016-01-01,18.1
PC,Y_GE65,T,EU27,2017-01-01,18.1
PC,Y_GE65,T,EU28,2006-01-01,
PC,Y_GE65,T,EU28,2007-01-01,
PC,Y_GE65,T,EU28,2008-01-01,
PC,Y_GE65,T,EU28,2009-01-01,
PC,Y_GE65,T,EU28,2010-01-01,20.1
PC,Y_GE65,T,EU28,2011-01-01,20.4
PC,Y_GE65,T,EU28,2012-01-01,19.2
PC,Y_GE65,T,EU28,2013-01-01,18.2
PC,Y_GE65,T,EU28,2014-01-01,17.8
PC,Y_GE65,T,EU28,2015-01-01,17.4
PC,Y_GE65,T,EU28,2016-01-01,18.2
PC,Y_GE65,T,EU28,2017-01-01,18.1
PC,Y_GE65,T,FI,2006-01-01,23.0
PC,Y_GE65,T,FI,2007-01-01,23.1
PC,Y_GE65,T,FI,2008-01-01,23.9
PC,Y_GE65,T,FI,2009-01-01,23.1
PC,Y_GE65,T,FI,2010-01-01,19.5
PC,Y_GE65,T,FI,2011-01-01,19.8
PC,Y_GE65,T,FI,2012-01-01,19.5
PC,Y_GE65,T,FI,2013-01-01,16.8
PC,Y_GE65,T,FI,2014-01-01,17.0
PC,Y_GE65,T,FI,2015-01-01,14.5
PC,Y_GE65,T,FI,2016-01-01,13.6
PC,Y_GE65,T,FI,2017-01-01,13.2
PC,Y_GE65,T,FR,2006-01-01,17.5
PC,Y_GE65,T,FR,2007-01-01,15.2
PC,Y_GE65,T,FR,2008-01-01,14.1
PC,Y_GE65,T,FR,2009-01-01,13.4
PC,Y_GE65,T,FR,2010-01-01,11.8
PC,Y_GE65,T,FR,2011-01-01,11.5
PC,Y_GE65,T,FR,2012-01-01,11.1
PC,Y_GE65,T,FR,2013-01-01,10.8
PC,Y_GE65,T,FR,2014-01-01,10.1
PC,Y_GE65,T,FR,2015-01-01,9.3
PC,Y_GE65,T,FR,2016-01-01,10.0
PC,Y_GE65,T,FR,2017-01-01,9.5
PC,Y_GE65,T,HR,2006-01-01,
PC,Y_GE65,T,HR,2007-01-01,
PC,Y_GE65,T,HR,2008-01-01,
PC,Y_GE65,T,HR,2009-01-01,
PC,Y_GE65,T,HR,2010-01-01,37.5
PC,Y_GE65,T,HR,2011-01-01,36.4
PC,Y_GE65,T,HR,2012-01-01,33.1
