unit,sex,age,citizen,geotime,date,value
PC,T,Y20-64,NEU28_FOR,SK,2006-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2007-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2008-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2009-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2010-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2011-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2012-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2013-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2014-01-01,
PC,T,Y20-64,NEU28_FOR,SK,2015-01-01,78.8
PC,T,Y20-64,NEU28_FOR,SK,2016-01-01,65.5
PC,T,Y20-64,NEU28_FOR,SK,2017-01-01,72.9
PC,T,Y20-64,NEU28_FOR,UK,2006-01-01,64.8
PC,T,Y20-64,NEU28_FOR,UK,2007-01-01,63.7
PC,T,Y20-64,NEU28_FOR,UK,2008-01-01,64.9
PC,T,Y20-64,NEU28_FOR,UK,2009-01-01,63.0
PC,T,Y20-64,NEU28_FOR,UK,2010-01-01,63.4
PC,T,Y20-64,NEU28_FOR,UK,2011-01-01,62.3
PC,T,Y20-64,NEU28_FOR,UK,2012-01-01,61.5
PC,T,Y20-64,NEU28_FOR,UK,2013-01-01,61.8
PC,T,Y20-64,NEU28_FOR,UK,2014-01-01,62.7
PC,T,Y20-64,NEU28_FOR,UK,2015-01-01,63.4
PC,T,Y20-64,NEU28_FOR,UK,2016-01-01,63.6
PC,T,Y20-64,NEU28_FOR,UK,2017-01-01,63.6
