fin_source,geotime,date,value
EXPCRED_OSUP,EL,2014-01-01,
EXPCRED_OSUP,EL,2015-01-01,
EXPCRED_OSUP,EL,2016-01-01,
EXPCRED_OSUP,ES,2000-01-01,14
EXPCRED_OSUP,ES,2001-01-01,580
EXPCRED_OSUP,ES,2002-01-01,143
EXPCRED_OSUP,ES,2003-01-01,98
EXPCRED_OSUP,ES,2004-01-01,163
EXPCRED_OSUP,ES,2005-01-01,355
EXPCRED_OSUP,ES,2006-01-01,219
EXPCRED_OSUP,ES,2007-01-01,81
EXPCRED_OSUP,ES,2008-01-01,77
EXPCRED_OSUP,ES,2009-01-01,50
EXPCRED_OSUP,ES,2010-01-01,236
EXPCRED_OSUP,ES,2011-01-01,10
EXPCRED_OSUP,ES,2012-01-01,49
EXPCRED_OSUP,ES,2013-01-01,181
EXPCRED_OSUP,ES,2014-01-01,
EXPCRED_OSUP,ES,2015-01-01,65
EXPCRED_OSUP,ES,2016-01-01,242
EXPCRED_OSUP,EU15,2000-01-01,4067
EXPCRED_OSUP,EU15,2001-01-01,1922
EXPCRED_OSUP,EU15,2002-01-01,1174
EXPCRED_OSUP,EU15,2003-01-01,4154
EXPCRED_OSUP,EU15,2004-01-01,1650
EXPCRED_OSUP,EU15,2005-01-01,3110
EXPCRED_OSUP,EU15,2006-01-01,3036
EXPCRED_OSUP,EU15,2007-01-01,2751
EXPCRED_OSUP,EU15,2008-01-01,5239
EXPCRED_OSUP,EU15,2009-01-01,4615
EXPCRED_OSUP,EU15,2010-01-01,8774
EXPCRED_OSUP,EU15,2011-01-01,8339
EXPCRED_OSUP,EU15,2012-01-01,5087
EXPCRED_OSUP,EU15,2013-01-01,5041
EXPCRED_OSUP,EU15,2014-01-01,136
EXPCRED_OSUP,EU15,2015-01-01,3587
EXPCRED_OSUP,EU15,2016-01-01,2754
EXPCRED_OSUP,EU28,2000-01-01,4067
EXPCRED_OSUP,EU28,2001-01-01,1922
EXPCRED_OSUP,EU28,2002-01-01,1174
EXPCRED_OSUP,EU28,2003-01-01,4154
EXPCRED_OSUP,EU28,2004-01-01,1650
EXPCRED_OSUP,EU28,2005-01-01,3110
EXPCRED_OSUP,EU28,2006-01-01,3036
EXPCRED_OSUP,EU28,2007-01-01,2751
EXPCRED_OSUP,EU28,2008-01-01,5239
EXPCRED_OSUP,EU28,2009-01-01,4615
EXPCRED_OSUP,EU28,2010-01-01,8774
EXPCRED_OSUP,EU28,2011-01-01,8339
EXPCRED_OSUP,EU28,2012-01-01,5087
EXPCRED_OSUP,EU28,2013-01-01,5041
EXPCRED_OSUP,EU28,2014-01-01,86
EXPCRED_OSUP,EU28,2015-01-01,3633
EXPCRED_OSUP,EU28,2016-01-01,2721
EXPCRED_OSUP,FI,2000-01-01,728
EXPCRED_OSUP,FI,2001-01-01,399
EXPCRED_OSUP,FI,2002-01-01,51
EXPCRED_OSUP,FI,2003-01-01,262
EXPCRED_OSUP,FI,2004-01-01,77
EXPCRED_OSUP,FI,2005-01-01,129
EXPCRED_OSUP,FI,2006-01-01,11
EXPCRED_OSUP,FI,2007-01-01,54
EXPCRED_OSUP,FI,2008-01-01,
EXPCRED_OSUP,FI,2009-01-01,57
EXPCRED_OSUP,FI,2010-01-01,
EXPCRED_OSUP,FI,2011-01-01,793
