sex,age,indic_eu,unit,geotime,date,value
T,TOTAL,T2020_53,PC,AT,2003-01-01,3.3
T,TOTAL,T2020_53,PC,AT,2004-01-01,3.8
T,TOTAL,T2020_53,PC,AT,2005-01-01,3.5
T,TOTAL,T2020_53,PC,AT,2006-01-01,3.6
T,TOTAL,T2020_53,PC,AT,2007-01-01,3.3
T,TOTAL,T2020_53,PC,AT,2008-01-01,5.9
T,TOTAL,T2020_53,PC,AT,2009-01-01,4.6
T,TOTAL,T2020_53,PC,AT,2010-01-01,4.3
T,TOTAL,T2020_53,PC,AT,2011-01-01,4.0
T,TOTAL,T2020_53,PC,AT,2012-01-01,4.0
T,TOTAL,T2020_53,PC,AT,2013-01-01,4.2
T,TOTAL,T2020_53,PC,AT,2014-01-01,4.0
T,TOTAL,T2020_53,PC,AT,2015-01-01,3.6
T,TOTAL,T2020_53,PC,AT,2016-01-01,3.0
T,TOTAL,T2020_53,PC,AT,2017-01-01,3.7
T,TOTAL,T2020_53,PC,BE,2003-01-01,4.5
T,TOTAL,T2020_53,PC,BE,2004-01-01,4.7
T,TOTAL,T2020_53,PC,BE,2005-01-01,6.5
T,TOTAL,T2020_53,PC,BE,2006-01-01,6.4
T,TOTAL,T2020_53,PC,BE,2007-01-01,5.7
T,TOTAL,T2020_53,PC,BE,2008-01-01,5.6
T,TOTAL,T2020_53,PC,BE,2009-01-01,5.2
T,TOTAL,T2020_53,PC,BE,2010-01-01,5.9
T,TOTAL,T2020_53,PC,BE,2011-01-01,5.7
T,TOTAL,T2020_53,PC,BE,2012-01-01,6.3
T,TOTAL,T2020_53,PC,BE,2013-01-01,5.1
T,TOTAL,T2020_53,PC,BE,2014-01-01,5.9
T,TOTAL,T2020_53,PC,BE,2015-01-01,5.8
T,TOTAL,T2020_53,PC,BE,2016-01-01,5.5
T,TOTAL,T2020_53,PC,BE,2017-01-01,5.1
T,TOTAL,T2020_53,PC,BG,2003-01-01,
T,TOTAL,T2020_53,PC,BG,2004-01-01,
T,TOTAL,T2020_53,PC,BG,2005-01-01,
T,TOTAL,T2020_53,PC,BG,2006-01-01,57.7
T,TOTAL,T2020_53,PC,BG,2007-01-01,57.6
T,TOTAL,T2020_53,PC,BG,2008-01-01,41.2
T,TOTAL,T2020_53,PC,BG,2009-01-01,41.9
T,TOTAL,T2020_53,PC,BG,2010-01-01,45.7
T,TOTAL,T2020_53,PC,BG,2011-01-01,43.6
T,TOTAL,T2020_53,PC,BG,2012-01-01,44.1
T,TOTAL,T2020_53,PC,BG,2013-01-01,43.0
T,TOTAL,T2020_53,PC,BG,2014-01-01,33.1
T,TOTAL,T2020_53,PC,BG,2015-01-01,34.2
T,TOTAL,T2020_53,PC,BG,2016-01-01,31.9
T,TOTAL,T2020_53,PC,BG,2017-01-01,30.0
T,TOTAL,T2020_53,PC,CH,2003-01-01,
T,TOTAL,T2020_53,PC,CH,2004-01-01,
T,TOTAL,T2020_53,PC,CH,2005-01-01,
T,TOTAL,T2020_53,PC,CH,2006-01-01,
T,TOTAL,T2020_53,PC,CH,2007-01-01,2.3
T,TOTAL,T2020_53,PC,CH,2008-01-01,2.1
T,TOTAL,T2020_53,PC,CH,2009-01-01,2.1
T,TOTAL,T2020_53,PC,CH,2010-01-01,1.7
T,TOTAL,T2020_53,PC,CH,2011-01-01,1.0
T,TOTAL,T2020_53,PC,CH,2012-01-01,0.8
T,TOTAL,T2020_53,PC,CH,2013-01-01,0.7
T,TOTAL,T2020_53,PC,CH,2014-01-01,1.3
T,TOTAL,T2020_53,PC,CH,2015-01-01,1.4
T,TOTAL,T2020_53,PC,CH,2016-01-01,1.5
T,TOTAL,T2020_53,PC,CH,2017-01-01,
T,TOTAL,T2020_53,PC,CY,2003-01-01,
T,TOTAL,T2020_53,PC,CY,2004-01-01,
T,TOTAL,T2020_53,PC,CY,2005-01-01,12.2
T,TOTAL,T2020_53,PC,CY,2006-01-01,12.6
T,TOTAL,T2020_53,PC,CY,2007-01-01,13.3
T,TOTAL,T2020_53,PC,CY,2008-01-01,9.1
T,TOTAL,T2020_53,PC,CY,2009-01-01,9.5
T,TOTAL,T2020_53,PC,CY,2010-01-01,11.2
T,TOTAL,T2020_53,PC,CY,2011-01-01,11.7
T,TOTAL,T2020_53,PC,CY,2012-01-01,15.0
T,TOTAL,T2020_53,PC,CY,2013-01-01,16.1
T,TOTAL,T2020_53,PC,CY,2014-01-01,15.3
T,TOTAL,T2020_53,PC,CY,2015-01-01,15.4
T,TOTAL,T2020_53,PC,CY,2016-01-01,13.6
T,TOTAL,T2020_53,PC,CY,2017-01-01,11.5
T,TOTAL,T2020_53,PC,CZ,2003-01-01,
