unit,wst_oper,geotime,date,value
PC,RCV_R,AT,2010-01-01,60
PC,RCV_R,AT,2012-01-01,65
PC,RCV_R,AT,2014-01-01,62
PC,RCV_R,BE,2010-01-01,71
PC,RCV_R,BE,2012-01-01,63
PC,RCV_R,BE,2014-01-01,78
PC,RCV_R,BG,2010-01-01,27
PC,RCV_R,BG,2012-01-01,14
PC,RCV_R,BG,2014-01-01,17
PC,RCV_R,CY,2010-01-01,40
PC,RCV_R,CY,2012-01-01,47
PC,RCV_R,CY,2014-01-01,38
PC,RCV_R,CZ,2010-01-01,50
PC,RCV_R,CZ,2012-01-01,58
PC,RCV_R,CZ,2014-01-01,60
PC,RCV_R,DE,2010-01-01,55
PC,RCV_R,DE,2012-01-01,54
PC,RCV_R,DE,2014-01-01,53
PC,RCV_R,DK,2010-01-01,56
PC,RCV_R,DK,2012-01-01,64
PC,RCV_R,DK,2014-01-01,59
PC,RCV_R,EE,2010-01-01,22
PC,RCV_R,EE,2012-01-01,25
PC,RCV_R,EE,2014-01-01,19
PC,RCV_R,EL,2010-01-01,18
PC,RCV_R,EL,2012-01-01,13
PC,RCV_R,EL,2014-01-01,10
PC,RCV_R,ES,2010-01-01,44
PC,RCV_R,ES,2012-01-01,46
PC,RCV_R,ES,2014-01-01,46
PC,RCV_R,EU28,2010-01-01,53
PC,RCV_R,EU28,2012-01-01,53
PC,RCV_R,EU28,2014-01-01,55
PC,RCV_R,FI,2010-01-01,33
PC,RCV_R,FI,2012-01-01,41
PC,RCV_R,FI,2014-01-01,41
PC,RCV_R,FR,2010-01-01,50
PC,RCV_R,FR,2012-01-01,51
PC,RCV_R,FR,2014-01-01,53
PC,RCV_R,HR,2010-01-01,26
PC,RCV_R,HR,2012-01-01,37
PC,RCV_R,HR,2014-01-01,50
PC,RCV_R,HU,2010-01-01,36
PC,RCV_R,HU,2012-01-01,35
PC,RCV_R,HU,2014-01-01,40
PC,RCV_R,IE,2010-01-01,36
PC,RCV_R,IE,2012-01-01,37
PC,RCV_R,IE,2014-01-01,44
PC,RCV_R,IT,2010-01-01,60
PC,RCV_R,IT,2012-01-01,64
PC,RCV_R,IT,2014-01-01,67
PC,RCV_R,LT,2010-01-01,50
PC,RCV_R,LT,2012-01-01,51
PC,RCV_R,LT,2014-01-01,57
PC,RCV_R,LU,2010-01-01,87
PC,RCV_R,LU,2012-01-01,77
PC,RCV_R,LU,2014-01-01,62
PC,RCV_R,LV,2010-01-01,39
PC,RCV_R,LV,2012-01-01,58
PC,RCV_R,LV,2014-01-01,61
PC,RCV_R,MT,2010-01-01,23
PC,RCV_R,MT,2012-01-01,29
PC,RCV_R,MT,2014-01-01,28
PC,RCV_R,NL,2010-01-01,71
PC,RCV_R,NL,2012-01-01,71
PC,RCV_R,NL,2014-01-01,72
PC,RCV_R,PL,2010-01-01,58
PC,RCV_R,PL,2012-01-01,55
PC,RCV_R,PL,2014-01-01,60
PC,RCV_R,PT,2010-01-01,45
PC,RCV_R,PT,2012-01-01,47
PC,RCV_R,PT,2014-01-01,53
PC,RCV_R,RO,2010-01-01,33
PC,RCV_R,RO,2012-01-01,35
PC,RCV_R,RO,2014-01-01,32
PC,RCV_R,SE,2010-01-01,51
PC,RCV_R,SE,2012-01-01,53
PC,RCV_R,SE,2014-01-01,51
PC,RCV_R,SI,2010-01-01,52
PC,RCV_R,SI,2012-01-01,74
PC,RCV_R,SI,2014-01-01,75
PC,RCV_R,SK,2010-01-01,38
PC,RCV_R,SK,2012-01-01,40
PC,RCV_R,SK,2014-01-01,40
PC,RCV_R,UK,2010-01-01,60
PC,RCV_R,UK,2012-01-01,59
PC,RCV_R,UK,2014-01-01,59
