indic_bt,nace_r2,s_adj,unit,geotime,date,value
PRIN,MIG_NRG,NSA,I2015_NSA,CZ,2018-07-01,102.2 
PRIN,MIG_NRG,NSA,I2015_NSA,CZ,2018-08-01,102.6 
PRIN,MIG_NRG,NSA,I2015_NSA,CZ,2018-09-01,103.3 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2017-10-01,97.0 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2017-11-01,97.9 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2017-12-01,98.3 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-01-01,98.6 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-02-01,98.1 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-03-01,98.1 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-04-01,99.1 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-05-01,100.5 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-06-01,101.3 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-07-01,102.1 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-08-01,102.8 
PRIN,MIG_NRG,NSA,I2015_NSA,DE,2018-09-01,104.9 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2017-10-01,98.4 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2017-11-01,105.7 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2017-12-01,101.8 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-01-01,106.0 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-02-01,110.6 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-03-01,112.1 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-04-01,112.3 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-05-01,117.9 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-06-01,129.0 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-07-01,132.9 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-08-01,137.1 
PRIN,MIG_NRG,NSA,I2015_NSA,DK,2018-09-01,132.5 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2017-10-01,99.1 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2017-11-01,101.4 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2017-12-01,101.7 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-01-01,102.3 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-02-01,102.1 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-03-01,101.7 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-04-01,101.2 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-05-01,103.8 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-06-01,104.8 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-07-01,107.3 
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-08-01,108.3 s
PRIN,MIG_NRG,NSA,I2015_NSA,EA19,2018-09-01,
PRIN,MIG_NRG,NSA,I2015_NSA,EE,2017-10-01,100.2 
