unit,co_nco,na_item,finpos,sector,geotime,date,value
MIO_NAC,NCO,F4,LIAB,S11,AT,1995-01-01,116117
MIO_NAC,NCO,F4,LIAB,S11,AT,1996-01-01,122668
MIO_NAC,NCO,F4,LIAB,S11,AT,1997-01-01,130334
MIO_NAC,NCO,F4,LIAB,S11,AT,1998-01-01,138521
MIO_NAC,NCO,F4,LIAB,S11,AT,1999-01-01,149945
MIO_NAC,NCO,F4,LIAB,S11,AT,2000-01-01,169249
MIO_NAC,NCO,F4,LIAB,S11,AT,2001-01-01,180353
MIO_NAC,NCO,F4,LIAB,S11,AT,2002-01-01,183773
MIO_NAC,NCO,F4,LIAB,S11,AT,2003-01-01,189613
MIO_NAC,NCO,F4,LIAB,S11,AT,2004-01-01,188318
MIO_NAC,NCO,F4,LIAB,S11,AT,2005-01-01,191601
MIO_NAC,NCO,F4,LIAB,S11,AT,2006-01-01,204287
MIO_NAC,NCO,F4,LIAB,S11,AT,2007-01-01,229519
MIO_NAC,NCO,F4,LIAB,S11,AT,2008-01-01,243325
MIO_NAC,NCO,F4,LIAB,S11,AT,2009-01-01,235598
MIO_NAC,NCO,F4,LIAB,S11,AT,2010-01-01,244953
MIO_NAC,NCO,F4,LIAB,S11,AT,2011-01-01,251408
MIO_NAC,NCO,F4,LIAB,S11,AT,2012-01-01,
MIO_NAC,NCO,F4,LIAB,S11,AT,2013-01-01,
MIO_NAC,NCO,F4,LIAB,S11,AT,2014-01-01,
MIO_NAC,NCO,F4,LIAB,S11,AT,2015-01-01,
MIO_NAC,NCO,F4,LIAB,S11,AT,2016-01-01,
MIO_NAC,NCO,F4,LIAB,S11,AT,2017-01-01,297935
MIO_NAC,NCO,F4,LIAB,S11,BE,1995-01-01,137014
MIO_NAC,NCO,F4,LIAB,S11,BE,1996-01-01,143057
MIO_NAC,NCO,F4,LIAB,S11,BE,1997-01-01,163423
MIO_NAC,NCO,F4,LIAB,S11,BE,1998-01-01,183212
MIO_NAC,NCO,F4,LIAB,S11,BE,1999-01-01,220103
MIO_NAC,NCO,F4,LIAB,S11,BE,2000-01-01,260194
MIO_NAC,NCO,F4,LIAB,S11,BE,2001-01-01,288564
MIO_NAC,NCO,F4,LIAB,S11,BE,2002-01-01,290104
MIO_NAC,NCO,F4,LIAB,S11,BE,2003-01-01,315196
MIO_NAC,NCO,F4,LIAB,S11,BE,2004-01-01,336651
MIO_NAC,NCO,F4,LIAB,S11,BE,2005-01-01,341328
MIO_NAC,NCO,F4,LIAB,S11,BE,2006-01-01,357128
MIO_NAC,NCO,F4,LIAB,S11,BE,2007-01-01,407882
MIO_NAC,NCO,F4,LIAB,S11,BE,2008-01-01,483781
MIO_NAC,NCO,F4,LIAB,S11,BE,2009-01-01,492426
MIO_NAC,NCO,F4,LIAB,S11,BE,2010-01-01,472487
MIO_NAC,NCO,F4,LIAB,S11,BE,2011-01-01,516346
MIO_NAC,NCO,F4,LIAB,S11,BE,2012-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BE,2013-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BE,2014-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BE,2015-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BE,2016-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BE,2017-01-01,635983
MIO_NAC,NCO,F4,LIAB,S11,BG,1995-01-01,386
MIO_NAC,NCO,F4,LIAB,S11,BG,1996-01-01,1105
MIO_NAC,NCO,F4,LIAB,S11,BG,1997-01-01,1901
MIO_NAC,NCO,F4,LIAB,S11,BG,1998-01-01,2597
MIO_NAC,NCO,F4,LIAB,S11,BG,1999-01-01,4508
MIO_NAC,NCO,F4,LIAB,S11,BG,2000-01-01,8982
MIO_NAC,NCO,F4,LIAB,S11,BG,2001-01-01,13173
MIO_NAC,NCO,F4,LIAB,S11,BG,2002-01-01,13870
MIO_NAC,NCO,F4,LIAB,S11,BG,2003-01-01,17972
MIO_NAC,NCO,F4,LIAB,S11,BG,2004-01-01,24610
MIO_NAC,NCO,F4,LIAB,S11,BG,2005-01-01,33856
MIO_NAC,NCO,F4,LIAB,S11,BG,2006-01-01,40351
MIO_NAC,NCO,F4,LIAB,S11,BG,2007-01-01,63951
MIO_NAC,NCO,F4,LIAB,S11,BG,2008-01-01,78331
MIO_NAC,NCO,F4,LIAB,S11,BG,2009-01-01,83245
MIO_NAC,NCO,F4,LIAB,S11,BG,2010-01-01,84378
MIO_NAC,NCO,F4,LIAB,S11,BG,2011-01-01,87036
MIO_NAC,NCO,F4,LIAB,S11,BG,2012-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BG,2013-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BG,2014-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BG,2015-01-01,
MIO_NAC,NCO,F4,LIAB,S11,BG,2016-01-01,
