na_item,s_adj,unit,geotime,date,value
NULC_PER,NSA,I10,AT,1995-01-01,
NULC_PER,NSA,I10,AT,1995-04-01,
NULC_PER,NSA,I10,AT,1995-07-01,
NULC_PER,NSA,I10,AT,1995-10-01,
NULC_PER,NSA,I10,AT,1996-01-01,87.9
NULC_PER,NSA,I10,AT,1996-04-01,88.6
NULC_PER,NSA,I10,AT,1996-07-01,85.0
NULC_PER,NSA,I10,AT,1996-10-01,85.8
NULC_PER,NSA,I10,AT,1997-01-01,87.1
NULC_PER,NSA,I10,AT,1997-04-01,88.8
NULC_PER,NSA,I10,AT,1997-07-01,84.9
NULC_PER,NSA,I10,AT,1997-10-01,84.7
NULC_PER,NSA,I10,AT,1998-01-01,86.9
NULC_PER,NSA,I10,AT,1998-04-01,88.2
NULC_PER,NSA,I10,AT,1998-07-01,84.8
NULC_PER,NSA,I10,AT,1998-10-01,85.9
NULC_PER,NSA,I10,AT,1999-01-01,87.9
NULC_PER,NSA,I10,AT,1999-04-01,88.5
NULC_PER,NSA,I10,AT,1999-07-01,84.2
NULC_PER,NSA,I10,AT,1999-10-01,85.0
NULC_PER,NSA,I10,AT,2000-01-01,86.7
NULC_PER,NSA,I10,AT,2000-04-01,88.5
NULC_PER,NSA,I10,AT,2000-07-01,84.8
NULC_PER,NSA,I10,AT,2000-10-01,85.1
NULC_PER,NSA,I10,AT,2001-01-01,86.6
NULC_PER,NSA,I10,AT,2001-04-01,89.4
NULC_PER,NSA,I10,AT,2001-07-01,86.0
NULC_PER,NSA,I10,AT,2001-10-01,86.4
NULC_PER,NSA,I10,AT,2002-01-01,87.0
NULC_PER,NSA,I10,AT,2002-04-01,89.8
NULC_PER,NSA,I10,AT,2002-07-01,86.1
NULC_PER,NSA,I10,AT,2002-10-01,86.6
NULC_PER,NSA,I10,AT,2003-01-01,88.5
NULC_PER,NSA,I10,AT,2003-04-01,90.9
NULC_PER,NSA,I10,AT,2003-07-01,87.1
NULC_PER,NSA,I10,AT,2003-10-01,88.0
NULC_PER,NSA,I10,AT,2004-01-01,88.7
NULC_PER,NSA,I10,AT,2004-04-01,91.0
NULC_PER,NSA,I10,AT,2004-07-01,86.9
NULC_PER,NSA,I10,AT,2004-10-01,87.8
NULC_PER,NSA,I10,AT,2005-01-01,90.1
NULC_PER,NSA,I10,AT,2005-04-01,91.2
NULC_PER,NSA,I10,AT,2005-07-01,88.0
NULC_PER,NSA,I10,AT,2005-10-01,88.6
NULC_PER,NSA,I10,AT,2006-01-01,90.4
NULC_PER,NSA,I10,AT,2006-04-01,93.3
NULC_PER,NSA,I10,AT,2006-07-01,89.4
NULC_PER,NSA,I10,AT,2006-10-01,89.6
NULC_PER,NSA,I10,AT,2007-01-01,91.2
NULC_PER,NSA,I10,AT,2007-04-01,93.6
NULC_PER,NSA,I10,AT,2007-07-01,90.7
NULC_PER,NSA,I10,AT,2007-10-01,91.3
NULC_PER,NSA,I10,AT,2008-01-01,93.4
NULC_PER,NSA,I10,AT,2008-04-01,96.9
NULC_PER,NSA,I10,AT,2008-07-01,93.8
NULC_PER,NSA,I10,AT,2008-10-01,96.2
NULC_PER,NSA,I10,AT,2009-01-01,100.6
NULC_PER,NSA,I10,AT,2009-04-01,103.9
NULC_PER,NSA,I10,AT,2009-07-01,98.1
NULC_PER,NSA,I10,AT,2009-10-01,97.3
NULC_PER,NSA,I10,AT,2010-01-01,101.3
NULC_PER,NSA,I10,AT,2010-04-01,103.3
NULC_PER,NSA,I10,AT,2010-07-01,97.3
NULC_PER,NSA,I10,AT,2010-10-01,98.0
NULC_PER,NSA,I10,AT,2011-01-01,99.3
NULC_PER,NSA,I10,AT,2011-04-01,103.4
NULC_PER,NSA,I10,AT,2011-07-01,99.2
NULC_PER,NSA,I10,AT,2011-10-01,100.6
NULC_PER,NSA,I10,AT,2012-01-01,101.7
NULC_PER,NSA,I10,AT,2012-04-01,107.2
NULC_PER,NSA,I10,AT,2012-07-01,102.5
NULC_PER,NSA,I10,AT,2012-10-01,103.4
NULC_PER,NSA,I10,AT,2013-01-01,105.2
NULC_PER,NSA,I10,AT,2013-04-01,110.6
NULC_PER,NSA,I10,AT,2013-07-01,104.8
NULC_PER,NSA,I10,AT,2013-10-01,104.9
NULC_PER,NSA,I10,AT,2014-01-01,107.6
NULC_PER,NSA,I10,AT,2014-04-01,112.9
NULC_PER,NSA,I10,AT,2014-07-01,107.0
NULC_PER,NSA,I10,AT,2014-10-01,107.0
NULC_PER,NSA,I10,AT,2015-01-01,109.3
NULC_PER,NSA,I10,AT,2015-04-01,114.1
NULC_PER,NSA,I10,AT,2015-07-01,108.4
NULC_PER,NSA,I10,AT,2015-10-01,109.0
NULC_PER,NSA,I10,AT,2016-01-01,110.8
NULC_PER,NSA,I10,AT,2016-04-01,115.6
NULC_PER,NSA,I10,AT,2016-07-01,110.7
NULC_PER,NSA,I10,AT,2016-10-01,110.7
NULC_PER,NSA,I10,AT,2017-01-01,111.3
NULC_PER,NSA,I10,AT,2017-04-01,116.7
NULC_PER,NSA,I10,AT,2017-07-01,111.0
NULC_PER,NSA,I10,AT,2017-10-01,111.9
NULC_PER,NSA,I10,AT,2018-01-01,111.8
NULC_PER,NSA,I10,AT,2018-04-01,118.7
NULC_PER,NSA,I10,BE,1995-01-01,79.1
NULC_PER,NSA,I10,BE,1995-04-01,82.4
NULC_PER,NSA,I10,BE,1995-07-01,75.3
NULC_PER,NSA,I10,BE,1995-10-01,85.0
NULC_PER,NSA,I10,BE,1996-01-01,79.0
NULC_PER,NSA,I10,BE,1996-04-01,83.2
NULC_PER,NSA,I10,BE,1996-07-01,76.3
NULC_PER,NSA,I10,BE,1996-10-01,85.1
NULC_PER,NSA,I10,BE,1997-01-01,80.6
NULC_PER,NSA,I10,BE,1997-04-01,82.9
NULC_PER,NSA,I10,BE,1997-07-01,75.9
NULC_PER,NSA,I10,BE,1997-10-01,84.4
NULC_PER,NSA,I10,BE,1998-01-01,80.4
NULC_PER,NSA,I10,BE,1998-04-01,83.1
NULC_PER,NSA,I10,BE,1998-07-01,77.4
NULC_PER,NSA,I10,BE,1998-10-01,86.6
NULC_PER,NSA,I10,BE,1999-01-01,81.9
NULC_PER,NSA,I10,BE,1999-04-01,84.5
NULC_PER,NSA,I10,BE,1999-07-01,78.1
NULC_PER,NSA,I10,BE,1999-10-01,87.1
NULC_PER,NSA,I10,BE,2000-01-01,82.2
NULC_PER,NSA,I10,BE,2000-04-01,84.4
NULC_PER,NSA,I10,BE,2000-07-01,78.3
NULC_PER,NSA,I10,BE,2000-10-01,87.9
NULC_PER,NSA,I10,BE,2001-01-01,83.6
NULC_PER,NSA,I10,BE,2001-04-01,87.7
NULC_PER,NSA,I10,BE,2001-07-01,82.6
NULC_PER,NSA,I10,BE,2001-10-01,93.0
NULC_PER,NSA,I10,BE,2002-01-01,87.4
NULC_PER,NSA,I10,BE,2002-04-01,90.6
NULC_PER,NSA,I10,BE,2002-07-01,83.1
NULC_PER,NSA,I10,BE,2002-10-01,92.5
NULC_PER,NSA,I10,BE,2003-01-01,87.1
NULC_PER,NSA,I10,BE,2003-04-01,91.2
NULC_PER,NSA,I10,BE,2003-07-01,84.8
NULC_PER,NSA,I10,BE,2003-10-01,94.2
NULC_PER,NSA,I10,BE,2004-01-01,87.5
NULC_PER,NSA,I10,BE,2004-04-01,90.1
NULC_PER,NSA,I10,BE,2004-07-01,83.0
NULC_PER,NSA,I10,BE,2004-10-01,93.8
NULC_PER,NSA,I10,BE,2005-01-01,87.6
NULC_PER,NSA,I10,BE,2005-04-01,91.3
NULC_PER,NSA,I10,BE,2005-07-01,85.0
NULC_PER,NSA,I10,BE,2005-10-01,94.6
NULC_PER,NSA,I10,BE,2006-01-01,89.9
NULC_PER,NSA,I10,BE,2006-04-01,93.8
NULC_PER,NSA,I10,BE,2006-07-01,86.1
NULC_PER,NSA,I10,BE,2006-10-01,96.5
NULC_PER,NSA,I10,BE,2007-01-01,91.3
NULC_PER,NSA,I10,BE,2007-04-01,95.4
NULC_PER,NSA,I10,BE,2007-07-01,87.4
NULC_PER,NSA,I10,BE,2007-10-01,98.6
NULC_PER,NSA,I10,BE,2008-01-01,94.0
NULC_PER,NSA,I10,BE,2008-04-01,97.8
NULC_PER,NSA,I10,BE,2008-07-01,92.2
NULC_PER,NSA,I10,BE,2008-10-01,106.3
NULC_PER,NSA,I10,BE,2009-01-01,100.2
NULC_PER,NSA,I10,BE,2009-04-01,103.4
NULC_PER,NSA,I10,BE,2009-07-01,94.1
NULC_PER,NSA,I10,BE,2009-10-01,105.2
NULC_PER,NSA,I10,BE,2010-01-01,98.2
NULC_PER,NSA,I10,BE,2010-04-01,102.0
NULC_PER,NSA,I10,BE,2010-07-01,93.6
NULC_PER,NSA,I10,BE,2010-10-01,106.1
NULC_PER,NSA,I10,BE,2011-01-01,100.6
NULC_PER,NSA,I10,BE,2011-04-01,104.3
NULC_PER,NSA,I10,BE,2011-07-01,96.9
NULC_PER,NSA,I10,BE,2011-10-01,109.0
NULC_PER,NSA,I10,BE,2012-01-01,103.5
NULC_PER,NSA,I10,BE,2012-04-01,108.5
NULC_PER,NSA,I10,BE,2012-07-01,99.8
NULC_PER,NSA,I10,BE,2012-10-01,112.8
NULC_PER,NSA,I10,BE,2013-01-01,106.7
NULC_PER,NSA,I10,BE,2013-04-01,110.7
NULC_PER,NSA,I10,BE,2013-07-01,101.8
NULC_PER,NSA,I10,BE,2013-10-01,114.1
NULC_PER,NSA,I10,BE,2014-01-01,107.6
NULC_PER,NSA,I10,BE,2014-04-01,110.3
NULC_PER,NSA,I10,BE,2014-07-01,101.8
NULC_PER,NSA,I10,BE,2014-10-01,113.8
NULC_PER,NSA,I10,BE,2015-01-01,106.9
NULC_PER,NSA,I10,BE,2015-04-01,110.4
NULC_PER,NSA,I10,BE,2015-07-01,100.9
NULC_PER,NSA,I10,BE,2015-10-01,113.1
NULC_PER,NSA,I10,BE,2016-01-01,107.1
NULC_PER,NSA,I10,BE,2016-04-01,109.9
NULC_PER,NSA,I10,BE,2016-07-01,101.1
NULC_PER,NSA,I10,BE,2016-10-01,112.9
NULC_PER,NSA,I10,BE,2017-01-01,107.3
NULC_PER,NSA,I10,BE,2017-04-01,112.3
NULC_PER,NSA,I10,BE,2017-07-01,103.2
NULC_PER,NSA,I10,BE,2017-10-01,115.1
NULC_PER,NSA,I10,BE,2018-01-01,109.0
NULC_PER,NSA,I10,BE,2018-04-01,114.1
NULC_PER,NSA,I10,BG,1995-01-01,1.7
NULC_PER,NSA,I10,BG,1995-04-01,1.8
NULC_PER,NSA,I10,BG,1995-07-01,1.9
NULC_PER,NSA,I10,BG,1995-10-01,1.9
NULC_PER,NSA,I10,BG,1996-01-01,1.4
NULC_PER,NSA,I10,BG,1996-04-01,1.9
NULC_PER,NSA,I10,BG,1996-07-01,3.1
NULC_PER,NSA,I10,BG,1996-10-01,5.2
NULC_PER,NSA,I10,BG,1997-01-01,18.0
NULC_PER,NSA,I10,BG,1997-04-01,34.9
NULC_PER,NSA,I10,BG,1997-07-01,38.8
NULC_PER,NSA,I10,BG,1997-10-01,39.8
NULC_PER,NSA,I10,BG,1998-01-01,50.9
NULC_PER,NSA,I10,BG,1998-04-01,59.7
NULC_PER,NSA,I10,BG,1998-07-01,47.8
NULC_PER,NSA,I10,BG,1998-10-01,46.2
NULC_PER,NSA,I10,BG,1999-01-01,58.7
NULC_PER,NSA,I10,BG,1999-04-01,64.6
NULC_PER,NSA,I10,BG,1999-07-01,52.1
