age,sex,hhtyp,indic_il,workint,geotime,date,value
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2006-01-01,33.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2007-01-01,34.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2008-01-01,38.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2009-01-01,32.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2010-01-01,33.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2011-01-01,41.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2012-01-01,39.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2013-01-01,36.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2014-01-01,49.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2015-01-01,50.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2016-01-01,47.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,CZ,2017-01-01,50.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2006-01-01,46.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2007-01-01,53.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2008-01-01,62.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2009-01-01,68.1
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2010-01-01,65.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2011-01-01,69.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2012-01-01,68.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2013-01-01,68.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2014-01-01,69.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2015-01-01,71.8
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2016-01-01,69.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DE,2017-01-01,71.4
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2006-01-01,41.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2007-01-01,43.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2008-01-01,41.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2009-01-01,39.6
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2010-01-01,40.3
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2011-01-01,40.5
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2012-01-01,42.0
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2013-01-01,44.9
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2014-01-01,49.2
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2015-01-01,49.7
Y_LT60,T,HH_NDCH,LI_R_MD60,WI0-02,DK,2016-01-01,52.9
