age,indic_il,sex,wstatus,geotime,date,value
Y_GE18,LI_R_MD60,T,EMP,DE,2010-01-01,7.2
Y_GE18,LI_R_MD60,T,EMP,DE,2011-01-01,7.7
Y_GE18,LI_R_MD60,T,EMP,DE,2012-01-01,7.8
Y_GE18,LI_R_MD60,T,EMP,DE,2013-01-01,8.6
Y_GE18,LI_R_MD60,T,EMP,DE,2014-01-01,9.9
Y_GE18,LI_R_MD60,T,EMP,DE,2015-01-01,9.7
Y_GE18,LI_R_MD60,T,EMP,DE,2016-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,DE,2017-01-01,9.1
Y_GE18,LI_R_MD60,T,EMP,DK,2006-01-01,4.5
Y_GE18,LI_R_MD60,T,EMP,DK,2007-01-01,4.1
Y_GE18,LI_R_MD60,T,EMP,DK,2008-01-01,5.0
Y_GE18,LI_R_MD60,T,EMP,DK,2009-01-01,5.9
Y_GE18,LI_R_MD60,T,EMP,DK,2010-01-01,6.5
Y_GE18,LI_R_MD60,T,EMP,DK,2011-01-01,6.3
Y_GE18,LI_R_MD60,T,EMP,DK,2012-01-01,5.2
Y_GE18,LI_R_MD60,T,EMP,DK,2013-01-01,5.5
Y_GE18,LI_R_MD60,T,EMP,DK,2014-01-01,4.9
Y_GE18,LI_R_MD60,T,EMP,DK,2015-01-01,5.5
Y_GE18,LI_R_MD60,T,EMP,DK,2016-01-01,5.3
Y_GE18,LI_R_MD60,T,EMP,DK,2017-01-01,5.3
Y_GE18,LI_R_MD60,T,EMP,EA18,2006-01-01,7.3
Y_GE18,LI_R_MD60,T,EMP,EA18,2007-01-01,7.9
Y_GE18,LI_R_MD60,T,EMP,EA18,2008-01-01,8.1
Y_GE18,LI_R_MD60,T,EMP,EA18,2009-01-01,8.2
Y_GE18,LI_R_MD60,T,EMP,EA18,2010-01-01,8.0
Y_GE18,LI_R_MD60,T,EMP,EA18,2011-01-01,8.5
Y_GE18,LI_R_MD60,T,EMP,EA18,2012-01-01,8.6
Y_GE18,LI_R_MD60,T,EMP,EA18,2013-01-01,8.7
Y_GE18,LI_R_MD60,T,EMP,EA18,2014-01-01,9.4
Y_GE18,LI_R_MD60,T,EMP,EA18,2015-01-01,9.4
Y_GE18,LI_R_MD60,T,EMP,EA18,2016-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,EA18,2017-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,EA19,2006-01-01,7.3
Y_GE18,LI_R_MD60,T,EMP,EA19,2007-01-01,7.9
Y_GE18,LI_R_MD60,T,EMP,EA19,2008-01-01,8.1
Y_GE18,LI_R_MD60,T,EMP,EA19,2009-01-01,8.2
Y_GE18,LI_R_MD60,T,EMP,EA19,2010-01-01,8.0
Y_GE18,LI_R_MD60,T,EMP,EA19,2011-01-01,8.5
Y_GE18,LI_R_MD60,T,EMP,EA19,2012-01-01,8.6
Y_GE18,LI_R_MD60,T,EMP,EA19,2013-01-01,8.7
Y_GE18,LI_R_MD60,T,EMP,EA19,2014-01-01,9.4
Y_GE18,LI_R_MD60,T,EMP,EA19,2015-01-01,9.4
Y_GE18,LI_R_MD60,T,EMP,EA19,2016-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,EA19,2017-01-01,9.4
Y_GE18,LI_R_MD60,T,EMP,EE,2006-01-01,7.5
Y_GE18,LI_R_MD60,T,EMP,EE,2007-01-01,7.8
Y_GE18,LI_R_MD60,T,EMP,EE,2008-01-01,7.3
Y_GE18,LI_R_MD60,T,EMP,EE,2009-01-01,8.1
Y_GE18,LI_R_MD60,T,EMP,EE,2010-01-01,6.5
Y_GE18,LI_R_MD60,T,EMP,EE,2011-01-01,7.9
Y_GE18,LI_R_MD60,T,EMP,EE,2012-01-01,8.3
Y_GE18,LI_R_MD60,T,EMP,EE,2013-01-01,7.6
Y_GE18,LI_R_MD60,T,EMP,EE,2014-01-01,11.8
Y_GE18,LI_R_MD60,T,EMP,EE,2015-01-01,10.0
Y_GE18,LI_R_MD60,T,EMP,EE,2016-01-01,9.6
Y_GE18,LI_R_MD60,T,EMP,EE,2017-01-01,9.3
Y_GE18,LI_R_MD60,T,EMP,EL,2006-01-01,13.8
Y_GE18,LI_R_MD60,T,EMP,EL,2007-01-01,14.2
Y_GE18,LI_R_MD60,T,EMP,EL,2008-01-01,14.3
Y_GE18,LI_R_MD60,T,EMP,EL,2009-01-01,13.8
Y_GE18,LI_R_MD60,T,EMP,EL,2010-01-01,13.8
Y_GE18,LI_R_MD60,T,EMP,EL,2011-01-01,11.9
Y_GE18,LI_R_MD60,T,EMP,EL,2012-01-01,15.1
Y_GE18,LI_R_MD60,T,EMP,EL,2013-01-01,13.1
Y_GE18,LI_R_MD60,T,EMP,EL,2014-01-01,13.4
Y_GE18,LI_R_MD60,T,EMP,EL,2015-01-01,13.4
Y_GE18,LI_R_MD60,T,EMP,EL,2016-01-01,14.1
Y_GE18,LI_R_MD60,T,EMP,EL,2017-01-01,12.9
Y_GE18,LI_R_MD60,T,EMP,ES,2006-01-01,10.1
Y_GE18,LI_R_MD60,T,EMP,ES,2007-01-01,10.2
Y_GE18,LI_R_MD60,T,EMP,ES,2008-01-01,11.3
Y_GE18,LI_R_MD60,T,EMP,ES,2009-01-01,11.7
Y_GE18,LI_R_MD60,T,EMP,ES,2010-01-01,10.9
Y_GE18,LI_R_MD60,T,EMP,ES,2011-01-01,10.9
Y_GE18,LI_R_MD60,T,EMP,ES,2012-01-01,10.8
Y_GE18,LI_R_MD60,T,EMP,ES,2013-01-01,10.5
Y_GE18,LI_R_MD60,T,EMP,ES,2014-01-01,12.5
Y_GE18,LI_R_MD60,T,EMP,ES,2015-01-01,13.1
Y_GE18,LI_R_MD60,T,EMP,ES,2016-01-01,13.1
Y_GE18,LI_R_MD60,T,EMP,ES,2017-01-01,13.1
Y_GE18,LI_R_MD60,T,EMP,EU27,2006-01-01,8.1
Y_GE18,LI_R_MD60,T,EMP,EU27,2007-01-01,8.3
Y_GE18,LI_R_MD60,T,EMP,EU27,2008-01-01,8.6
Y_GE18,LI_R_MD60,T,EMP,EU27,2009-01-01,8.4
Y_GE18,LI_R_MD60,T,EMP,EU27,2010-01-01,8.3
Y_GE18,LI_R_MD60,T,EMP,EU27,2011-01-01,8.8
Y_GE18,LI_R_MD60,T,EMP,EU27,2012-01-01,9.0
Y_GE18,LI_R_MD60,T,EMP,EU27,2013-01-01,9.0
Y_GE18,LI_R_MD60,T,EMP,EU27,2014-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,EU27,2015-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,EU27,2016-01-01,9.6
Y_GE18,LI_R_MD60,T,EMP,EU27,2017-01-01,9.6
Y_GE18,LI_R_MD60,T,EMP,EU28,2006-01-01,
Y_GE18,LI_R_MD60,T,EMP,EU28,2007-01-01,
Y_GE18,LI_R_MD60,T,EMP,EU28,2008-01-01,
Y_GE18,LI_R_MD60,T,EMP,EU28,2009-01-01,
Y_GE18,LI_R_MD60,T,EMP,EU28,2010-01-01,8.3
Y_GE18,LI_R_MD60,T,EMP,EU28,2011-01-01,8.8
Y_GE18,LI_R_MD60,T,EMP,EU28,2012-01-01,8.9
Y_GE18,LI_R_MD60,T,EMP,EU28,2013-01-01,9.0
Y_GE18,LI_R_MD60,T,EMP,EU28,2014-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,EU28,2015-01-01,9.5
Y_GE18,LI_R_MD60,T,EMP,EU28,2016-01-01,9.6
Y_GE18,LI_R_MD60,T,EMP,EU28,2017-01-01,9.6
Y_GE18,LI_R_MD60,T,EMP,FI,2006-01-01,4.5
Y_GE18,LI_R_MD60,T,EMP,FI,2007-01-01,5.0
Y_GE18,LI_R_MD60,T,EMP,FI,2008-01-01,5.1
Y_GE18,LI_R_MD60,T,EMP,FI,2009-01-01,3.7
Y_GE18,LI_R_MD60,T,EMP,FI,2010-01-01,3.7
Y_GE18,LI_R_MD60,T,EMP,FI,2011-01-01,3.9
Y_GE18,LI_R_MD60,T,EMP,FI,2012-01-01,3.8
Y_GE18,LI_R_MD60,T,EMP,FI,2013-01-01,3.7
Y_GE18,LI_R_MD60,T,EMP,FI,2014-01-01,3.7
Y_GE18,LI_R_MD60,T,EMP,FI,2015-01-01,3.5
Y_GE18,LI_R_MD60,T,EMP,FI,2016-01-01,3.1
Y_GE18,LI_R_MD60,T,EMP,FI,2017-01-01,2.7
Y_GE18,LI_R_MD60,T,EMP,FR,2006-01-01,6.0
Y_GE18,LI_R_MD60,T,EMP,FR,2007-01-01,6.5
Y_GE18,LI_R_MD60,T,EMP,FR,2008-01-01,6.5
Y_GE18,LI_R_MD60,T,EMP,FR,2009-01-01,6.6
Y_GE18,LI_R_MD60,T,EMP,FR,2010-01-01,6.5
Y_GE18,LI_R_MD60,T,EMP,FR,2011-01-01,7.6
Y_GE18,LI_R_MD60,T,EMP,FR,2012-01-01,8.0
Y_GE18,LI_R_MD60,T,EMP,FR,2013-01-01,7.8
Y_GE18,LI_R_MD60,T,EMP,FR,2014-01-01,8.0
Y_GE18,LI_R_MD60,T,EMP,FR,2015-01-01,7.5
Y_GE18,LI_R_MD60,T,EMP,FR,2016-01-01,7.9
Y_GE18,LI_R_MD60,T,EMP,FR,2017-01-01,7.4
Y_GE18,LI_R_MD60,T,EMP,HR,2006-01-01,
Y_GE18,LI_R_MD60,T,EMP,HR,2007-01-01,
Y_GE18,LI_R_MD60,T,EMP,HR,2008-01-01,
Y_GE18,LI_R_MD60,T,EMP,HR,2009-01-01,
Y_GE18,LI_R_MD60,T,EMP,HR,2010-01-01,6.3
Y_GE18,LI_R_MD60,T,EMP,HR,2011-01-01,6.6
Y_GE18,LI_R_MD60,T,EMP,HR,2012-01-01,6.0
Y_GE18,LI_R_MD60,T,EMP,HR,2013-01-01,6.2
Y_GE18,LI_R_MD60,T,EMP,HR,2014-01-01,5.7
Y_GE18,LI_R_MD60,T,EMP,HR,2015-01-01,5.9
Y_GE18,LI_R_MD60,T,EMP,HR,2016-01-01,5.6
Y_GE18,LI_R_MD60,T,EMP,HR,2017-01-01,
Y_GE18,LI_R_MD60,T,EMP,HU,2006-01-01,6.8
Y_GE18,LI_R_MD60,T,EMP,HU,2007-01-01,5.8
Y_GE18,LI_R_MD60,T,EMP,HU,2008-01-01,5.8
Y_GE18,LI_R_MD60,T,EMP,HU,2009-01-01,6.2
Y_GE18,LI_R_MD60,T,EMP,HU,2010-01-01,5.3
Y_GE18,LI_R_MD60,T,EMP,HU,2011-01-01,6.2
Y_GE18,LI_R_MD60,T,EMP,HU,2012-01-01,5.7
Y_GE18,LI_R_MD60,T,EMP,HU,2013-01-01,7.0
Y_GE18,LI_R_MD60,T,EMP,HU,2014-01-01,6.7
Y_GE18,LI_R_MD60,T,EMP,HU,2015-01-01,9.3
Y_GE18,LI_R_MD60,T,EMP,HU,2016-01-01,9.6
Y_GE18,LI_R_MD60,T,EMP,HU,2017-01-01,10.2
Y_GE18,LI_R_MD60,T,EMP,IE,2006-01-01,6.2
Y_GE18,LI_R_MD60,T,EMP,IE,2007-01-01,5.6
Y_GE18,LI_R_MD60,T,EMP,IE,2008-01-01,6.5
Y_GE18,LI_R_MD60,T,EMP,IE,2009-01-01,5.3
Y_GE18,LI_R_MD60,T,EMP,IE,2010-01-01,5.5
Y_GE18,LI_R_MD60,T,EMP,IE,2011-01-01,5.6
Y_GE18,LI_R_MD60,T,EMP,IE,2012-01-01,5.6
Y_GE18,LI_R_MD60,T,EMP,IE,2013-01-01,5.0
Y_GE18,LI_R_MD60,T,EMP,IE,2014-01-01,5.4
Y_GE18,LI_R_MD60,T,EMP,IE,2015-01-01,4.8
Y_GE18,LI_R_MD60,T,EMP,IE,2016-01-01,4.8
Y_GE18,LI_R_MD60,T,EMP,IE,2017-01-01,
Y_GE18,LI_R_MD60,T,EMP,IS,2006-01-01,6.6
Y_GE18,LI_R_MD60,T,EMP,IS,2007-01-01,7.0
Y_GE18,LI_R_MD60,T,EMP,IS,2008-01-01,6.7
Y_GE18,LI_R_MD60,T,EMP,IS,2009-01-01,7.7
