unit,vehicle,geotime,date,value
PC,BUS_TOT,DK,2001-01-01,11
PC,BUS_TOT,DK,2002-01-01,11
PC,BUS_TOT,DK,2003-01-01,11
PC,BUS_TOT,DK,2004-01-01,11
PC,BUS_TOT,DK,2005-01-01,11
PC,BUS_TOT,DK,2006-01-01,11
PC,BUS_TOT,DK,2007-01-01,10
PC,BUS_TOT,DK,2008-01-01,10
PC,BUS_TOT,DK,2009-01-01,10
PC,BUS_TOT,DK,2010-01-01,10
PC,BUS_TOT,DK,2011-01-01,10
PC,BUS_TOT,DK,2012-01-01,9
PC,BUS_TOT,DK,2013-01-01,9
PC,BUS_TOT,DK,2014-01-01,9
PC,BUS_TOT,DK,2015-01-01,9
PC,BUS_TOT,DK,2016-01-01,9
PC,BUS_TOT,EE,2000-01-01,27
PC,BUS_TOT,EE,2001-01-01,26
PC,BUS_TOT,EE,2002-01-01,24
PC,BUS_TOT,EE,2003-01-01,22
PC,BUS_TOT,EE,2004-01-01,23
PC,BUS_TOT,EE,2005-01-01,21
PC,BUS_TOT,EE,2006-01-01,22
PC,BUS_TOT,EE,2007-01-01,20
PC,BUS_TOT,EE,2008-01-01,18
PC,BUS_TOT,EE,2009-01-01,16
PC,BUS_TOT,EE,2010-01-01,16
PC,BUS_TOT,EE,2011-01-01,16
PC,BUS_TOT,EE,2012-01-01,16
PC,BUS_TOT,EE,2013-01-01,17
PC,BUS_TOT,EE,2014-01-01,16
PC,BUS_TOT,EE,2015-01-01,20
PC,BUS_TOT,EE,2016-01-01,17
PC,BUS_TOT,EL,2000-01-01,25
PC,BUS_TOT,EL,2001-01-01,23
PC,BUS_TOT,EL,2002-01-01,23
PC,BUS_TOT,EL,2003-01-01,22
PC,BUS_TOT,EL,2004-01-01,20
PC,BUS_TOT,EL,2005-01-01,20
PC,BUS_TOT,EL,2006-01-01,19
PC,BUS_TOT,EL,2007-01-01,18
PC,BUS_TOT,EL,2008-01-01,17
PC,BUS_TOT,EL,2009-01-01,16
PC,BUS_TOT,EL,2010-01-01,17
PC,BUS_TOT,EL,2011-01-01,17
PC,BUS_TOT,EL,2012-01-01,17
PC,BUS_TOT,EL,2013-01-01,17
PC,BUS_TOT,EL,2014-01-01,17
PC,BUS_TOT,EL,2015-01-01,17
