na_item,nace_r2,unit,geotime,date,value
B1G,J,MIO_EUR_NSA,AL,2015-07-01,81
B1G,J,MIO_EUR_NSA,AL,2015-10-01,96
B1G,J,MIO_EUR_NSA,AL,2016-01-01,72
B1G,J,MIO_EUR_NSA,AL,2016-04-01,76
B1G,J,MIO_EUR_NSA,AL,2016-07-01,81
B1G,J,MIO_EUR_NSA,AL,2016-10-01,101
B1G,J,MIO_EUR_NSA,AL,2017-01-01,76
B1G,J,MIO_EUR_NSA,AL,2017-04-01,83
B1G,J,MIO_EUR_NSA,AL,2017-07-01,88
B1G,J,MIO_EUR_NSA,AL,2017-10-01,97
B1G,J,MIO_EUR_NSA,AL,2018-01-01,75
B1G,J,MIO_EUR_NSA,AL,2018-04-01,84
B1G,J,MIO_EUR_NSA,AT,2015-07-01,2546
B1G,J,MIO_EUR_NSA,AT,2015-10-01,2987
B1G,J,MIO_EUR_NSA,AT,2016-01-01,2795
B1G,J,MIO_EUR_NSA,AT,2016-04-01,2689
B1G,J,MIO_EUR_NSA,AT,2016-07-01,2702
B1G,J,MIO_EUR_NSA,AT,2016-10-01,3140
B1G,J,MIO_EUR_NSA,AT,2017-01-01,2871
B1G,J,MIO_EUR_NSA,AT,2017-04-01,2774
B1G,J,MIO_EUR_NSA,AT,2017-07-01,2802
B1G,J,MIO_EUR_NSA,AT,2017-10-01,3286
B1G,J,MIO_EUR_NSA,AT,2018-01-01,2986
B1G,J,MIO_EUR_NSA,AT,2018-04-01,2873
B1G,J,MIO_EUR_NSA,BE,2015-07-01,3555
B1G,J,MIO_EUR_NSA,BE,2015-10-01,4306
B1G,J,MIO_EUR_NSA,BE,2016-01-01,3820
B1G,J,MIO_EUR_NSA,BE,2016-04-01,3889
B1G,J,MIO_EUR_NSA,BE,2016-07-01,3645
B1G,J,MIO_EUR_NSA,BE,2016-10-01,4294
B1G,J,MIO_EUR_NSA,BE,2017-01-01,3901
B1G,J,MIO_EUR_NSA,BE,2017-04-01,3958
B1G,J,MIO_EUR_NSA,BE,2017-07-01,3819
B1G,J,MIO_EUR_NSA,BE,2017-10-01,4514
B1G,J,MIO_EUR_NSA,BE,2018-01-01,4162
B1G,J,MIO_EUR_NSA,BE,2018-04-01,4251
B1G,J,MIO_EUR_NSA,BG,2015-07-01,596
B1G,J,MIO_EUR_NSA,BG,2015-10-01,589
B1G,J,MIO_EUR_NSA,BG,2016-01-01,580
B1G,J,MIO_EUR_NSA,BG,2016-04-01,602
B1G,J,MIO_EUR_NSA,BG,2016-07-01,682
B1G,J,MIO_EUR_NSA,BG,2016-10-01,700
B1G,J,MIO_EUR_NSA,BG,2017-01-01,534
B1G,J,MIO_EUR_NSA,BG,2017-04-01,598
B1G,J,MIO_EUR_NSA,BG,2017-07-01,768
