sector,s_adj,na_item,unit,geo\time,date,value
S14_S15,NSA,SRG_S14_S15,PC,ES,2015-07-01,3.1
S14_S15,NSA,SRG_S14_S15,PC,ES,2015-10-01,13.4
S14_S15,NSA,SRG_S14_S15,PC,ES,2016-01-01,-0.96 
S14_S15,NSA,SRG_S14_S15,PC,ES,2016-04-01,16.22 
S14_S15,NSA,SRG_S14_S15,PC,ES,2016-07-01,1.68 
S14_S15,NSA,SRG_S14_S15,PC,ES,2016-10-01,12.17 
S14_S15,NSA,SRG_S14_S15,PC,ES,2017-01-01,-4.69 
S14_S15,NSA,SRG_S14_S15,PC,ES,2017-04-01,14.53 
S14_S15,NSA,SRG_S14_S15,PC,ES,2017-07-01,-0.69 
S14_S15,NSA,SRG_S14_S15,PC,ES,2017-10-01,10.36 
S14_S15,NSA,SRG_S14_S15,PC,ES,2018-01-01,-5.69 
S14_S15,NSA,SRG_S14_S15,PC,ES,2018-04-01,12.45 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2015-07-01,8.43
S14_S15,NSA,SRG_S14_S15,PC,EU28,2015-10-01,11.11
S14_S15,NSA,SRG_S14_S15,PC,EU28,2016-01-01,9.86 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2016-04-01,14.20 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2016-07-01,8.45 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2016-10-01,10.53 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2017-01-01,8.21 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2017-04-01,13.03 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2017-07-01,7.36 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2017-10-01,10.55 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2018-01-01,8.74 
S14_S15,NSA,SRG_S14_S15,PC,EU28,2018-04-01,: 
S14_S15,NSA,SRG_S14_S15,PC,FI,2015-07-01,4.97
S14_S15,NSA,SRG_S14_S15,PC,FI,2015-10-01,5.34
S14_S15,NSA,SRG_S14_S15,PC,FI,2016-01-01,6.24 
S14_S15,NSA,SRG_S14_S15,PC,FI,2016-04-01,10.32 
S14_S15,NSA,SRG_S14_S15,PC,FI,2016-07-01,3.41 
S14_S15,NSA,SRG_S14_S15,PC,FI,2016-10-01,4.26 
S14_S15,NSA,SRG_S14_S15,PC,FI,2017-01-01,5.50 
S14_S15,NSA,SRG_S14_S15,PC,FI,2017-04-01,10.02 
S14_S15,NSA,SRG_S14_S15,PC,FI,2017-07-01,4.40 
S14_S15,NSA,SRG_S14_S15,PC,FI,2017-10-01,2.71 
S14_S15,NSA,SRG_S14_S15,PC,FI,2018-01-01,7.48 
S14_S15,NSA,SRG_S14_S15,PC,FI,2018-04-01,10.59 
S14_S15,NSA,SRG_S14_S15,PC,FR,2015-07-01,12.78
S14_S15,NSA,SRG_S14_S15,PC,FR,2015-10-01,11.4
S14_S15,NSA,SRG_S14_S15,PC,FR,2016-01-01,12.63 
S14_S15,NSA,SRG_S14_S15,PC,FR,2016-04-01,17.97 
S14_S15,NSA,SRG_S14_S15,PC,FR,2016-07-01,12.74 
