unit,sector,na_item,geotime,date,value
MIO_NAC,S13,GD,AT,1995-01-01,120660
MIO_NAC,S13,GD,AT,1996-01-01,124601
MIO_NAC,S13,GD,AT,1997-01-01,119827
MIO_NAC,S13,GD,AT,1998-01-01,125384
MIO_NAC,S13,GD,AT,1999-01-01,135949
MIO_NAC,S13,GD,AT,2000-01-01,141245
MIO_NAC,S13,GD,AT,2001-01-01,147154
MIO_NAC,S13,GD,AT,2002-01-01,151295
MIO_NAC,S13,GD,AT,2003-01-01,152688
MIO_NAC,S13,GD,AT,2004-01-01,157985
MIO_NAC,S13,GD,AT,2005-01-01,174403
MIO_NAC,S13,GD,AT,2006-01-01,180270
MIO_NAC,S13,GD,AT,2007-01-01,184674
MIO_NAC,S13,GD,AT,2008-01-01,201809
MIO_NAC,S13,GD,AT,2009-01-01,230014
MIO_NAC,S13,GD,AT,2010-01-01,244696
MIO_NAC,S13,GD,AT,2011-01-01,
MIO_NAC,S13,GD,AT,2012-01-01,
MIO_NAC,S13,GD,AT,2013-01-01,
MIO_NAC,S13,GD,AT,2014-01-01,
MIO_NAC,S13,GD,AT,2015-01-01,
MIO_NAC,S13,GD,AT,2016-01-01,
MIO_NAC,S13,GD,AT,2017-01-01,
MIO_NAC,S13,GD,BE,1995-01-01,276257
MIO_NAC,S13,GD,BE,1996-01-01,276352
MIO_NAC,S13,GD,BE,1997-01-01,278410
MIO_NAC,S13,GD,BE,1998-01-01,277162
MIO_NAC,S13,GD,BE,1999-01-01,279438
MIO_NAC,S13,GD,BE,2000-01-01,280870
MIO_NAC,S13,GD,BE,2001-01-01,285970
MIO_NAC,S13,GD,BE,2002-01-01,288027
MIO_NAC,S13,GD,BE,2003-01-01,285787
MIO_NAC,S13,GD,BE,2004-01-01,288330
MIO_NAC,S13,GD,BE,2005-01-01,294904
MIO_NAC,S13,GD,BE,2006-01-01,297427
MIO_NAC,S13,GD,BE,2007-01-01,299999
MIO_NAC,S13,GD,BE,2008-01-01,327623
MIO_NAC,S13,GD,BE,2009-01-01,347167
MIO_NAC,S13,GD,BE,2010-01-01,364080
MIO_NAC,S13,GD,BE,2011-01-01,
MIO_NAC,S13,GD,BE,2012-01-01,
MIO_NAC,S13,GD,BE,2013-01-01,
MIO_NAC,S13,GD,BE,2014-01-01,
MIO_NAC,S13,GD,BE,2015-01-01,
MIO_NAC,S13,GD,BE,2016-01-01,
MIO_NAC,S13,GD,BE,2017-01-01,
MIO_NAC,S13,GD,BG,1995-01-01,
MIO_NAC,S13,GD,BG,1996-01-01,
MIO_NAC,S13,GD,BG,1997-01-01,18314
MIO_NAC,S13,GD,BG,1998-01-01,17848
MIO_NAC,S13,GD,BG,1999-01-01,18868
MIO_NAC,S13,GD,BG,2000-01-01,19872
MIO_NAC,S13,GD,BG,2001-01-01,19988
MIO_NAC,S13,GD,BG,2002-01-01,17376
MIO_NAC,S13,GD,BG,2003-01-01,15893
MIO_NAC,S13,GD,BG,2004-01-01,14720
MIO_NAC,S13,GD,BG,2005-01-01,12498
MIO_NAC,S13,GD,BG,2006-01-01,11189
MIO_NAC,S13,GD,BG,2007-01-01,10359
MIO_NAC,S13,GD,BG,2008-01-01,9480
MIO_NAC,S13,GD,BG,2009-01-01,9991
MIO_NAC,S13,GD,BG,2010-01-01,11453
MIO_NAC,S13,GD,BG,2011-01-01,
MIO_NAC,S13,GD,BG,2012-01-01,
MIO_NAC,S13,GD,BG,2013-01-01,
MIO_NAC,S13,GD,BG,2014-01-01,
MIO_NAC,S13,GD,BG,2015-01-01,
MIO_NAC,S13,GD,BG,2016-01-01,
MIO_NAC,S13,GD,BG,2017-01-01,
MIO_NAC,S13,GD,CY,1995-01-01,3765
MIO_NAC,S13,GD,CY,1996-01-01,4012
MIO_NAC,S13,GD,CY,1997-01-01,4531
MIO_NAC,S13,GD,CY,1998-01-01,5043
MIO_NAC,S13,GD,CY,1999-01-01,5428
MIO_NAC,S13,GD,CY,2000-01-01,5905
MIO_NAC,S13,GD,CY,2001-01-01,6544
MIO_NAC,S13,GD,CY,2002-01-01,7187
MIO_NAC,S13,GD,CY,2003-01-01,8200
MIO_NAC,S13,GD,CY,2004-01-01,8974
MIO_NAC,S13,GD,CY,2005-01-01,9402
MIO_NAC,S13,GD,CY,2006-01-01,9481
MIO_NAC,S13,GD,CY,2007-01-01,9461
MIO_NAC,S13,GD,CY,2008-01-01,8658
MIO_NAC,S13,GD,CY,2009-01-01,10139
MIO_NAC,S13,GD,CY,2010-01-01,10953
MIO_NAC,S13,GD,CY,2011-01-01,
MIO_NAC,S13,GD,CY,2012-01-01,
MIO_NAC,S13,GD,CY,2013-01-01,
MIO_NAC,S13,GD,CY,2014-01-01,
MIO_NAC,S13,GD,CY,2015-01-01,
MIO_NAC,S13,GD,CY,2016-01-01,
MIO_NAC,S13,GD,CY,2017-01-01,
MIO_NAC,S13,GD,CZ,1995-01-01,216645
MIO_NAC,S13,GD,CZ,1996-01-01,211777
MIO_NAC,S13,GD,CZ,1997-01-01,240341
MIO_NAC,S13,GD,CZ,1998-01-01,300976
MIO_NAC,S13,GD,CZ,1999-01-01,342083
MIO_NAC,S13,GD,CZ,2000-01-01,405418
MIO_NAC,S13,GD,CZ,2001-01-01,585615
MIO_NAC,S13,GD,CZ,2002-01-01,695133
MIO_NAC,S13,GD,CZ,2003-01-01,795347
MIO_NAC,S13,GD,CZ,2004-01-01,873760
MIO_NAC,S13,GD,CZ,2005-01-01,910309
MIO_NAC,S13,GD,CZ,2006-01-01,973153
MIO_NAC,S13,GD,CZ,2007-01-01,1054684
MIO_NAC,S13,GD,CZ,2008-01-01,1136819
MIO_NAC,S13,GD,CZ,2009-01-01,1319064
MIO_NAC,S13,GD,CZ,2010-01-01,1480165
MIO_NAC,S13,GD,CZ,2011-01-01,
MIO_NAC,S13,GD,CZ,2012-01-01,
MIO_NAC,S13,GD,CZ,2013-01-01,
MIO_NAC,S13,GD,CZ,2014-01-01,
MIO_NAC,S13,GD,CZ,2015-01-01,
MIO_NAC,S13,GD,CZ,2016-01-01,
MIO_NAC,S13,GD,CZ,2017-01-01,
MIO_NAC,S13,GD,DE,1995-01-01,1040187
MIO_NAC,S13,GD,DE,1996-01-01,1110441
MIO_NAC,S13,GD,DE,1997-01-01,1154462
MIO_NAC,S13,GD,DE,1998-01-01,1199283
MIO_NAC,S13,GD,DE,1999-01-01,1238568
MIO_NAC,S13,GD,DE,2000-01-01,1245785
MIO_NAC,S13,GD,DE,2001-01-01,1258749
MIO_NAC,S13,GD,DE,2002-01-01,1312446
MIO_NAC,S13,GD,DE,2003-01-01,1400260
MIO_NAC,S13,GD,DE,2004-01-01,1470586
MIO_NAC,S13,GD,DE,2005-01-01,1541399
MIO_NAC,S13,GD,DE,2006-01-01,1591334
MIO_NAC,S13,GD,DE,2007-01-01,1600016
MIO_NAC,S13,GD,DE,2008-01-01,1669035
MIO_NAC,S13,GD,DE,2009-01-01,1785684
MIO_NAC,S13,GD,DE,2010-01-01,2088715
MIO_NAC,S13,GD,DE,2011-01-01,
MIO_NAC,S13,GD,DE,2012-01-01,
MIO_NAC,S13,GD,DE,2013-01-01,
MIO_NAC,S13,GD,DE,2014-01-01,
MIO_NAC,S13,GD,DE,2015-01-01,
MIO_NAC,S13,GD,DE,2016-01-01,
MIO_NAC,S13,GD,DE,2017-01-01,
MIO_NAC,S13,GD,DK,1995-01-01,
MIO_NAC,S13,GD,DK,1996-01-01,
MIO_NAC,S13,GD,DK,1997-01-01,
MIO_NAC,S13,GD,DK,1998-01-01,
MIO_NAC,S13,GD,DK,1999-01-01,
MIO_NAC,S13,GD,DK,2000-01-01,694695
MIO_NAC,S13,GD,DK,2001-01-01,665304
MIO_NAC,S13,GD,DK,2002-01-01,692175
MIO_NAC,S13,GD,DK,2003-01-01,663062
MIO_NAC,S13,GD,DK,2004-01-01,664989
MIO_NAC,S13,GD,DK,2005-01-01,593352
MIO_NAC,S13,GD,DK,2006-01-01,530743
MIO_NAC,S13,GD,DK,2007-01-01,475504
MIO_NAC,S13,GD,DK,2008-01-01,600127
MIO_NAC,S13,GD,DK,2009-01-01,691988
MIO_NAC,S13,GD,DK,2010-01-01,771235
MIO_NAC,S13,GD,DK,2011-01-01,
MIO_NAC,S13,GD,DK,2012-01-01,
MIO_NAC,S13,GD,DK,2013-01-01,
MIO_NAC,S13,GD,DK,2014-01-01,
MIO_NAC,S13,GD,DK,2015-01-01,
MIO_NAC,S13,GD,DK,2016-01-01,
MIO_NAC,S13,GD,DK,2017-01-01,
MIO_NAC,S13,GD,EE,1995-01-01,227
MIO_NAC,S13,GD,EE,1996-01-01,275
MIO_NAC,S13,GD,EE,1997-01-01,314
MIO_NAC,S13,GD,EE,1998-01-01,302
MIO_NAC,S13,GD,EE,1999-01-01,348
MIO_NAC,S13,GD,EE,2000-01-01,315
MIO_NAC,S13,GD,EE,2001-01-01,333
MIO_NAC,S13,GD,EE,2002-01-01,442
MIO_NAC,S13,GD,EE,2003-01-01,489
MIO_NAC,S13,GD,EE,2004-01-01,491
MIO_NAC,S13,GD,EE,2005-01-01,512
MIO_NAC,S13,GD,EE,2006-01-01,595
MIO_NAC,S13,GD,EE,2007-01-01,595
MIO_NAC,S13,GD,EE,2008-01-01,741
MIO_NAC,S13,GD,EE,2009-01-01,995
MIO_NAC,S13,GD,EE,2010-01-01,964
MIO_NAC,S13,GD,EE,2011-01-01,
MIO_NAC,S13,GD,EE,2012-01-01,
MIO_NAC,S13,GD,EE,2013-01-01,
MIO_NAC,S13,GD,EE,2014-01-01,
MIO_NAC,S13,GD,EE,2015-01-01,
MIO_NAC,S13,GD,EE,2016-01-01,
MIO_NAC,S13,GD,EE,2017-01-01,
MIO_NAC,S13,GD,EL,1995-01-01,92124
MIO_NAC,S13,GD,EL,1996-01-01,104413
MIO_NAC,S13,GD,EL,1997-01-01,114083
MIO_NAC,S13,GD,EL,1998-01-01,122037
MIO_NAC,S13,GD,EL,1999-01-01,132326
MIO_NAC,S13,GD,EL,2000-01-01,148217
MIO_NAC,S13,GD,EL,2001-01-01,162971
MIO_NAC,S13,GD,EL,2002-01-01,171410
MIO_NAC,S13,GD,EL,2003-01-01,181510
MIO_NAC,S13,GD,EL,2004-01-01,199276
MIO_NAC,S13,GD,EL,2005-01-01,213970
MIO_NAC,S13,GD,EL,2006-01-01,225648
MIO_NAC,S13,GD,EL,2007-01-01,239915
MIO_NAC,S13,GD,EL,2008-01-01,264775
MIO_NAC,S13,GD,EL,2009-01-01,301062
MIO_NAC,S13,GD,EL,2010-01-01,330570
MIO_NAC,S13,GD,EL,2011-01-01,
MIO_NAC,S13,GD,EL,2012-01-01,
MIO_NAC,S13,GD,EL,2013-01-01,
MIO_NAC,S13,GD,EL,2014-01-01,
MIO_NAC,S13,GD,EL,2015-01-01,
MIO_NAC,S13,GD,EL,2016-01-01,
MIO_NAC,S13,GD,EL,2017-01-01,
MIO_NAC,S13,GD,ES,1995-01-01,283457
MIO_NAC,S13,GD,ES,1996-01-01,319976
MIO_NAC,S13,GD,ES,1997-01-01,333627
MIO_NAC,S13,GD,ES,1998-01-01,346417
MIO_NAC,S13,GD,ES,1999-01-01,362223
MIO_NAC,S13,GD,ES,2000-01-01,374557
MIO_NAC,S13,GD,ES,2001-01-01,378883
MIO_NAC,S13,GD,ES,2002-01-01,384145
MIO_NAC,S13,GD,ES,2003-01-01,382775
MIO_NAC,S13,GD,ES,2004-01-01,389888
MIO_NAC,S13,GD,ES,2005-01-01,393479
MIO_NAC,S13,GD,ES,2006-01-01,392132
MIO_NAC,S13,GD,ES,2007-01-01,384662
MIO_NAC,S13,GD,ES,2008-01-01,440621
MIO_NAC,S13,GD,ES,2009-01-01,569535
MIO_NAC,S13,GD,ES,2010-01-01,650079
MIO_NAC,S13,GD,ES,2011-01-01,
MIO_NAC,S13,GD,ES,2012-01-01,
MIO_NAC,S13,GD,ES,2013-01-01,
MIO_NAC,S13,GD,ES,2014-01-01,
MIO_NAC,S13,GD,ES,2015-01-01,
MIO_NAC,S13,GD,ES,2016-01-01,
MIO_NAC,S13,GD,ES,2017-01-01,
MIO_NAC,S13,GD,FI,1995-01-01,54351
MIO_NAC,S13,GD,FI,1996-01-01,56457
MIO_NAC,S13,GD,FI,1997-01-01,57858
MIO_NAC,S13,GD,FI,1998-01-01,56414
MIO_NAC,S13,GD,FI,1999-01-01,55912
