unit,quantile,reason,age,sex,geotime,date,value
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2008-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2009-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2010-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2011-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2012-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2013-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2014-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2015-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2016-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,AT,2017-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2008-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2009-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2010-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2011-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2012-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2013-01-01,2
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2014-01-01,2
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2015-01-01,2
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2016-01-01,2
PC,TOTAL,TOOEFW,Y_GE16,F,BE,2017-01-01,2
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2008-01-01,16
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2009-01-01,11
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2010-01-01,11
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2011-01-01,10
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2012-01-01,8
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2013-01-01,9
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2014-01-01,6
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2015-01-01,5
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2016-01-01,3
PC,TOTAL,TOOEFW,Y_GE16,F,BG,2017-01-01,2
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2008-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2009-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2010-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2011-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2012-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2013-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2014-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2015-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2016-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,CH,2017-01-01,
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2008-01-01,3
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2009-01-01,4
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2010-01-01,4
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2011-01-01,4
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2012-01-01,4
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2013-01-01,4
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2014-01-01,5
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2015-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2016-01-01,0
PC,TOTAL,TOOEFW,Y_GE16,F,CY,2017-01-01,1
PC,TOTAL,TOOEFW,Y_GE16,F,CZ,2008-01-01,0
