indic_bt,nace_r2,unit,geotime,date,value
TOVT,MIG_NDCOG,I2015_SCA,AT,2017-09-01,102
TOVT,MIG_NDCOG,I2015_SCA,AT,2017-10-01,101
TOVT,MIG_NDCOG,I2015_SCA,AT,2017-11-01,104
TOVT,MIG_NDCOG,I2015_SCA,AT,2017-12-01,104
TOVT,MIG_NDCOG,I2015_SCA,AT,2018-01-01,101
TOVT,MIG_NDCOG,I2015_SCA,AT,2018-02-01,102
TOVT,MIG_NDCOG,I2015_SCA,AT,2018-03-01,104
TOVT,MIG_NDCOG,I2015_SCA,AT,2018-04-01,104
TOVT,MIG_NDCOG,I2015_SCA,AT,2018-05-01,103
TOVT,MIG_NDCOG,I2015_SCA,AT,2018-06-01,100
TOVT,MIG_NDCOG,I2015_SCA,AT,2018-07-01,101
TOVT,MIG_NDCOG,I2015_SCA,AT,2018-08-01,
TOVT,MIG_NDCOG,I2015_SCA,BE,2017-09-01,118
TOVT,MIG_NDCOG,I2015_SCA,BE,2017-10-01,122
TOVT,MIG_NDCOG,I2015_SCA,BE,2017-11-01,119
TOVT,MIG_NDCOG,I2015_SCA,BE,2017-12-01,120
TOVT,MIG_NDCOG,I2015_SCA,BE,2018-01-01,123
TOVT,MIG_NDCOG,I2015_SCA,BE,2018-02-01,120
TOVT,MIG_NDCOG,I2015_SCA,BE,2018-03-01,119
TOVT,MIG_NDCOG,I2015_SCA,BE,2018-04-01,121
TOVT,MIG_NDCOG,I2015_SCA,BE,2018-05-01,122
TOVT,MIG_NDCOG,I2015_SCA,BE,2018-06-01,118
TOVT,MIG_NDCOG,I2015_SCA,BE,2018-07-01,117
TOVT,MIG_NDCOG,I2015_SCA,BE,2018-08-01,
TOVT,MIG_NDCOG,I2015_SCA,BG,2017-09-01,108
TOVT,MIG_NDCOG,I2015_SCA,BG,2017-10-01,103
TOVT,MIG_NDCOG,I2015_SCA,BG,2017-11-01,107
TOVT,MIG_NDCOG,I2015_SCA,BG,2017-12-01,110
TOVT,MIG_NDCOG,I2015_SCA,BG,2018-01-01,108
TOVT,MIG_NDCOG,I2015_SCA,BG,2018-02-01,111
TOVT,MIG_NDCOG,I2015_SCA,BG,2018-03-01,113
TOVT,MIG_NDCOG,I2015_SCA,BG,2018-04-01,111
TOVT,MIG_NDCOG,I2015_SCA,BG,2018-05-01,109
TOVT,MIG_NDCOG,I2015_SCA,BG,2018-06-01,109
TOVT,MIG_NDCOG,I2015_SCA,BG,2018-07-01,107
TOVT,MIG_NDCOG,I2015_SCA,BG,2018-08-01,106
TOVT,MIG_NDCOG,I2015_SCA,CY,2017-09-01,113
TOVT,MIG_NDCOG,I2015_SCA,CY,2017-10-01,114
TOVT,MIG_NDCOG,I2015_SCA,CY,2017-11-01,116
TOVT,MIG_NDCOG,I2015_SCA,CY,2017-12-01,115
TOVT,MIG_NDCOG,I2015_SCA,CY,2018-01-01,119
TOVT,MIG_NDCOG,I2015_SCA,CY,2018-02-01,116
TOVT,MIG_NDCOG,I2015_SCA,CY,2018-03-01,119
TOVT,MIG_NDCOG,I2015_SCA,CY,2018-04-01,116
TOVT,MIG_NDCOG,I2015_SCA,CY,2018-05-01,118
TOVT,MIG_NDCOG,I2015_SCA,CY,2018-06-01,123
TOVT,MIG_NDCOG,I2015_SCA,CY,2018-07-01,116
TOVT,MIG_NDCOG,I2015_SCA,CY,2018-08-01,
TOVT,MIG_NDCOG,I2015_SCA,CZ,2017-09-01,103
TOVT,MIG_NDCOG,I2015_SCA,CZ,2017-10-01,104
TOVT,MIG_NDCOG,I2015_SCA,CZ,2017-11-01,104
TOVT,MIG_NDCOG,I2015_SCA,CZ,2017-12-01,103
TOVT,MIG_NDCOG,I2015_SCA,CZ,2018-01-01,103
TOVT,MIG_NDCOG,I2015_SCA,CZ,2018-02-01,103
TOVT,MIG_NDCOG,I2015_SCA,CZ,2018-03-01,105
TOVT,MIG_NDCOG,I2015_SCA,CZ,2018-04-01,103
TOVT,MIG_NDCOG,I2015_SCA,CZ,2018-05-01,105
TOVT,MIG_NDCOG,I2015_SCA,CZ,2018-06-01,106
TOVT,MIG_NDCOG,I2015_SCA,CZ,2018-07-01,104
TOVT,MIG_NDCOG,I2015_SCA,CZ,2018-08-01,107
TOVT,MIG_NDCOG,I2015_SCA,DE,2017-09-01,107
TOVT,MIG_NDCOG,I2015_SCA,DE,2017-10-01,107
TOVT,MIG_NDCOG,I2015_SCA,DE,2017-11-01,108
TOVT,MIG_NDCOG,I2015_SCA,DE,2017-12-01,105
TOVT,MIG_NDCOG,I2015_SCA,DE,2018-01-01,106
TOVT,MIG_NDCOG,I2015_SCA,DE,2018-02-01,106
TOVT,MIG_NDCOG,I2015_SCA,DE,2018-03-01,106
TOVT,MIG_NDCOG,I2015_SCA,DE,2018-04-01,104
TOVT,MIG_NDCOG,I2015_SCA,DE,2018-05-01,106
TOVT,MIG_NDCOG,I2015_SCA,DE,2018-06-01,105
TOVT,MIG_NDCOG,I2015_SCA,DE,2018-07-01,105
TOVT,MIG_NDCOG,I2015_SCA,DE,2018-08-01,106
TOVT,MIG_NDCOG,I2015_SCA,DK,2017-09-01,106
TOVT,MIG_NDCOG,I2015_SCA,DK,2017-10-01,108
TOVT,MIG_NDCOG,I2015_SCA,DK,2017-11-01,109
TOVT,MIG_NDCOG,I2015_SCA,DK,2017-12-01,115
TOVT,MIG_NDCOG,I2015_SCA,DK,2018-01-01,106
TOVT,MIG_NDCOG,I2015_SCA,DK,2018-02-01,105
TOVT,MIG_NDCOG,I2015_SCA,DK,2018-03-01,106
TOVT,MIG_NDCOG,I2015_SCA,DK,2018-04-01,109
TOVT,MIG_NDCOG,I2015_SCA,DK,2018-05-01,107
TOVT,MIG_NDCOG,I2015_SCA,DK,2018-06-01,107
TOVT,MIG_NDCOG,I2015_SCA,DK,2018-07-01,108
TOVT,MIG_NDCOG,I2015_SCA,DK,2018-08-01,107
TOVT,MIG_NDCOG,I2015_SCA,EA19,2017-09-01,106
