sex,unit,geotime,date,value
F,PC,AT,2000-01-01,84
F,PC,AT,2001-01-01,86
F,PC,AT,2002-01-01,87
F,PC,AT,2003-01-01,88
F,PC,AT,2004-01-01,87
F,PC,AT,2005-01-01,87
F,PC,AT,2006-01-01,88
F,PC,AT,2007-01-01,89
F,PC,AT,2008-01-01,90
F,PC,AT,2009-01-01,92
F,PC,AT,2010-01-01,92
F,PC,AT,2011-01-01,94
F,PC,AT,2012-01-01,93
F,PC,AT,2013-01-01,94
F,PC,AT,2014-01-01,94
F,PC,AT,2015-01-01,96
F,PC,AT,2016-01-01,95
F,PC,BE,2000-01-01,99
F,PC,BE,2001-01-01,100
F,PC,BE,2002-01-01,100
F,PC,BE,2003-01-01,100
F,PC,BE,2004-01-01,100
F,PC,BE,2005-01-01,100
F,PC,BE,2006-01-01,100
F,PC,BE,2007-01-01,99
F,PC,BE,2008-01-01,99
F,PC,BE,2009-01-01,99
F,PC,BE,2010-01-01,99
F,PC,BE,2011-01-01,98
F,PC,BE,2012-01-01,98
F,PC,BE,2013-01-01,98
F,PC,BE,2014-01-01,98
F,PC,BE,2015-01-01,98
F,PC,BE,2016-01-01,98
F,PC,BG,2000-01-01,73
F,PC,BG,2001-01-01,72
F,PC,BG,2002-01-01,80
F,PC,BG,2003-01-01,83
F,PC,BG,2004-01-01,82
F,PC,BG,2005-01-01,82
F,PC,BG,2006-01-01,80
F,PC,BG,2007-01-01,83
F,PC,BG,2008-01-01,84
F,PC,BG,2009-01-01,84
F,PC,BG,2010-01-01,84
F,PC,BG,2011-01-01,86
F,PC,BG,2012-01-01,87
F,PC,BG,2013-01-01,87
F,PC,BG,2014-01-01,89
F,PC,BG,2015-01-01,89
F,PC,BG,2016-01-01,86
F,PC,CH,2000-01-01,
F,PC,CH,2001-01-01,
F,PC,CH,2002-01-01,73
F,PC,CH,2003-01-01,75
F,PC,CH,2004-01-01,76
F,PC,CH,2005-01-01,78
F,PC,CH,2006-01-01,79
F,PC,CH,2007-01-01,79
F,PC,CH,2008-01-01,78
F,PC,CH,2009-01-01,78
F,PC,CH,2010-01-01,79
F,PC,CH,2011-01-01,79
F,PC,CH,2012-01-01,78
F,PC,CH,2013-01-01,79
F,PC,CH,2014-01-01,81
F,PC,CH,2015-01-01,81
F,PC,CH,2016-01-01,82
F,PC,CY,2000-01-01,65
F,PC,CY,2001-01-01,70
F,PC,CY,2002-01-01,67
F,PC,CY,2003-01-01,68
F,PC,CY,2004-01-01,70
F,PC,CY,2005-01-01,73
F,PC,CY,2006-01-01,82
F,PC,CY,2007-01-01,82
F,PC,CY,2008-01-01,87
F,PC,CY,2009-01-01,85
F,PC,CY,2010-01-01,86
F,PC,CY,2011-01-01,85
F,PC,CY,2012-01-01,83
F,PC,CY,2013-01-01,84
F,PC,CY,2014-01-01,83
F,PC,CY,2015-01-01,89
F,PC,CY,2016-01-01,89
F,PC,CZ,2000-01-01,90
F,PC,CZ,2001-01-01,92
F,PC,CZ,2002-01-01,93
F,PC,CZ,2003-01-01,93
F,PC,CZ,2004-01-01,93
F,PC,CZ,2005-01-01,94
F,PC,CZ,2006-01-01,92
F,PC,CZ,2007-01-01,92
F,PC,CZ,2008-01-01,90
F,PC,CZ,2009-01-01,90
F,PC,CZ,2010-01-01,89
F,PC,CZ,2011-01-01,88
F,PC,CZ,2012-01-01,86
F,PC,CZ,2013-01-01,85
F,PC,CZ,2014-01-01,86
F,PC,CZ,2015-01-01,87
F,PC,CZ,2016-01-01,90
F,PC,DE,2000-01-01,81
F,PC,DE,2001-01-01,88
F,PC,DE,2002-01-01,88
F,PC,DE,2003-01-01,85
F,PC,DE,2004-01-01,85
F,PC,DE,2005-01-01,86
F,PC,DE,2006-01-01,92
F,PC,DE,2007-01-01,94
F,PC,DE,2008-01-01,95
F,PC,DE,2009-01-01,96
F,PC,DE,2010-01-01,96
F,PC,DE,2011-01-01,96
F,PC,DE,2012-01-01,96
F,PC,DE,2013-01-01,97
F,PC,DE,2014-01-01,97
F,PC,DE,2015-01-01,97
F,PC,DE,2016-01-01,96
F,PC,DK,2000-01-01,97
F,PC,DK,2001-01-01,93
F,PC,DK,2002-01-01,93
F,PC,DK,2003-01-01,94
F,PC,DK,2004-01-01,97
F,PC,DK,2005-01-01,93
F,PC,DK,2006-01-01,94
F,PC,DK,2007-01-01,94
F,PC,DK,2008-01-01,93
F,PC,DK,2009-01-01,93
F,PC,DK,2010-01-01,98
F,PC,DK,2011-01-01,98
F,PC,DK,2012-01-01,98
F,PC,DK,2013-01-01,98
F,PC,DK,2014-01-01,98
F,PC,DK,2015-01-01,99
F,PC,DK,2016-01-01,98
F,PC,EE,2000-01-01,85
F,PC,EE,2001-01-01,85
F,PC,EE,2002-01-01,85
F,PC,EE,2003-01-01,93
F,PC,EE,2004-01-01,96
F,PC,EE,2005-01-01,99
F,PC,EE,2006-01-01,95
F,PC,EE,2007-01-01,94
F,PC,EE,2008-01-01,96
F,PC,EE,2009-01-01,97
F,PC,EE,2010-01-01,90
F,PC,EE,2011-01-01,90
F,PC,EE,2012-01-01,90
F,PC,EE,2013-01-01,90
F,PC,EE,2014-01-01,91
F,PC,EE,2015-01-01,91
F,PC,EE,2016-01-01,92
F,PC,EL,2000-01-01,69
F,PC,EL,2001-01-01,70
F,PC,EL,2002-01-01,68
F,PC,EL,2003-01-01,67
F,PC,EL,2004-01-01,66
F,PC,EL,2005-01-01,67
F,PC,EL,2006-01-01,68
F,PC,EL,2007-01-01,66
F,PC,EL,2008-01-01,69
F,PC,EL,2009-01-01,
F,PC,EL,2010-01-01,74
F,PC,EL,2011-01-01,75
F,PC,EL,2012-01-01,75
F,PC,EL,2013-01-01,
F,PC,EL,2014-01-01,
F,PC,EL,2015-01-01,
F,PC,EL,2016-01-01,
