unit,incgrp,hhtyp,n_item,geotime,date,value
PC,TOTAL,TOTAL,0,CY,2016-01-01,71
PC,TOTAL,TOTAL,0,CY,2017-01-01,69
PC,TOTAL,TOTAL,0,CZ,2006-01-01,76
PC,TOTAL,TOTAL,0,CZ,2007-01-01,81
PC,TOTAL,TOTAL,0,CZ,2008-01-01,83
PC,TOTAL,TOTAL,0,CZ,2009-01-01,82
PC,TOTAL,TOTAL,0,CZ,2010-01-01,85
PC,TOTAL,TOTAL,0,CZ,2011-01-01,85
PC,TOTAL,TOTAL,0,CZ,2012-01-01,87
PC,TOTAL,TOTAL,0,CZ,2013-01-01,87
PC,TOTAL,TOTAL,0,CZ,2014-01-01,88
PC,TOTAL,TOTAL,0,CZ,2015-01-01,88
PC,TOTAL,TOTAL,0,CZ,2016-01-01,89
PC,TOTAL,TOTAL,0,CZ,2017-01-01,89
PC,TOTAL,TOTAL,0,DE,2006-01-01,80
PC,TOTAL,TOTAL,0,DE,2007-01-01,82
PC,TOTAL,TOTAL,0,DE,2008-01-01,82
PC,TOTAL,TOTAL,0,DE,2009-01-01,82
PC,TOTAL,TOTAL,0,DE,2010-01-01,82
PC,TOTAL,TOTAL,0,DE,2011-01-01,83
PC,TOTAL,TOTAL,0,DE,2012-01-01,83
PC,TOTAL,TOTAL,0,DE,2013-01-01,84
PC,TOTAL,TOTAL,0,DE,2014-01-01,84
PC,TOTAL,TOTAL,0,DE,2015-01-01,84
PC,TOTAL,TOTAL,0,DE,2016-01-01,84
PC,TOTAL,TOTAL,0,DE,2017-01-01,85
PC,TOTAL,TOTAL,0,DK,2006-01-01,87
PC,TOTAL,TOTAL,0,DK,2007-01-01,85
PC,TOTAL,TOTAL,0,DK,2008-01-01,87
PC,TOTAL,TOTAL,0,DK,2009-01-01,88
PC,TOTAL,TOTAL,0,DK,2010-01-01,88
PC,TOTAL,TOTAL,0,DK,2011-01-01,78
PC,TOTAL,TOTAL,0,DK,2012-01-01,78
PC,TOTAL,TOTAL,0,DK,2013-01-01,79
PC,TOTAL,TOTAL,0,DK,2014-01-01,80
PC,TOTAL,TOTAL,0,DK,2015-01-01,80
PC,TOTAL,TOTAL,0,DK,2016-01-01,80
PC,TOTAL,TOTAL,0,DK,2017-01-01,81
PC,TOTAL,TOTAL,0,EA18,2006-01-01,78
PC,TOTAL,TOTAL,0,EA18,2007-01-01,78
PC,TOTAL,TOTAL,0,EA18,2008-01-01,79
PC,TOTAL,TOTAL,0,EA18,2009-01-01,79
PC,TOTAL,TOTAL,0,EA18,2010-01-01,79
PC,TOTAL,TOTAL,0,EA18,2011-01-01,80
PC,TOTAL,TOTAL,0,EA18,2012-01-01,80
PC,TOTAL,TOTAL,0,EA18,2013-01-01,79
PC,TOTAL,TOTAL,0,EA18,2014-01-01,79
PC,TOTAL,TOTAL,0,EA18,2015-01-01,80
PC,TOTAL,TOTAL,0,EA18,2016-01-01,80
PC,TOTAL,TOTAL,0,EA18,2017-01-01,83
PC,TOTAL,TOTAL,0,EA19,2006-01-01,78
PC,TOTAL,TOTAL,0,EA19,2007-01-01,78
PC,TOTAL,TOTAL,0,EA19,2008-01-01,79
PC,TOTAL,TOTAL,0,EA19,2009-01-01,79
PC,TOTAL,TOTAL,0,EA19,2010-01-01,79
PC,TOTAL,TOTAL,0,EA19,2011-01-01,79
PC,TOTAL,TOTAL,0,EA19,2012-01-01,80
PC,TOTAL,TOTAL,0,EA19,2013-01-01,79
