sex,geotime,date,value
F,AT,2000-01-01,108.8
F,AT,2001-01-01,105.4
F,AT,2002-01-01,101.5
F,AT,2003-01-01,103.8
F,AT,2004-01-01,101.6
F,AT,2005-01-01,97.7
F,AT,2006-01-01,93.1
F,AT,2007-01-01,92.4
F,AT,2008-01-01,90.0
F,AT,2009-01-01,89.5
F,AT,2010-01-01,89.0
F,AT,2011-01-01,88.7
F,AT,2012-01-01,87.1
F,AT,2013-01-01,83.9
F,AT,2014-01-01,85.1
F,AT,2015-01-01,80.7
F,BE,2000-01-01,
F,BE,2001-01-01,
F,BE,2002-01-01,
F,BE,2003-01-01,101.6
F,BE,2004-01-01,99.9
F,BE,2005-01-01,98.9
F,BE,2006-01-01,95.3
F,BE,2007-01-01,99.5
F,BE,2008-01-01,97.1
F,BE,2009-01-01,95.2
F,BE,2010-01-01,92.1
F,BE,2011-01-01,93.6
F,BE,2012-01-01,88.7
F,BE,2013-01-01,88.1
F,BE,2014-01-01,82.2
F,BE,2015-01-01,85.4
F,BG,2000-01-01,157.2
F,BG,2001-01-01,151.1
F,BG,2002-01-01,154.8
F,BG,2003-01-01,144.2
F,BG,2004-01-01,146.8
F,BG,2005-01-01,153.1
F,BG,2006-01-01,146.8
F,BG,2007-01-01,143.7
F,BG,2008-01-01,142.3
F,BG,2009-01-01,132.5
F,BG,2010-01-01,129.0
F,BG,2011-01-01,125.3
F,BG,2012-01-01,129.4
F,BG,2013-01-01,121.1
F,BG,2014-01-01,132.8
F,BG,2015-01-01,130.1
F,CH,2000-01-01,88.5
F,CH,2001-01-01,82.1
F,CH,2002-01-01,82.2
F,CH,2003-01-01,80.5
F,CH,2004-01-01,74.5
F,CH,2005-01-01,76.2
F,CH,2006-01-01,77.3
F,CH,2007-01-01,76.5
F,CH,2008-01-01,72.7
F,CH,2009-01-01,71.0
F,CH,2010-01-01,71.9
F,CH,2011-01-01,66.4
F,CH,2012-01-01,68.4
F,CH,2013-01-01,63.8
F,CH,2014-01-01,60.8
F,CH,2015-01-01,61.8
F,CY,2000-01-01,
F,CY,2001-01-01,
F,CY,2002-01-01,
F,CY,2003-01-01,
F,CY,2004-01-01,69.9
F,CY,2005-01-01,73.4
F,CY,2006-01-01,67.5
F,CY,2007-01-01,70.1
F,CY,2008-01-01,75.7
F,CY,2009-01-01,66.9
F,CY,2010-01-01,59.2
F,CY,2011-01-01,61.1
F,CY,2012-01-01,62.0
F,CY,2013-01-01,52.1
F,CY,2014-01-01,58.9
F,CY,2015-01-01,63.1
F,CZ,2000-01-01,143.2
F,CZ,2001-01-01,140.9
F,CZ,2002-01-01,133.8
F,CZ,2003-01-01,137.2
F,CZ,2004-01-01,127.1
F,CZ,2005-01-01,127.3
F,CZ,2006-01-01,123.5
F,CZ,2007-01-01,120.3
F,CZ,2008-01-01,117.5
F,CZ,2009-01-01,112.9
F,CZ,2010-01-01,110.5
F,CZ,2011-01-01,107.4
F,CZ,2012-01-01,105.5
F,CZ,2013-01-01,106.8
F,CZ,2014-01-01,98.5
F,CZ,2015-01-01,96.8
F,DE,2000-01-01,108.2
F,DE,2001-01-01,105.7
F,DE,2002-01-01,105.0
F,DE,2003-01-01,102.6
F,DE,2004-01-01,100.4
F,DE,2005-01-01,99.5
F,DE,2006-01-01,97.4
F,DE,2007-01-01,95.8
F,DE,2008-01-01,95.4
F,DE,2009-01-01,93.2
F,DE,2010-01-01,92.0
F,DE,2011-01-01,92.9
F,DE,2012-01-01,88.7
F,DE,2013-01-01,89.5
F,DE,2014-01-01,86.3
F,DE,2015-01-01,86.4
F,DK,2000-01-01,151.5
F,DK,2001-01-01,148.1
F,DK,2002-01-01,138.5
F,DK,2003-01-01,130.6
F,DK,2004-01-01,128.2
F,DK,2005-01-01,128.4
F,DK,2006-01-01,127.1
F,DK,2007-01-01,123.4
F,DK,2008-01-01,116.3
F,DK,2009-01-01,113.6
F,DK,2010-01-01,
F,DK,2011-01-01,107.7
F,DK,2012-01-01,104.7
F,DK,2013-01-01,99.7
F,DK,2014-01-01,97.9
F,DK,2015-01-01,94.9
F,EE,2000-01-01,178.2
F,EE,2001-01-01,172.7
F,EE,2002-01-01,162.2
F,EE,2003-01-01,162.8
F,EE,2004-01-01,147.9
F,EE,2005-01-01,141.2
F,EE,2006-01-01,151.1
F,EE,2007-01-01,134.1
F,EE,2008-01-01,129.3
F,EE,2009-01-01,116.9
F,EE,2010-01-01,110.7
F,EE,2011-01-01,108.5
F,EE,2012-01-01,105.3
F,EE,2013-01-01,101.1
