duration,isced11,age,sex,unit,geotime,date,value
Y1-3,ED3-8,Y20-34,F,PC,AT,2006-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,AT,2007-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,AT,2008-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,AT,2009-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,AT,2010-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,AT,2011-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,AT,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,AT,2013-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,AT,2014-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,AT,2015-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,AT,2016-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,AT,2017-01-01,90
Y1-3,ED3-8,Y20-34,F,PC,BE,2006-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,BE,2007-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,BE,2008-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,BE,2009-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,BE,2010-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,BE,2011-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,BE,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,BE,2013-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,BE,2014-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,BE,2015-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,BE,2016-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,BE,2017-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,BG,2006-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,BG,2007-01-01,70
Y1-3,ED3-8,Y20-34,F,PC,BG,2008-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,BG,2009-01-01,71
Y1-3,ED3-8,Y20-34,F,PC,BG,2010-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,BG,2011-01-01,60
Y1-3,ED3-8,Y20-34,F,PC,BG,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,BG,2013-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,BG,2014-01-01,66
Y1-3,ED3-8,Y20-34,F,PC,BG,2015-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,BG,2016-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,BG,2017-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,CH,2006-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,CH,2007-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,CH,2008-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,CH,2009-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,CH,2010-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,CH,2011-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,CH,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,CH,2013-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,CH,2014-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,CH,2015-01-01,85
Y1-3,ED3-8,Y20-34,F,PC,CH,2016-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,CH,2017-01-01,89
Y1-3,ED3-8,Y20-34,F,PC,CY,2006-01-01,80
Y1-3,ED3-8,Y20-34,F,PC,CY,2007-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,CY,2008-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,CY,2009-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,CY,2010-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,CY,2011-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,CY,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,CY,2013-01-01,61
Y1-3,ED3-8,Y20-34,F,PC,CY,2014-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,CY,2015-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,CY,2016-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,CY,2017-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,CZ,2006-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,CZ,2007-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,CZ,2008-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,CZ,2009-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,CZ,2010-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,CZ,2011-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,CZ,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,CZ,2013-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,CZ,2014-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,CZ,2015-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,CZ,2016-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,CZ,2017-01-01,85
Y1-3,ED3-8,Y20-34,F,PC,DE,2006-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,DE,2007-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,DE,2008-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,DE,2009-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,DE,2010-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,DE,2011-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,DE,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,DE,2013-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,DE,2014-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,DE,2015-01-01,88
Y1-3,ED3-8,Y20-34,F,PC,DE,2016-01-01,88
