co_nco,sector,finpos,na_item,unit,geotime,date,value
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1995-01-01,198227.3
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1996-01-01,207799.7
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1997-01-01,223472.6
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1998-01-01,234170.4
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,1999-01-01,255587.5
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2000-01-01,282849.7
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2001-01-01,295980.9
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2002-01-01,303226.6
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2003-01-01,316422.7
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2004-01-01,325311.6
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2005-01-01,342586.5
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2006-01-01,365044.6
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2007-01-01,398856.5
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2008-01-01,419084.3
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2009-01-01,418427.5
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2010-01-01,436885.2
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2011-01-01,451095.9
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2012-01-01,457897.2
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2013-01-01,475237.5
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2014-01-01,475347.6
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2015-01-01,490970.2
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2016-01-01,512449.4
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,AT,2017-01-01,525835.8
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1995-01-01,223897.1
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1996-01-01,236670.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1997-01-01,263444.3
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1998-01-01,287858.3
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,1999-01-01,330193.8
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2000-01-01,374824.9
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2001-01-01,402224.9
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2002-01-01,407656.3
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2003-01-01,437720.2
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2004-01-01,470530.4
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2005-01-01,486319.4
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2006-01-01,517223.2
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2007-01-01,584447.5
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2008-01-01,674660.3
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2009-01-01,718238.4
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2010-01-01,710145.2
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2011-01-01,773679.8
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2012-01-01,811051.7
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2013-01-01,822239.8
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2014-01-01,833320.1
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2015-01-01,869403.7
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2016-01-01,986287.2
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BE,2017-01-01,965228.3
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1995-01-01,395.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1996-01-01,1138.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1997-01-01,2068.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1998-01-01,3084.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,1999-01-01,5055.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2000-01-01,9968.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2001-01-01,14412.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2002-01-01,15804.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2003-01-01,20901.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2004-01-01,29452.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2005-01-01,41398.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2006-01-01,51698.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2007-01-01,79329.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2008-01-01,99511.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2009-01-01,105047.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2010-01-01,106436.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2011-01-01,107836.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2012-01-01,110583.0
NCO,S11_S14_S15,LIAB,F3_F4,MIO_NAC,BG,2013-01-01,117116.0
