coicop,unit,geo\time,date,value
TOT_X_NRG_FOOD_NP,I15,AT,2017-10-01,104.71 
TOT_X_NRG_FOOD_NP,I15,AT,2017-11-01,104.76 
TOT_X_NRG_FOOD_NP,I15,AT,2017-12-01,105.50 
TOT_X_NRG_FOOD_NP,I15,AT,2018-01-01,104.27 
TOT_X_NRG_FOOD_NP,I15,AT,2018-02-01,104.61 
TOT_X_NRG_FOOD_NP,I15,AT,2018-03-01,105.76 
TOT_X_NRG_FOOD_NP,I15,AT,2018-04-01,105.87 
TOT_X_NRG_FOOD_NP,I15,AT,2018-05-01,105.70 
TOT_X_NRG_FOOD_NP,I15,AT,2018-06-01,105.68 
TOT_X_NRG_FOOD_NP,I15,AT,2018-07-01,105.00 
TOT_X_NRG_FOOD_NP,I15,AT,2018-08-01,105.01 r
TOT_X_NRG_FOOD_NP,I15,AT,2018-09-01,106.30 
TOT_X_NRG_FOOD_NP,I15,BE,2017-10-01,104.12 
TOT_X_NRG_FOOD_NP,I15,BE,2017-11-01,104.03 
TOT_X_NRG_FOOD_NP,I15,BE,2017-12-01,104.53 
TOT_X_NRG_FOOD_NP,I15,BE,2018-01-01,102.92 
TOT_X_NRG_FOOD_NP,I15,BE,2018-02-01,105.04 
TOT_X_NRG_FOOD_NP,I15,BE,2018-03-01,105.04 
TOT_X_NRG_FOOD_NP,I15,BE,2018-04-01,105.35 
TOT_X_NRG_FOOD_NP,I15,BE,2018-05-01,105.51 
TOT_X_NRG_FOOD_NP,I15,BE,2018-06-01,105.64 
TOT_X_NRG_FOOD_NP,I15,BE,2018-07-01,104.64 
TOT_X_NRG_FOOD_NP,I15,BE,2018-08-01,106.33 
TOT_X_NRG_FOOD_NP,I15,BE,2018-09-01,105.69 
TOT_X_NRG_FOOD_NP,I15,BG,2017-10-01,99.88 
TOT_X_NRG_FOOD_NP,I15,BG,2017-11-01,100.00 
TOT_X_NRG_FOOD_NP,I15,BG,2017-12-01,100.71 
TOT_X_NRG_FOOD_NP,I15,BG,2018-01-01,100.78 
TOT_X_NRG_FOOD_NP,I15,BG,2018-02-01,100.91 
TOT_X_NRG_FOOD_NP,I15,BG,2018-03-01,100.89 
TOT_X_NRG_FOOD_NP,I15,BG,2018-04-01,101.10 
TOT_X_NRG_FOOD_NP,I15,BG,2018-05-01,101.13 
TOT_X_NRG_FOOD_NP,I15,BG,2018-06-01,101.70 
TOT_X_NRG_FOOD_NP,I15,BG,2018-07-01,102.91 
