na_item,s_adj,unit,nace_r2,geotime,date,value
D1,SCA,CP_MEUR,A,EA19,2015-10-01,10370.1 
D1,SCA,CP_MEUR,A,EA19,2016-01-01,10347.4 
D1,SCA,CP_MEUR,A,EA19,2016-04-01,10347.3 
D1,SCA,CP_MEUR,A,EA19,2016-07-01,10476.7 
D1,SCA,CP_MEUR,A,EA19,2016-10-01,10543.4 
D1,SCA,CP_MEUR,A,EA19,2017-01-01,10600.2 
D1,SCA,CP_MEUR,A,EA19,2017-04-01,10667.2 
D1,SCA,CP_MEUR,A,EA19,2017-07-01,10704.4 
D1,SCA,CP_MEUR,A,EA19,2017-10-01,10804.8 
D1,SCA,CP_MEUR,A,EA19,2018-01-01,10944.9 
D1,SCA,CP_MEUR,A,EA19,2018-04-01,11056.8 
D1,SCA,CP_MEUR,A,EE,2015-07-01,57.1 
D1,SCA,CP_MEUR,A,EE,2015-10-01,62.0 
D1,SCA,CP_MEUR,A,EE,2016-01-01,63.4 
D1,SCA,CP_MEUR,A,EE,2016-04-01,61.0 
D1,SCA,CP_MEUR,A,EE,2016-07-01,61.5 
D1,SCA,CP_MEUR,A,EE,2016-10-01,64.1 
D1,SCA,CP_MEUR,A,EE,2017-01-01,62.3 
D1,SCA,CP_MEUR,A,EE,2017-04-01,61.6 
D1,SCA,CP_MEUR,A,EE,2017-07-01,63.0 
D1,SCA,CP_MEUR,A,EE,2017-10-01,64.1 
D1,SCA,CP_MEUR,A,EE,2018-01-01,63.7 
D1,SCA,CP_MEUR,A,EE,2018-04-01,70.0 
D1,SCA,CP_MEUR,A,EL,2015-07-01,186.3 p
D1,SCA,CP_MEUR,A,EL,2015-10-01,190.9 p
D1,SCA,CP_MEUR,A,EL,2016-01-01,195.4 p
D1,SCA,CP_MEUR,A,EL,2016-04-01,192.4 p
D1,SCA,CP_MEUR,A,EL,2016-07-01,182.2 p
D1,SCA,CP_MEUR,A,EL,2016-10-01,174.9 p
D1,SCA,CP_MEUR,A,EL,2017-01-01,185.4 p
D1,SCA,CP_MEUR,A,EL,2017-04-01,187.3 p
D1,SCA,CP_MEUR,A,EL,2017-07-01,186.0 p
D1,SCA,CP_MEUR,A,EL,2017-10-01,189.1 p
D1,SCA,CP_MEUR,A,EL,2018-01-01,190.9 p
D1,SCA,CP_MEUR,A,EL,2018-04-01,191.9 p
D1,SCA,CP_MEUR,A,ES,2015-07-01,1215.0 
D1,SCA,CP_MEUR,A,ES,2015-10-01,1238.0 
D1,SCA,CP_MEUR,A,ES,2016-01-01,1229.0 p
D1,SCA,CP_MEUR,A,ES,2016-04-01,1224.0 p
D1,SCA,CP_MEUR,A,ES,2016-07-01,1238.0 p
D1,SCA,CP_MEUR,A,ES,2016-10-01,1242.0 p
D1,SCA,CP_MEUR,A,ES,2017-01-01,1273.0 p
D1,SCA,CP_MEUR,A,ES,2017-04-01,1294.0 p
D1,SCA,CP_MEUR,A,ES,2017-07-01,1290.0 p
D1,SCA,CP_MEUR,A,ES,2017-10-01,1303.0 p
D1,SCA,CP_MEUR,A,ES,2018-01-01,1296.0 p
D1,SCA,CP_MEUR,A,ES,2018-04-01,1281.0 p
D1,SCA,CP_MEUR,A,EU28,2015-07-01,14617.0 
D1,SCA,CP_MEUR,A,EU28,2015-10-01,14737.3 
D1,SCA,CP_MEUR,A,EU28,2016-01-01,14646.8 
D1,SCA,CP_MEUR,A,EU28,2016-04-01,14594.2 
D1,SCA,CP_MEUR,A,EU28,2016-07-01,14681.6 
D1,SCA,CP_MEUR,A,EU28,2016-10-01,14678.0 
D1,SCA,CP_MEUR,A,EU28,2017-01-01,14873.7 
D1,SCA,CP_MEUR,A,EU28,2017-04-01,15014.8 
D1,SCA,CP_MEUR,A,EU28,2017-07-01,15121.6 
D1,SCA,CP_MEUR,A,EU28,2017-10-01,15099.3 
D1,SCA,CP_MEUR,A,EU28,2018-01-01,15469.1 
D1,SCA,CP_MEUR,A,EU28,2018-04-01,15637.5 
D1,SCA,CP_MEUR,A,FI,2015-07-01,296.0 
D1,SCA,CP_MEUR,A,FI,2015-10-01,295.0 
D1,SCA,CP_MEUR,A,FI,2016-01-01,286.0 
D1,SCA,CP_MEUR,A,FI,2016-04-01,279.0 
D1,SCA,CP_MEUR,A,FI,2016-07-01,282.0 
D1,SCA,CP_MEUR,A,FI,2016-10-01,284.0 
D1,SCA,CP_MEUR,A,FI,2017-01-01,285.0 
D1,SCA,CP_MEUR,A,FI,2017-04-01,284.0 
D1,SCA,CP_MEUR,A,FI,2017-07-01,289.0 
D1,SCA,CP_MEUR,A,FI,2017-10-01,291.0 
D1,SCA,CP_MEUR,A,FI,2018-01-01,290.0 
D1,SCA,CP_MEUR,A,FI,2018-04-01,291.0 
D1,SCA,CP_MEUR,A,HR,2015-07-01,90.7 
D1,SCA,CP_MEUR,A,HR,2015-10-01,91.4 
D1,SCA,CP_MEUR,A,HR,2016-01-01,89.8 
D1,SCA,CP_MEUR,A,HR,2016-04-01,92.1 
D1,SCA,CP_MEUR,A,HR,2016-07-01,92.5 
D1,SCA,CP_MEUR,A,HR,2016-10-01,91.9 
D1,SCA,CP_MEUR,A,HR,2017-01-01,94.6 
D1,SCA,CP_MEUR,A,HR,2017-04-01,95.8 
D1,SCA,CP_MEUR,A,HR,2017-07-01,95.8 
D1,SCA,CP_MEUR,A,HR,2017-10-01,94.7 
D1,SCA,CP_MEUR,A,HR,2018-01-01,97.3 
D1,SCA,CP_MEUR,A,HR,2018-04-01,98.9 
D1,SCA,CP_MEUR,A,HU,2015-07-01,259.3 
D1,SCA,CP_MEUR,A,HU,2015-10-01,266.7 
D1,SCA,CP_MEUR,A,HU,2016-01-01,268.4 
D1,SCA,CP_MEUR,A,HU,2016-04-01,271.6 
D1,SCA,CP_MEUR,A,HU,2016-07-01,277.8 
D1,SCA,CP_MEUR,A,HU,2016-10-01,279.5 
D1,SCA,CP_MEUR,A,HU,2017-01-01,289.1 
D1,SCA,CP_MEUR,A,HU,2017-04-01,296.1 
D1,SCA,CP_MEUR,A,HU,2017-07-01,296.3 
D1,SCA,CP_MEUR,A,HU,2017-10-01,303.9 
D1,SCA,CP_MEUR,A,HU,2018-01-01,313.5 
D1,SCA,CP_MEUR,A,HU,2018-04-01,304.8 
D1,SCA,CP_MEUR,A,IE,2015-07-01,163.3 
D1,SCA,CP_MEUR,A,IE,2015-10-01,163.8 
D1,SCA,CP_MEUR,A,IE,2016-01-01,168.7 
D1,SCA,CP_MEUR,A,IE,2016-04-01,168.7 
D1,SCA,CP_MEUR,A,IE,2016-07-01,169.3 
D1,SCA,CP_MEUR,A,IE,2016-10-01,170.4 
D1,SCA,CP_MEUR,A,IE,2017-01-01,173.8 
D1,SCA,CP_MEUR,A,IE,2017-04-01,173.7 
D1,SCA,CP_MEUR,A,IE,2017-07-01,172.1 
D1,SCA,CP_MEUR,A,IE,2017-10-01,174.5 
D1,SCA,CP_MEUR,A,IE,2018-01-01,162.2 
D1,SCA,CP_MEUR,A,IE,2018-04-01,170.8 
D1,SCA,CP_MEUR,A,IT,2015-07-01,2216.5 
D1,SCA,CP_MEUR,A,IT,2015-10-01,2213.2 
D1,SCA,CP_MEUR,A,IT,2016-01-01,2208.6 
D1,SCA,CP_MEUR,A,IT,2016-04-01,2222.7 
D1,SCA,CP_MEUR,A,IT,2016-07-01,2238.8 
D1,SCA,CP_MEUR,A,IT,2016-10-01,2277.9 
D1,SCA,CP_MEUR,A,IT,2017-01-01,2282.4 
D1,SCA,CP_MEUR,A,IT,2017-04-01,2280.3 
D1,SCA,CP_MEUR,A,IT,2017-07-01,2271.1 
D1,SCA,CP_MEUR,A,IT,2017-10-01,2306.7 
D1,SCA,CP_MEUR,A,IT,2018-01-01,2392.0 
D1,SCA,CP_MEUR,A,IT,2018-04-01,2434.8 
D1,SCA,CP_MEUR,A,LT,2015-07-01,104.9 
D1,SCA,CP_MEUR,A,LT,2015-10-01,108.1 
D1,SCA,CP_MEUR,A,LT,2016-01-01,112.3 
D1,SCA,CP_MEUR,A,LT,2016-04-01,115.7 
D1,SCA,CP_MEUR,A,LT,2016-07-01,115.8 
D1,SCA,CP_MEUR,A,LT,2016-10-01,116.2 
D1,SCA,CP_MEUR,A,LT,2017-01-01,113.5 
D1,SCA,CP_MEUR,A,LT,2017-04-01,113.7 
D1,SCA,CP_MEUR,A,LT,2017-07-01,118.4 
D1,SCA,CP_MEUR,A,LT,2017-10-01,122.9 
D1,SCA,CP_MEUR,A,LT,2018-01-01,130.7 
D1,SCA,CP_MEUR,A,LT,2018-04-01,138.4 
D1,SCA,CP_MEUR,A,LU,2015-07-01,10.6 
D1,SCA,CP_MEUR,A,LU,2015-10-01,10.9 
D1,SCA,CP_MEUR,A,LU,2016-01-01,10.8 
D1,SCA,CP_MEUR,A,LU,2016-04-01,10.8 
D1,SCA,CP_MEUR,A,LU,2016-07-01,11.2 
D1,SCA,CP_MEUR,A,LU,2016-10-01,11.1 
D1,SCA,CP_MEUR,A,LU,2017-01-01,11.5 
D1,SCA,CP_MEUR,A,LU,2017-04-01,11.7 
D1,SCA,CP_MEUR,A,LU,2017-07-01,11.8 
D1,SCA,CP_MEUR,A,LU,2017-10-01,12.0 
D1,SCA,CP_MEUR,A,LU,2018-01-01,12.1 
D1,SCA,CP_MEUR,A,LU,2018-04-01,12.5 
D1,SCA,CP_MEUR,A,LV,2015-07-01,84.4 
D1,SCA,CP_MEUR,A,LV,2015-10-01,85.3 
D1,SCA,CP_MEUR,A,LV,2016-01-01,85.9 
D1,SCA,CP_MEUR,A,LV,2016-04-01,86.7 
D1,SCA,CP_MEUR,A,LV,2016-07-01,92.1 
D1,SCA,CP_MEUR,A,LV,2016-10-01,89.4 
D1,SCA,CP_MEUR,A,LV,2017-01-01,93.7 
D1,SCA,CP_MEUR,A,LV,2017-04-01,93.9 
D1,SCA,CP_MEUR,A,LV,2017-07-01,95.7 
D1,SCA,CP_MEUR,A,LV,2017-10-01,101.5 
D1,SCA,CP_MEUR,A,LV,2018-01-01,106.7 
D1,SCA,CP_MEUR,A,LV,2018-04-01,106.5 
D1,SCA,CP_MEUR,A,MT,2015-07-01,6.5 
D1,SCA,CP_MEUR,A,MT,2015-10-01,6.9 
D1,SCA,CP_MEUR,A,MT,2016-01-01,7.9 
D1,SCA,CP_MEUR,A,MT,2016-04-01,8.1 
D1,SCA,CP_MEUR,A,MT,2016-07-01,8.1 
D1,SCA,CP_MEUR,A,MT,2016-10-01,7.9 
D1,SCA,CP_MEUR,A,MT,2017-01-01,8.0 
D1,SCA,CP_MEUR,A,MT,2017-04-01,8.9 
D1,SCA,CP_MEUR,A,MT,2017-07-01,8.5 
D1,SCA,CP_MEUR,A,MT,2017-10-01,8.5 
D1,SCA,CP_MEUR,A,MT,2018-01-01,8.3 
D1,SCA,CP_MEUR,A,MT,2018-04-01,8.6 
D1,SCA,CP_MEUR,A,NL,2015-07-01,758.6 
D1,SCA,CP_MEUR,A,NL,2015-10-01,770.0 
D1,SCA,CP_MEUR,A,NL,2016-01-01,774.9 p
D1,SCA,CP_MEUR,A,NL,2016-04-01,772.3 p
D1,SCA,CP_MEUR,A,NL,2016-07-01,788.0 p
D1,SCA,CP_MEUR,A,NL,2016-10-01,791.6 p
D1,SCA,CP_MEUR,A,NL,2017-01-01,799.8 p
D1,SCA,CP_MEUR,A,NL,2017-04-01,805.8 p
D1,SCA,CP_MEUR,A,NL,2017-07-01,817.2 p
D1,SCA,CP_MEUR,A,NL,2017-10-01,833.2 p
D1,SCA,CP_MEUR,A,NL,2018-01-01,849.8 p
D1,SCA,CP_MEUR,A,NL,2018-04-01,864.9 p
D1,SCA,CP_MEUR,A,NO,2015-07-01,341.3 
D1,SCA,CP_MEUR,A,NO,2015-10-01,343.6 
D1,SCA,CP_MEUR,A,NO,2016-01-01,328.8 
D1,SCA,CP_MEUR,A,NO,2016-04-01,349.9 
D1,SCA,CP_MEUR,A,NO,2016-07-01,359.9 
D1,SCA,CP_MEUR,A,NO,2016-10-01,376.3 
D1,SCA,CP_MEUR,A,NO,2017-01-01,385.4 
D1,SCA,CP_MEUR,A,NO,2017-04-01,381.1 
D1,SCA,CP_MEUR,A,NO,2017-07-01,385.1 
D1,SCA,CP_MEUR,A,NO,2017-10-01,379.4 
D1,SCA,CP_MEUR,A,NO,2018-01-01,393.8 
D1,SCA,CP_MEUR,A,NO,2018-04-01,401.7 
D1,SCA,CP_MEUR,A,PL,2015-07-01,663.5 
D1,SCA,CP_MEUR,A,PL,2015-10-01,656.8 
D1,SCA,CP_MEUR,A,PL,2016-01-01,673.9 
D1,SCA,CP_MEUR,A,PL,2016-04-01,666.9 
D1,SCA,CP_MEUR,A,PL,2016-07-01,681.1 
D1,SCA,CP_MEUR,A,PL,2016-10-01,674.0 
D1,SCA,CP_MEUR,A,PL,2017-01-01,680.1 p
D1,SCA,CP_MEUR,A,PL,2017-04-01,700.4 p
D1,SCA,CP_MEUR,A,PL,2017-07-01,773.6 p
D1,SCA,CP_MEUR,A,PL,2017-10-01,777.5 p
D1,SCA,CP_MEUR,A,PL,2018-01-01,761.5 p
D1,SCA,CP_MEUR,A,PL,2018-04-01,768.7 p
D1,SCA,CP_MEUR,A,PT,2015-07-01,256.2 
D1,SCA,CP_MEUR,A,PT,2015-10-01,261.9 
D1,SCA,CP_MEUR,A,PT,2016-01-01,267.4 
D1,SCA,CP_MEUR,A,PT,2016-04-01,273.2 
D1,SCA,CP_MEUR,A,PT,2016-07-01,277.2 
D1,SCA,CP_MEUR,A,PT,2016-10-01,280.2 
D1,SCA,CP_MEUR,A,PT,2017-01-01,282.5 
D1,SCA,CP_MEUR,A,PT,2017-04-01,283.7 
D1,SCA,CP_MEUR,A,PT,2017-07-01,285.8 
D1,SCA,CP_MEUR,A,PT,2017-10-01,286.8 
D1,SCA,CP_MEUR,A,PT,2018-01-01,287.7 
D1,SCA,CP_MEUR,A,PT,2018-04-01,289.4 
D1,SCA,CP_MEUR,A,RO,2015-07-01,254.6 
D1,SCA,CP_MEUR,A,RO,2015-10-01,265.5 
D1,SCA,CP_MEUR,A,RO,2016-01-01,267.9 p
D1,SCA,CP_MEUR,A,RO,2016-04-01,293.6 p
D1,SCA,CP_MEUR,A,RO,2016-07-01,299.4 p
D1,SCA,CP_MEUR,A,RO,2016-10-01,311.5 p
D1,SCA,CP_MEUR,A,RO,2017-01-01,312.2 p
D1,SCA,CP_MEUR,A,RO,2017-04-01,325.7 p
D1,SCA,CP_MEUR,A,RO,2017-07-01,351.3 p
D1,SCA,CP_MEUR,A,RO,2017-10-01,367.9 p
D1,SCA,CP_MEUR,A,RO,2018-01-01,372.9 p
D1,SCA,CP_MEUR,A,RO,2018-04-01,400.3 p
D1,SCA,CP_MEUR,A,SE,2015-07-01,490.4 
D1,SCA,CP_MEUR,A,SE,2015-10-01,495.4 
D1,SCA,CP_MEUR,A,SE,2016-01-01,498.2 
D1,SCA,CP_MEUR,A,SE,2016-04-01,501.1 
D1,SCA,CP_MEUR,A,SE,2016-07-01,488.8 
D1,SCA,CP_MEUR,A,SE,2016-10-01,481.0 
D1,SCA,CP_MEUR,A,SE,2017-01-01,495.6 
D1,SCA,CP_MEUR,A,SE,2017-04-01,489.9 
D1,SCA,CP_MEUR,A,SE,2017-07-01,500.4 
D1,SCA,CP_MEUR,A,SE,2017-10-01,493.3 
D1,SCA,CP_MEUR,A,SE,2018-01-01,488.2 
D1,SCA,CP_MEUR,A,SE,2018-04-01,474.5 
D1,SCA,CP_MEUR,A,SI,2015-07-01,28.6 
D1,SCA,CP_MEUR,A,SI,2015-10-01,28.7 
D1,SCA,CP_MEUR,A,SI,2016-01-01,27.7 
D1,SCA,CP_MEUR,A,SI,2016-04-01,27.2 
D1,SCA,CP_MEUR,A,SI,2016-07-01,27.4 
D1,SCA,CP_MEUR,A,SI,2016-10-01,27.2 
D1,SCA,CP_MEUR,A,SI,2017-01-01,27.6 
D1,SCA,CP_MEUR,A,SI,2017-04-01,27.5 
D1,SCA,CP_MEUR,A,SI,2017-07-01,27.5 
D1,SCA,CP_MEUR,A,SI,2017-10-01,27.5 
D1,SCA,CP_MEUR,A,SI,2018-01-01,28.0 
D1,SCA,CP_MEUR,A,SI,2018-04-01,29.2 
D1,SCA,CP_MEUR,A,UK,2015-07-01,1741.1 
D1,SCA,CP_MEUR,A,UK,2015-10-01,1727.1 
D1,SCA,CP_MEUR,A,UK,2016-01-01,1618.7 
D1,SCA,CP_MEUR,A,UK,2016-04-01,1537.9 
D1,SCA,CP_MEUR,A,UK,2016-07-01,1479.3 
D1,SCA,CP_MEUR,A,UK,2016-10-01,1418.7 
D1,SCA,CP_MEUR,A,UK,2017-01-01,1527.7 
D1,SCA,CP_MEUR,A,UK,2017-04-01,1541.0 
D1,SCA,CP_MEUR,A,UK,2017-07-01,1490.3 
D1,SCA,CP_MEUR,A,UK,2017-10-01,1320.8 
D1,SCA,CP_MEUR,A,UK,2018-01-01,1552.0 
D1,SCA,CP_MEUR,A,UK,2018-04-01,1565.9 
D1,SCA,CP_MEUR,B-E,AT,2015-07-01,8876.7 
D1,SCA,CP_MEUR,B-E,AT,2015-10-01,8990.6 
D1,SCA,CP_MEUR,B-E,AT,2016-01-01,9068.3 
D1,SCA,CP_MEUR,B-E,AT,2016-04-01,9122.1 
D1,SCA,CP_MEUR,B-E,AT,2016-07-01,9227.9 
D1,SCA,CP_MEUR,B-E,AT,2016-10-01,9243.6 
D1,SCA,CP_MEUR,B-E,AT,2017-01-01,9318.1 
D1,SCA,CP_MEUR,B-E,AT,2017-04-01,9408.7 
D1,SCA,CP_MEUR,B-E,AT,2017-07-01,9473.9 
D1,SCA,CP_MEUR,B-E,AT,2017-10-01,9657.2 
D1,SCA,CP_MEUR,B-E,AT,2018-01-01,9843.7 
D1,SCA,CP_MEUR,B-E,AT,2018-04-01,9977.6 
D1,SCA,CP_MEUR,B-E,BE,2015-07-01,8656.0 
D1,SCA,CP_MEUR,B-E,BE,2015-10-01,8659.0 
D1,SCA,CP_MEUR,B-E,BE,2016-01-01,8735.0 
D1,SCA,CP_MEUR,B-E,BE,2016-04-01,8617.0 
D1,SCA,CP_MEUR,B-E,BE,2016-07-01,8654.0 
D1,SCA,CP_MEUR,B-E,BE,2016-10-01,8678.0 
D1,SCA,CP_MEUR,B-E,BE,2017-01-01,8785.0 
D1,SCA,CP_MEUR,B-E,BE,2017-04-01,8981.0 
D1,SCA,CP_MEUR,B-E,BE,2017-07-01,9023.0 
D1,SCA,CP_MEUR,B-E,BE,2017-10-01,9053.0 
D1,SCA,CP_MEUR,B-E,BE,2018-01-01,9073.0 
D1,SCA,CP_MEUR,B-E,BE,2018-04-01,9206.0 
D1,SCA,CP_MEUR,B-E,BG,2015-07-01,1040.1 
D1,SCA,CP_MEUR,B-E,BG,2015-10-01,1072.5 
D1,SCA,CP_MEUR,B-E,BG,2016-01-01,1125.3 
D1,SCA,CP_MEUR,B-E,BG,2016-04-01,1130.2 
D1,SCA,CP_MEUR,B-E,BG,2016-07-01,1141.1 
D1,SCA,CP_MEUR,B-E,BG,2016-10-01,1200.8 
D1,SCA,CP_MEUR,B-E,BG,2017-01-01,1217.4 
D1,SCA,CP_MEUR,B-E,BG,2017-04-01,1266.0 
D1,SCA,CP_MEUR,B-E,BG,2017-07-01,1295.8 
D1,SCA,CP_MEUR,B-E,BG,2017-10-01,1331.5 
D1,SCA,CP_MEUR,B-E,BG,2018-01-01,1390.5 p
D1,SCA,CP_MEUR,B-E,BG,2018-04-01,1418.2 p
D1,SCA,CP_MEUR,B-E,CY,2015-07-01,169.4 
D1,SCA,CP_MEUR,B-E,CY,2015-10-01,173.3 
D1,SCA,CP_MEUR,B-E,CY,2016-01-01,176.1 
D1,SCA,CP_MEUR,B-E,CY,2016-04-01,177.9 
D1,SCA,CP_MEUR,B-E,CY,2016-07-01,179.4 
D1,SCA,CP_MEUR,B-E,CY,2016-10-01,179.7 
D1,SCA,CP_MEUR,B-E,CY,2017-01-01,180.5 
D1,SCA,CP_MEUR,B-E,CY,2017-04-01,182.9 
D1,SCA,CP_MEUR,B-E,CY,2017-07-01,186.0 
D1,SCA,CP_MEUR,B-E,CY,2017-10-01,190.0 
D1,SCA,CP_MEUR,B-E,CY,2018-01-01,194.8 
D1,SCA,CP_MEUR,B-E,CY,2018-04-01,198.8 
D1,SCA,CP_MEUR,B-E,CZ,2015-07-01,5312.4 
D1,SCA,CP_MEUR,B-E,CZ,2015-10-01,5433.2 
D1,SCA,CP_MEUR,B-E,CZ,2016-01-01,5552.6 
D1,SCA,CP_MEUR,B-E,CZ,2016-04-01,5591.8 
D1,SCA,CP_MEUR,B-E,CZ,2016-07-01,5688.6 
D1,SCA,CP_MEUR,B-E,CZ,2016-10-01,5759.0 
