airpol,geo\time,date,value
PM10,FI,2008-01-01,13.4 
PM10,FI,2009-01-01,13.1 
PM10,FI,2010-01-01,13.4 
PM10,FI,2011-01-01,12.5 
PM10,FI,2012-01-01,11.1 
PM10,FI,2013-01-01,11.4 
PM10,FI,2014-01-01,13.7 
PM10,FI,2015-01-01,11.3 
PM10,FI,2016-01-01,: 
PM10,FR,2000-01-01,: 
PM10,FR,2001-01-01,21.5 
PM10,FR,2002-01-01,21.5 
PM10,FR,2003-01-01,23.6 
PM10,FR,2004-01-01,20.6 
PM10,FR,2005-01-01,20.2 
PM10,FR,2006-01-01,20.9 
PM10,FR,2007-01-01,26.9 
PM10,FR,2008-01-01,24 
PM10,FR,2009-01-01,26.5 
PM10,FR,2010-01-01,25 
PM10,FR,2011-01-01,25.4 
PM10,FR,2012-01-01,23.8 
PM10,FR,2013-01-01,23.2 
PM10,FR,2014-01-01,18.2 
PM10,FR,2015-01-01,20.4 
PM10,FR,2016-01-01,: 
PM10,HR,2000-01-01,: 
PM10,HR,2001-01-01,: 
PM10,HR,2002-01-01,: 
PM10,HR,2003-01-01,: 
PM10,HR,2004-01-01,: 
PM10,HR,2005-01-01,: 
PM10,HR,2006-01-01,: 
PM10,HR,2007-01-01,: 
PM10,HR,2008-01-01,: 
PM10,HR,2009-01-01,: 
PM10,HR,2010-01-01,: 
PM10,HR,2011-01-01,: 
PM10,HR,2012-01-01,: 
PM10,HR,2013-01-01,34 
PM10,HR,2014-01-01,29.7 
PM10,HR,2015-01-01,32.5 
PM10,HR,2016-01-01,: 
PM10,HU,2000-01-01,: 
PM10,HU,2001-01-01,: 
PM10,HU,2002-01-01,: 
PM10,HU,2003-01-01,33.9 
PM10,HU,2004-01-01,23.7 
PM10,HU,2005-01-01,39 
PM10,HU,2006-01-01,37.4 
PM10,HU,2007-01-01,31.6 
PM10,HU,2008-01-01,29.3 
PM10,HU,2009-01-01,29.7 
PM10,HU,2010-01-01,31.3 
PM10,HU,2011-01-01,33.3 
PM10,HU,2012-01-01,28.8 
PM10,HU,2013-01-01,27.3 
PM10,HU,2014-01-01,28.2 
PM10,HU,2015-01-01,26.9 
PM10,HU,2016-01-01,: 
PM10,IE,2000-01-01,: 
PM10,IE,2001-01-01,20.4 
PM10,IE,2002-01-01,17.4 
PM10,IE,2003-01-01,18.8 
PM10,IE,2004-01-01,14.7 
PM10,IE,2005-01-01,15.3 
PM10,IE,2006-01-01,16.5 
PM10,IE,2007-01-01,14.7 
PM10,IE,2008-01-01,13.8 
PM10,IE,2009-01-01,13.3 
PM10,IE,2010-01-01,15.6 
PM10,IE,2011-01-01,15.7 
PM10,IE,2012-01-01,12.7 
PM10,IE,2013-01-01,15 
PM10,IE,2014-01-01,14.5 
PM10,IE,2015-01-01,13.1 
PM10,IE,2016-01-01,: 
PM10,IS,2000-01-01,: 
PM10,IS,2001-01-01,: 
PM10,IS,2002-01-01,: 
PM10,IS,2003-01-01,21.3 
PM10,IS,2004-01-01,29.7 
PM10,IS,2005-01-01,19.6 
PM10,IS,2006-01-01,20.2 
PM10,IS,2007-01-01,11.5 
PM10,IS,2008-01-01,: 
PM10,IS,2009-01-01,8.6 
PM10,IS,2010-01-01,10.8 
PM10,IS,2011-01-01,9.1 
PM10,IS,2012-01-01,8.7 
PM10,IS,2013-01-01,11.5 
PM10,IS,2014-01-01,: 
PM10,IS,2015-01-01,: 
PM10,IS,2016-01-01,: 
PM10,IT,2000-01-01,48.7 
PM10,IT,2001-01-01,39.4 
PM10,IT,2002-01-01,40.2 
PM10,IT,2003-01-01,39.3 
PM10,IT,2004-01-01,37.8 
PM10,IT,2005-01-01,40.5 
PM10,IT,2006-01-01,39.2 
PM10,IT,2007-01-01,37.9 
PM10,IT,2008-01-01,34.7 
PM10,IT,2009-01-01,33.2 
PM10,IT,2010-01-01,30.4 
PM10,IT,2011-01-01,35.4 
PM10,IT,2012-01-01,30.7 
PM10,IT,2013-01-01,30.3 
PM10,IT,2014-01-01,26.8 
PM10,IT,2015-01-01,30.7 
PM10,IT,2016-01-01,: 
PM10,LT,2000-01-01,: 
PM10,LT,2001-01-01,: 
PM10,LT,2002-01-01,: 
PM10,LT,2003-01-01,: 
PM10,LT,2004-01-01,23.3 
PM10,LT,2005-01-01,22.8 
PM10,LT,2006-01-01,20.3 
PM10,LT,2007-01-01,20.6 
PM10,LT,2008-01-01,18.5 
PM10,LT,2009-01-01,23 
PM10,LT,2010-01-01,26.9 
PM10,LT,2011-01-01,22.7 
PM10,LT,2012-01-01,20.3 
PM10,LT,2013-01-01,23.9 
PM10,LT,2014-01-01,23.4 
PM10,LT,2015-01-01,21.7 
PM10,LT,2016-01-01,: 
PM10,LU,2000-01-01,: 
PM10,LU,2001-01-01,: 
PM10,LU,2002-01-01,: 
PM10,LU,2003-01-01,: 
PM10,LU,2004-01-01,: 
PM10,LU,2005-01-01,: 
PM10,LU,2006-01-01,21 
PM10,LU,2007-01-01,17.2 
PM10,LU,2008-01-01,14.4 
PM10,LU,2009-01-01,14.2 
PM10,LU,2010-01-01,17 
PM10,LU,2011-01-01,18.2 
PM10,LU,2012-01-01,17.8 
PM10,LU,2013-01-01,20.8 
PM10,LU,2014-01-01,20.7 
PM10,LU,2015-01-01,21.4 
PM10,LU,2016-01-01,: 
PM10,LV,2000-01-01,: 
PM10,LV,2001-01-01,: 
PM10,LV,2002-01-01,: 
PM10,LV,2003-01-01,: 
PM10,LV,2004-01-01,: 
PM10,LV,2005-01-01,: 
PM10,LV,2006-01-01,: 
PM10,LV,2007-01-01,: 
PM10,LV,2008-01-01,23.8 
PM10,LV,2009-01-01,20.3 
PM10,LV,2010-01-01,24.4 
PM10,LV,2011-01-01,23 
PM10,LV,2012-01-01,22.8 
PM10,LV,2013-01-01,21.4 
PM10,LV,2014-01-01,23.7 
PM10,LV,2015-01-01,19.9 
PM10,LV,2016-01-01,: 
PM10,NL,2000-01-01,31 
PM10,NL,2001-01-01,30.2 
PM10,NL,2002-01-01,32.4 
PM10,NL,2003-01-01,34.7 
PM10,NL,2004-01-01,30.6 
PM10,NL,2005-01-01,30 
PM10,NL,2006-01-01,32.5 
PM10,NL,2007-01-01,31.2 
PM10,NL,2008-01-01,25.3 
PM10,NL,2009-01-01,25.3 
PM10,NL,2010-01-01,24.7 
PM10,NL,2011-01-01,25.3 
PM10,NL,2012-01-01,21.2 
PM10,NL,2013-01-01,21.2 
PM10,NL,2014-01-01,21.2 
PM10,NL,2015-01-01,19.7 
PM10,NL,2016-01-01,: 
PM10,NO,2000-01-01,: 
PM10,NO,2001-01-01,: 
PM10,NO,2002-01-01,: 
PM10,NO,2003-01-01,19.6 
PM10,NO,2004-01-01,16.8 
PM10,NO,2005-01-01,22.3 
PM10,NO,2006-01-01,22.6 
PM10,NO,2007-01-01,20.3 
PM10,NO,2008-01-01,18.9 
PM10,NO,2009-01-01,19.1 
PM10,NO,2010-01-01,19.7 
PM10,NO,2011-01-01,19.6 
PM10,NO,2012-01-01,16 
PM10,NO,2013-01-01,16.7 
PM10,NO,2014-01-01,15.1 
PM10,NO,2015-01-01,13.9 
PM10,NO,2016-01-01,15.2 
PM10,PL,2000-01-01,40.8 
PM10,PL,2001-01-01,37.9 
PM10,PL,2002-01-01,41.7 
PM10,PL,2003-01-01,42.8 
PM10,PL,2004-01-01,34 
PM10,PL,2005-01-01,37.3 
PM10,PL,2006-01-01,42.9 
PM10,PL,2007-01-01,32.4 
PM10,PL,2008-01-01,31.7 
PM10,PL,2009-01-01,35 
PM10,PL,2010-01-01,39.7 
PM10,PL,2011-01-01,39.7 
PM10,PL,2012-01-01,37.3 
PM10,PL,2013-01-01,33.8 
PM10,PL,2014-01-01,35.1 
PM10,PL,2015-01-01,33.1 
PM10,PL,2016-01-01,: 
PM10,PT,2000-01-01,32.7 
PM10,PT,2001-01-01,36.5 
PM10,PT,2002-01-01,34.3 
PM10,PT,2003-01-01,33.7 
PM10,PT,2004-01-01,32.7 
PM10,PT,2005-01-01,33 
PM10,PT,2006-01-01,31.5 
PM10,PT,2007-01-01,30.7 
PM10,PT,2008-01-01,25 
PM10,PT,2009-01-01,26.5 
PM10,PT,2010-01-01,25 
PM10,PT,2011-01-01,26.2 
PM10,PT,2012-01-01,21.8 
PM10,PT,2013-01-01,22 
PM10,PT,2014-01-01,16.5 
PM10,PT,2015-01-01,20.2 
PM10,PT,2016-01-01,20.1 
PM10,RO,2000-01-01,: 
PM10,RO,2001-01-01,: 
PM10,RO,2002-01-01,: 
PM10,RO,2003-01-01,49.9 
PM10,RO,2004-01-01,54 
PM10,RO,2005-01-01,49.4 
PM10,RO,2006-01-01,52.8 
PM10,RO,2007-01-01,45.6 
PM10,RO,2008-01-01,40.1 
PM10,RO,2009-01-01,29.9 
PM10,RO,2010-01-01,34.9 
PM10,RO,2011-01-01,39.1 
PM10,RO,2012-01-01,33.3 
PM10,RO,2013-01-01,28 
PM10,RO,2014-01-01,25 
PM10,RO,2015-01-01,27.7 
PM10,RO,2016-01-01,: 
PM10,SE,2000-01-01,16.9 
PM10,SE,2001-01-01,17.8 
PM10,SE,2002-01-01,19.3 
PM10,SE,2003-01-01,19.2 
PM10,SE,2004-01-01,18.1 
PM10,SE,2005-01-01,19.5 
PM10,SE,2006-01-01,20.1 
PM10,SE,2007-01-01,17.2 
PM10,SE,2008-01-01,17.4 
PM10,SE,2009-01-01,14.5 
PM10,SE,2010-01-01,14 
PM10,SE,2011-01-01,16 
PM10,SE,2012-01-01,14.1 
PM10,SE,2013-01-01,14.9 
PM10,SE,2014-01-01,14.3 
PM10,SE,2015-01-01,12.2 
PM10,SE,2016-01-01,: 
PM10,SI,2000-01-01,: 
PM10,SI,2001-01-01,: 
PM10,SI,2002-01-01,31 
PM10,SI,2003-01-01,44 
PM10,SI,2004-01-01,40.9 
PM10,SI,2005-01-01,36.8 
PM10,SI,2006-01-01,33.3 
PM10,SI,2007-01-01,32.3 
PM10,SI,2008-01-01,29.1 
PM10,SI,2009-01-01,27.5 
PM10,SI,2010-01-01,28.2 
PM10,SI,2011-01-01,31 
PM10,SI,2012-01-01,25.4 
PM10,SI,2013-01-01,24.9 
PM10,SI,2014-01-01,22.5 
PM10,SI,2015-01-01,27.4 
PM10,SI,2016-01-01,: 
PM10,SK,2000-01-01,29.1 
PM10,SK,2001-01-01,27.1 
PM10,SK,2002-01-01,28.8 
PM10,SK,2003-01-01,30.3 
PM10,SK,2004-01-01,31.5 
PM10,SK,2005-01-01,33.8 
PM10,SK,2006-01-01,31.2 
PM10,SK,2007-01-01,28.7 
PM10,SK,2008-01-01,27.1 
PM10,SK,2009-01-01,24.8 
PM10,SK,2010-01-01,29.6 
PM10,SK,2011-01-01,34.4 
PM10,SK,2012-01-01,28.9 
PM10,SK,2013-01-01,24.5 
PM10,SK,2014-01-01,27.9 
PM10,SK,2015-01-01,23.9 
PM10,SK,2016-01-01,: 
PM10,UK,2000-01-01,23.2 
PM10,UK,2001-01-01,24 
PM10,UK,2002-01-01,23.2 
PM10,UK,2003-01-01,25.9 
PM10,UK,2004-01-01,22.4 
PM10,UK,2005-01-01,23.3 
PM10,UK,2006-01-01,24.7 
PM10,UK,2007-01-01,24 
PM10,UK,2008-01-01,20.8 
PM10,UK,2009-01-01,19.3 
PM10,UK,2010-01-01,17.8 
PM10,UK,2011-01-01,21.7 
PM10,UK,2012-01-01,18.3 
PM10,UK,2013-01-01,17.9 
PM10,UK,2014-01-01,17.7 
PM10,UK,2015-01-01,16.4 
PM10,UK,2016-01-01,: 
PM2_5,AT,2000-01-01,: 
PM2_5,AT,2001-01-01,: 
PM2_5,AT,2002-01-01,: 
PM2_5,AT,2003-01-01,: 
PM2_5,AT,2004-01-01,: 
PM2_5,AT,2005-01-01,23.8 
PM2_5,AT,2006-01-01,25 
PM2_5,AT,2007-01-01,23.1 
PM2_5,AT,2008-01-01,19.9 
PM2_5,AT,2009-01-01,17.9 
PM2_5,AT,2010-01-01,19.9 
PM2_5,AT,2011-01-01,19 
PM2_5,AT,2012-01-01,16.2 
PM2_5,AT,2013-01-01,17.5 
PM2_5,AT,2014-01-01,15.2 
PM2_5,AT,2015-01-01,14.4 
PM2_5,AT,2016-01-01,: 
PM2_5,BE,2000-01-01,14.5 
PM2_5,BE,2001-01-01,14.3 
PM2_5,BE,2002-01-01,14.5 
PM2_5,BE,2003-01-01,15.2 
PM2_5,BE,2004-01-01,13.3 
PM2_5,BE,2005-01-01,15 
PM2_5,BE,2006-01-01,18.5 
PM2_5,BE,2007-01-01,21.1 
PM2_5,BE,2008-01-01,18.6 
PM2_5,BE,2009-01-01,18.9 
PM2_5,BE,2010-01-01,17.7 
PM2_5,BE,2011-01-01,17.7 
PM2_5,BE,2012-01-01,16.1 
PM2_5,BE,2013-01-01,17 
PM2_5,BE,2014-01-01,14.4 
PM2_5,BE,2015-01-01,13.5 
PM2_5,BE,2016-01-01,: 
PM2_5,BG,2000-01-01,: 
PM2_5,BG,2001-01-01,: 
PM2_5,BG,2002-01-01,: 
PM2_5,BG,2003-01-01,: 
PM2_5,BG,2004-01-01,: 
PM2_5,BG,2005-01-01,: 
PM2_5,BG,2006-01-01,44.7 
PM2_5,BG,2007-01-01,41.2 
PM2_5,BG,2008-01-01,41.5 
PM2_5,BG,2009-01-01,24.7 
PM2_5,BG,2010-01-01,31.1 
PM2_5,BG,2011-01-01,41.3 
PM2_5,BG,2012-01-01,29.3 
PM2_5,BG,2013-01-01,26.3 
PM2_5,BG,2014-01-01,26.1 
PM2_5,BG,2015-01-01,: 
PM2_5,BG,2016-01-01,: 
PM2_5,CH,2000-01-01,17.2 
PM2_5,CH,2001-01-01,18.1 
PM2_5,CH,2002-01-01,19.5 
PM2_5,CH,2003-01-01,22.6 
PM2_5,CH,2004-01-01,18.6 
PM2_5,CH,2005-01-01,18.5 
PM2_5,CH,2006-01-01,18.1 
PM2_5,CH,2007-01-01,15.6 
PM2_5,CH,2008-01-01,14.3 
PM2_5,CH,2009-01-01,14.6 
PM2_5,CH,2010-01-01,: 
PM2_5,CH,2011-01-01,: 
PM2_5,CH,2012-01-01,: 
PM2_5,CH,2013-01-01,: 
PM2_5,CH,2014-01-01,: 
PM2_5,CH,2015-01-01,11.6 
PM2_5,CH,2016-01-01,: 
PM2_5,CY,2000-01-01,: 
PM2_5,CY,2001-01-01,: 
PM2_5,CY,2002-01-01,: 
PM2_5,CY,2003-01-01,: 
PM2_5,CY,2004-01-01,: 
PM2_5,CY,2005-01-01,: 
PM2_5,CY,2006-01-01,: 
PM2_5,CY,2007-01-01,: 
PM2_5,CY,2008-01-01,: 
PM2_5,CY,2009-01-01,21.5 
PM2_5,CY,2010-01-01,22.2 
PM2_5,CY,2011-01-01,23.2 
PM2_5,CY,2012-01-01,24.3 
PM2_5,CY,2013-01-01,17 
PM2_5,CY,2014-01-01,17.2 
PM2_5,CY,2015-01-01,17.3 
PM2_5,CY,2016-01-01,: 
PM2_5,CZ,2000-01-01,: 
PM2_5,CZ,2001-01-01,: 
PM2_5,CZ,2002-01-01,: 
PM2_5,CZ,2003-01-01,: 
PM2_5,CZ,2004-01-01,23.8 
PM2_5,CZ,2005-01-01,26.1 
PM2_5,CZ,2006-01-01,25 
PM2_5,CZ,2007-01-01,18 
PM2_5,CZ,2008-01-01,19.3 
PM2_5,CZ,2009-01-01,20.3 
PM2_5,CZ,2010-01-01,22.8 
PM2_5,CZ,2011-01-01,21 
PM2_5,CZ,2012-01-01,19.2 
PM2_5,CZ,2013-01-01,20.2 
PM2_5,CZ,2014-01-01,19 
PM2_5,CZ,2015-01-01,17.4 
PM2_5,CZ,2016-01-01,: 
PM2_5,DE,2000-01-01,: 
PM2_5,DE,2001-01-01,: 
PM2_5,DE,2002-01-01,: 
PM2_5,DE,2003-01-01,17.7 
PM2_5,DE,2004-01-01,13 
PM2_5,DE,2005-01-01,15.6 
PM2_5,DE,2006-01-01,17.6 
PM2_5,DE,2007-01-01,15.7 
PM2_5,DE,2008-01-01,16.2 
PM2_5,DE,2009-01-01,16.8 
PM2_5,DE,2010-01-01,17.5 
PM2_5,DE,2011-01-01,17.1 
PM2_5,DE,2012-01-01,14.3 
PM2_5,DE,2013-01-01,14.6 
PM2_5,DE,2014-01-01,14.9 
PM2_5,DE,2015-01-01,13.3 
PM2_5,DE,2016-01-01,: 
PM2_5,DK,2000-01-01,: 
PM2_5,DK,2001-01-01,: 
PM2_5,DK,2002-01-01,: 
PM2_5,DK,2003-01-01,: 
PM2_5,DK,2004-01-01,9.7 
PM2_5,DK,2005-01-01,10.8 
PM2_5,DK,2006-01-01,11.7 
PM2_5,DK,2007-01-01,10.3 
PM2_5,DK,2008-01-01,10.8 
PM2_5,DK,2009-01-01,10.2 
PM2_5,DK,2010-01-01,11 
PM2_5,DK,2011-01-01,16.3 
PM2_5,DK,2012-01-01,11.1 
PM2_5,DK,2013-01-01,10.3 
PM2_5,DK,2014-01-01,12.4 
PM2_5,DK,2015-01-01,11 
PM2_5,DK,2016-01-01,: 
PM2_5,EE,2000-01-01,: 
PM2_5,EE,2001-01-01,: 
PM2_5,EE,2002-01-01,: 
PM2_5,EE,2003-01-01,: 
PM2_5,EE,2004-01-01,: 
PM2_5,EE,2005-01-01,: 
PM2_5,EE,2006-01-01,: 
PM2_5,EE,2007-01-01,10.9 
PM2_5,EE,2008-01-01,5.4 
PM2_5,EE,2009-01-01,6.2 
PM2_5,EE,2010-01-01,7.6 
PM2_5,EE,2011-01-01,6.9 
PM2_5,EE,2012-01-01,7.8 
PM2_5,EE,2013-01-01,8.1 
PM2_5,EE,2014-01-01,8.6 
PM2_5,EE,2015-01-01,6.7 
PM2_5,EE,2016-01-01,: 
PM2_5,EL,2000-01-01,: 
PM2_5,EL,2001-01-01,: 
PM2_5,EL,2002-01-01,: 
PM2_5,EL,2003-01-01,: 
PM2_5,EL,2004-01-01,: 
PM2_5,EL,2005-01-01,28.6 
PM2_5,EL,2006-01-01,: 
PM2_5,EL,2007-01-01,26.2 
PM2_5,EL,2008-01-01,24.3 
PM2_5,EL,2009-01-01,20 
PM2_5,EL,2010-01-01,: 
PM2_5,EL,2011-01-01,17 
PM2_5,EL,2012-01-01,18.4 
PM2_5,EL,2013-01-01,10 
PM2_5,EL,2014-01-01,: 
PM2_5,EL,2015-01-01,16.4 
PM2_5,EL,2016-01-01,: 
PM2_5,ES,2000-01-01,: 
PM2_5,ES,2001-01-01,: 
PM2_5,ES,2002-01-01,: 
PM2_5,ES,2003-01-01,: 
PM2_5,ES,2004-01-01,14.1 
PM2_5,ES,2005-01-01,14.5 
PM2_5,ES,2006-01-01,21 
PM2_5,ES,2007-01-01,15.6 
PM2_5,ES,2008-01-01,13.3 
PM2_5,ES,2009-01-01,15.3 
PM2_5,ES,2010-01-01,13 
PM2_5,ES,2011-01-01,13.3 
PM2_5,ES,2012-01-01,13.4 
PM2_5,ES,2013-01-01,11.3 
PM2_5,ES,2014-01-01,11.5 
PM2_5,ES,2015-01-01,13.8 
PM2_5,ES,2016-01-01,: 
PM2_5,EU28,2000-01-01,14.4 
PM2_5,EU28,2001-01-01,14.4 
PM2_5,EU28,2002-01-01,14.6 
PM2_5,EU28,2003-01-01,14.9 
PM2_5,EU28,2004-01-01,16.9 
PM2_5,EU28,2005-01-01,15.6 
PM2_5,EU28,2006-01-01,18 
PM2_5,EU28,2007-01-01,16.8 
PM2_5,EU28,2008-01-01,17.2 
PM2_5,EU28,2009-01-01,17.4 
PM2_5,EU28,2010-01-01,18.1 
PM2_5,EU28,2011-01-01,18.3 
PM2_5,EU28,2012-01-01,16.6 
PM2_5,EU28,2013-01-01,15.5 
PM2_5,EU28,2014-01-01,15.1 
PM2_5,EU28,2015-01-01,14.5 
PM2_5,EU28,2016-01-01,: 
PM2_5,FI,2000-01-01,: 
PM2_5,FI,2001-01-01,8.2 
