unit,indic_il,age,sex,geotime,date,value
PC,LI_R_MD60,TOTAL,F,AT,2005-01-01,13.3
PC,LI_R_MD60,TOTAL,F,AT,2006-01-01,14.0
PC,LI_R_MD60,TOTAL,F,AT,2007-01-01,13.3
PC,LI_R_MD60,TOTAL,F,AT,2008-01-01,16.1
PC,LI_R_MD60,TOTAL,F,AT,2009-01-01,15.3
PC,LI_R_MD60,TOTAL,F,AT,2010-01-01,15.8
PC,LI_R_MD60,TOTAL,F,AT,2011-01-01,15.0
PC,LI_R_MD60,TOTAL,F,AT,2012-01-01,15.3
PC,LI_R_MD60,TOTAL,F,AT,2013-01-01,15.2
PC,LI_R_MD60,TOTAL,F,AT,2014-01-01,14.9
PC,LI_R_MD60,TOTAL,F,AT,2015-01-01,14.3
PC,LI_R_MD60,TOTAL,F,AT,2016-01-01,14.6
PC,LI_R_MD60,TOTAL,F,AT,2017-01-01,15.3
PC,LI_R_MD60,TOTAL,F,BE,2005-01-01,15.5
PC,LI_R_MD60,TOTAL,F,BE,2006-01-01,15.6
PC,LI_R_MD60,TOTAL,F,BE,2007-01-01,15.9
PC,LI_R_MD60,TOTAL,F,BE,2008-01-01,15.9
PC,LI_R_MD60,TOTAL,F,BE,2009-01-01,15.7
PC,LI_R_MD60,TOTAL,F,BE,2010-01-01,15.2
PC,LI_R_MD60,TOTAL,F,BE,2011-01-01,16.0
PC,LI_R_MD60,TOTAL,F,BE,2012-01-01,15.9
PC,LI_R_MD60,TOTAL,F,BE,2013-01-01,15.5
PC,LI_R_MD60,TOTAL,F,BE,2014-01-01,15.9
PC,LI_R_MD60,TOTAL,F,BE,2015-01-01,15.6
PC,LI_R_MD60,TOTAL,F,BE,2016-01-01,16.5
PC,LI_R_MD60,TOTAL,F,BE,2017-01-01,16.9
PC,LI_R_MD60,TOTAL,F,BG,2005-01-01,
PC,LI_R_MD60,TOTAL,F,BG,2006-01-01,19.3
PC,LI_R_MD60,TOTAL,F,BG,2007-01-01,23.0
PC,LI_R_MD60,TOTAL,F,BG,2008-01-01,22.9
PC,LI_R_MD60,TOTAL,F,BG,2009-01-01,23.7
PC,LI_R_MD60,TOTAL,F,BG,2010-01-01,22.3
PC,LI_R_MD60,TOTAL,F,BG,2011-01-01,23.6
PC,LI_R_MD60,TOTAL,F,BG,2012-01-01,22.8
PC,LI_R_MD60,TOTAL,F,BG,2013-01-01,22.2
PC,LI_R_MD60,TOTAL,F,BG,2014-01-01,22.6
PC,LI_R_MD60,TOTAL,F,BG,2015-01-01,23.8
PC,LI_R_MD60,TOTAL,F,BG,2016-01-01,24.1
PC,LI_R_MD60,TOTAL,F,BG,2017-01-01,24.9
PC,LI_R_MD60,TOTAL,F,CH,2005-01-01,
