age,sex,unit,geotime,date,value
Y_LT25,T,PC_ACT,AT,1995-01-01,5
Y_LT25,T,PC_ACT,AT,1996-01-01,6
Y_LT25,T,PC_ACT,AT,1997-01-01,6
Y_LT25,T,PC_ACT,AT,1998-01-01,6
Y_LT25,T,PC_ACT,AT,1999-01-01,5
Y_LT25,T,PC_ACT,AT,2000-01-01,5
Y_LT25,T,PC_ACT,AT,2001-01-01,6
Y_LT25,T,PC_ACT,AT,2002-01-01,6
Y_LT25,T,PC_ACT,AT,2003-01-01,7
Y_LT25,T,PC_ACT,AT,2004-01-01,10
Y_LT25,T,PC_ACT,AT,2005-01-01,11
Y_LT25,T,PC_ACT,AT,2006-01-01,9
Y_LT25,T,PC_ACT,AT,2007-01-01,
Y_LT25,T,PC_ACT,AT,2008-01-01,8
Y_LT25,T,PC_ACT,AT,2009-01-01,10
Y_LT25,T,PC_ACT,AT,2010-01-01,9
Y_LT25,T,PC_ACT,AT,2011-01-01,8
Y_LT25,T,PC_ACT,AT,2012-01-01,
Y_LT25,T,PC_ACT,AT,2013-01-01,
Y_LT25,T,PC_ACT,AT,2014-01-01,
Y_LT25,T,PC_ACT,AT,2015-01-01,
Y_LT25,T,PC_ACT,AT,2016-01-01,
Y_LT25,T,PC_ACT,AT,2017-01-01,9
Y_LT25,T,PC_ACT,BE,1995-01-01,22
Y_LT25,T,PC_ACT,BE,1996-01-01,22
Y_LT25,T,PC_ACT,BE,1997-01-01,22
Y_LT25,T,PC_ACT,BE,1998-01-01,22
Y_LT25,T,PC_ACT,BE,1999-01-01,20
Y_LT25,T,PC_ACT,BE,2000-01-01,16
Y_LT25,T,PC_ACT,BE,2001-01-01,16
Y_LT25,T,PC_ACT,BE,2002-01-01,17
Y_LT25,T,PC_ACT,BE,2003-01-01,21
Y_LT25,T,PC_ACT,BE,2004-01-01,21
Y_LT25,T,PC_ACT,BE,2005-01-01,21
Y_LT25,T,PC_ACT,BE,2006-01-01,20
Y_LT25,T,PC_ACT,BE,2007-01-01,
Y_LT25,T,PC_ACT,BE,2008-01-01,18
Y_LT25,T,PC_ACT,BE,2009-01-01,21
Y_LT25,T,PC_ACT,BE,2010-01-01,22
Y_LT25,T,PC_ACT,BE,2011-01-01,18
Y_LT25,T,PC_ACT,BE,2012-01-01,
Y_LT25,T,PC_ACT,BE,2013-01-01,
Y_LT25,T,PC_ACT,BE,2014-01-01,
Y_LT25,T,PC_ACT,BE,2015-01-01,
Y_LT25,T,PC_ACT,BE,2016-01-01,
Y_LT25,T,PC_ACT,BE,2017-01-01,19
Y_LT25,T,PC_ACT,BG,1995-01-01,
Y_LT25,T,PC_ACT,BG,1996-01-01,
Y_LT25,T,PC_ACT,BG,1997-01-01,
Y_LT25,T,PC_ACT,BG,1998-01-01,
Y_LT25,T,PC_ACT,BG,1999-01-01,
Y_LT25,T,PC_ACT,BG,2000-01-01,33
Y_LT25,T,PC_ACT,BG,2001-01-01,38
Y_LT25,T,PC_ACT,BG,2002-01-01,35
Y_LT25,T,PC_ACT,BG,2003-01-01,26
Y_LT25,T,PC_ACT,BG,2004-01-01,24
Y_LT25,T,PC_ACT,BG,2005-01-01,21
Y_LT25,T,PC_ACT,BG,2006-01-01,18
Y_LT25,T,PC_ACT,BG,2007-01-01,
Y_LT25,T,PC_ACT,BG,2008-01-01,11
Y_LT25,T,PC_ACT,BG,2009-01-01,15
Y_LT25,T,PC_ACT,BG,2010-01-01,21
Y_LT25,T,PC_ACT,BG,2011-01-01,25
Y_LT25,T,PC_ACT,BG,2012-01-01,
Y_LT25,T,PC_ACT,BG,2013-01-01,
Y_LT25,T,PC_ACT,BG,2014-01-01,
Y_LT25,T,PC_ACT,BG,2015-01-01,
Y_LT25,T,PC_ACT,BG,2016-01-01,
Y_LT25,T,PC_ACT,BG,2017-01-01,12
Y_LT25,T,PC_ACT,CY,1995-01-01,
Y_LT25,T,PC_ACT,CY,1996-01-01,
Y_LT25,T,PC_ACT,CY,1997-01-01,
Y_LT25,T,PC_ACT,CY,1998-01-01,
Y_LT25,T,PC_ACT,CY,1999-01-01,
Y_LT25,T,PC_ACT,CY,2000-01-01,9
Y_LT25,T,PC_ACT,CY,2001-01-01,8
Y_LT25,T,PC_ACT,CY,2002-01-01,8
Y_LT25,T,PC_ACT,CY,2003-01-01,8
Y_LT25,T,PC_ACT,CY,2004-01-01,10
Y_LT25,T,PC_ACT,CY,2005-01-01,13
Y_LT25,T,PC_ACT,CY,2006-01-01,10
Y_LT25,T,PC_ACT,CY,2007-01-01,
Y_LT25,T,PC_ACT,CY,2008-01-01,9
Y_LT25,T,PC_ACT,CY,2009-01-01,13
Y_LT25,T,PC_ACT,CY,2010-01-01,16
Y_LT25,T,PC_ACT,CY,2011-01-01,22
Y_LT25,T,PC_ACT,CY,2012-01-01,
Y_LT25,T,PC_ACT,CY,2013-01-01,
Y_LT25,T,PC_ACT,CY,2014-01-01,
Y_LT25,T,PC_ACT,CY,2015-01-01,
Y_LT25,T,PC_ACT,CY,2016-01-01,
Y_LT25,T,PC_ACT,CY,2017-01-01,24
Y_LT25,T,PC_ACT,CZ,1995-01-01,7
Y_LT25,T,PC_ACT,CZ,1996-01-01,7
Y_LT25,T,PC_ACT,CZ,1997-01-01,8
Y_LT25,T,PC_ACT,CZ,1998-01-01,12
Y_LT25,T,PC_ACT,CZ,1999-01-01,17
