indic,unit,geotime,date,value
TOTAL,I15_NSA,AT,2015-07-01,104.01
TOTAL,I15_NSA,AT,2015-10-01,102.22
TOTAL,I15_NSA,AT,2016-01-01,106.48
TOTAL,I15_NSA,AT,2016-04-01,108.87
TOTAL,I15_NSA,AT,2016-07-01,109.43
TOTAL,I15_NSA,AT,2016-10-01,109.35
TOTAL,I15_NSA,AT,2017-01-01,111.54
TOTAL,I15_NSA,AT,2017-04-01,114.24
TOTAL,I15_NSA,AT,2017-07-01,114.75
TOTAL,I15_NSA,AT,2017-10-01,116.51
TOTAL,I15_NSA,AT,2018-01-01,117.5
TOTAL,I15_NSA,AT,2018-04-01,118.51
TOTAL,I15_NSA,BE,2015-07-01,101.75
TOTAL,I15_NSA,BE,2015-10-01,101.29
TOTAL,I15_NSA,BE,2016-01-01,100.56
TOTAL,I15_NSA,BE,2016-04-01,101.75
TOTAL,I15_NSA,BE,2016-07-01,104.31
TOTAL,I15_NSA,BE,2016-10-01,103.94
TOTAL,I15_NSA,BE,2017-01-01,105.01
TOTAL,I15_NSA,BE,2017-04-01,104.67
TOTAL,I15_NSA,BE,2017-07-01,108.18
TOTAL,I15_NSA,BE,2017-10-01,107.63
TOTAL,I15_NSA,BE,2018-01-01,107.67
TOTAL,I15_NSA,BE,2018-04-01,108.7
TOTAL,I15_NSA,BG,2015-07-01,99.21
TOTAL,I15_NSA,BG,2015-10-01,102.23
TOTAL,I15_NSA,BG,2016-01-01,103.38
TOTAL,I15_NSA,BG,2016-04-01,106.24
TOTAL,I15_NSA,BG,2016-07-01,107.94
TOTAL,I15_NSA,BG,2016-10-01,110.52
TOTAL,I15_NSA,BG,2017-01-01,112.66
TOTAL,I15_NSA,BG,2017-04-01,115.37
TOTAL,I15_NSA,BG,2017-07-01,117.62
TOTAL,I15_NSA,BG,2017-10-01,119.53
TOTAL,I15_NSA,BG,2018-01-01,120.65
TOTAL,I15_NSA,BG,2018-04-01,124.03
TOTAL,I15_NSA,CY,2015-07-01,102.49
TOTAL,I15_NSA,CY,2015-10-01,99.4
TOTAL,I15_NSA,CY,2016-01-01,97.29
TOTAL,I15_NSA,CY,2016-04-01,99.18
TOTAL,I15_NSA,CY,2016-07-01,101.87
TOTAL,I15_NSA,CY,2016-10-01,102.72
TOTAL,I15_NSA,CY,2017-01-01,99.64
TOTAL,I15_NSA,CY,2017-04-01,102.74
TOTAL,I15_NSA,CY,2017-07-01,102.46
TOTAL,I15_NSA,CY,2017-10-01,105.24
TOTAL,I15_NSA,CY,2018-01-01,103.34
TOTAL,I15_NSA,CY,2018-04-01,103.98
TOTAL,I15_NSA,CZ,2015-07-01,100.6
TOTAL,I15_NSA,CZ,2015-10-01,101.7
TOTAL,I15_NSA,CZ,2016-01-01,103.0
TOTAL,I15_NSA,CZ,2016-04-01,105.1
TOTAL,I15_NSA,CZ,2016-07-01,107.7
TOTAL,I15_NSA,CZ,2016-10-01,112.8
TOTAL,I15_NSA,CZ,2017-01-01,116.2
TOTAL,I15_NSA,CZ,2017-04-01,119.1
TOTAL,I15_NSA,CZ,2017-07-01,121.2
TOTAL,I15_NSA,CZ,2017-10-01,122.3
TOTAL,I15_NSA,CZ,2018-01-01,125.0
TOTAL,I15_NSA,CZ,2018-04-01,128.0
TOTAL,I15_NSA,DE,2015-07-01,100.4
TOTAL,I15_NSA,DE,2015-10-01,101.8
TOTAL,I15_NSA,DE,2016-01-01,102.5
TOTAL,I15_NSA,DE,2016-04-01,105.5
TOTAL,I15_NSA,DE,2016-07-01,107.0
TOTAL,I15_NSA,DE,2016-10-01,108.8
TOTAL,I15_NSA,DE,2017-01-01,107.7
TOTAL,I15_NSA,DE,2017-04-01,109.9
TOTAL,I15_NSA,DE,2017-07-01,111.7
TOTAL,I15_NSA,DE,2017-10-01,113.8
TOTAL,I15_NSA,DE,2018-01-01,113.6
TOTAL,I15_NSA,DE,2018-04-01,115.1
TOTAL,I15_NSA,DK,2015-07-01,101.03
TOTAL,I15_NSA,DK,2015-10-01,101.04
TOTAL,I15_NSA,DK,2016-01-01,102.99
TOTAL,I15_NSA,DK,2016-04-01,105.58
TOTAL,I15_NSA,DK,2016-07-01,107.0
TOTAL,I15_NSA,DK,2016-10-01,105.29
TOTAL,I15_NSA,DK,2017-01-01,107.6
TOTAL,I15_NSA,DK,2017-04-01,110.52
TOTAL,I15_NSA,DK,2017-07-01,111.98
TOTAL,I15_NSA,DK,2017-10-01,109.89
TOTAL,I15_NSA,DK,2018-01-01,114.0
TOTAL,I15_NSA,DK,2018-04-01,115.8
TOTAL,I15_NSA,EA,2015-07-01,100.89
TOTAL,I15_NSA,EA,2015-10-01,100.98
TOTAL,I15_NSA,EA,2016-01-01,101.52
TOTAL,I15_NSA,EA,2016-04-01,103.15
TOTAL,I15_NSA,EA,2016-07-01,104.56
TOTAL,I15_NSA,EA,2016-10-01,104.95
TOTAL,I15_NSA,EA,2017-01-01,105.37
TOTAL,I15_NSA,EA,2017-04-01,106.97
TOTAL,I15_NSA,EA,2017-07-01,108.65
TOTAL,I15_NSA,EA,2017-10-01,109.5
TOTAL,I15_NSA,EA,2018-01-01,110.08
TOTAL,I15_NSA,EA,2018-04-01,111.58
TOTAL,I15_NSA,EE,2015-07-01,99.63
TOTAL,I15_NSA,EE,2015-10-01,100.46
TOTAL,I15_NSA,EE,2016-01-01,100.32
TOTAL,I15_NSA,EE,2016-04-01,103.47
TOTAL,I15_NSA,EE,2016-07-01,106.98
TOTAL,I15_NSA,EE,2016-10-01,108.21
TOTAL,I15_NSA,EE,2017-01-01,108.08
TOTAL,I15_NSA,EE,2017-04-01,108.42
TOTAL,I15_NSA,EE,2017-07-01,112.06
TOTAL,I15_NSA,EE,2017-10-01,113.49
TOTAL,I15_NSA,EE,2018-01-01,115.17
TOTAL,I15_NSA,EE,2018-04-01,116.43
TOTAL,I15_NSA,ES,2015-07-01,101.34
TOTAL,I15_NSA,ES,2015-10-01,101.31
TOTAL,I15_NSA,ES,2016-01-01,102.74
TOTAL,I15_NSA,ES,2016-04-01,104.55
TOTAL,I15_NSA,ES,2016-07-01,105.41
TOTAL,I15_NSA,ES,2016-10-01,105.78
TOTAL,I15_NSA,ES,2017-01-01,108.2
TOTAL,I15_NSA,ES,2017-04-01,110.39
TOTAL,I15_NSA,ES,2017-07-01,112.43
TOTAL,I15_NSA,ES,2017-10-01,113.39
TOTAL,I15_NSA,ES,2018-01-01,114.96
TOTAL,I15_NSA,ES,2018-04-01,117.9
TOTAL,I15_NSA,EU,2015-07-01,101.01
TOTAL,I15_NSA,EU,2015-10-01,101.35
TOTAL,I15_NSA,EU,2016-01-01,102.16
TOTAL,I15_NSA,EU,2016-04-01,103.86
TOTAL,I15_NSA,EU,2016-07-01,105.42
TOTAL,I15_NSA,EU,2016-10-01,105.94
TOTAL,I15_NSA,EU,2017-01-01,106.41
TOTAL,I15_NSA,EU,2017-04-01,108.32
TOTAL,I15_NSA,EU,2017-07-01,110.03
