indic_bt,s_adj,unit,nace_r2,geotime,date,value
PRON,NSA,I15,H494,AT,2015-10-01,99
PRON,NSA,I15,H494,AT,2016-01-01,98
PRON,NSA,I15,H494,AT,2016-04-01,98
PRON,NSA,I15,H494,AT,2016-07-01,98
PRON,NSA,I15,H494,AT,2016-10-01,98
PRON,NSA,I15,H494,AT,2017-01-01,99
PRON,NSA,I15,H494,AT,2017-04-01,99
PRON,NSA,I15,H494,AT,2017-07-01,99
PRON,NSA,I15,H494,AT,2017-10-01,98
PRON,NSA,I15,H494,AT,2018-01-01,99
PRON,NSA,I15,H494,AT,2018-04-01,100
PRON,NSA,I15,H494,AT,2018-07-01,
PRON,NSA,I15,H494,BE,2015-10-01,99
PRON,NSA,I15,H494,BE,2016-01-01,99
PRON,NSA,I15,H494,BE,2016-04-01,101
PRON,NSA,I15,H494,BE,2016-07-01,101
PRON,NSA,I15,H494,BE,2016-10-01,102
PRON,NSA,I15,H494,BE,2017-01-01,103
PRON,NSA,I15,H494,BE,2017-04-01,103
PRON,NSA,I15,H494,BE,2017-07-01,103
PRON,NSA,I15,H494,BE,2017-10-01,104
PRON,NSA,I15,H494,BE,2018-01-01,105
PRON,NSA,I15,H494,BE,2018-04-01,105
PRON,NSA,I15,H494,BE,2018-07-01,
PRON,NSA,I15,H494,BG,2015-10-01,99
PRON,NSA,I15,H494,BG,2016-01-01,98
PRON,NSA,I15,H494,BG,2016-04-01,98
PRON,NSA,I15,H494,BG,2016-07-01,98
PRON,NSA,I15,H494,BG,2016-10-01,98
PRON,NSA,I15,H494,BG,2017-01-01,99
PRON,NSA,I15,H494,BG,2017-04-01,99
PRON,NSA,I15,H494,BG,2017-07-01,99
PRON,NSA,I15,H494,BG,2017-10-01,100
PRON,NSA,I15,H494,BG,2018-01-01,100
PRON,NSA,I15,H494,BG,2018-04-01,100
PRON,NSA,I15,H494,BG,2018-07-01,
PRON,NSA,I15,H494,CY,2015-10-01,99
PRON,NSA,I15,H494,CY,2016-01-01,98
PRON,NSA,I15,H494,CY,2016-04-01,98
PRON,NSA,I15,H494,CY,2016-07-01,99
PRON,NSA,I15,H494,CY,2016-10-01,99
PRON,NSA,I15,H494,CY,2017-01-01,99
PRON,NSA,I15,H494,CY,2017-04-01,99
PRON,NSA,I15,H494,CY,2017-07-01,99
PRON,NSA,I15,H494,CY,2017-10-01,99
PRON,NSA,I15,H494,CY,2018-01-01,100
PRON,NSA,I15,H494,CY,2018-04-01,99
PRON,NSA,I15,H494,CY,2018-07-01,
PRON,NSA,I15,H494,CZ,2015-10-01,99
PRON,NSA,I15,H494,CZ,2016-01-01,100
PRON,NSA,I15,H494,CZ,2016-04-01,100
PRON,NSA,I15,H494,CZ,2016-07-01,100
PRON,NSA,I15,H494,CZ,2016-10-01,100
PRON,NSA,I15,H494,CZ,2017-01-01,100
PRON,NSA,I15,H494,CZ,2017-04-01,100
PRON,NSA,I15,H494,CZ,2017-07-01,100
PRON,NSA,I15,H494,CZ,2017-10-01,100
PRON,NSA,I15,H494,CZ,2018-01-01,101
PRON,NSA,I15,H494,CZ,2018-04-01,102
PRON,NSA,I15,H494,CZ,2018-07-01,
