unit,co_nco,sector,finpos,na_item,geotime,date,value
MIO_NAC,CO,S12,LIAB,F,AT,1995-01-01,342134
MIO_NAC,CO,S12,LIAB,F,AT,1996-01-01,369413
MIO_NAC,CO,S12,LIAB,F,AT,1997-01-01,392817
MIO_NAC,CO,S12,LIAB,F,AT,1998-01-01,417157
MIO_NAC,CO,S12,LIAB,F,AT,1999-01-01,472310
MIO_NAC,CO,S12,LIAB,F,AT,2000-01-01,528814
MIO_NAC,CO,S12,LIAB,F,AT,2001-01-01,551357
MIO_NAC,CO,S12,LIAB,F,AT,2002-01-01,553765
MIO_NAC,CO,S12,LIAB,F,AT,2003-01-01,588558
MIO_NAC,CO,S12,LIAB,F,AT,2004-01-01,648402
MIO_NAC,CO,S12,LIAB,F,AT,2005-01-01,813021
MIO_NAC,CO,S12,LIAB,F,AT,2006-01-01,910446
MIO_NAC,CO,S12,LIAB,F,AT,2007-01-01,990474
MIO_NAC,CO,S12,LIAB,F,AT,2008-01-01,1008531
MIO_NAC,CO,S12,LIAB,F,AT,2009-01-01,1005196
MIO_NAC,CO,S12,LIAB,F,AT,2010-01-01,1013611
MIO_NAC,CO,S12,LIAB,F,AT,2011-01-01,1027535
MIO_NAC,CO,S12,LIAB,F,AT,2012-01-01,1048935
MIO_NAC,CO,S12,LIAB,F,AT,2013-01-01,1031934
MIO_NAC,CO,S12,LIAB,F,AT,2014-01-01,1042904
MIO_NAC,CO,S12,LIAB,F,AT,2015-01-01,1046978
MIO_NAC,CO,S12,LIAB,F,AT,2016-01-01,1023461
MIO_NAC,CO,S12,LIAB,F,AT,2017-01-01,1038677
MIO_NAC,CO,S12,LIAB,F,BE,1995-01-01,672504
MIO_NAC,CO,S12,LIAB,F,BE,1996-01-01,712124
MIO_NAC,CO,S12,LIAB,F,BE,1997-01-01,776044
MIO_NAC,CO,S12,LIAB,F,BE,1998-01-01,843326
MIO_NAC,CO,S12,LIAB,F,BE,1999-01-01,905813
MIO_NAC,CO,S12,LIAB,F,BE,2000-01-01,950082
MIO_NAC,CO,S12,LIAB,F,BE,2001-01-01,1026699
MIO_NAC,CO,S12,LIAB,F,BE,2002-01-01,1030679
MIO_NAC,CO,S12,LIAB,F,BE,2003-01-01,1129881
MIO_NAC,CO,S12,LIAB,F,BE,2004-01-01,1264920
MIO_NAC,CO,S12,LIAB,F,BE,2005-01-01,1487662
MIO_NAC,CO,S12,LIAB,F,BE,2006-01-01,1643659
MIO_NAC,CO,S12,LIAB,F,BE,2007-01-01,1866048
MIO_NAC,CO,S12,LIAB,F,BE,2008-01-01,1783268
MIO_NAC,CO,S12,LIAB,F,BE,2009-01-01,1780910
MIO_NAC,CO,S12,LIAB,F,BE,2010-01-01,1777382
MIO_NAC,CO,S12,LIAB,F,BE,2011-01-01,1857331
MIO_NAC,CO,S12,LIAB,F,BE,2012-01-01,1747387
MIO_NAC,CO,S12,LIAB,F,BE,2013-01-01,1787576
MIO_NAC,CO,S12,LIAB,F,BE,2014-01-01,1863598
MIO_NAC,CO,S12,LIAB,F,BE,2015-01-01,1903764
MIO_NAC,CO,S12,LIAB,F,BE,2016-01-01,1924732
MIO_NAC,CO,S12,LIAB,F,BE,2017-01-01,1920099
MIO_NAC,CO,S12,LIAB,F,BG,1995-01-01,1391
MIO_NAC,CO,S12,LIAB,F,BG,1996-01-01,4033
MIO_NAC,CO,S12,LIAB,F,BG,1997-01-01,13292
MIO_NAC,CO,S12,LIAB,F,BG,1998-01-01,14546
MIO_NAC,CO,S12,LIAB,F,BG,1999-01-01,17392
MIO_NAC,CO,S12,LIAB,F,BG,2000-01-01,22461
MIO_NAC,CO,S12,LIAB,F,BG,2001-01-01,23870
MIO_NAC,CO,S12,LIAB,F,BG,2002-01-01,25450
MIO_NAC,CO,S12,LIAB,F,BG,2003-01-01,30697
