unit,indic_eu,geotime,date,value
PC,T2020_31,AL,2004-01-01,27.8
PC,T2020_31,AL,2005-01-01,30.3
PC,T2020_31,AL,2006-01-01,32.1
PC,T2020_31,AL,2007-01-01,32.7
PC,T2020_31,AL,2008-01-01,32.4
PC,T2020_31,AL,2009-01-01,31.4
PC,T2020_31,AL,2010-01-01,31.9
PC,T2020_31,AL,2011-01-01,31.2
PC,T2020_31,AL,2012-01-01,35.2
PC,T2020_31,AL,2013-01-01,33.2
PC,T2020_31,AL,2014-01-01,31.5
PC,T2020_31,AL,2015-01-01,34.4
PC,T2020_31,AL,2016-01-01,37.1
PC,T2020_31,AT,2004-01-01,22.5
PC,T2020_31,AT,2005-01-01,23.7
PC,T2020_31,AT,2006-01-01,25.4
PC,T2020_31,AT,2007-01-01,27.0
PC,T2020_31,AT,2008-01-01,27.8
PC,T2020_31,AT,2009-01-01,30.0
PC,T2020_31,AT,2010-01-01,30.2
PC,T2020_31,AT,2011-01-01,30.6
PC,T2020_31,AT,2012-01-01,31.5
PC,T2020_31,AT,2013-01-01,32.4
PC,T2020_31,AT,2014-01-01,33.0
PC,T2020_31,AT,2015-01-01,32.8
PC,T2020_31,AT,2016-01-01,33.5
PC,T2020_31,BE,2004-01-01,1.9
PC,T2020_31,BE,2005-01-01,2.3
PC,T2020_31,BE,2006-01-01,2.6
PC,T2020_31,BE,2007-01-01,3.1
PC,T2020_31,BE,2008-01-01,3.6
PC,T2020_31,BE,2009-01-01,4.7
PC,T2020_31,BE,2010-01-01,5.7
PC,T2020_31,BE,2011-01-01,6.3
PC,T2020_31,BE,2012-01-01,7.2
PC,T2020_31,BE,2013-01-01,7.5
PC,T2020_31,BE,2014-01-01,8.0
PC,T2020_31,BE,2015-01-01,7.9
PC,T2020_31,BE,2016-01-01,8.7
PC,T2020_31,BG,2004-01-01,9.4
PC,T2020_31,BG,2005-01-01,9.4
PC,T2020_31,BG,2006-01-01,9.6
PC,T2020_31,BG,2007-01-01,9.2
PC,T2020_31,BG,2008-01-01,10.5
PC,T2020_31,BG,2009-01-01,12.1
PC,T2020_31,BG,2010-01-01,14.1
PC,T2020_31,BG,2011-01-01,14.3
PC,T2020_31,BG,2012-01-01,16.0
