na_item,nace_r2,unit,geotime,date,value
B1G,K,MIO_EUR_NSA,DE,2017-01-01,28291
B1G,K,MIO_EUR_NSA,DE,2017-04-01,28392
B1G,K,MIO_EUR_NSA,DE,2017-07-01,28361
B1G,K,MIO_EUR_NSA,DE,2017-10-01,28293
B1G,K,MIO_EUR_NSA,DE,2018-01-01,28137
B1G,K,MIO_EUR_NSA,DE,2018-04-01,28228
B1G,K,MIO_EUR_NSA,DK,2015-07-01,3579
B1G,K,MIO_EUR_NSA,DK,2015-10-01,3610
B1G,K,MIO_EUR_NSA,DK,2016-01-01,3469
B1G,K,MIO_EUR_NSA,DK,2016-04-01,3628
B1G,K,MIO_EUR_NSA,DK,2016-07-01,3549
B1G,K,MIO_EUR_NSA,DK,2016-10-01,3563
B1G,K,MIO_EUR_NSA,DK,2017-01-01,3608
B1G,K,MIO_EUR_NSA,DK,2017-04-01,3723
B1G,K,MIO_EUR_NSA,DK,2017-07-01,3794
B1G,K,MIO_EUR_NSA,DK,2017-10-01,3893
B1G,K,MIO_EUR_NSA,DK,2018-01-01,3935
B1G,K,MIO_EUR_NSA,DK,2018-04-01,4142
B1G,K,MIO_EUR_NSA,EA,2015-07-01,116663
B1G,K,MIO_EUR_NSA,EA,2015-10-01,117761
B1G,K,MIO_EUR_NSA,EA,2016-01-01,115670
B1G,K,MIO_EUR_NSA,EA,2016-04-01,119754
B1G,K,MIO_EUR_NSA,EA,2016-07-01,114740
B1G,K,MIO_EUR_NSA,EA,2016-10-01,113905
B1G,K,MIO_EUR_NSA,EA,2017-01-01,113848
B1G,K,MIO_EUR_NSA,EA,2017-04-01,116161
B1G,K,MIO_EUR_NSA,EA,2017-07-01,111900
B1G,K,MIO_EUR_NSA,EA,2017-10-01,113876
B1G,K,MIO_EUR_NSA,EA,2018-01-01,113646
B1G,K,MIO_EUR_NSA,EA,2018-04-01,116382
B1G,K,MIO_EUR_NSA,EA19,2015-07-01,116663
B1G,K,MIO_EUR_NSA,EA19,2015-10-01,117761
B1G,K,MIO_EUR_NSA,EA19,2016-01-01,115670
B1G,K,MIO_EUR_NSA,EA19,2016-04-01,119754
B1G,K,MIO_EUR_NSA,EA19,2016-07-01,114740
B1G,K,MIO_EUR_NSA,EA19,2016-10-01,113905
B1G,K,MIO_EUR_NSA,EA19,2017-01-01,113848
B1G,K,MIO_EUR_NSA,EA19,2017-04-01,116161
B1G,K,MIO_EUR_NSA,EA19,2017-07-01,111900
B1G,K,MIO_EUR_NSA,EA19,2017-10-01,113876
B1G,K,MIO_EUR_NSA,EA19,2018-01-01,113646
B1G,K,MIO_EUR_NSA,EA19,2018-04-01,116382
B1G,K,MIO_EUR_NSA,EE,2015-07-01,180
B1G,K,MIO_EUR_NSA,EE,2015-10-01,183
B1G,K,MIO_EUR_NSA,EE,2016-01-01,158
B1G,K,MIO_EUR_NSA,EE,2016-04-01,177
B1G,K,MIO_EUR_NSA,EE,2016-07-01,186
B1G,K,MIO_EUR_NSA,EE,2016-10-01,191
B1G,K,MIO_EUR_NSA,EE,2017-01-01,181
B1G,K,MIO_EUR_NSA,EE,2017-04-01,204
B1G,K,MIO_EUR_NSA,EE,2017-07-01,199
B1G,K,MIO_EUR_NSA,EE,2017-10-01,196
B1G,K,MIO_EUR_NSA,EE,2018-01-01,201
B1G,K,MIO_EUR_NSA,EE,2018-04-01,220
B1G,K,MIO_EUR_NSA,EL,2015-07-01,1773
B1G,K,MIO_EUR_NSA,EL,2015-10-01,1759
B1G,K,MIO_EUR_NSA,EL,2016-01-01,1725
B1G,K,MIO_EUR_NSA,EL,2016-04-01,1803
B1G,K,MIO_EUR_NSA,EL,2016-07-01,1774
B1G,K,MIO_EUR_NSA,EL,2016-10-01,1720
B1G,K,MIO_EUR_NSA,EL,2017-01-01,1635
B1G,K,MIO_EUR_NSA,EL,2017-04-01,1694
B1G,K,MIO_EUR_NSA,EL,2017-07-01,1618
B1G,K,MIO_EUR_NSA,EL,2017-10-01,1573
B1G,K,MIO_EUR_NSA,EL,2018-01-01,1473
B1G,K,MIO_EUR_NSA,EL,2018-04-01,1524
B1G,K,MIO_EUR_NSA,ES,2015-07-01,10525
B1G,K,MIO_EUR_NSA,ES,2015-10-01,9670
B1G,K,MIO_EUR_NSA,ES,2016-01-01,8585
B1G,K,MIO_EUR_NSA,ES,2016-04-01,12184
B1G,K,MIO_EUR_NSA,ES,2016-07-01,9871
B1G,K,MIO_EUR_NSA,ES,2016-10-01,8960
B1G,K,MIO_EUR_NSA,ES,2017-01-01,9786
B1G,K,MIO_EUR_NSA,ES,2017-04-01,11754
B1G,K,MIO_EUR_NSA,ES,2017-07-01,9784
B1G,K,MIO_EUR_NSA,ES,2017-10-01,9948
B1G,K,MIO_EUR_NSA,ES,2018-01-01,9818
