s_adj,bop_item,sector10,sectpart,stk_flow,partner,currency,geo\time,date,value
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,CZ,2018-08-01,0.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2017-09-01,204.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2017-10-01,-206.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2017-11-01,-536.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2017-12-01,-304.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2018-01-01,489.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2018-02-01,19.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2018-03-01,-294.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2018-04-01,357.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2018-05-01,50.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2018-06-01,-321.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2018-07-01,-204.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DE,2018-08-01,105.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2017-09-01,9.5 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2017-10-01,7.8 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2017-11-01,8.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2017-12-01,8.2 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2018-01-01,13.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2018-02-01,9.5 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2018-03-01,11.8 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2018-04-01,11.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2018-05-01,10.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2018-06-01,23.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2018-07-01,18.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,DK,2018-08-01,10.6 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2017-09-01,-1842.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2017-10-01,388.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2017-11-01,218.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2017-12-01,1048.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2018-01-01,951.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2018-02-01,643.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2018-03-01,969.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2018-04-01,139.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2018-05-01,252.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2018-06-01,996.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2018-07-01,1037.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EA19,2018-08-01,1036.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2017-09-01,24.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2017-10-01,41.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2017-11-01,40.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2017-12-01,50.5 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2018-01-01,9.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2018-02-01,14.3 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2018-03-01,11.1 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2018-04-01,3.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2018-05-01,2.9 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2018-06-01,30.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2018-07-01,39.4 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EE,2018-08-01,28.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2017-09-01,-21.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2017-10-01,9.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2017-11-01,83.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2017-12-01,470.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2018-01-01,184.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2018-02-01,-4.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2018-03-01,8.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2018-04-01,-2.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2018-05-01,15.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2018-06-01,-17.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2018-07-01,9.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EL,2018-08-01,91.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2017-09-01,140.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2017-10-01,207.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2017-11-01,293.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2017-12-01,659.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2018-01-01,335.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2018-02-01,202.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2018-03-01,212.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2018-04-01,283.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2018-05-01,225.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2018-06-01,288.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2018-07-01,56.0 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,ES,2018-08-01,: c
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2017-09-01,-2821.5 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2017-10-01,-1972.7 
NSA,KA,S1,S1,BAL,WRL_REST,MIO_EUR,EU28,2017-11-01,-1870.6 
