nace_r2,unit,indic_bt,geo\time,date,value
F,I2015_SCA,EMPL,TR,2018-01-01,113.9 
F,I2015_SCA,EMPL,TR,2018-04-01,112.1 
F,I2015_SCA,EMPL,UK,2015-07-01,100.7 
F,I2015_SCA,EMPL,UK,2015-10-01,99.9 
F,I2015_SCA,EMPL,UK,2016-01-01,101.3 
F,I2015_SCA,EMPL,UK,2016-04-01,102.2 
F,I2015_SCA,EMPL,UK,2016-07-01,103.4 
F,I2015_SCA,EMPL,UK,2016-10-01,103.7 
F,I2015_SCA,EMPL,UK,2017-01-01,105.2 
F,I2015_SCA,EMPL,UK,2017-04-01,105.7 
F,I2015_SCA,EMPL,UK,2017-07-01,105.8 
F,I2015_SCA,EMPL,UK,2017-10-01,106.6 
F,I2015_SCA,EMPL,UK,2018-01-01,107.6 
F,I2015_SCA,EMPL,UK,2018-04-01,108.2 
F,I2015_SCA,HOWK,AT,2015-07-01,100.5 
F,I2015_SCA,HOWK,AT,2015-10-01,99.0 
F,I2015_SCA,HOWK,AT,2016-01-01,100.8 
F,I2015_SCA,HOWK,AT,2016-04-01,99.4 
F,I2015_SCA,HOWK,AT,2016-07-01,100.4 
F,I2015_SCA,HOWK,AT,2016-10-01,100.7 
F,I2015_SCA,HOWK,AT,2017-01-01,102.0 
F,I2015_SCA,HOWK,AT,2017-04-01,103.4 
F,I2015_SCA,HOWK,AT,2017-07-01,101.8 
F,I2015_SCA,HOWK,AT,2017-10-01,104.0 
F,I2015_SCA,HOWK,AT,2018-01-01,105.0 
F,I2015_SCA,HOWK,AT,2018-04-01,106.9 
F,I2015_SCA,HOWK,BE,2015-07-01,99.8 p
F,I2015_SCA,HOWK,BE,2015-10-01,97.9 p
F,I2015_SCA,HOWK,BE,2016-01-01,102.0 p
F,I2015_SCA,HOWK,BE,2016-04-01,100.8 p
F,I2015_SCA,HOWK,BE,2016-07-01,102.6 p
F,I2015_SCA,HOWK,BE,2016-10-01,99.6 p
F,I2015_SCA,HOWK,BE,2017-01-01,100.1 p
F,I2015_SCA,HOWK,BE,2017-04-01,102.6 p
F,I2015_SCA,HOWK,BE,2017-07-01,102.1 p
F,I2015_SCA,HOWK,BE,2017-10-01,105.7 p
F,I2015_SCA,HOWK,BE,2018-01-01,104.0 p
F,I2015_SCA,HOWK,BE,2018-04-01,: 
F,I2015_SCA,HOWK,BG,2015-07-01,100.4 
F,I2015_SCA,HOWK,BG,2015-10-01,98.8 
F,I2015_SCA,HOWK,BG,2016-01-01,94.8 
F,I2015_SCA,HOWK,BG,2016-04-01,94.6 
F,I2015_SCA,HOWK,BG,2016-07-01,92.5 
F,I2015_SCA,HOWK,BG,2016-10-01,94.1 
F,I2015_SCA,HOWK,BG,2017-01-01,80.8 
F,I2015_SCA,HOWK,BG,2017-04-01,82.5 
F,I2015_SCA,HOWK,BG,2017-07-01,84.5 
F,I2015_SCA,HOWK,BG,2017-10-01,84.7 
F,I2015_SCA,HOWK,BG,2018-01-01,86.8 p
F,I2015_SCA,HOWK,BG,2018-04-01,87.8 p
F,I2015_SCA,HOWK,CH,2015-07-01,101.6 s
F,I2015_SCA,HOWK,CH,2015-10-01,100.4 s
F,I2015_SCA,HOWK,CH,2016-01-01,100.8 s
F,I2015_SCA,HOWK,CH,2016-04-01,100.5 s
F,I2015_SCA,HOWK,CH,2016-07-01,95.3 s
F,I2015_SCA,HOWK,CH,2016-10-01,97.8 s
F,I2015_SCA,HOWK,CH,2017-01-01,97.9 s
F,I2015_SCA,HOWK,CH,2017-04-01,98.4 s
F,I2015_SCA,HOWK,CH,2017-07-01,99.2 s
F,I2015_SCA,HOWK,CH,2017-10-01,100.1 s
F,I2015_SCA,HOWK,CH,2018-01-01,101.4 s
F,I2015_SCA,HOWK,CH,2018-04-01,100.2 s
F,I2015_SCA,HOWK,CY,2015-07-01,100.3 
F,I2015_SCA,HOWK,CY,2015-10-01,102.1 
F,I2015_SCA,HOWK,CY,2016-01-01,104.6 
F,I2015_SCA,HOWK,CY,2016-04-01,106.7 
F,I2015_SCA,HOWK,CY,2016-07-01,109.7 
F,I2015_SCA,HOWK,CY,2016-10-01,112.5 
F,I2015_SCA,HOWK,CY,2017-01-01,115.5 
F,I2015_SCA,HOWK,CY,2017-04-01,119.0 
F,I2015_SCA,HOWK,CY,2017-07-01,122.1 
F,I2015_SCA,HOWK,CY,2017-10-01,125.9 
F,I2015_SCA,HOWK,CY,2018-01-01,129.4 
F,I2015_SCA,HOWK,CY,2018-04-01,132.8 
F,I2015_SCA,HOWK,CZ,2015-07-01,99.4 ps
F,I2015_SCA,HOWK,CZ,2015-10-01,96.3 ps
F,I2015_SCA,HOWK,CZ,2016-01-01,89.9 ps
F,I2015_SCA,HOWK,CZ,2016-04-01,87.0 ps
F,I2015_SCA,HOWK,CZ,2016-07-01,87.4 ps
F,I2015_SCA,HOWK,CZ,2016-10-01,87.5 ps
F,I2015_SCA,HOWK,CZ,2017-01-01,89.1 ps
F,I2015_SCA,HOWK,CZ,2017-04-01,88.9 ps
F,I2015_SCA,HOWK,CZ,2017-07-01,88.9 ps
F,I2015_SCA,HOWK,CZ,2017-10-01,89.9 ps
F,I2015_SCA,HOWK,CZ,2018-01-01,91.5 ps
F,I2015_SCA,HOWK,CZ,2018-04-01,89.4 ps
F,I2015_SCA,HOWK,DE,2015-07-01,100.2 ps
F,I2015_SCA,HOWK,DE,2015-10-01,100.6 ps
F,I2015_SCA,HOWK,DE,2016-01-01,101.6 ps
F,I2015_SCA,HOWK,DE,2016-04-01,101.1 ps
F,I2015_SCA,HOWK,DE,2016-07-01,101.4 ps
F,I2015_SCA,HOWK,DE,2016-10-01,101.5 ps
F,I2015_SCA,HOWK,DE,2017-01-01,102.3 ps
F,I2015_SCA,HOWK,DE,2017-04-01,102.7 ps
F,I2015_SCA,HOWK,DE,2017-07-01,102.3 ps
F,I2015_SCA,HOWK,DE,2017-10-01,102.5 ps
F,I2015_SCA,HOWK,DE,2018-01-01,102.7 ps
F,I2015_SCA,HOWK,DE,2018-04-01,103.3 ps
F,I2015_SCA,HOWK,DK,2015-07-01,100.0 
F,I2015_SCA,HOWK,DK,2015-10-01,101.1 
F,I2015_SCA,HOWK,DK,2016-01-01,101.6 
F,I2015_SCA,HOWK,DK,2016-04-01,103.3 
F,I2015_SCA,HOWK,DK,2016-07-01,102.1 
F,I2015_SCA,HOWK,DK,2016-10-01,104.9 
F,I2015_SCA,HOWK,DK,2017-01-01,105.9 
F,I2015_SCA,HOWK,DK,2017-04-01,105.1 
F,I2015_SCA,HOWK,DK,2017-07-01,106.3 
F,I2015_SCA,HOWK,DK,2017-10-01,108.6 
F,I2015_SCA,HOWK,DK,2018-01-01,108.8 p
F,I2015_SCA,HOWK,DK,2018-04-01,109.0 p
F,I2015_SCA,HOWK,EA19,2015-07-01,99.8 
F,I2015_SCA,HOWK,EA19,2015-10-01,100.6 
F,I2015_SCA,HOWK,EA19,2016-01-01,101.0 
F,I2015_SCA,HOWK,EA19,2016-04-01,100.8 
F,I2015_SCA,HOWK,EA19,2016-07-01,100.8 
F,I2015_SCA,HOWK,EA19,2016-10-01,101.3 
F,I2015_SCA,HOWK,EA19,2017-01-01,102.1 
F,I2015_SCA,HOWK,EA19,2017-04-01,102.3 
F,I2015_SCA,HOWK,EA19,2017-07-01,103.3 
F,I2015_SCA,HOWK,EA19,2017-10-01,103.0 
F,I2015_SCA,HOWK,EA19,2018-01-01,104.4 
F,I2015_SCA,HOWK,EA19,2018-04-01,104.9 s
F,I2015_SCA,HOWK,EE,2015-07-01,100.8 s
F,I2015_SCA,HOWK,EE,2015-10-01,99.2 s
F,I2015_SCA,HOWK,EE,2016-01-01,100.4 s
F,I2015_SCA,HOWK,EE,2016-04-01,97.9 s
F,I2015_SCA,HOWK,EE,2016-07-01,95.2 s
F,I2015_SCA,HOWK,EE,2016-10-01,93.1 s
F,I2015_SCA,HOWK,EE,2017-01-01,105.0 s
F,I2015_SCA,HOWK,EE,2017-04-01,100.5 s
F,I2015_SCA,HOWK,EE,2017-07-01,98.6 s
F,I2015_SCA,HOWK,EE,2017-10-01,103.9 s
F,I2015_SCA,HOWK,EE,2018-01-01,107.1 s
F,I2015_SCA,HOWK,EE,2018-04-01,111.4 s
F,I2015_SCA,HOWK,EL,2015-07-01,90.0 s
F,I2015_SCA,HOWK,EL,2015-10-01,114.0 s
F,I2015_SCA,HOWK,EL,2016-01-01,115.8 s
F,I2015_SCA,HOWK,EL,2016-04-01,117.7 s
F,I2015_SCA,HOWK,EL,2016-07-01,109.2 s
F,I2015_SCA,HOWK,EL,2016-10-01,127.5 s
F,I2015_SCA,HOWK,EL,2017-01-01,128.9 s
F,I2015_SCA,HOWK,EL,2017-04-01,136.0 s
F,I2015_SCA,HOWK,EL,2017-07-01,135.0 s
F,I2015_SCA,HOWK,EL,2017-10-01,144.0 s
F,I2015_SCA,HOWK,EL,2018-01-01,150.4 s
F,I2015_SCA,HOWK,EL,2018-04-01,151.2 s
F,I2015_SCA,HOWK,ES,2015-07-01,99.8 s
F,I2015_SCA,HOWK,ES,2015-10-01,104.1 s
F,I2015_SCA,HOWK,ES,2016-01-01,103.2 s
F,I2015_SCA,HOWK,ES,2016-04-01,102.2 s
F,I2015_SCA,HOWK,ES,2016-07-01,102.7 ps
F,I2015_SCA,HOWK,ES,2016-10-01,106.3 s
F,I2015_SCA,HOWK,ES,2017-01-01,107.2 s
F,I2015_SCA,HOWK,ES,2017-04-01,104.9 s
F,I2015_SCA,HOWK,ES,2017-07-01,111.0 s
F,I2015_SCA,HOWK,ES,2017-10-01,104.5 s
F,I2015_SCA,HOWK,ES,2018-01-01,110.9 ps
F,I2015_SCA,HOWK,ES,2018-04-01,110.9 ps
F,I2015_SCA,HOWK,EU28,2015-07-01,99.7 
F,I2015_SCA,HOWK,EU28,2015-10-01,100.7 
F,I2015_SCA,HOWK,EU28,2016-01-01,101.1 
F,I2015_SCA,HOWK,EU28,2016-04-01,101.1 
F,I2015_SCA,HOWK,EU28,2016-07-01,100.9 
F,I2015_SCA,HOWK,EU28,2016-10-01,101.6 
F,I2015_SCA,HOWK,EU28,2017-01-01,102.3 
F,I2015_SCA,HOWK,EU28,2017-04-01,102.3 
F,I2015_SCA,HOWK,EU28,2017-07-01,103.1 
F,I2015_SCA,HOWK,EU28,2017-10-01,102.6 
F,I2015_SCA,HOWK,EU28,2018-01-01,104.6 
F,I2015_SCA,HOWK,EU28,2018-04-01,104.9 s
F,I2015_SCA,HOWK,FI,2015-07-01,100.9 s
F,I2015_SCA,HOWK,FI,2015-10-01,102.2 s
F,I2015_SCA,HOWK,FI,2016-01-01,103.6 s
F,I2015_SCA,HOWK,FI,2016-04-01,108.9 s
F,I2015_SCA,HOWK,FI,2016-07-01,105.4 s
F,I2015_SCA,HOWK,FI,2016-10-01,109.1 s
F,I2015_SCA,HOWK,FI,2017-01-01,111.9 s
F,I2015_SCA,HOWK,FI,2017-04-01,110.1 s
F,I2015_SCA,HOWK,FI,2017-07-01,112.5 s
F,I2015_SCA,HOWK,FI,2017-10-01,112.1 s
F,I2015_SCA,HOWK,FI,2018-01-01,117.5 s
F,I2015_SCA,HOWK,FI,2018-04-01,113.6 s
F,I2015_SCA,HOWK,FR,2015-07-01,100.0 
F,I2015_SCA,HOWK,FR,2015-10-01,98.7 
F,I2015_SCA,HOWK,FR,2016-01-01,98.2 
F,I2015_SCA,HOWK,FR,2016-04-01,98.8 
F,I2015_SCA,HOWK,FR,2016-07-01,98.8 
F,I2015_SCA,HOWK,FR,2016-10-01,97.7 
F,I2015_SCA,HOWK,FR,2017-01-01,97.3 
F,I2015_SCA,HOWK,FR,2017-04-01,98.2 
F,I2015_SCA,HOWK,FR,2017-07-01,98.8 
F,I2015_SCA,HOWK,FR,2017-10-01,99.0 
F,I2015_SCA,HOWK,FR,2018-01-01,99.5 
F,I2015_SCA,HOWK,FR,2018-04-01,100.2 
F,I2015_SCA,HOWK,HR,2015-07-01,99.4 s
F,I2015_SCA,HOWK,HR,2015-10-01,102.8 s
F,I2015_SCA,HOWK,HR,2016-01-01,95.0 s
F,I2015_SCA,HOWK,HR,2016-04-01,101.3 s
F,I2015_SCA,HOWK,HR,2016-07-01,98.4 s
F,I2015_SCA,HOWK,HR,2016-10-01,101.4 s
F,I2015_SCA,HOWK,HR,2017-01-01,98.3 s
F,I2015_SCA,HOWK,HR,2017-04-01,94.8 s
F,I2015_SCA,HOWK,HR,2017-07-01,94.6 s
F,I2015_SCA,HOWK,HR,2017-10-01,97.4 s
F,I2015_SCA,HOWK,HR,2018-01-01,98.6 s
F,I2015_SCA,HOWK,HR,2018-04-01,97.6 s
F,I2015_SCA,HOWK,HU,2015-07-01,100.0 p
F,I2015_SCA,HOWK,HU,2015-10-01,99.6 p
F,I2015_SCA,HOWK,HU,2016-01-01,101.8 p
F,I2015_SCA,HOWK,HU,2016-04-01,101.9 p
F,I2015_SCA,HOWK,HU,2016-07-01,101.9 p
F,I2015_SCA,HOWK,HU,2016-10-01,102.8 p
F,I2015_SCA,HOWK,HU,2017-01-01,103.0 p
F,I2015_SCA,HOWK,HU,2017-04-01,104.2 p
F,I2015_SCA,HOWK,HU,2017-07-01,105.5 p
F,I2015_SCA,HOWK,HU,2017-10-01,107.4 p
F,I2015_SCA,HOWK,HU,2018-01-01,110.8 p
F,I2015_SCA,HOWK,HU,2018-04-01,112.5 p
F,I2015_SCA,HOWK,IE,2015-07-01,100.1 s
F,I2015_SCA,HOWK,IE,2015-10-01,102.0 s
F,I2015_SCA,HOWK,IE,2016-01-01,106.6 s
F,I2015_SCA,HOWK,IE,2016-04-01,119.0 s
F,I2015_SCA,HOWK,IE,2016-07-01,118.1 s
F,I2015_SCA,HOWK,IE,2016-10-01,118.0 s
F,I2015_SCA,HOWK,IE,2017-01-01,128.3 s
F,I2015_SCA,HOWK,IE,2017-04-01,122.3 s
F,I2015_SCA,HOWK,IE,2017-07-01,123.9 s
F,I2015_SCA,HOWK,IE,2017-10-01,123.9 s
F,I2015_SCA,HOWK,IE,2018-01-01,132.7 s
F,I2015_SCA,HOWK,IE,2018-04-01,146.7 ps
F,I2015_SCA,HOWK,IT,2015-07-01,100.0 s
F,I2015_SCA,HOWK,IT,2015-10-01,102.5 s
F,I2015_SCA,HOWK,IT,2016-01-01,103.3 s
F,I2015_SCA,HOWK,IT,2016-04-01,101.3 s
F,I2015_SCA,HOWK,IT,2016-07-01,101.4 s
F,I2015_SCA,HOWK,IT,2016-10-01,101.1 s
F,I2015_SCA,HOWK,IT,2017-01-01,102.2 s
F,I2015_SCA,HOWK,IT,2017-04-01,102.4 s
F,I2015_SCA,HOWK,IT,2017-07-01,103.5 s
F,I2015_SCA,HOWK,IT,2017-10-01,103.9 s
F,I2015_SCA,HOWK,IT,2018-01-01,104.1 s
F,I2015_SCA,HOWK,IT,2018-04-01,103.3 s
F,I2015_SCA,HOWK,LT,2015-07-01,100.1 s
F,I2015_SCA,HOWK,LT,2015-10-01,97.6 s
F,I2015_SCA,HOWK,LT,2016-01-01,96.1 s
F,I2015_SCA,HOWK,LT,2016-04-01,96.1 s
F,I2015_SCA,HOWK,LT,2016-07-01,95.7 s
F,I2015_SCA,HOWK,LT,2016-10-01,95.7 s
F,I2015_SCA,HOWK,LT,2017-01-01,96.5 s
F,I2015_SCA,HOWK,LT,2017-04-01,95.5 s
F,I2015_SCA,HOWK,LT,2017-07-01,94.8 s
F,I2015_SCA,HOWK,LT,2017-10-01,97.4 s
F,I2015_SCA,HOWK,LT,2018-01-01,98.8 s
F,I2015_SCA,HOWK,LT,2018-04-01,100.2 s
F,I2015_SCA,HOWK,LU,2015-07-01,99.8 s
F,I2015_SCA,HOWK,LU,2015-10-01,100.2 s
F,I2015_SCA,HOWK,LU,2016-01-01,103.5 s
F,I2015_SCA,HOWK,LU,2016-04-01,100.5 s
F,I2015_SCA,HOWK,LU,2016-07-01,103.0 s
F,I2015_SCA,HOWK,LU,2016-10-01,105.4 s
F,I2015_SCA,HOWK,LU,2017-01-01,101.4 s
F,I2015_SCA,HOWK,LU,2017-04-01,105.6 s
F,I2015_SCA,HOWK,LU,2017-07-01,106.7 s
F,I2015_SCA,HOWK,LU,2017-10-01,107.2 ps
F,I2015_SCA,HOWK,LU,2018-01-01,108.0 ps
F,I2015_SCA,HOWK,LU,2018-04-01,108.5 ps
F,I2015_SCA,HOWK,LV,2015-07-01,98.0 s
F,I2015_SCA,HOWK,LV,2015-10-01,94.0 s
F,I2015_SCA,HOWK,LV,2016-01-01,87.9 s
F,I2015_SCA,HOWK,LV,2016-04-01,87.9 s
F,I2015_SCA,HOWK,LV,2016-07-01,86.3 s
F,I2015_SCA,HOWK,LV,2016-10-01,88.0 s
F,I2015_SCA,HOWK,LV,2017-01-01,90.3 s
F,I2015_SCA,HOWK,LV,2017-04-01,92.5 s
F,I2015_SCA,HOWK,LV,2017-07-01,95.0 s
F,I2015_SCA,HOWK,LV,2017-10-01,95.3 ps
F,I2015_SCA,HOWK,LV,2018-01-01,95.8 ps
F,I2015_SCA,HOWK,LV,2018-04-01,94.5 ps
F,I2015_SCA,HOWK,ME,2015-07-01,96.7 
F,I2015_SCA,HOWK,ME,2015-10-01,118.7 
F,I2015_SCA,HOWK,ME,2016-01-01,114.3 
F,I2015_SCA,HOWK,ME,2016-04-01,114.5 
F,I2015_SCA,HOWK,ME,2016-07-01,126.9 
F,I2015_SCA,HOWK,ME,2016-10-01,120.9 
F,I2015_SCA,HOWK,ME,2017-01-01,140.0 
F,I2015_SCA,HOWK,ME,2017-04-01,145.3 
F,I2015_SCA,HOWK,ME,2017-07-01,150.6 
F,I2015_SCA,HOWK,ME,2017-10-01,158.6 
F,I2015_SCA,HOWK,ME,2018-01-01,166.9 
F,I2015_SCA,HOWK,ME,2018-04-01,175.0 
F,I2015_SCA,HOWK,MK,2015-07-01,102.1 
F,I2015_SCA,HOWK,MK,2015-10-01,104.5 
F,I2015_SCA,HOWK,MK,2016-01-01,109.1 
F,I2015_SCA,HOWK,MK,2016-04-01,110.8 
F,I2015_SCA,HOWK,MK,2016-07-01,108.9 
F,I2015_SCA,HOWK,MK,2016-10-01,111.4 
F,I2015_SCA,HOWK,MK,2017-01-01,107.3 
F,I2015_SCA,HOWK,MK,2017-04-01,108.7 
F,I2015_SCA,HOWK,MK,2017-07-01,105.0 
F,I2015_SCA,HOWK,MK,2017-10-01,102.4 
F,I2015_SCA,HOWK,MK,2018-01-01,100.6 
F,I2015_SCA,HOWK,MK,2018-04-01,99.1 
F,I2015_SCA,HOWK,MT,2015-07-01,102.5 
F,I2015_SCA,HOWK,MT,2015-10-01,100.3 
F,I2015_SCA,HOWK,MT,2016-01-01,103.2 
F,I2015_SCA,HOWK,MT,2016-04-01,102.6 p
F,I2015_SCA,HOWK,MT,2016-07-01,100.8 p
F,I2015_SCA,HOWK,MT,2016-10-01,100.2 p
F,I2015_SCA,HOWK,MT,2017-01-01,99.3 p
F,I2015_SCA,HOWK,MT,2017-04-01,100.9 p
F,I2015_SCA,HOWK,MT,2017-07-01,97.6 p
F,I2015_SCA,HOWK,MT,2017-10-01,100.1 p
F,I2015_SCA,HOWK,MT,2018-01-01,98.9 p
F,I2015_SCA,HOWK,MT,2018-04-01,99.6 p
F,I2015_SCA,HOWK,NL,2015-07-01,99.4 s
F,I2015_SCA,HOWK,NL,2015-10-01,99.1 s
F,I2015_SCA,HOWK,NL,2016-01-01,98.7 ps
F,I2015_SCA,HOWK,NL,2016-04-01,98.8 ps
F,I2015_SCA,HOWK,NL,2016-07-01,99.2 ps
F,I2015_SCA,HOWK,NL,2016-10-01,99.8 ps
F,I2015_SCA,HOWK,NL,2017-01-01,100.7 ps
F,I2015_SCA,HOWK,NL,2017-04-01,101.8 ps
F,I2015_SCA,HOWK,NL,2017-07-01,102.4 ps
F,I2015_SCA,HOWK,NL,2017-10-01,103.0 ps
F,I2015_SCA,HOWK,NL,2018-01-01,103.5 ps
F,I2015_SCA,HOWK,NL,2018-04-01,: c
F,I2015_SCA,HOWK,NO,2015-07-01,100.3 
F,I2015_SCA,HOWK,NO,2015-10-01,101.1 
F,I2015_SCA,HOWK,NO,2016-01-01,101.3 p
F,I2015_SCA,HOWK,NO,2016-04-01,102.5 p
F,I2015_SCA,HOWK,NO,2016-07-01,103.0 p
F,I2015_SCA,HOWK,NO,2016-10-01,104.3 p
F,I2015_SCA,HOWK,NO,2017-01-01,105.4 p
F,I2015_SCA,HOWK,NO,2017-04-01,106.3 p
F,I2015_SCA,HOWK,NO,2017-07-01,107.5 p
F,I2015_SCA,HOWK,NO,2017-10-01,108.9 p
F,I2015_SCA,HOWK,NO,2018-01-01,109.8 p
F,I2015_SCA,HOWK,NO,2018-04-01,110.4 p
F,I2015_SCA,HOWK,PL,2015-07-01,98.6 s
F,I2015_SCA,HOWK,PL,2015-10-01,100.5 s
F,I2015_SCA,HOWK,PL,2016-01-01,99.4 s
F,I2015_SCA,HOWK,PL,2016-04-01,100.3 s
F,I2015_SCA,HOWK,PL,2016-07-01,96.9 s
F,I2015_SCA,HOWK,PL,2016-10-01,98.0 s
F,I2015_SCA,HOWK,PL,2017-01-01,102.2 s
F,I2015_SCA,HOWK,PL,2017-04-01,97.2 s
F,I2015_SCA,HOWK,PL,2017-07-01,98.2 s
F,I2015_SCA,HOWK,PL,2017-10-01,98.2 s
F,I2015_SCA,HOWK,PL,2018-01-01,105.6 s
F,I2015_SCA,HOWK,PL,2018-04-01,105.6 s
F,I2015_SCA,HOWK,PT,2015-07-01,99.9 s
F,I2015_SCA,HOWK,PT,2015-10-01,98.1 s
F,I2015_SCA,HOWK,PT,2016-01-01,96.7 s
F,I2015_SCA,HOWK,PT,2016-04-01,96.8 s
F,I2015_SCA,HOWK,PT,2016-07-01,96.2 s
F,I2015_SCA,HOWK,PT,2016-10-01,96.9 s
F,I2015_SCA,HOWK,PT,2017-01-01,98.1 s
F,I2015_SCA,HOWK,PT,2017-04-01,97.3 s
F,I2015_SCA,HOWK,PT,2017-07-01,97.6 s
F,I2015_SCA,HOWK,PT,2017-10-01,98.1 s
F,I2015_SCA,HOWK,PT,2018-01-01,98.9 s
F,I2015_SCA,HOWK,PT,2018-04-01,99.7 s
F,I2015_SCA,HOWK,RO,2015-07-01,100.7 s
F,I2015_SCA,HOWK,RO,2015-10-01,102.2 s
F,I2015_SCA,HOWK,RO,2016-01-01,106.6 s
F,I2015_SCA,HOWK,RO,2016-04-01,105.0 s
F,I2015_SCA,HOWK,RO,2016-07-01,105.3 s
F,I2015_SCA,HOWK,RO,2016-10-01,105.1 s
F,I2015_SCA,HOWK,RO,2017-01-01,101.9 s
F,I2015_SCA,HOWK,RO,2017-04-01,101.1 s
F,I2015_SCA,HOWK,RO,2017-07-01,102.4 s
F,I2015_SCA,HOWK,RO,2017-10-01,104.9 s
F,I2015_SCA,HOWK,RO,2018-01-01,111.2 s
F,I2015_SCA,HOWK,RO,2018-04-01,106.8 s
F,I2015_SCA,HOWK,RS,2015-07-01,99.9 
F,I2015_SCA,HOWK,RS,2015-10-01,100.4 
F,I2015_SCA,HOWK,RS,2016-01-01,101.0 
F,I2015_SCA,HOWK,RS,2016-04-01,100.1 
F,I2015_SCA,HOWK,RS,2016-07-01,99.2 
F,I2015_SCA,HOWK,RS,2016-10-01,98.1 
F,I2015_SCA,HOWK,RS,2017-01-01,99.6 
F,I2015_SCA,HOWK,RS,2017-04-01,100.2 
F,I2015_SCA,HOWK,RS,2017-07-01,100.2 
F,I2015_SCA,HOWK,RS,2017-10-01,101.0 
F,I2015_SCA,HOWK,RS,2018-01-01,101.5 b
F,I2015_SCA,HOWK,RS,2018-04-01,99.6 
F,I2015_SCA,HOWK,SE,2015-07-01,100.1 s
F,I2015_SCA,HOWK,SE,2015-10-01,102.5 s
F,I2015_SCA,HOWK,SE,2016-01-01,102.8 s
F,I2015_SCA,HOWK,SE,2016-04-01,107.4 s
F,I2015_SCA,HOWK,SE,2016-07-01,106.9 s
F,I2015_SCA,HOWK,SE,2016-10-01,108.4 s
F,I2015_SCA,HOWK,SE,2017-01-01,110.8 s
F,I2015_SCA,HOWK,SE,2017-04-01,107.8 s
F,I2015_SCA,HOWK,SE,2017-07-01,109.7 s
F,I2015_SCA,HOWK,SE,2017-10-01,108.8 s
F,I2015_SCA,HOWK,SE,2018-01-01,108.6 s
F,I2015_SCA,HOWK,SE,2018-04-01,109.6 s
F,I2015_SCA,HOWK,SI,2015-07-01,99.8 s
F,I2015_SCA,HOWK,SI,2015-10-01,99.8 s
F,I2015_SCA,HOWK,SI,2016-01-01,100.1 s
F,I2015_SCA,HOWK,SI,2016-04-01,100.0 s
F,I2015_SCA,HOWK,SI,2016-07-01,100.5 s
F,I2015_SCA,HOWK,SI,2016-10-01,99.7 s
F,I2015_SCA,HOWK,SI,2017-01-01,100.9 s
F,I2015_SCA,HOWK,SI,2017-04-01,101.3 s
F,I2015_SCA,HOWK,SI,2017-07-01,99.9 s
F,I2015_SCA,HOWK,SI,2017-10-01,99.9 s
F,I2015_SCA,HOWK,SI,2018-01-01,100.5 s
F,I2015_SCA,HOWK,SI,2018-04-01,99.5 s
F,I2015_SCA,HOWK,SK,2015-07-01,99.9 
F,I2015_SCA,HOWK,SK,2015-10-01,100.3 
F,I2015_SCA,HOWK,SK,2016-01-01,101.4 
F,I2015_SCA,HOWK,SK,2016-04-01,101.9 
F,I2015_SCA,HOWK,SK,2016-07-01,99.6 
F,I2015_SCA,HOWK,SK,2016-10-01,99.5 
F,I2015_SCA,HOWK,SK,2017-01-01,100.6 
F,I2015_SCA,HOWK,SK,2017-04-01,103.0 
F,I2015_SCA,HOWK,SK,2017-07-01,104.1 
F,I2015_SCA,HOWK,SK,2017-10-01,104.3 
F,I2015_SCA,HOWK,SK,2018-01-01,104.4 
F,I2015_SCA,HOWK,SK,2018-04-01,103.5 
F,I2015_SCA,HOWK,TR,2015-07-01,100.4 
F,I2015_SCA,HOWK,TR,2015-10-01,101.5 
F,I2015_SCA,HOWK,TR,2016-01-01,103.9 
F,I2015_SCA,HOWK,TR,2016-04-01,104.3 
F,I2015_SCA,HOWK,TR,2016-07-01,98.8 
F,I2015_SCA,HOWK,TR,2016-10-01,103.1 
F,I2015_SCA,HOWK,TR,2017-01-01,102.4 
F,I2015_SCA,HOWK,TR,2017-04-01,106.9 
F,I2015_SCA,HOWK,TR,2017-07-01,109.9 
F,I2015_SCA,HOWK,TR,2017-10-01,111.8 
F,I2015_SCA,HOWK,TR,2018-01-01,111.4 
F,I2015_SCA,HOWK,TR,2018-04-01,108.9 
F,I2015_SCA,HOWK,UK,2015-07-01,99.3 
F,I2015_SCA,HOWK,UK,2015-10-01,101.2 
F,I2015_SCA,HOWK,UK,2016-01-01,102.7 
F,I2015_SCA,HOWK,UK,2016-04-01,103.1 
F,I2015_SCA,HOWK,UK,2016-07-01,102.9 
F,I2015_SCA,HOWK,UK,2016-10-01,104.2 
F,I2015_SCA,HOWK,UK,2017-01-01,105.4 
F,I2015_SCA,HOWK,UK,2017-04-01,107.6 
F,I2015_SCA,HOWK,UK,2017-07-01,106.9 
F,I2015_SCA,HOWK,UK,2017-10-01,104.0 
F,I2015_SCA,HOWK,UK,2018-01-01,105.0 
F,I2015_SCA,HOWK,UK,2018-04-01,106.4 
F,I2015_SCA,WAGE,AL,2015-07-01,101.4 s
F,I2015_SCA,WAGE,AL,2015-10-01,105.9 s
F,I2015_SCA,WAGE,AL,2016-01-01,102.4 s
F,I2015_SCA,WAGE,AL,2016-04-01,102.8 s
F,I2015_SCA,WAGE,AL,2016-07-01,106.9 s
F,I2015_SCA,WAGE,AL,2016-10-01,111.5 s
F,I2015_SCA,WAGE,AL,2017-01-01,112.5 s
