indic_il,sex,geo\time,date,value
R_GE65_LT65,T,CY,2017-01-01,0.80 
R_GE65_LT65,T,CZ,2006-01-01,0.82 
R_GE65_LT65,T,CZ,2007-01-01,0.81 
R_GE65_LT65,T,CZ,2008-01-01,0.79 
R_GE65_LT65,T,CZ,2009-01-01,0.78 
R_GE65_LT65,T,CZ,2010-01-01,0.82 
R_GE65_LT65,T,CZ,2011-01-01,0.82 
R_GE65_LT65,T,CZ,2012-01-01,0.84 
R_GE65_LT65,T,CZ,2013-01-01,0.85
R_GE65_LT65,T,CZ,2014-01-01,0.84 
R_GE65_LT65,T,CZ,2015-01-01,0.81
R_GE65_LT65,T,CZ,2016-01-01,0.79 
R_GE65_LT65,T,CZ,2017-01-01,0.76 
R_GE65_LT65,T,DE,2006-01-01,0.93 
R_GE65_LT65,T,DE,2007-01-01,0.87 
R_GE65_LT65,T,DE,2008-01-01,0.87 
R_GE65_LT65,T,DE,2009-01-01,0.88 
R_GE65_LT65,T,DE,2010-01-01,0.89 
R_GE65_LT65,T,DE,2011-01-01,0.90 
R_GE65_LT65,T,DE,2012-01-01,0.88 
R_GE65_LT65,T,DE,2013-01-01,0.89
R_GE65_LT65,T,DE,2014-01-01,0.90 
R_GE65_LT65,T,DE,2015-01-01,0.87
R_GE65_LT65,T,DE,2016-01-01,0.84 
R_GE65_LT65,T,DE,2017-01-01,0.85 
R_GE65_LT65,T,DK,2006-01-01,0.71 
R_GE65_LT65,T,DK,2007-01-01,0.70 
R_GE65_LT65,T,DK,2008-01-01,0.70 
R_GE65_LT65,T,DK,2009-01-01,0.71 
R_GE65_LT65,T,DK,2010-01-01,0.71 
R_GE65_LT65,T,DK,2011-01-01,0.74 b
R_GE65_LT65,T,DK,2012-01-01,0.75 
R_GE65_LT65,T,DK,2013-01-01,0.76
R_GE65_LT65,T,DK,2014-01-01,0.78 
R_GE65_LT65,T,DK,2015-01-01,0.77
R_GE65_LT65,T,DK,2016-01-01,0.75 
R_GE65_LT65,T,DK,2017-01-01,0.77 
