intrt,geotime,date,value
MAT_M03,BG,2017-10-01,0
MAT_M03,BG,2017-11-01,
MAT_M03,BG,2017-12-01,
MAT_M03,BG,2018-01-01,
MAT_M03,BG,2018-02-01,
MAT_M03,BG,2018-03-01,
MAT_M03,BG,2018-04-01,
MAT_M03,BG,2018-05-01,
MAT_M03,BG,2018-06-01,
MAT_M03,BG,2018-07-01,
MAT_M03,BG,2018-08-01,
MAT_M03,BG,2018-09-01,
MAT_M03,CZ,2017-10-01,0
MAT_M03,CZ,2017-11-01,
MAT_M03,CZ,2017-12-01,
MAT_M03,CZ,2018-01-01,
MAT_M03,CZ,2018-02-01,
MAT_M03,CZ,2018-03-01,
MAT_M03,CZ,2018-04-01,
MAT_M03,CZ,2018-05-01,
MAT_M03,CZ,2018-06-01,
MAT_M03,CZ,2018-07-01,1
MAT_M03,CZ,2018-08-01,1
MAT_M03,CZ,2018-09-01,1
MAT_M03,DK,2017-10-01,0
MAT_M03,DK,2017-11-01,
MAT_M03,DK,2017-12-01,
MAT_M03,DK,2018-01-01,
MAT_M03,DK,2018-02-01,
MAT_M03,DK,2018-03-01,
MAT_M03,DK,2018-04-01,
MAT_M03,DK,2018-05-01,
MAT_M03,DK,2018-06-01,
MAT_M03,DK,2018-07-01,0
MAT_M03,DK,2018-08-01,0
MAT_M03,DK,2018-09-01,0
MAT_M03,EA,2017-10-01,0
MAT_M03,EA,2017-11-01,
MAT_M03,EA,2017-12-01,
MAT_M03,EA,2018-01-01,
MAT_M03,EA,2018-02-01,
MAT_M03,EA,2018-03-01,
MAT_M03,EA,2018-04-01,
MAT_M03,EA,2018-05-01,
MAT_M03,EA,2018-06-01,
MAT_M03,EA,2018-07-01,0
MAT_M03,EA,2018-08-01,0
MAT_M03,EA,2018-09-01,0
MAT_M03,HR,2017-10-01,0
MAT_M03,HR,2017-11-01,
MAT_M03,HR,2017-12-01,
MAT_M03,HR,2018-01-01,
MAT_M03,HR,2018-02-01,
MAT_M03,HR,2018-03-01,
MAT_M03,HR,2018-04-01,
MAT_M03,HR,2018-05-01,
MAT_M03,HR,2018-06-01,
MAT_M03,HR,2018-07-01,0
MAT_M03,HR,2018-08-01,0
MAT_M03,HR,2018-09-01,0
MAT_M03,HU,2017-10-01,
MAT_M03,HU,2017-11-01,
MAT_M03,HU,2017-12-01,
MAT_M03,HU,2018-01-01,
MAT_M03,HU,2018-02-01,
MAT_M03,HU,2018-03-01,
MAT_M03,HU,2018-04-01,
MAT_M03,HU,2018-05-01,
MAT_M03,HU,2018-06-01,
MAT_M03,HU,2018-07-01,0
MAT_M03,HU,2018-08-01,0
MAT_M03,HU,2018-09-01,0
MAT_M03,JP,2017-10-01,0
MAT_M03,JP,2017-11-01,
MAT_M03,JP,2017-12-01,
MAT_M03,JP,2018-01-01,
MAT_M03,JP,2018-02-01,
MAT_M03,JP,2018-03-01,
MAT_M03,JP,2018-04-01,
MAT_M03,JP,2018-05-01,
MAT_M03,JP,2018-06-01,
MAT_M03,JP,2018-07-01,0
MAT_M03,JP,2018-08-01,0
MAT_M03,JP,2018-09-01,0
MAT_M03,PL,2017-10-01,1
MAT_M03,PL,2017-11-01,
MAT_M03,PL,2017-12-01,
MAT_M03,PL,2018-01-01,
MAT_M03,PL,2018-02-01,
MAT_M03,PL,2018-03-01,
MAT_M03,PL,2018-04-01,
MAT_M03,PL,2018-05-01,
MAT_M03,PL,2018-06-01,
MAT_M03,PL,2018-07-01,
MAT_M03,PL,2018-08-01,
MAT_M03,PL,2018-09-01,1
MAT_M03,RO,2017-10-01,1
MAT_M03,RO,2017-11-01,
MAT_M03,RO,2017-12-01,
MAT_M03,RO,2018-01-01,
MAT_M03,RO,2018-02-01,
MAT_M03,RO,2018-03-01,
MAT_M03,RO,2018-04-01,
MAT_M03,RO,2018-05-01,
MAT_M03,RO,2018-06-01,
MAT_M03,RO,2018-07-01,3
MAT_M03,RO,2018-08-01,3
MAT_M03,RO,2018-09-01,2
MAT_M03,SE,2017-10-01,0
MAT_M03,SE,2017-11-01,
MAT_M03,SE,2017-12-01,
MAT_M03,SE,2018-01-01,
MAT_M03,SE,2018-02-01,
MAT_M03,SE,2018-03-01,
MAT_M03,SE,2018-04-01,
MAT_M03,SE,2018-05-01,
MAT_M03,SE,2018-06-01,
MAT_M03,SE,2018-07-01,0
MAT_M03,SE,2018-08-01,0
MAT_M03,SE,2018-09-01,0
MAT_M03,UK,2017-10-01,0
MAT_M03,UK,2017-11-01,
MAT_M03,UK,2017-12-01,
MAT_M03,UK,2018-01-01,
MAT_M03,UK,2018-02-01,
MAT_M03,UK,2018-03-01,
MAT_M03,UK,2018-04-01,
MAT_M03,UK,2018-05-01,
MAT_M03,UK,2018-06-01,
MAT_M03,UK,2018-07-01,0
MAT_M03,UK,2018-08-01,0
MAT_M03,UK,2018-09-01,0
MAT_M03,US,2017-10-01,1
MAT_M03,US,2017-11-01,
MAT_M03,US,2017-12-01,
MAT_M03,US,2018-01-01,
MAT_M03,US,2018-02-01,
MAT_M03,US,2018-03-01,
MAT_M03,US,2018-04-01,
MAT_M03,US,2018-05-01,
MAT_M03,US,2018-06-01,
MAT_M03,US,2018-07-01,2
MAT_M03,US,2018-08-01,2
MAT_M03,US,2018-09-01,2
