unit,indic_il,sex,age,geotime,date,value
PC,LI_R_MD60,T,Y_GE60,CY,2009-01-01,38
PC,LI_R_MD60,T,Y_GE60,CY,2010-01-01,34
PC,LI_R_MD60,T,Y_GE60,CY,2011-01-01,30
PC,LI_R_MD60,T,Y_GE60,CY,2012-01-01,25
PC,LI_R_MD60,T,Y_GE60,CY,2013-01-01,
PC,LI_R_MD60,T,Y_GE60,CY,2014-01-01,
PC,LI_R_MD60,T,Y_GE60,CY,2015-01-01,
PC,LI_R_MD60,T,Y_GE60,CY,2016-01-01,19
PC,LI_R_MD60,T,Y_GE60,CY,2017-01-01,20
PC,LI_R_MD60,T,Y_GE60,CZ,2006-01-01,5
PC,LI_R_MD60,T,Y_GE60,CZ,2007-01-01,4
PC,LI_R_MD60,T,Y_GE60,CZ,2008-01-01,6
PC,LI_R_MD60,T,Y_GE60,CZ,2009-01-01,7
PC,LI_R_MD60,T,Y_GE60,CZ,2010-01-01,6
PC,LI_R_MD60,T,Y_GE60,CZ,2011-01-01,6
PC,LI_R_MD60,T,Y_GE60,CZ,2012-01-01,6
PC,LI_R_MD60,T,Y_GE60,CZ,2013-01-01,
PC,LI_R_MD60,T,Y_GE60,CZ,2014-01-01,
PC,LI_R_MD60,T,Y_GE60,CZ,2015-01-01,
PC,LI_R_MD60,T,Y_GE60,CZ,2016-01-01,8
PC,LI_R_MD60,T,Y_GE60,CZ,2017-01-01,10
PC,LI_R_MD60,T,Y_GE60,DE,2006-01-01,12
PC,LI_R_MD60,T,Y_GE60,DE,2007-01-01,16
PC,LI_R_MD60,T,Y_GE60,DE,2008-01-01,15
PC,LI_R_MD60,T,Y_GE60,DE,2009-01-01,15
PC,LI_R_MD60,T,Y_GE60,DE,2010-01-01,15
PC,LI_R_MD60,T,Y_GE60,DE,2011-01-01,15
PC,LI_R_MD60,T,Y_GE60,DE,2012-01-01,16
PC,LI_R_MD60,T,Y_GE60,DE,2013-01-01,
PC,LI_R_MD60,T,Y_GE60,DE,2014-01-01,
PC,LI_R_MD60,T,Y_GE60,DE,2015-01-01,
PC,LI_R_MD60,T,Y_GE60,DE,2016-01-01,18
PC,LI_R_MD60,T,Y_GE60,DE,2017-01-01,18
PC,LI_R_MD60,T,Y_GE60,DK,2006-01-01,13
PC,LI_R_MD60,T,Y_GE60,DK,2007-01-01,13
