unit,deg_urb,geotime,date,value
PC,DEG1,EA19,2017-01-01,16.4 e
PC,DEG1,EE,2006-01-01,15.3 
PC,DEG1,EE,2007-01-01,13.2 
PC,DEG1,EE,2008-01-01,11.7 
PC,DEG1,EE,2009-01-01,12.9 
PC,DEG1,EE,2010-01-01,14.9 
PC,DEG1,EE,2011-01-01,16.0 
PC,DEG1,EE,2012-01-01,15.6 b
PC,DEG1,EE,2013-01-01,15.4 
PC,DEG1,EE,2014-01-01,14.5 b
PC,DEG1,EE,2015-01-01,13.1 
PC,DEG1,EE,2016-01-01,11.7 
PC,DEG1,EE,2017-01-01,10.9 
PC,DEG1,EL,2006-01-01,26.0 
PC,DEG1,EL,2007-01-01,21.6 
PC,DEG1,EL,2008-01-01,24.7 
PC,DEG1,EL,2009-01-01,24.5 
PC,DEG1,EL,2010-01-01,24.6 
PC,DEG1,EL,2011-01-01,27.5 
PC,DEG1,EL,2012-01-01,32.1 b
PC,DEG1,EL,2013-01-01,34.1 
PC,DEG1,EL,2014-01-01,39.3 
PC,DEG1,EL,2015-01-01,39.4 
PC,DEG1,EL,2016-01-01,36.3 
PC,DEG1,EL,2017-01-01,35.8 
PC,DEG1,ES,2006-01-01,11.2 
PC,DEG1,ES,2007-01-01,11.5 
PC,DEG1,ES,2008-01-01,10.6 
PC,DEG1,ES,2009-01-01,11.6 
PC,DEG1,ES,2010-01-01,11.3 
PC,DEG1,ES,2011-01-01,11.8 
PC,DEG1,ES,2012-01-01,12.9 b
PC,DEG1,ES,2013-01-01,13.1 
PC,DEG1,ES,2014-01-01,12.7 
PC,DEG1,ES,2015-01-01,13.1 
PC,DEG1,ES,2016-01-01,12.4 
PC,DEG1,ES,2017-01-01,11.7 
PC,DEG1,EU27,2006-01-01,18.4 e
PC,DEG1,EU27,2007-01-01,17.8 e
PC,DEG1,EU27,2008-01-01,17.4 e
PC,DEG1,EU27,2009-01-01,17.2 e
PC,DEG1,EU27,2010-01-01,18.2 
PC,DEG1,EU27,2011-01-01,18.3 
PC,DEG1,EU27,2012-01-01,17.0 
PC,DEG1,EU27,2013-01-01,17.2 
PC,DEG1,EU27,2014-01-01,18.1 
PC,DEG1,EU27,2015-01-01,18.4 
PC,DEG1,EU27,2016-01-01,17.3 
PC,DEG1,EU27,2017-01-01,16.7 e
PC,DEG1,EU28,2006-01-01,
PC,DEG1,EU28,2007-01-01,
PC,DEG1,EU28,2008-01-01,
PC,DEG1,EU28,2009-01-01,
PC,DEG1,EU28,2010-01-01,18.2 
PC,DEG1,EU28,2011-01-01,18.3 
PC,DEG1,EU28,2012-01-01,17.0 
PC,DEG1,EU28,2013-01-01,17.2 
PC,DEG1,EU28,2014-01-01,18.1 
PC,DEG1,EU28,2015-01-01,18.4 
PC,DEG1,EU28,2016-01-01,17.3 
PC,DEG1,EU28,2017-01-01,16.7 e
PC,DEG1,FI,2006-01-01,14.8 
PC,DEG1,FI,2007-01-01,14.9 
PC,DEG1,FI,2008-01-01,15.8 
PC,DEG1,FI,2009-01-01,16.7 
PC,DEG1,FI,2010-01-01,15.1 
PC,DEG1,FI,2011-01-01,14.3 
PC,DEG1,FI,2012-01-01,15.0 b
PC,DEG1,FI,2013-01-01,14.9 
PC,DEG1,FI,2014-01-01,14.3 
PC,DEG1,FI,2015-01-01,14.3 
PC,DEG1,FI,2016-01-01,14.4 
PC,DEG1,FI,2017-01-01,14.4 
PC,DEG1,FR,2006-01-01,15.7 
PC,DEG1,FR,2007-01-01,14.8 
PC,DEG1,FR,2008-01-01,13.5 
PC,DEG1,FR,2009-01-01,14.7 
PC,DEG1,FR,2010-01-01,14.9 
PC,DEG1,FR,2011-01-01,15.3 
PC,DEG1,FR,2012-01-01,14.6 b
PC,DEG1,FR,2013-01-01,14.5 
PC,DEG1,FR,2014-01-01,15.2 
PC,DEG1,FR,2015-01-01,16.8 
PC,DEG1,FR,2016-01-01,14.2 
PC,DEG1,FR,2017-01-01,13.5 
PC,DEG1,HR,2006-01-01,
PC,DEG1,HR,2007-01-01,
PC,DEG1,HR,2008-01-01,
PC,DEG1,HR,2009-01-01,
PC,DEG1,HR,2010-01-01,18.9 
PC,DEG1,HR,2011-01-01,11.8 
PC,DEG1,HR,2012-01-01,12.8 b
PC,DEG1,HR,2013-01-01,14.1 
PC,DEG1,HR,2014-01-01,15.4 
PC,DEG1,HR,2015-01-01,13.2 
PC,DEG1,HR,2016-01-01,13.2 
PC,DEG1,HR,2017-01-01,
PC,DEG1,HU,2006-01-01,19.0 
PC,DEG1,HU,2007-01-01,18.7 
PC,DEG1,HU,2008-01-01,20.7 
PC,DEG1,HU,2009-01-01,20.1 
PC,DEG1,HU,2010-01-01,21.4 
PC,DEG1,HU,2011-01-01,21.4 
PC,DEG1,HU,2012-01-01,21.7 b
PC,DEG1,HU,2013-01-01,18.8 
PC,DEG1,HU,2014-01-01,20.4 
PC,DEG1,HU,2015-01-01,17.6 
PC,DEG1,HU,2016-01-01,16.8 
PC,DEG1,HU,2017-01-01,15.9 
PC,DEG1,IE,2006-01-01,8.6 
PC,DEG1,IE,2007-01-01,9.1 
