unit,material,indic_env,geotime,date,value
T_HAB,TOTAL,DMC,CH,1990-01-01,15
T_HAB,TOTAL,DMC,CH,1991-01-01,14
T_HAB,TOTAL,DMC,CH,1992-01-01,13
T_HAB,TOTAL,DMC,CH,1993-01-01,12
T_HAB,TOTAL,DMC,CH,1994-01-01,13
T_HAB,TOTAL,DMC,CH,1995-01-01,13
T_HAB,TOTAL,DMC,CH,1996-01-01,12
T_HAB,TOTAL,DMC,CH,1997-01-01,11
T_HAB,TOTAL,DMC,CH,1998-01-01,11
T_HAB,TOTAL,DMC,CH,1999-01-01,11
T_HAB,TOTAL,DMC,CH,2000-01-01,12
T_HAB,TOTAL,DMC,CH,2001-01-01,12
T_HAB,TOTAL,DMC,CH,2002-01-01,12
T_HAB,TOTAL,DMC,CH,2003-01-01,11
T_HAB,TOTAL,DMC,CH,2004-01-01,12
T_HAB,TOTAL,DMC,CH,2005-01-01,12
T_HAB,TOTAL,DMC,CH,2006-01-01,12
T_HAB,TOTAL,DMC,CH,2007-01-01,12
T_HAB,TOTAL,DMC,CH,2008-01-01,12
T_HAB,TOTAL,DMC,CH,2009-01-01,12
T_HAB,TOTAL,DMC,CH,2010-01-01,12
T_HAB,TOTAL,DMC,CH,2011-01-01,12
T_HAB,TOTAL,DMC,CH,2012-01-01,11
T_HAB,TOTAL,DMC,CH,2013-01-01,12
T_HAB,TOTAL,DMC,CH,2014-01-01,12
T_HAB,TOTAL,DMC,CH,2015-01-01,11
T_HAB,TOTAL,DMC,CH,2016-01-01,11
T_HAB,TOTAL,DMC,CH,2017-01-01,11
T_HAB,TOTAL,DMC,CY,1990-01-01,
T_HAB,TOTAL,DMC,CY,1991-01-01,
T_HAB,TOTAL,DMC,CY,1992-01-01,
T_HAB,TOTAL,DMC,CY,1993-01-01,
T_HAB,TOTAL,DMC,CY,1994-01-01,
T_HAB,TOTAL,DMC,CY,1995-01-01,
T_HAB,TOTAL,DMC,CY,1996-01-01,
T_HAB,TOTAL,DMC,CY,1997-01-01,
T_HAB,TOTAL,DMC,CY,1998-01-01,
T_HAB,TOTAL,DMC,CY,1999-01-01,
T_HAB,TOTAL,DMC,CY,2000-01-01,24
T_HAB,TOTAL,DMC,CY,2001-01-01,24
T_HAB,TOTAL,DMC,CY,2002-01-01,25
T_HAB,TOTAL,DMC,CY,2003-01-01,22
T_HAB,TOTAL,DMC,CY,2004-01-01,24
T_HAB,TOTAL,DMC,CY,2005-01-01,24
T_HAB,TOTAL,DMC,CY,2006-01-01,24
T_HAB,TOTAL,DMC,CY,2007-01-01,27
T_HAB,TOTAL,DMC,CY,2008-01-01,40
T_HAB,TOTAL,DMC,CY,2009-01-01,30
T_HAB,TOTAL,DMC,CY,2010-01-01,27
T_HAB,TOTAL,DMC,CY,2011-01-01,26
T_HAB,TOTAL,DMC,CY,2012-01-01,19
T_HAB,TOTAL,DMC,CY,2013-01-01,13
T_HAB,TOTAL,DMC,CY,2014-01-01,13
T_HAB,TOTAL,DMC,CY,2015-01-01,14
T_HAB,TOTAL,DMC,CY,2016-01-01,16
T_HAB,TOTAL,DMC,CY,2017-01-01,19
T_HAB,TOTAL,DMC,CZ,1990-01-01,
T_HAB,TOTAL,DMC,CZ,1991-01-01,
T_HAB,TOTAL,DMC,CZ,1992-01-01,
T_HAB,TOTAL,DMC,CZ,1993-01-01,19
T_HAB,TOTAL,DMC,CZ,1994-01-01,17
T_HAB,TOTAL,DMC,CZ,1995-01-01,18
T_HAB,TOTAL,DMC,CZ,1996-01-01,19
T_HAB,TOTAL,DMC,CZ,1997-01-01,19
T_HAB,TOTAL,DMC,CZ,1998-01-01,17
T_HAB,TOTAL,DMC,CZ,1999-01-01,16
T_HAB,TOTAL,DMC,CZ,2000-01-01,17
T_HAB,TOTAL,DMC,CZ,2001-01-01,17
T_HAB,TOTAL,DMC,CZ,2002-01-01,17
T_HAB,TOTAL,DMC,CZ,2003-01-01,17
T_HAB,TOTAL,DMC,CZ,2004-01-01,18
T_HAB,TOTAL,DMC,CZ,2005-01-01,18
T_HAB,TOTAL,DMC,CZ,2006-01-01,18
T_HAB,TOTAL,DMC,CZ,2007-01-01,19
T_HAB,TOTAL,DMC,CZ,2008-01-01,18
T_HAB,TOTAL,DMC,CZ,2009-01-01,16
T_HAB,TOTAL,DMC,CZ,2010-01-01,16
T_HAB,TOTAL,DMC,CZ,2011-01-01,16
T_HAB,TOTAL,DMC,CZ,2012-01-01,14
T_HAB,TOTAL,DMC,CZ,2013-01-01,14
T_HAB,TOTAL,DMC,CZ,2014-01-01,15
T_HAB,TOTAL,DMC,CZ,2015-01-01,15
T_HAB,TOTAL,DMC,CZ,2016-01-01,15
T_HAB,TOTAL,DMC,CZ,2017-01-01,15
T_HAB,TOTAL,DMC,DE,1990-01-01,
T_HAB,TOTAL,DMC,DE,1991-01-01,
T_HAB,TOTAL,DMC,DE,1992-01-01,
T_HAB,TOTAL,DMC,DE,1993-01-01,
T_HAB,TOTAL,DMC,DE,1994-01-01,
T_HAB,TOTAL,DMC,DE,1995-01-01,
T_HAB,TOTAL,DMC,DE,1996-01-01,
T_HAB,TOTAL,DMC,DE,1997-01-01,
T_HAB,TOTAL,DMC,DE,1998-01-01,
T_HAB,TOTAL,DMC,DE,1999-01-01,
T_HAB,TOTAL,DMC,DE,2000-01-01,17
T_HAB,TOTAL,DMC,DE,2001-01-01,16
T_HAB,TOTAL,DMC,DE,2002-01-01,16
T_HAB,TOTAL,DMC,DE,2003-01-01,16
T_HAB,TOTAL,DMC,DE,2004-01-01,16
T_HAB,TOTAL,DMC,DE,2005-01-01,15
T_HAB,TOTAL,DMC,DE,2006-01-01,16
T_HAB,TOTAL,DMC,DE,2007-01-01,16
T_HAB,TOTAL,DMC,DE,2008-01-01,16
T_HAB,TOTAL,DMC,DE,2009-01-01,15
T_HAB,TOTAL,DMC,DE,2010-01-01,15
T_HAB,TOTAL,DMC,DE,2011-01-01,17
T_HAB,TOTAL,DMC,DE,2012-01-01,16
T_HAB,TOTAL,DMC,DE,2013-01-01,16
T_HAB,TOTAL,DMC,DE,2014-01-01,16
T_HAB,TOTAL,DMC,DE,2015-01-01,16
T_HAB,TOTAL,DMC,DE,2016-01-01,15
T_HAB,TOTAL,DMC,DE,2017-01-01,15
T_HAB,TOTAL,DMC,DK,1990-01-01,
T_HAB,TOTAL,DMC,DK,1991-01-01,
T_HAB,TOTAL,DMC,DK,1992-01-01,
T_HAB,TOTAL,DMC,DK,1993-01-01,23
T_HAB,TOTAL,DMC,DK,1994-01-01,24
T_HAB,TOTAL,DMC,DK,1995-01-01,25
T_HAB,TOTAL,DMC,DK,1996-01-01,26
T_HAB,TOTAL,DMC,DK,1997-01-01,27
T_HAB,TOTAL,DMC,DK,1998-01-01,26
T_HAB,TOTAL,DMC,DK,1999-01-01,27
T_HAB,TOTAL,DMC,DK,2000-01-01,25
T_HAB,TOTAL,DMC,DK,2001-01-01,25
T_HAB,TOTAL,DMC,DK,2002-01-01,23
T_HAB,TOTAL,DMC,DK,2003-01-01,24
T_HAB,TOTAL,DMC,DK,2004-01-01,25
T_HAB,TOTAL,DMC,DK,2005-01-01,27
T_HAB,TOTAL,DMC,DK,2006-01-01,29
T_HAB,TOTAL,DMC,DK,2007-01-01,28
T_HAB,TOTAL,DMC,DK,2008-01-01,27
T_HAB,TOTAL,DMC,DK,2009-01-01,22
T_HAB,TOTAL,DMC,DK,2010-01-01,20
T_HAB,TOTAL,DMC,DK,2011-01-01,23
T_HAB,TOTAL,DMC,DK,2012-01-01,23
T_HAB,TOTAL,DMC,DK,2013-01-01,21
T_HAB,TOTAL,DMC,DK,2014-01-01,21
T_HAB,TOTAL,DMC,DK,2015-01-01,22
T_HAB,TOTAL,DMC,DK,2016-01-01,22
T_HAB,TOTAL,DMC,DK,2017-01-01,23
T_HAB,TOTAL,DMC,EE,1990-01-01,
T_HAB,TOTAL,DMC,EE,1991-01-01,
T_HAB,TOTAL,DMC,EE,1992-01-01,
T_HAB,TOTAL,DMC,EE,1993-01-01,
T_HAB,TOTAL,DMC,EE,1994-01-01,
T_HAB,TOTAL,DMC,EE,1995-01-01,
T_HAB,TOTAL,DMC,EE,1996-01-01,
T_HAB,TOTAL,DMC,EE,1997-01-01,
T_HAB,TOTAL,DMC,EE,1998-01-01,
T_HAB,TOTAL,DMC,EE,1999-01-01,
T_HAB,TOTAL,DMC,EE,2000-01-01,16
T_HAB,TOTAL,DMC,EE,2001-01-01,15
T_HAB,TOTAL,DMC,EE,2002-01-01,18
T_HAB,TOTAL,DMC,EE,2003-01-01,23
T_HAB,TOTAL,DMC,EE,2004-01-01,21
T_HAB,TOTAL,DMC,EE,2005-01-01,21
T_HAB,TOTAL,DMC,EE,2006-01-01,23
T_HAB,TOTAL,DMC,EE,2007-01-01,29
T_HAB,TOTAL,DMC,EE,2008-01-01,26
T_HAB,TOTAL,DMC,EE,2009-01-01,24
T_HAB,TOTAL,DMC,EE,2010-01-01,25
T_HAB,TOTAL,DMC,EE,2011-01-01,26
T_HAB,TOTAL,DMC,EE,2012-01-01,26
T_HAB,TOTAL,DMC,EE,2013-01-01,28
T_HAB,TOTAL,DMC,EE,2014-01-01,28
T_HAB,TOTAL,DMC,EE,2015-01-01,27
T_HAB,TOTAL,DMC,EE,2016-01-01,26
T_HAB,TOTAL,DMC,EE,2017-01-01,29
T_HAB,TOTAL,DMC,EL,1990-01-01,
