field,sex,unit,geotime,date,value
SCI,T,PC,KR,2003-01-01,
SCI,T,PC,KR,2006-01-01,11.2
SCI,T,PC,KR,2009-01-01,6.3
SCI,T,PC,KR,2012-01-01,6.6
SCI,T,PC,KR,2015-01-01,14.4
SCI,T,PC,LI,2000-01-01,
SCI,T,PC,LI,2003-01-01,
SCI,T,PC,LI,2006-01-01,12.9
SCI,T,PC,LI,2009-01-01,11.3
SCI,T,PC,LI,2012-01-01,10.4
SCI,T,PC,LI,2015-01-01,
SCI,T,PC,LT,2000-01-01,
SCI,T,PC,LT,2003-01-01,
SCI,T,PC,LT,2006-01-01,20.3
SCI,T,PC,LT,2009-01-01,17.0
SCI,T,PC,LT,2012-01-01,16.1
SCI,T,PC,LT,2015-01-01,24.7
SCI,T,PC,LU,2000-01-01,
SCI,T,PC,LU,2003-01-01,
SCI,T,PC,LU,2006-01-01,22.1
SCI,T,PC,LU,2009-01-01,23.7
SCI,T,PC,LU,2012-01-01,22.2
SCI,T,PC,LU,2015-01-01,25.9
SCI,T,PC,LV,2000-01-01,
SCI,T,PC,LV,2003-01-01,
SCI,T,PC,LV,2006-01-01,17.4
SCI,T,PC,LV,2009-01-01,14.7
SCI,T,PC,LV,2012-01-01,12.4
SCI,T,PC,LV,2015-01-01,17.2
SCI,T,PC,ME,2000-01-01,
SCI,T,PC,ME,2003-01-01,
SCI,T,PC,ME,2006-01-01,50.2
SCI,T,PC,ME,2009-01-01,53.6
SCI,T,PC,ME,2012-01-01,50.7
SCI,T,PC,ME,2015-01-01,51.0
SCI,T,PC,MK,2000-01-01,
SCI,T,PC,MK,2003-01-01,
SCI,T,PC,MK,2006-01-01,
SCI,T,PC,MK,2009-01-01,
SCI,T,PC,MK,2012-01-01,
SCI,T,PC,MK,2015-01-01,62.9
SCI,T,PC,MT,2000-01-01,
SCI,T,PC,MT,2003-01-01,
SCI,T,PC,MT,2006-01-01,
SCI,T,PC,MT,2009-01-01,32.5
SCI,T,PC,MT,2012-01-01,
SCI,T,PC,MT,2015-01-01,32.5
SCI,T,PC,NL,2000-01-01,
SCI,T,PC,NL,2003-01-01,
SCI,T,PC,NL,2006-01-01,13.0
SCI,T,PC,NL,2009-01-01,13.2
SCI,T,PC,NL,2012-01-01,13.1
SCI,T,PC,NL,2015-01-01,18.5
SCI,T,PC,NO,2000-01-01,
SCI,T,PC,NO,2003-01-01,
SCI,T,PC,NO,2006-01-01,21.1
SCI,T,PC,NO,2009-01-01,15.8
SCI,T,PC,NO,2012-01-01,19.6
SCI,T,PC,NO,2015-01-01,18.7
SCI,T,PC,PL,2000-01-01,
SCI,T,PC,PL,2003-01-01,
SCI,T,PC,PL,2006-01-01,17.0
SCI,T,PC,PL,2009-01-01,13.1
SCI,T,PC,PL,2012-01-01,9.0
SCI,T,PC,PL,2015-01-01,16.3
SCI,T,PC,PT,2000-01-01,
SCI,T,PC,PT,2003-01-01,
SCI,T,PC,PT,2006-01-01,24.5
SCI,T,PC,PT,2009-01-01,16.5
SCI,T,PC,PT,2012-01-01,19.0
SCI,T,PC,PT,2015-01-01,17.4
SCI,T,PC,RO,2000-01-01,
SCI,T,PC,RO,2003-01-01,
SCI,T,PC,RO,2006-01-01,46.9
SCI,T,PC,RO,2009-01-01,41.4
SCI,T,PC,RO,2012-01-01,37.3
SCI,T,PC,RO,2015-01-01,38.5
SCI,T,PC,RS,2000-01-01,
SCI,T,PC,RS,2003-01-01,
SCI,T,PC,RS,2006-01-01,38.5
SCI,T,PC,RS,2009-01-01,34.4
SCI,T,PC,RS,2012-01-01,35.0
SCI,T,PC,RS,2015-01-01,
SCI,T,PC,RU,2000-01-01,
SCI,T,PC,RU,2003-01-01,
SCI,T,PC,RU,2006-01-01,22.2
SCI,T,PC,RU,2009-01-01,22.0
SCI,T,PC,RU,2012-01-01,18.8
SCI,T,PC,RU,2015-01-01,18.2
SCI,T,PC,SE,2000-01-01,
SCI,T,PC,SE,2003-01-01,
SCI,T,PC,SE,2006-01-01,16.4
SCI,T,PC,SE,2009-01-01,19.1
SCI,T,PC,SE,2012-01-01,22.2
SCI,T,PC,SE,2015-01-01,21.6
SCI,T,PC,SI,2000-01-01,
SCI,T,PC,SI,2003-01-01,
SCI,T,PC,SI,2006-01-01,13.9
SCI,T,PC,SI,2009-01-01,14.8
SCI,T,PC,SI,2012-01-01,12.9
SCI,T,PC,SI,2015-01-01,15.0
SCI,T,PC,SK,2000-01-01,
SCI,T,PC,SK,2003-01-01,
SCI,T,PC,SK,2006-01-01,20.2
SCI,T,PC,SK,2009-01-01,19.3
SCI,T,PC,SK,2012-01-01,26.9
SCI,T,PC,SK,2015-01-01,30.7
SCI,T,PC,TR,2000-01-01,
SCI,T,PC,TR,2003-01-01,
SCI,T,PC,TR,2006-01-01,46.6
SCI,T,PC,TR,2009-01-01,30.0
SCI,T,PC,TR,2012-01-01,26.4
SCI,T,PC,TR,2015-01-01,44.5
SCI,T,PC,UK,2000-01-01,
SCI,T,PC,UK,2003-01-01,
SCI,T,PC,UK,2006-01-01,16.7
SCI,T,PC,UK,2009-01-01,15.0
SCI,T,PC,UK,2012-01-01,15.0
SCI,T,PC,UK,2015-01-01,17.4
SCI,T,PC,US,2000-01-01,
SCI,T,PC,US,2003-01-01,
SCI,T,PC,US,2006-01-01,24.4
SCI,T,PC,US,2009-01-01,18.1
SCI,T,PC,US,2012-01-01,18.1
SCI,T,PC,US,2015-01-01,20.3
