s_adj,bop_item,sector10,sectpart,stk_flow,partner,unit,geotime,date,value
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,1995-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,1996-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,1997-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,1998-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,1999-01-01,34090
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2000-01-01,34597
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2001-01-01,46010
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2002-01-01,46594
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2003-01-01,29563
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2004-01-01,31621
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2005-01-01,39287
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2006-01-01,34494
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2007-01-01,27606
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2008-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2009-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2010-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2011-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2012-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2013-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2014-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2015-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2016-01-01,13033
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,AT,2017-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,BE,1995-01-01,
NSA,FA,S1,S1,N_LE,WRL_REST,MIO_NAC,BE,1996-01-01,
