unit,age,sex,indic_il,geotime,date,value
PC,TOTAL,T,LI_R_MD40,CY,2011-01-01,2
PC,TOTAL,T,LI_R_MD40,CY,2012-01-01,3
PC,TOTAL,T,LI_R_MD40,CY,2013-01-01,
PC,TOTAL,T,LI_R_MD40,CY,2014-01-01,
PC,TOTAL,T,LI_R_MD40,CY,2015-01-01,
PC,TOTAL,T,LI_R_MD40,CY,2016-01-01,3
PC,TOTAL,T,LI_R_MD40,CY,2017-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2006-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2007-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2008-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2009-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2010-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2011-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2012-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2013-01-01,
PC,TOTAL,T,LI_R_MD40,CZ,2014-01-01,
PC,TOTAL,T,LI_R_MD40,CZ,2015-01-01,
PC,TOTAL,T,LI_R_MD40,CZ,2016-01-01,2
PC,TOTAL,T,LI_R_MD40,CZ,2017-01-01,2
PC,TOTAL,T,LI_R_MD40,DE,2006-01-01,4
PC,TOTAL,T,LI_R_MD40,DE,2007-01-01,5
PC,TOTAL,T,LI_R_MD40,DE,2008-01-01,4
PC,TOTAL,T,LI_R_MD40,DE,2009-01-01,4
PC,TOTAL,T,LI_R_MD40,DE,2010-01-01,4
PC,TOTAL,T,LI_R_MD40,DE,2011-01-01,4
PC,TOTAL,T,LI_R_MD40,DE,2012-01-01,4
PC,TOTAL,T,LI_R_MD40,DE,2013-01-01,
PC,TOTAL,T,LI_R_MD40,DE,2014-01-01,
PC,TOTAL,T,LI_R_MD40,DE,2015-01-01,
PC,TOTAL,T,LI_R_MD40,DE,2016-01-01,4
PC,TOTAL,T,LI_R_MD40,DE,2017-01-01,4
PC,TOTAL,T,LI_R_MD40,DK,2006-01-01,3
PC,TOTAL,T,LI_R_MD40,DK,2007-01-01,3
PC,TOTAL,T,LI_R_MD40,DK,2008-01-01,3
PC,TOTAL,T,LI_R_MD40,DK,2009-01-01,4
PC,TOTAL,T,LI_R_MD40,DK,2010-01-01,5
PC,TOTAL,T,LI_R_MD40,DK,2011-01-01,4
PC,TOTAL,T,LI_R_MD40,DK,2012-01-01,4
PC,TOTAL,T,LI_R_MD40,DK,2013-01-01,
PC,TOTAL,T,LI_R_MD40,DK,2014-01-01,
PC,TOTAL,T,LI_R_MD40,DK,2015-01-01,
PC,TOTAL,T,LI_R_MD40,DK,2016-01-01,4
PC,TOTAL,T,LI_R_MD40,DK,2017-01-01,4
PC,TOTAL,T,LI_R_MD40,EA18,2006-01-01,5
PC,TOTAL,T,LI_R_MD40,EA18,2007-01-01,5
PC,TOTAL,T,LI_R_MD40,EA18,2008-01-01,5
PC,TOTAL,T,LI_R_MD40,EA18,2009-01-01,5
PC,TOTAL,T,LI_R_MD40,EA18,2010-01-01,5
PC,TOTAL,T,LI_R_MD40,EA18,2011-01-01,5
PC,TOTAL,T,LI_R_MD40,EA18,2012-01-01,5
PC,TOTAL,T,LI_R_MD40,EA18,2013-01-01,
PC,TOTAL,T,LI_R_MD40,EA18,2014-01-01,
PC,TOTAL,T,LI_R_MD40,EA18,2015-01-01,
