worktime,geotime,date,value
PT,PT,2011-01-01,28.3
PT,PT,2012-01-01,23.4
PT,PT,2013-01-01,28.0
PT,PT,2014-01-01,31.1
PT,PT,2015-01-01,29.5
PT,PT,2016-01-01,30.2
PT,PT,2017-01-01,31.5
PT,RO,2006-01-01,
PT,RO,2007-01-01,55.6
PT,RO,2008-01-01,58.4
PT,RO,2009-01-01,56.5
PT,RO,2010-01-01,53.0
PT,RO,2011-01-01,59.5
PT,RO,2012-01-01,59.6
PT,RO,2013-01-01,58.5
PT,RO,2014-01-01,63.5
PT,RO,2015-01-01,59.4
PT,RO,2016-01-01,64.7
PT,RO,2017-01-01,61.1
PT,RS,2006-01-01,
PT,RS,2007-01-01,
PT,RS,2008-01-01,
PT,RS,2009-01-01,
PT,RS,2010-01-01,
PT,RS,2011-01-01,
PT,RS,2012-01-01,
PT,RS,2013-01-01,35.6
PT,RS,2014-01-01,37.0
PT,RS,2015-01-01,44.1
PT,RS,2016-01-01,33.3
PT,RS,2017-01-01,
PT,SE,2006-01-01,8.8
PT,SE,2007-01-01,7.4
PT,SE,2008-01-01,8.6
PT,SE,2009-01-01,9.3
PT,SE,2010-01-01,10.6
PT,SE,2011-01-01,12.9
PT,SE,2012-01-01,10.8
PT,SE,2013-01-01,12.0
PT,SE,2014-01-01,10.8
PT,SE,2015-01-01,11.1
PT,SE,2016-01-01,10.3
PT,SE,2017-01-01,9.5
PT,SI,2006-01-01,7.4
PT,SI,2007-01-01,10.8
PT,SI,2008-01-01,8.1
PT,SI,2009-01-01,7.2
PT,SI,2010-01-01,7.4
PT,SI,2011-01-01,10.7
PT,SI,2012-01-01,10.2
PT,SI,2013-01-01,13.4
PT,SI,2014-01-01,13.0
PT,SI,2015-01-01,14.6
PT,SI,2016-01-01,15.6
PT,SI,2017-01-01,15.2
PT,SK,2006-01-01,9.6
PT,SK,2007-01-01,10.0
PT,SK,2008-01-01,10.9
PT,SK,2009-01-01,10.8
PT,SK,2010-01-01,11.6
PT,SK,2011-01-01,18.1
PT,SK,2012-01-01,16.4
PT,SK,2013-01-01,17.8
PT,SK,2014-01-01,11.4
PT,SK,2015-01-01,19.0
PT,SK,2016-01-01,15.4
PT,SK,2017-01-01,16.4
PT,TR,2006-01-01,30.9
PT,TR,2007-01-01,30.6
PT,TR,2008-01-01,32.4
PT,TR,2009-01-01,33.9
PT,TR,2010-01-01,28.6
PT,TR,2011-01-01,23.8
PT,TR,2012-01-01,23.5
PT,TR,2013-01-01,20.9
PT,TR,2014-01-01,19.8
PT,TR,2015-01-01,17.8
PT,TR,2016-01-01,
PT,TR,2017-01-01,
PT,UK,2006-01-01,12.6
PT,UK,2007-01-01,12.0
PT,UK,2008-01-01,11.9
PT,UK,2009-01-01,11.9
PT,UK,2010-01-01,11.4
PT,UK,2011-01-01,12.3
PT,UK,2012-01-01,14.3
PT,UK,2013-01-01,13.6
PT,UK,2014-01-01,16.1
PT,UK,2015-01-01,13.0
PT,UK,2016-01-01,14.1
PT,UK,2017-01-01,
