worktime,geotime,date,value
FT,EU27,2011-01-01,7.4
FT,EU27,2012-01-01,7.4
FT,EU27,2013-01-01,7.2
FT,EU27,2014-01-01,7.7
FT,EU27,2015-01-01,7.8
FT,EU27,2016-01-01,7.8
FT,EU27,2017-01-01,8.0
FT,EU28,2006-01-01,
FT,EU28,2007-01-01,
FT,EU28,2008-01-01,
FT,EU28,2009-01-01,
FT,EU28,2010-01-01,7.1
FT,EU28,2011-01-01,7.4
FT,EU28,2012-01-01,7.4
FT,EU28,2013-01-01,7.2
FT,EU28,2014-01-01,7.7
FT,EU28,2015-01-01,7.7
FT,EU28,2016-01-01,7.8
FT,EU28,2017-01-01,8.0
FT,FI,2006-01-01,3.4
FT,FI,2007-01-01,3.4
FT,FI,2008-01-01,3.9
FT,FI,2009-01-01,2.9
FT,FI,2010-01-01,3.0
FT,FI,2011-01-01,3.4
FT,FI,2012-01-01,3.0
FT,FI,2013-01-01,2.7
FT,FI,2014-01-01,3.1
FT,FI,2015-01-01,2.9
FT,FI,2016-01-01,2.7
FT,FI,2017-01-01,2.3
FT,FR,2006-01-01,5.1
FT,FR,2007-01-01,5.3
FT,FR,2008-01-01,5.3
FT,FR,2009-01-01,5.3
FT,FR,2010-01-01,5.2
FT,FR,2011-01-01,5.9
FT,FR,2012-01-01,6.6
FT,FR,2013-01-01,5.9
FT,FR,2014-01-01,6.3
FT,FR,2015-01-01,6.0
FT,FR,2016-01-01,6.5
FT,FR,2017-01-01,5.8
FT,HR,2006-01-01,
FT,HR,2007-01-01,
FT,HR,2008-01-01,
FT,HR,2009-01-01,
FT,HR,2010-01-01,5.9
FT,HR,2011-01-01,5.9
FT,HR,2012-01-01,5.6
FT,HR,2013-01-01,5.3
FT,HR,2014-01-01,5.5
FT,HR,2015-01-01,5.4
FT,HR,2016-01-01,5.0
FT,HR,2017-01-01,
FT,HU,2006-01-01,6.2
FT,HU,2007-01-01,5.1
FT,HU,2008-01-01,4.9
FT,HU,2009-01-01,5.2
FT,HU,2010-01-01,4.3
FT,HU,2011-01-01,4.9
FT,HU,2012-01-01,4.7
FT,HU,2013-01-01,5.8
FT,HU,2014-01-01,5.4
FT,HU,2015-01-01,8.4
FT,HU,2016-01-01,8.7
FT,HU,2017-01-01,
FT,IE,2006-01-01,4.0
FT,IE,2007-01-01,3.8
FT,IE,2008-01-01,4.6
FT,IE,2009-01-01,4.2
FT,IE,2010-01-01,5.1
FT,IE,2011-01-01,3.5
FT,IE,2012-01-01,3.4
FT,IE,2013-01-01,3.1
FT,IE,2014-01-01,3.0
FT,IE,2015-01-01,2.9
FT,IE,2016-01-01,2.8
FT,IE,2017-01-01,
FT,IS,2006-01-01,5.7
FT,IS,2007-01-01,6.0
FT,IS,2008-01-01,5.2
FT,IS,2009-01-01,5.8
FT,IS,2010-01-01,4.3
FT,IS,2011-01-01,4.0
FT,IS,2012-01-01,3.7
FT,IS,2013-01-01,4.1
FT,IS,2014-01-01,3.2
FT,IS,2015-01-01,4.5
FT,IS,2016-01-01,4.9
FT,IS,2017-01-01,
FT,IT,2006-01-01,8.3
FT,IT,2007-01-01,8.5
FT,IT,2008-01-01,8.4
FT,IT,2009-01-01,9.0
FT,IT,2010-01-01,8.6
FT,IT,2011-01-01,9.5
FT,IT,2012-01-01,9.3
FT,IT,2013-01-01,9.3
FT,IT,2014-01-01,9.6
FT,IT,2015-01-01,9.8
FT,IT,2016-01-01,10.0
FT,IT,2017-01-01,11.1
FT,LT,2006-01-01,9.3
FT,LT,2007-01-01,6.9
FT,LT,2008-01-01,8.3
FT,LT,2009-01-01,8.9
FT,LT,2010-01-01,11.4
FT,LT,2011-01-01,8.6
FT,LT,2012-01-01,5.8
FT,LT,2013-01-01,7.6
FT,LT,2014-01-01,6.8
FT,LT,2015-01-01,8.6
FT,LT,2016-01-01,6.5
FT,LT,2017-01-01,6.9
FT,LU,2006-01-01,9.0
FT,LU,2007-01-01,8.7
FT,LU,2008-01-01,8.5
FT,LU,2009-01-01,9.0
FT,LU,2010-01-01,10.0
FT,LU,2011-01-01,8.6
FT,LU,2012-01-01,9.0
FT,LU,2013-01-01,10.1
FT,LU,2014-01-01,9.9
FT,LU,2015-01-01,10.0
FT,LU,2016-01-01,10.5
FT,LU,2017-01-01,12.2
FT,LV,2006-01-01,9.7
FT,LV,2007-01-01,8.0
FT,LV,2008-01-01,9.3
FT,LV,2009-01-01,9.3
FT,LV,2010-01-01,7.9
FT,LV,2011-01-01,7.9
FT,LV,2012-01-01,7.1
FT,LV,2013-01-01,7.7
