s_adj,age,sex,unit,geotime,date,value
SA,TOTAL,F,PC_ACT,AT,2017-10-01,4.8
SA,TOTAL,F,PC_ACT,AT,2017-11-01,5.0
SA,TOTAL,F,PC_ACT,AT,2017-12-01,5.0
SA,TOTAL,F,PC_ACT,AT,2018-01-01,4.9
SA,TOTAL,F,PC_ACT,AT,2018-02-01,4.8
SA,TOTAL,F,PC_ACT,AT,2018-03-01,4.8
SA,TOTAL,F,PC_ACT,AT,2018-04-01,4.6
SA,TOTAL,F,PC_ACT,AT,2018-05-01,4.5
SA,TOTAL,F,PC_ACT,AT,2018-06-01,4.5
SA,TOTAL,F,PC_ACT,AT,2018-07-01,4.8
SA,TOTAL,F,PC_ACT,AT,2018-08-01,5.0
SA,TOTAL,F,PC_ACT,AT,2018-09-01,
SA,TOTAL,F,PC_ACT,BE,2017-10-01,6.6
SA,TOTAL,F,PC_ACT,BE,2017-11-01,6.4
SA,TOTAL,F,PC_ACT,BE,2017-12-01,6.2
SA,TOTAL,F,PC_ACT,BE,2018-01-01,5.8
SA,TOTAL,F,PC_ACT,BE,2018-02-01,5.7
SA,TOTAL,F,PC_ACT,BE,2018-03-01,5.7
SA,TOTAL,F,PC_ACT,BE,2018-04-01,6.0
SA,TOTAL,F,PC_ACT,BE,2018-05-01,6.1
SA,TOTAL,F,PC_ACT,BE,2018-06-01,6.2
SA,TOTAL,F,PC_ACT,BE,2018-07-01,6.4
SA,TOTAL,F,PC_ACT,BE,2018-08-01,6.4
SA,TOTAL,F,PC_ACT,BE,2018-09-01,
SA,TOTAL,F,PC_ACT,BG,2017-10-01,5.8
SA,TOTAL,F,PC_ACT,BG,2017-11-01,5.7
SA,TOTAL,F,PC_ACT,BG,2017-12-01,5.4
SA,TOTAL,F,PC_ACT,BG,2018-01-01,5.0
SA,TOTAL,F,PC_ACT,BG,2018-02-01,4.8
SA,TOTAL,F,PC_ACT,BG,2018-03-01,4.7
SA,TOTAL,F,PC_ACT,BG,2018-04-01,4.7
SA,TOTAL,F,PC_ACT,BG,2018-05-01,4.8
SA,TOTAL,F,PC_ACT,BG,2018-06-01,4.7
SA,TOTAL,F,PC_ACT,BG,2018-07-01,4.7
SA,TOTAL,F,PC_ACT,BG,2018-08-01,4.6
SA,TOTAL,F,PC_ACT,BG,2018-09-01,
SA,TOTAL,F,PC_ACT,CY,2017-10-01,10.0
SA,TOTAL,F,PC_ACT,CY,2017-11-01,10.1
SA,TOTAL,F,PC_ACT,CY,2017-12-01,10.0
SA,TOTAL,F,PC_ACT,CY,2018-01-01,9.9
SA,TOTAL,F,PC_ACT,CY,2018-02-01,9.6
SA,TOTAL,F,PC_ACT,CY,2018-03-01,9.1
SA,TOTAL,F,PC_ACT,CY,2018-04-01,8.6
SA,TOTAL,F,PC_ACT,CY,2018-05-01,8.3
SA,TOTAL,F,PC_ACT,CY,2018-06-01,8.2
SA,TOTAL,F,PC_ACT,CY,2018-07-01,8.1
SA,TOTAL,F,PC_ACT,CY,2018-08-01,7.9
SA,TOTAL,F,PC_ACT,CY,2018-09-01,
SA,TOTAL,F,PC_ACT,CZ,2017-10-01,3.0
SA,TOTAL,F,PC_ACT,CZ,2017-11-01,3.0
SA,TOTAL,F,PC_ACT,CZ,2017-12-01,2.9
SA,TOTAL,F,PC_ACT,CZ,2018-01-01,3.0
SA,TOTAL,F,PC_ACT,CZ,2018-02-01,2.9
SA,TOTAL,F,PC_ACT,CZ,2018-03-01,2.8
SA,TOTAL,F,PC_ACT,CZ,2018-04-01,2.9
SA,TOTAL,F,PC_ACT,CZ,2018-05-01,2.9
SA,TOTAL,F,PC_ACT,CZ,2018-06-01,3.0
SA,TOTAL,F,PC_ACT,CZ,2018-07-01,2.9
SA,TOTAL,F,PC_ACT,CZ,2018-08-01,3.1
SA,TOTAL,F,PC_ACT,CZ,2018-09-01,
SA,TOTAL,F,PC_ACT,DE,2017-10-01,3.3
SA,TOTAL,F,PC_ACT,DE,2017-11-01,3.2
SA,TOTAL,F,PC_ACT,DE,2017-12-01,3.1
SA,TOTAL,F,PC_ACT,DE,2018-01-01,3.1
SA,TOTAL,F,PC_ACT,DE,2018-02-01,3.0
SA,TOTAL,F,PC_ACT,DE,2018-03-01,3.0
SA,TOTAL,F,PC_ACT,DE,2018-04-01,3.0
SA,TOTAL,F,PC_ACT,DE,2018-05-01,3.0
SA,TOTAL,F,PC_ACT,DE,2018-06-01,3.0
SA,TOTAL,F,PC_ACT,DE,2018-07-01,2.9
SA,TOTAL,F,PC_ACT,DE,2018-08-01,2.9
SA,TOTAL,F,PC_ACT,DE,2018-09-01,
SA,TOTAL,F,PC_ACT,DK,2017-10-01,5.8
SA,TOTAL,F,PC_ACT,DK,2017-11-01,5.6
SA,TOTAL,F,PC_ACT,DK,2017-12-01,5.6
SA,TOTAL,F,PC_ACT,DK,2018-01-01,5.4
SA,TOTAL,F,PC_ACT,DK,2018-02-01,5.5
SA,TOTAL,F,PC_ACT,DK,2018-03-01,5.3
SA,TOTAL,F,PC_ACT,DK,2018-04-01,5.5
SA,TOTAL,F,PC_ACT,DK,2018-05-01,5.3
SA,TOTAL,F,PC_ACT,DK,2018-06-01,5.2
SA,TOTAL,F,PC_ACT,DK,2018-07-01,5.2
SA,TOTAL,F,PC_ACT,DK,2018-08-01,5.0
SA,TOTAL,F,PC_ACT,DK,2018-09-01,
SA,TOTAL,F,PC_ACT,EA,2017-10-01,9.2
SA,TOTAL,F,PC_ACT,EA,2017-11-01,9.1
SA,TOTAL,F,PC_ACT,EA,2017-12-01,9.0
SA,TOTAL,F,PC_ACT,EA,2018-01-01,9.1
SA,TOTAL,F,PC_ACT,EA,2018-02-01,8.9
SA,TOTAL,F,PC_ACT,EA,2018-03-01,8.9
SA,TOTAL,F,PC_ACT,EA,2018-04-01,8.7
SA,TOTAL,F,PC_ACT,EA,2018-05-01,8.6
SA,TOTAL,F,PC_ACT,EA,2018-06-01,8.6
SA,TOTAL,F,PC_ACT,EA,2018-07-01,8.5
SA,TOTAL,F,PC_ACT,EA,2018-08-01,8.5
SA,TOTAL,F,PC_ACT,EA,2018-09-01,
SA,TOTAL,F,PC_ACT,EA18,2017-10-01,9.2
SA,TOTAL,F,PC_ACT,EA18,2017-11-01,9.2
SA,TOTAL,F,PC_ACT,EA18,2017-12-01,9.1
SA,TOTAL,F,PC_ACT,EA18,2018-01-01,9.1
SA,TOTAL,F,PC_ACT,EA18,2018-02-01,9.0
SA,TOTAL,F,PC_ACT,EA18,2018-03-01,8.9
SA,TOTAL,F,PC_ACT,EA18,2018-04-01,8.8
SA,TOTAL,F,PC_ACT,EA18,2018-05-01,8.7
SA,TOTAL,F,PC_ACT,EA18,2018-06-01,8.6
SA,TOTAL,F,PC_ACT,EA18,2018-07-01,8.6
SA,TOTAL,F,PC_ACT,EA18,2018-08-01,8.5
SA,TOTAL,F,PC_ACT,EA18,2018-09-01,
SA,TOTAL,F,PC_ACT,EA19,2017-10-01,9.2
SA,TOTAL,F,PC_ACT,EA19,2017-11-01,9.1
SA,TOTAL,F,PC_ACT,EA19,2017-12-01,9.0
SA,TOTAL,F,PC_ACT,EA19,2018-01-01,9.1
SA,TOTAL,F,PC_ACT,EA19,2018-02-01,8.9
SA,TOTAL,F,PC_ACT,EA19,2018-03-01,8.9
SA,TOTAL,F,PC_ACT,EA19,2018-04-01,8.7
SA,TOTAL,F,PC_ACT,EA19,2018-05-01,8.6
SA,TOTAL,F,PC_ACT,EA19,2018-06-01,8.6
SA,TOTAL,F,PC_ACT,EA19,2018-07-01,8.5
SA,TOTAL,F,PC_ACT,EA19,2018-08-01,8.5
SA,TOTAL,F,PC_ACT,EA19,2018-09-01,
SA,TOTAL,F,PC_ACT,EE,2017-10-01,5.1
SA,TOTAL,F,PC_ACT,EE,2017-11-01,5.3
SA,TOTAL,F,PC_ACT,EE,2017-12-01,5.6
SA,TOTAL,F,PC_ACT,EE,2018-01-01,6.0
SA,TOTAL,F,PC_ACT,EE,2018-02-01,6.0
SA,TOTAL,F,PC_ACT,EE,2018-03-01,5.2
SA,TOTAL,F,PC_ACT,EE,2018-04-01,4.8
SA,TOTAL,F,PC_ACT,EE,2018-05-01,5.0
SA,TOTAL,F,PC_ACT,EE,2018-06-01,5.1
SA,TOTAL,F,PC_ACT,EE,2018-07-01,5.2
SA,TOTAL,F,PC_ACT,EE,2018-08-01,
SA,TOTAL,F,PC_ACT,EE,2018-09-01,
SA,TOTAL,F,PC_ACT,EL,2017-10-01,25.8
SA,TOTAL,F,PC_ACT,EL,2017-11-01,25.9
SA,TOTAL,F,PC_ACT,EL,2017-12-01,26.0
SA,TOTAL,F,PC_ACT,EL,2018-01-01,25.6
SA,TOTAL,F,PC_ACT,EL,2018-02-01,26.2
SA,TOTAL,F,PC_ACT,EL,2018-03-01,24.8
SA,TOTAL,F,PC_ACT,EL,2018-04-01,24.5
SA,TOTAL,F,PC_ACT,EL,2018-05-01,24.2
SA,TOTAL,F,PC_ACT,EL,2018-06-01,24.0
SA,TOTAL,F,PC_ACT,EL,2018-07-01,23.7
SA,TOTAL,F,PC_ACT,EL,2018-08-01,
SA,TOTAL,F,PC_ACT,EL,2018-09-01,
