exch_rt,unit,geotime,date,value
REER_IC42_CPI,I10,AT,1995-01-01,112.86
REER_IC42_CPI,I10,AT,1996-01-01,109.14
REER_IC42_CPI,I10,AT,1997-01-01,104.24
REER_IC42_CPI,I10,AT,1998-01-01,104.72
REER_IC42_CPI,I10,AT,1999-01-01,103.83
REER_IC42_CPI,I10,AT,2000-01-01,99.76
REER_IC42_CPI,I10,AT,2001-01-01,99.56
REER_IC42_CPI,I10,AT,2002-01-01,99.95
REER_IC42_CPI,I10,AT,2003-01-01,103.24
REER_IC42_CPI,I10,AT,2004-01-01,103.98
REER_IC42_CPI,I10,AT,2005-01-01,102.49
REER_IC42_CPI,I10,AT,2006-01-01,101.53
REER_IC42_CPI,I10,AT,2007-01-01,102.09
REER_IC42_CPI,I10,AT,2008-01-01,102.4
REER_IC42_CPI,I10,AT,2009-01-01,103.56
REER_IC42_CPI,I10,AT,2010-01-01,100.0
REER_IC42_CPI,I10,AT,2011-01-01,100.52
REER_IC42_CPI,I10,AT,2012-01-01,98.71
REER_IC42_CPI,I10,AT,2013-01-01,100.75
REER_IC42_CPI,I10,AT,2014-01-01,102.45
REER_IC42_CPI,I10,AT,2015-01-01,100.13
REER_IC42_CPI,I10,AT,2016-01-01,101.79
REER_IC42_CPI,I10,AT,2017-01-01,102.73
REER_IC42_CPI,I10,BE,1995-01-01,105.14
REER_IC42_CPI,I10,BE,1996-01-01,101.91
REER_IC42_CPI,I10,BE,1997-01-01,96.62
REER_IC42_CPI,I10,BE,1998-01-01,97.08
REER_IC42_CPI,I10,BE,1999-01-01,96.2
REER_IC42_CPI,I10,BE,2000-01-01,92.76
REER_IC42_CPI,I10,BE,2001-01-01,93.5
REER_IC42_CPI,I10,BE,2002-01-01,94.17
REER_IC42_CPI,I10,BE,2003-01-01,98.28
REER_IC42_CPI,I10,BE,2004-01-01,99.27
REER_IC42_CPI,I10,BE,2005-01-01,98.83
REER_IC42_CPI,I10,BE,2006-01-01,98.79
REER_IC42_CPI,I10,BE,2007-01-01,99.46
REER_IC42_CPI,I10,BE,2008-01-01,102.21
REER_IC42_CPI,I10,BE,2009-01-01,102.7
REER_IC42_CPI,I10,BE,2010-01-01,100.0
REER_IC42_CPI,I10,BE,2011-01-01,100.64
REER_IC42_CPI,I10,BE,2012-01-01,98.33
REER_IC42_CPI,I10,BE,2013-01-01,99.84
REER_IC42_CPI,I10,BE,2014-01-01,100.06
REER_IC42_CPI,I10,BE,2015-01-01,96.78
REER_IC42_CPI,I10,BE,2016-01-01,99.56
REER_IC42_CPI,I10,BE,2017-01-01,101.01
REER_IC42_CPI,I10,BG,1995-01-01,55.69
REER_IC42_CPI,I10,BG,1996-01-01,44.0
REER_IC42_CPI,I10,BG,1997-01-01,56.72
REER_IC42_CPI,I10,BG,1998-01-01,66.73
REER_IC42_CPI,I10,BG,1999-01-01,68.87
REER_IC42_CPI,I10,BG,2000-01-01,70.45
REER_IC42_CPI,I10,BG,2001-01-01,74.67
REER_IC42_CPI,I10,BG,2002-01-01,77.23
REER_IC42_CPI,I10,BG,2003-01-01,79.77
REER_IC42_CPI,I10,BG,2004-01-01,83.03
REER_IC42_CPI,I10,BG,2005-01-01,83.64
REER_IC42_CPI,I10,BG,2006-01-01,87.1
REER_IC42_CPI,I10,BG,2007-01-01,91.2
REER_IC42_CPI,I10,BG,2008-01-01,99.12
REER_IC42_CPI,I10,BG,2009-01-01,103.07
REER_IC42_CPI,I10,BG,2010-01-01,100.0
REER_IC42_CPI,I10,BG,2011-01-01,101.04
REER_IC42_CPI,I10,BG,2012-01-01,98.96
REER_IC42_CPI,I10,BG,2013-01-01,99.07
REER_IC42_CPI,I10,BG,2014-01-01,98.23
REER_IC42_CPI,I10,BG,2015-01-01,94.8
REER_IC42_CPI,I10,BG,2016-01-01,94.46
REER_IC42_CPI,I10,BG,2017-01-01,95.02
REER_IC42_CPI,I10,CY,1995-01-01,95.66
REER_IC42_CPI,I10,CY,1996-01-01,92.72
REER_IC42_CPI,I10,CY,1997-01-01,88.7
REER_IC42_CPI,I10,CY,1998-01-01,95.35
REER_IC42_CPI,I10,CY,1999-01-01,95.99
REER_IC42_CPI,I10,CY,2000-01-01,92.97
REER_IC42_CPI,I10,CY,2001-01-01,92.46
REER_IC42_CPI,I10,CY,2002-01-01,94.4
REER_IC42_CPI,I10,CY,2003-01-01,100.58
REER_IC42_CPI,I10,CY,2004-01-01,101.33
REER_IC42_CPI,I10,CY,2005-01-01,100.98
REER_IC42_CPI,I10,CY,2006-01-01,100.71
REER_IC42_CPI,I10,CY,2007-01-01,100.03
REER_IC42_CPI,I10,CY,2008-01-01,103.28
REER_IC42_CPI,I10,CY,2009-01-01,104.32
REER_IC42_CPI,I10,CY,2010-01-01,100.0
REER_IC42_CPI,I10,CY,2011-01-01,100.19
REER_IC42_CPI,I10,CY,2012-01-01,98.14
REER_IC42_CPI,I10,CY,2013-01-01,99.25
REER_IC42_CPI,I10,CY,2014-01-01,98.48
REER_IC42_CPI,I10,CY,2015-01-01,92.12
REER_IC42_CPI,I10,CY,2016-01-01,91.93
REER_IC42_CPI,I10,CY,2017-01-01,92.02
REER_IC42_CPI,I10,CZ,1995-01-01,59.13
REER_IC42_CPI,I10,CZ,1996-01-01,62.31
REER_IC42_CPI,I10,CZ,1997-01-01,62.43
REER_IC42_CPI,I10,CZ,1998-01-01,68.3
REER_IC42_CPI,I10,CZ,1999-01-01,67.57
