indic_he,geo\time,date,value
F_65_DFLE,AT,2005-01-01,6.9 
F_65_DFLE,AT,2006-01-01,7.7 
F_65_DFLE,AT,2007-01-01,7.9 
F_65_DFLE,AT,2008-01-01,7.5 b
F_65_DFLE,AT,2009-01-01,8.2 
F_65_DFLE,AT,2010-01-01,7.9 
F_65_DFLE,AT,2011-01-01,8.3 
F_65_DFLE,AT,2012-01-01,9.5 
F_65_DFLE,AT,2013-01-01,8.8 
F_65_DFLE,AT,2014-01-01,7.7 
F_65_DFLE,AT,2015-01-01,7.7 
F_65_DFLE,AT,2016-01-01,7.4 
F_65_DFLE,BE,2005-01-01,9.8 bd
F_65_DFLE,BE,2006-01-01,10 
F_65_DFLE,BE,2007-01-01,10.4 
F_65_DFLE,BE,2008-01-01,10.4 
F_65_DFLE,BE,2009-01-01,10.3 
F_65_DFLE,BE,2010-01-01,9.7 
F_65_DFLE,BE,2011-01-01,10.3 
F_65_DFLE,BE,2012-01-01,11.0 
F_65_DFLE,BE,2013-01-01,10.9 
F_65_DFLE,BE,2014-01-01,11.0 
F_65_DFLE,BE,2015-01-01,11.0 
F_65_DFLE,BE,2016-01-01,11.4 
F_65_DFLE,BG,2005-01-01,: 
F_65_DFLE,BG,2006-01-01,13.7 d
F_65_DFLE,BG,2007-01-01,14.2 
F_65_DFLE,BG,2008-01-01,9.4 b
F_65_DFLE,BG,2009-01-01,9.3 
F_65_DFLE,BG,2010-01-01,9.9 
F_65_DFLE,BG,2011-01-01,9.7 
F_65_DFLE,BG,2012-01-01,9.5 
F_65_DFLE,BG,2013-01-01,9.9 
F_65_DFLE,BG,2014-01-01,9.6 
F_65_DFLE,BG,2015-01-01,9.5 
F_65_DFLE,BG,2016-01-01,10.1 b
F_65_DFLE,CH,2005-01-01,: 
F_65_DFLE,CH,2006-01-01,: 
F_65_DFLE,CH,2007-01-01,12.1 
F_65_DFLE,CH,2008-01-01,12.8 
F_65_DFLE,CH,2009-01-01,12.1 
F_65_DFLE,CH,2010-01-01,12.2 
F_65_DFLE,CH,2011-01-01,12.8 
F_65_DFLE,CH,2012-01-01,14.2 
F_65_DFLE,CH,2013-01-01,10.4 b
F_65_DFLE,CH,2014-01-01,9.6 
F_65_DFLE,CH,2015-01-01,: 
F_65_DFLE,CH,2016-01-01,9.8 
F_65_DFLE,CY,2005-01-01,5 d
F_65_DFLE,CY,2006-01-01,7.3 bd
F_65_DFLE,CY,2007-01-01,7.3 
F_65_DFLE,CY,2008-01-01,7.6 
F_65_DFLE,CY,2009-01-01,8.2 
F_65_DFLE,CY,2010-01-01,7.9 
F_65_DFLE,CY,2011-01-01,5.9 
F_65_DFLE,CY,2012-01-01,7.7 
F_65_DFLE,CY,2013-01-01,8.7 
F_65_DFLE,CY,2014-01-01,8.8 
F_65_DFLE,CY,2015-01-01,7.3 
F_65_DFLE,CY,2016-01-01,10.3 
F_65_DFLE,CZ,2005-01-01,7 d
F_65_DFLE,CZ,2006-01-01,7.1 
F_65_DFLE,CZ,2007-01-01,8.4 b
F_65_DFLE,CZ,2008-01-01,8.2 
F_65_DFLE,CZ,2009-01-01,8.5 
F_65_DFLE,CZ,2010-01-01,8.8 
F_65_DFLE,CZ,2011-01-01,8.7 
F_65_DFLE,CZ,2012-01-01,8.9 
F_65_DFLE,CZ,2013-01-01,8.9 
F_65_DFLE,CZ,2014-01-01,9.3 
F_65_DFLE,CZ,2015-01-01,8.6 
F_65_DFLE,CZ,2016-01-01,8.9 
F_65_DFLE,DE,2005-01-01,5.9 
F_65_DFLE,DE,2006-01-01,7.5 bd
F_65_DFLE,DE,2007-01-01,7.7 
F_65_DFLE,DE,2008-01-01,6.7 b
F_65_DFLE,DE,2009-01-01,6.7 
F_65_DFLE,DE,2010-01-01,7.1 
F_65_DFLE,DE,2011-01-01,7.3 
F_65_DFLE,DE,2012-01-01,6.9 
F_65_DFLE,DE,2013-01-01,7.0 
F_65_DFLE,DE,2014-01-01,6.7 
F_65_DFLE,DE,2015-01-01,12.3 b
F_65_DFLE,DE,2016-01-01,12.4 
F_65_DFLE,DK,2005-01-01,14 
F_65_DFLE,DK,2006-01-01,14.1 
F_65_DFLE,DK,2007-01-01,14.3 
F_65_DFLE,DK,2008-01-01,12.4 b
F_65_DFLE,DK,2009-01-01,12.1 
F_65_DFLE,DK,2010-01-01,12.8 
F_65_DFLE,DK,2011-01-01,13.0 
F_65_DFLE,DK,2012-01-01,12.9 
F_65_DFLE,DK,2013-01-01,12.7 
F_65_DFLE,DK,2014-01-01,12.8 
F_65_DFLE,DK,2015-01-01,11.9 
F_65_DFLE,DK,2016-01-01,11.9 
F_65_DFLE,EE,2005-01-01,3.6 
F_65_DFLE,EE,2006-01-01,4 
F_65_DFLE,EE,2007-01-01,4.2 
F_65_DFLE,EE,2008-01-01,4.3 b
F_65_DFLE,EE,2009-01-01,5.4 
F_65_DFLE,EE,2010-01-01,5.5 
F_65_DFLE,EE,2011-01-01,5.7 
F_65_DFLE,EE,2012-01-01,5.5 
F_65_DFLE,EE,2013-01-01,5.7 
F_65_DFLE,EE,2014-01-01,6.0 
F_65_DFLE,EE,2015-01-01,5.3 
F_65_DFLE,EE,2016-01-01,7.0 
F_65_DFLE,EL,2005-01-01,10 
F_65_DFLE,EL,2006-01-01,10.3 
F_65_DFLE,EL,2007-01-01,9.7 
F_65_DFLE,EL,2008-01-01,8.4 b
F_65_DFLE,EL,2009-01-01,7.3 
F_65_DFLE,EL,2010-01-01,8.2 
F_65_DFLE,EL,2011-01-01,7.9 
F_65_DFLE,EL,2012-01-01,7.3 
F_65_DFLE,EL,2013-01-01,6.8 
F_65_DFLE,EL,2014-01-01,7.1 
F_65_DFLE,EL,2015-01-01,7.5 
F_65_DFLE,EL,2016-01-01,7.8 
F_65_DFLE,ES,2005-01-01,9.2 
F_65_DFLE,ES,2006-01-01,9.6 
F_65_DFLE,ES,2007-01-01,10.0 
F_65_DFLE,ES,2008-01-01,8.8 b
F_65_DFLE,ES,2009-01-01,8.5 
F_65_DFLE,ES,2010-01-01,9.1 
F_65_DFLE,ES,2011-01-01,9.2 
F_65_DFLE,ES,2012-01-01,9.0 
F_65_DFLE,ES,2013-01-01,9.0 
F_65_DFLE,ES,2014-01-01,9.4 
F_65_DFLE,ES,2015-01-01,8.9 
F_65_DFLE,ES,2016-01-01,10.4 
F_65_DFLE,EU27,2005-01-01,8.9 e
F_65_DFLE,EU27,2006-01-01,9 e
F_65_DFLE,EU27,2007-01-01,9.0 
F_65_DFLE,EU27,2008-01-01,8.5 b
F_65_DFLE,EU27,2009-01-01,8.4 
F_65_DFLE,EU27,2010-01-01,8.9 e
F_65_DFLE,EU27,2011-01-01,: 
F_65_DFLE,EU27,2012-01-01,: 
F_65_DFLE,EU27,2013-01-01,: 
F_65_DFLE,EU27,2014-01-01,: 
F_65_DFLE,EU27,2015-01-01,: 
F_65_DFLE,EU27,2016-01-01,: 
F_65_DFLE,EU28,2005-01-01,: 
F_65_DFLE,EU28,2006-01-01,: 
F_65_DFLE,EU28,2007-01-01,: 
F_65_DFLE,EU28,2008-01-01,: 
F_65_DFLE,EU28,2009-01-01,: 
F_65_DFLE,EU28,2010-01-01,8.8 e
F_65_DFLE,EU28,2011-01-01,8.6 
F_65_DFLE,EU28,2012-01-01,8.5 
F_65_DFLE,EU28,2013-01-01,8.6 e
F_65_DFLE,EU28,2014-01-01,8.6 
F_65_DFLE,EU28,2015-01-01,9.4 b
F_65_DFLE,EU28,2016-01-01,10.1 
F_65_DFLE,FI,2005-01-01,6.6 
F_65_DFLE,FI,2006-01-01,7.5 
F_65_DFLE,FI,2007-01-01,8.9 b
F_65_DFLE,FI,2008-01-01,9.0 
F_65_DFLE,FI,2009-01-01,9.0 
F_65_DFLE,FI,2010-01-01,8.7 
F_65_DFLE,FI,2011-01-01,8.6 
F_65_DFLE,FI,2012-01-01,9.0 
F_65_DFLE,FI,2013-01-01,: 
F_65_DFLE,FI,2014-01-01,9.3 
F_65_DFLE,FI,2015-01-01,9.0 
F_65_DFLE,FI,2016-01-01,8.9 
F_65_DFLE,FR,2005-01-01,9.7 
F_65_DFLE,FR,2006-01-01,9.6 
F_65_DFLE,FR,2007-01-01,9.9 
F_65_DFLE,FR,2008-01-01,10.1 
F_65_DFLE,FR,2009-01-01,9.5 
F_65_DFLE,FR,2010-01-01,9.8 
F_65_DFLE,FR,2011-01-01,9.9 
F_65_DFLE,FR,2012-01-01,10.4 
F_65_DFLE,FR,2013-01-01,10.7 
F_65_DFLE,FR,2014-01-01,10.7 
F_65_DFLE,FR,2015-01-01,10.7 
F_65_DFLE,FR,2016-01-01,10.6 
F_65_DFLE,HR,2005-01-01,: 
F_65_DFLE,HR,2006-01-01,: 
F_65_DFLE,HR,2007-01-01,: 
F_65_DFLE,HR,2008-01-01,: 
F_65_DFLE,HR,2009-01-01,: 
F_65_DFLE,HR,2010-01-01,6.5 
F_65_DFLE,HR,2011-01-01,7.3 
F_65_DFLE,HR,2012-01-01,7.9 b
F_65_DFLE,HR,2013-01-01,5.9 b
F_65_DFLE,HR,2014-01-01,5.8 
F_65_DFLE,HR,2015-01-01,4.5 
F_65_DFLE,HR,2016-01-01,4.9 
F_65_DFLE,HU,2005-01-01,5 d
F_65_DFLE,HU,2006-01-01,5.6 d
F_65_DFLE,HU,2007-01-01,5.9 
F_65_DFLE,HU,2008-01-01,6.4 
F_65_DFLE,HU,2009-01-01,5.7 
F_65_DFLE,HU,2010-01-01,5.9 
F_65_DFLE,HU,2011-01-01,6.0 
F_65_DFLE,HU,2012-01-01,6.4 
F_65_DFLE,HU,2013-01-01,6.1 
F_65_DFLE,HU,2014-01-01,6.1 
F_65_DFLE,HU,2015-01-01,5.9 
F_65_DFLE,HU,2016-01-01,6.4 
F_65_DFLE,IE,2005-01-01,9.8 
F_65_DFLE,IE,2006-01-01,10.5 
F_65_DFLE,IE,2007-01-01,10.5 
F_65_DFLE,IE,2008-01-01,10.3 
F_65_DFLE,IE,2009-01-01,10.5 
F_65_DFLE,IE,2010-01-01,11.1 
F_65_DFLE,IE,2011-01-01,11.8 
F_65_DFLE,IE,2012-01-01,12.2 
F_65_DFLE,IE,2013-01-01,12.1 
F_65_DFLE,IE,2014-01-01,12.3 
F_65_DFLE,IE,2015-01-01,12.0 
F_65_DFLE,IE,2016-01-01,13.2 
F_65_DFLE,IS,2005-01-01,12.3 
F_65_DFLE,IS,2006-01-01,12.9 
F_65_DFLE,IS,2007-01-01,16.3 b
F_65_DFLE,IS,2008-01-01,13.9 
F_65_DFLE,IS,2009-01-01,13.5 
F_65_DFLE,IS,2010-01-01,14.8 
F_65_DFLE,IS,2011-01-01,13.7 
