geotime,date,value
AT,2000-01-01,168
AT,2001-01-01,165
AT,2002-01-01,164
AT,2003-01-01,163
AT,2004-01-01,161
AT,2005-01-01,162
AT,2006-01-01,163
AT,2007-01-01,162
AT,2008-01-01,158
AT,2009-01-01,150
AT,2010-01-01,144
AT,2011-01-01,138
AT,2012-01-01,135
AT,2013-01-01,131
AT,2014-01-01,128
AT,2015-01-01,123
AT,2016-01-01,120
AT,2017-01-01,120
BE,2000-01-01,166
BE,2001-01-01,163
BE,2002-01-01,161
BE,2003-01-01,158
BE,2004-01-01,156
BE,2005-01-01,155
BE,2006-01-01,153
BE,2007-01-01,152
BE,2008-01-01,147
BE,2009-01-01,142
BE,2010-01-01,133
BE,2011-01-01,127
BE,2012-01-01,128
BE,2013-01-01,124
BE,2014-01-01,121
BE,2015-01-01,117
BE,2016-01-01,115
BE,2017-01-01,115
BG,2000-01-01,
BG,2001-01-01,
BG,2002-01-01,
BG,2003-01-01,
BG,2004-01-01,
BG,2005-01-01,
BG,2006-01-01,
BG,2007-01-01,171
BG,2008-01-01,171
BG,2009-01-01,172
BG,2010-01-01,158
BG,2011-01-01,151
BG,2012-01-01,149
BG,2013-01-01,141
BG,2014-01-01,135
BG,2015-01-01,130
BG,2016-01-01,125
BG,2017-01-01,126
CY,2000-01-01,
CY,2001-01-01,
CY,2002-01-01,
CY,2003-01-01,
CY,2004-01-01,173
CY,2005-01-01,173
CY,2006-01-01,170
CY,2007-01-01,170
CY,2008-01-01,165
CY,2009-01-01,160
CY,2010-01-01,155
CY,2011-01-01,149
CY,2012-01-01,144
CY,2013-01-01,139
CY,2014-01-01,129
CY,2015-01-01,125
CY,2016-01-01,123
CY,2017-01-01,122
CZ,2000-01-01,
CZ,2001-01-01,
CZ,2002-01-01,
CZ,2003-01-01,
CZ,2004-01-01,154
CZ,2005-01-01,155
CZ,2006-01-01,154
CZ,2007-01-01,154
CZ,2008-01-01,154
CZ,2009-01-01,155
CZ,2010-01-01,148
CZ,2011-01-01,144
CZ,2012-01-01,140
CZ,2013-01-01,134
CZ,2014-01-01,131
CZ,2015-01-01,126
CZ,2016-01-01,121
CZ,2017-01-01,124
DE,2000-01-01,182
DE,2001-01-01,179
DE,2002-01-01,177
DE,2003-01-01,175
DE,2004-01-01,174
DE,2005-01-01,173
DE,2006-01-01,172
DE,2007-01-01,169
DE,2008-01-01,164
DE,2009-01-01,154
DE,2010-01-01,151
DE,2011-01-01,145
DE,2012-01-01,141
DE,2013-01-01,136
DE,2014-01-01,132
DE,2015-01-01,128
DE,2016-01-01,126
DE,2017-01-01,127
DK,2000-01-01,175
DK,2001-01-01,172
DK,2002-01-01,170
DK,2003-01-01,169
DK,2004-01-01,165
DK,2005-01-01,163
DK,2006-01-01,162
DK,2007-01-01,159
DK,2008-01-01,146
DK,2009-01-01,139
DK,2010-01-01,126
DK,2011-01-01,125
DK,2012-01-01,117
DK,2013-01-01,112
DK,2014-01-01,110
DK,2015-01-01,106
DK,2016-01-01,106
DK,2017-01-01,107
EE,2000-01-01,
EE,2001-01-01,
EE,2002-01-01,
EE,2003-01-01,
EE,2004-01-01,179
EE,2005-01-01,183
EE,2006-01-01,182
EE,2007-01-01,181
EE,2008-01-01,177
EE,2009-01-01,170
EE,2010-01-01,162
EE,2011-01-01,156
EE,2012-01-01,150
EE,2013-01-01,147
EE,2014-01-01,140
EE,2015-01-01,137
EE,2016-01-01,133
EE,2017-01-01,132
EL,2000-01-01,180
EL,2001-01-01,166
EL,2002-01-01,167
EL,2003-01-01,168
EL,2004-01-01,168
EL,2005-01-01,167
EL,2006-01-01,166
EL,2007-01-01,165
EL,2008-01-01,160
EL,2009-01-01,157
EL,2010-01-01,143
EL,2011-01-01,132
EL,2012-01-01,121
