age,indic_il,sex,indic_eu,unit,geotime,date,value
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,1995-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,1996-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,1997-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,1998-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,1999-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2000-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2001-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2003-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2004-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2005-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2006-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2007-01-01,12
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2008-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2009-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2010-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2011-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2012-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2013-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2014-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2015-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2016-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,AT,2017-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,1995-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,1996-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,1997-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,1998-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,1999-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2000-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2001-01-01,13
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2002-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2003-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2004-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2005-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2006-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2007-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2008-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2009-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2010-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2011-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2012-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2013-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2014-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2015-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2016-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BE,2017-01-01,15
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2000-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2001-01-01,16
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2002-01-01,14
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2003-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2004-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2005-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2006-01-01,18
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2007-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2008-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2009-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2010-01-01,20
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2011-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2012-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2013-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2014-01-01,21
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2015-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2016-01-01,22
TOTAL,LI_R_MD60,T,T2020_52,PC,BG,2017-01-01,23
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,1995-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,1996-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,1997-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,1998-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,1999-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2000-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2001-01-01,
TOTAL,LI_R_MD60,T,T2020_52,PC,CH,2002-01-01,
