indic_bt,nace_r2,s_adj,unit,geotime,date,value
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2017-10-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2017-11-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2017-12-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-01-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-02-01,100.5
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-03-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-04-01,100.9
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-05-01,101.2
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-06-01,101.3
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-07-01,101.2
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-08-01,101.3
PRIN,MIG_DCOG,NSA,I2015_NSA,AT,2018-09-01,
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2017-10-01,103.2
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2017-11-01,103.2
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2017-12-01,103.2
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-01-01,103.6
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-02-01,103.8
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-03-01,103.9
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-04-01,104.2
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-05-01,104.2
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-06-01,104.9
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-07-01,105.3
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-08-01,105.8
PRIN,MIG_DCOG,NSA,I2015_NSA,BE,2018-09-01,
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2017-10-01,103.5
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2017-11-01,103.2
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2017-12-01,103.6
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-01-01,103.6
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-02-01,103.6
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-03-01,104.3
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-04-01,104.9
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-05-01,105.0
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-06-01,105.7
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-07-01,105.3
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-08-01,105.7
PRIN,MIG_DCOG,NSA,I2015_NSA,BG,2018-09-01,
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2017-10-01,98.2
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2017-11-01,98.2
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2017-12-01,98.2
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-01-01,98.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-02-01,98.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-03-01,98.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-04-01,98.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-05-01,98.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-06-01,98.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-07-01,98.8
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-08-01,98.8
PRIN,MIG_DCOG,NSA,I2015_NSA,CH,2018-09-01,98.8
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2017-10-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2017-11-01,101.0
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2017-12-01,101.0
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-01-01,101.5
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-02-01,101.4
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-03-01,101.9
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-04-01,101.9
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-05-01,102.1
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-06-01,101.7
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-07-01,101.1
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-08-01,101.0
PRIN,MIG_DCOG,NSA,I2015_NSA,CY,2018-09-01,
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2017-10-01,98.8
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2017-11-01,98.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2017-12-01,98.7
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-01-01,99.1
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-02-01,99.1
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-03-01,99.3
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-04-01,100.0
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-05-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-06-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-07-01,100.8
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-08-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,CZ,2018-09-01,100.8
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2017-10-01,102.5
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2017-11-01,102.5
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2017-12-01,102.6
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-01-01,103.2
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-02-01,103.3
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-03-01,103.4
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-04-01,103.6
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-05-01,103.8
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-06-01,103.9
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-07-01,104.0
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-08-01,104.0
PRIN,MIG_DCOG,NSA,I2015_NSA,DE,2018-09-01,104.1
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2017-10-01,103.4
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2017-11-01,103.4
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2017-12-01,103.4
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-01-01,103.7
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-02-01,103.7
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-03-01,103.9
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-04-01,104.3
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-05-01,104.2
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-06-01,104.6
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-07-01,104.9
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-08-01,104.8
PRIN,MIG_DCOG,NSA,I2015_NSA,DK,2018-09-01,104.8
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2017-10-01,101.7
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2017-11-01,101.8
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2017-12-01,101.9
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-01-01,102.2
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-02-01,102.3
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-03-01,102.4
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-04-01,102.5
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-05-01,102.6
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-06-01,102.7
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-07-01,102.7
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-08-01,102.9
PRIN,MIG_DCOG,NSA,I2015_NSA,EA19,2018-09-01,
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2017-10-01,103.3
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2017-11-01,102.5
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2017-12-01,103.5
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-01-01,107.5
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-02-01,107.7
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-03-01,107.6
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-04-01,108.0
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-05-01,107.5
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-06-01,107.1
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-07-01,109.1
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-08-01,107.9
PRIN,MIG_DCOG,NSA,I2015_NSA,EE,2018-09-01,107.9
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2017-10-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2017-11-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2017-12-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-01-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-02-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-03-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-04-01,100.6
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-05-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-06-01,100.7
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-07-01,101.3
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-08-01,101.3
PRIN,MIG_DCOG,NSA,I2015_NSA,EL,2018-09-01,
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2017-10-01,101.4
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2017-11-01,101.4
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2017-12-01,101.6
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2018-01-01,101.7
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2018-02-01,102.0
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2018-03-01,102.2
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2018-04-01,102.3
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2018-05-01,102.5
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2018-06-01,102.5
PRIN,MIG_DCOG,NSA,I2015_NSA,ES,2018-07-01,102.4
