unit,geotime,date,value
PCH_10Y,FI,1998-01-01,
PCH_10Y,FI,1999-01-01,
PCH_10Y,FI,2000-01-01,
PCH_10Y,FI,2001-01-01,
PCH_10Y,FI,2002-01-01,
PCH_10Y,FI,2003-01-01,
PCH_10Y,FI,2004-01-01,-6.3
PCH_10Y,FI,2005-01-01,-4.9
PCH_10Y,FI,2006-01-01,-3.1
PCH_10Y,FI,2007-01-01,-2.8
PCH_10Y,FI,2008-01-01,-1.6
PCH_10Y,FI,2009-01-01,2.0
PCH_10Y,FI,2010-01-01,2.3
PCH_10Y,FI,2011-01-01,3.3
PCH_10Y,FI,2012-01-01,7.4
PCH_10Y,FI,2013-01-01,9.6
PCH_10Y,FI,2014-01-01,10.3
PCH_10Y,FI,2015-01-01,9.9
PCH_10Y,FI,2016-01-01,7.8
PCH_10Y,FI,2017-01-01,5.4
PCH_10Y,FR,1995-01-01,
PCH_10Y,FR,1996-01-01,
PCH_10Y,FR,1997-01-01,
PCH_10Y,FR,1998-01-01,
PCH_10Y,FR,1999-01-01,
PCH_10Y,FR,2000-01-01,
PCH_10Y,FR,2001-01-01,
PCH_10Y,FR,2002-01-01,
PCH_10Y,FR,2003-01-01,
PCH_10Y,FR,2004-01-01,-3.2
PCH_10Y,FR,2005-01-01,-1.6
PCH_10Y,FR,2006-01-01,0.3
PCH_10Y,FR,2007-01-01,1.2
PCH_10Y,FR,2008-01-01,1.0
PCH_10Y,FR,2009-01-01,0.3
PCH_10Y,FR,2010-01-01,2.6
PCH_10Y,FR,2011-01-01,2.8
PCH_10Y,FR,2012-01-01,2.5
PCH_10Y,FR,2013-01-01,2.8
PCH_10Y,FR,2014-01-01,3.0
PCH_10Y,FR,2015-01-01,1.6
PCH_10Y,FR,2016-01-01,-0.1
PCH_10Y,FR,2017-01-01,-0.2
PCH_10Y,HR,1995-01-01,
PCH_10Y,HR,1996-01-01,
PCH_10Y,HR,1997-01-01,
PCH_10Y,HR,1998-01-01,
PCH_10Y,HR,1999-01-01,
PCH_10Y,HR,2000-01-01,
PCH_10Y,HR,2001-01-01,
PCH_10Y,HR,2002-01-01,
PCH_10Y,HR,2003-01-01,
PCH_10Y,HR,2004-01-01,35.4
PCH_10Y,HR,2005-01-01,39.6
PCH_10Y,HR,2006-01-01,33.9
PCH_10Y,HR,2007-01-01,27.4
PCH_10Y,HR,2008-01-01,15.9
PCH_10Y,HR,2009-01-01,10.6
PCH_10Y,HR,2010-01-01,7.9
PCH_10Y,HR,2011-01-01,12.1
PCH_10Y,HR,2012-01-01,5.0
PCH_10Y,HR,2013-01-01,-0.7
PCH_10Y,HR,2014-01-01,-4.3
PCH_10Y,HR,2015-01-01,-7.1
PCH_10Y,HR,2016-01-01,-11.2
PCH_10Y,HR,2017-01-01,-15.0
PCH_10Y,HU,1995-01-01,
PCH_10Y,HU,1996-01-01,
PCH_10Y,HU,1997-01-01,
PCH_10Y,HU,1998-01-01,
PCH_10Y,HU,1999-01-01,
PCH_10Y,HU,2000-01-01,
