unit,bop_item,stk_flow,partner,geotime,date,value
PCH_WRL_5Y,G,CRE,WRL_REST,AT,1999-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2000-01-01,7
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2001-01-01,3
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2002-01-01,8
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2003-01-01,1
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2004-01-01,4
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2005-01-01,12
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2006-01-01,1
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2007-01-01,2
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2008-01-01,3
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2009-01-01,6
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2010-01-01,11
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2011-01-01,11
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2012-01-01,22
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2013-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2014-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2015-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2016-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,AT,2017-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,1999-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2000-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2001-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2002-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2003-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2004-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2005-01-01,5
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2006-01-01,13
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2007-01-01,5
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2008-01-01,13
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2009-01-01,14
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2010-01-01,17
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2011-01-01,12
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2012-01-01,21
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2013-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2014-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2015-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2016-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BE,2017-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,1999-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2000-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2001-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2002-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2003-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2004-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2005-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2006-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2007-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2008-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2009-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2010-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2011-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2012-01-01,13
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2013-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2014-01-01,
PCH_WRL_5Y,G,CRE,WRL_REST,BG,2015-01-01,
