sex,prof_pos,sectperf,unit,geotime,date,value
T,TOTAL,BES,PC_ACT_FTE,AT,2000-01-01,
T,TOTAL,BES,PC_ACT_FTE,AT,2001-01-01,
T,TOTAL,BES,PC_ACT_FTE,AT,2002-01-01,0
T,TOTAL,BES,PC_ACT_FTE,AT,2003-01-01,
T,TOTAL,BES,PC_ACT_FTE,AT,2004-01-01,0
T,TOTAL,BES,PC_ACT_FTE,AT,2005-01-01,0
T,TOTAL,BES,PC_ACT_FTE,AT,2006-01-01,0
T,TOTAL,BES,PC_ACT_FTE,AT,2007-01-01,0
T,TOTAL,BES,PC_ACT_FTE,AT,2008-01-01,0
T,TOTAL,BES,PC_ACT_FTE,AT,2009-01-01,0
T,TOTAL,BES,PC_ACT_FTE,AT,2010-01-01,0
T,TOTAL,BES,PC_ACT_FTE,AT,2011-01-01,1
T,TOTAL,BES,PC_ACT_FTE,AT,2012-01-01,1
T,TOTAL,BES,PC_ACT_FTE,AT,2013-01-01,1
T,TOTAL,BES,PC_ACT_FTE,AT,2014-01-01,1
T,TOTAL,BES,PC_ACT_FTE,AT,2015-01-01,1
T,TOTAL,BES,PC_ACT_FTE,AT,2016-01-01,1
T,TOTAL,BES,PC_ACT_FTE,BE,2000-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2001-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2002-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2003-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2004-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2005-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2006-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2007-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2008-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2009-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2010-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2011-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2012-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2013-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2014-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2015-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BE,2016-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BG,2000-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BG,2001-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BG,2002-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BG,2003-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BG,2004-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BG,2005-01-01,0
T,TOTAL,BES,PC_ACT_FTE,BG,2006-01-01,0
