hhtyp,incgrp,unit,geotime,date,value
TOTAL,A_MD60,PC,AT,2003-01-01,
TOTAL,A_MD60,PC,AT,2004-01-01,9
TOTAL,A_MD60,PC,AT,2005-01-01,12
TOTAL,A_MD60,PC,AT,2006-01-01,12
TOTAL,A_MD60,PC,AT,2007-01-01,11
TOTAL,A_MD60,PC,AT,2008-01-01,10
TOTAL,A_MD60,PC,AT,2009-01-01,15
TOTAL,A_MD60,PC,AT,2010-01-01,13
TOTAL,A_MD60,PC,AT,2011-01-01,12
TOTAL,A_MD60,PC,AT,2012-01-01,12
TOTAL,A_MD60,PC,AT,2013-01-01,
TOTAL,A_MD60,PC,AT,2014-01-01,13
TOTAL,A_MD60,PC,AT,2015-01-01,
TOTAL,A_MD60,PC,AT,2016-01-01,12
TOTAL,A_MD60,PC,AT,2017-01-01,11
TOTAL,A_MD60,PC,BE,2003-01-01,19
TOTAL,A_MD60,PC,BE,2004-01-01,19
TOTAL,A_MD60,PC,BE,2005-01-01,16
TOTAL,A_MD60,PC,BE,2006-01-01,17
TOTAL,A_MD60,PC,BE,2007-01-01,16
TOTAL,A_MD60,PC,BE,2008-01-01,15
TOTAL,A_MD60,PC,BE,2009-01-01,15
TOTAL,A_MD60,PC,BE,2010-01-01,16
TOTAL,A_MD60,PC,BE,2011-01-01,14
TOTAL,A_MD60,PC,BE,2012-01-01,13
TOTAL,A_MD60,PC,BE,2013-01-01,
TOTAL,A_MD60,PC,BE,2014-01-01,15
TOTAL,A_MD60,PC,BE,2015-01-01,
TOTAL,A_MD60,PC,BE,2016-01-01,12
TOTAL,A_MD60,PC,BE,2017-01-01,11
TOTAL,A_MD60,PC,BG,2003-01-01,
TOTAL,A_MD60,PC,BG,2004-01-01,
TOTAL,A_MD60,PC,BG,2005-01-01,24
TOTAL,A_MD60,PC,BG,2006-01-01,24
TOTAL,A_MD60,PC,BG,2007-01-01,26
TOTAL,A_MD60,PC,BG,2008-01-01,23
TOTAL,A_MD60,PC,BG,2009-01-01,28
TOTAL,A_MD60,PC,BG,2010-01-01,26
TOTAL,A_MD60,PC,BG,2011-01-01,26
TOTAL,A_MD60,PC,BG,2012-01-01,27
TOTAL,A_MD60,PC,BG,2013-01-01,
TOTAL,A_MD60,PC,BG,2014-01-01,25
TOTAL,A_MD60,PC,BG,2015-01-01,
TOTAL,A_MD60,PC,BG,2016-01-01,25
TOTAL,A_MD60,PC,BG,2017-01-01,22
TOTAL,A_MD60,PC,CH,2003-01-01,
TOTAL,A_MD60,PC,CH,2004-01-01,
TOTAL,A_MD60,PC,CH,2005-01-01,
TOTAL,A_MD60,PC,CH,2006-01-01,
TOTAL,A_MD60,PC,CH,2007-01-01,12
TOTAL,A_MD60,PC,CH,2008-01-01,12
TOTAL,A_MD60,PC,CH,2009-01-01,11
TOTAL,A_MD60,PC,CH,2010-01-01,13
TOTAL,A_MD60,PC,CH,2011-01-01,12
TOTAL,A_MD60,PC,CH,2012-01-01,16
TOTAL,A_MD60,PC,CH,2013-01-01,
TOTAL,A_MD60,PC,CH,2014-01-01,14
TOTAL,A_MD60,PC,CH,2015-01-01,
TOTAL,A_MD60,PC,CH,2016-01-01,10
TOTAL,A_MD60,PC,CH,2017-01-01,
TOTAL,A_MD60,PC,CY,2003-01-01,
TOTAL,A_MD60,PC,CY,2004-01-01,
TOTAL,A_MD60,PC,CY,2005-01-01,9
TOTAL,A_MD60,PC,CY,2006-01-01,13
TOTAL,A_MD60,PC,CY,2007-01-01,13
TOTAL,A_MD60,PC,CY,2008-01-01,10
TOTAL,A_MD60,PC,CY,2009-01-01,8
TOTAL,A_MD60,PC,CY,2010-01-01,13
TOTAL,A_MD60,PC,CY,2011-01-01,15
TOTAL,A_MD60,PC,CY,2012-01-01,15
TOTAL,A_MD60,PC,CY,2013-01-01,
TOTAL,A_MD60,PC,CY,2014-01-01,12
TOTAL,A_MD60,PC,CY,2015-01-01,
TOTAL,A_MD60,PC,CY,2016-01-01,10
TOTAL,A_MD60,PC,CY,2017-01-01,12
TOTAL,A_MD60,PC,CZ,2003-01-01,
TOTAL,A_MD60,PC,CZ,2004-01-01,
TOTAL,A_MD60,PC,CZ,2005-01-01,15
TOTAL,A_MD60,PC,CZ,2006-01-01,13
TOTAL,A_MD60,PC,CZ,2007-01-01,12
TOTAL,A_MD60,PC,CZ,2008-01-01,13
TOTAL,A_MD60,PC,CZ,2009-01-01,17
TOTAL,A_MD60,PC,CZ,2010-01-01,15
TOTAL,A_MD60,PC,CZ,2011-01-01,14
TOTAL,A_MD60,PC,CZ,2012-01-01,13
TOTAL,A_MD60,PC,CZ,2013-01-01,
TOTAL,A_MD60,PC,CZ,2014-01-01,13
TOTAL,A_MD60,PC,CZ,2015-01-01,
TOTAL,A_MD60,PC,CZ,2016-01-01,11
TOTAL,A_MD60,PC,CZ,2017-01-01,8
TOTAL,A_MD60,PC,DE,2003-01-01,
TOTAL,A_MD60,PC,DE,2004-01-01,
TOTAL,A_MD60,PC,DE,2005-01-01,9
TOTAL,A_MD60,PC,DE,2006-01-01,12
TOTAL,A_MD60,PC,DE,2007-01-01,11
TOTAL,A_MD60,PC,DE,2008-01-01,11
TOTAL,A_MD60,PC,DE,2009-01-01,11
TOTAL,A_MD60,PC,DE,2010-01-01,10
TOTAL,A_MD60,PC,DE,2011-01-01,11
TOTAL,A_MD60,PC,DE,2012-01-01,11
TOTAL,A_MD60,PC,DE,2013-01-01,
TOTAL,A_MD60,PC,DE,2014-01-01,12
TOTAL,A_MD60,PC,DE,2015-01-01,
TOTAL,A_MD60,PC,DE,2016-01-01,13
TOTAL,A_MD60,PC,DE,2017-01-01,13
TOTAL,A_MD60,PC,DK,2003-01-01,10
TOTAL,A_MD60,PC,DK,2004-01-01,13
TOTAL,A_MD60,PC,DK,2005-01-01,13
TOTAL,A_MD60,PC,DK,2006-01-01,13
TOTAL,A_MD60,PC,DK,2007-01-01,13
TOTAL,A_MD60,PC,DK,2008-01-01,16
TOTAL,A_MD60,PC,DK,2009-01-01,16
TOTAL,A_MD60,PC,DK,2010-01-01,13
TOTAL,A_MD60,PC,DK,2011-01-01,15
TOTAL,A_MD60,PC,DK,2012-01-01,9
TOTAL,A_MD60,PC,DK,2013-01-01,
TOTAL,A_MD60,PC,DK,2014-01-01,8
TOTAL,A_MD60,PC,DK,2015-01-01,
TOTAL,A_MD60,PC,DK,2016-01-01,7
TOTAL,A_MD60,PC,DK,2017-01-01,7
TOTAL,A_MD60,PC,EA18,2003-01-01,
TOTAL,A_MD60,PC,EA18,2004-01-01,
TOTAL,A_MD60,PC,EA18,2005-01-01,14
TOTAL,A_MD60,PC,EA18,2006-01-01,14
TOTAL,A_MD60,PC,EA18,2007-01-01,14
TOTAL,A_MD60,PC,EA18,2008-01-01,13
TOTAL,A_MD60,PC,EA18,2009-01-01,14
TOTAL,A_MD60,PC,EA18,2010-01-01,12
TOTAL,A_MD60,PC,EA18,2011-01-01,13
TOTAL,A_MD60,PC,EA18,2012-01-01,12
TOTAL,A_MD60,PC,EA18,2013-01-01,
TOTAL,A_MD60,PC,EA18,2014-01-01,14
TOTAL,A_MD60,PC,EA18,2015-01-01,
TOTAL,A_MD60,PC,EA18,2016-01-01,12
TOTAL,A_MD60,PC,EA18,2017-01-01,11
TOTAL,A_MD60,PC,EA19,2003-01-01,
TOTAL,A_MD60,PC,EA19,2004-01-01,
TOTAL,A_MD60,PC,EA19,2005-01-01,14
TOTAL,A_MD60,PC,EA19,2006-01-01,14
TOTAL,A_MD60,PC,EA19,2007-01-01,14
TOTAL,A_MD60,PC,EA19,2008-01-01,13
