age,unit,sex,indic_em,geo\time,date,value
Y20-64,PC_POP,F,EMP_LFS,AT,2000-01-01,62.3 
Y20-64,PC_POP,F,EMP_LFS,AT,2001-01-01,62.8 
Y20-64,PC_POP,F,EMP_LFS,AT,2002-01-01,64.1 
Y20-64,PC_POP,F,EMP_LFS,AT,2003-01-01,64.5 
Y20-64,PC_POP,F,EMP_LFS,AT,2004-01-01,62.7 b
Y20-64,PC_POP,F,EMP_LFS,AT,2005-01-01,64.0 
Y20-64,PC_POP,F,EMP_LFS,AT,2006-01-01,65.2 
Y20-64,PC_POP,F,EMP_LFS,AT,2007-01-01,66.2 b
Y20-64,PC_POP,F,EMP_LFS,AT,2008-01-01,67.6 
Y20-64,PC_POP,F,EMP_LFS,AT,2009-01-01,68.2 
Y20-64,PC_POP,F,EMP_LFS,AT,2010-01-01,68.8 
Y20-64,PC_POP,F,EMP_LFS,AT,2011-01-01,69.2 
Y20-64,PC_POP,F,EMP_LFS,AT,2012-01-01,69.6
Y20-64,PC_POP,F,EMP_LFS,AT,2013-01-01,70.0
Y20-64,PC_POP,F,EMP_LFS,AT,2014-01-01,70.1 
Y20-64,PC_POP,F,EMP_LFS,AT,2015-01-01,70.2 
Y20-64,PC_POP,F,EMP_LFS,AT,2016-01-01,70.9 
Y20-64,PC_POP,F,EMP_LFS,AT,2017-01-01,71.4 
Y20-64,PC_POP,F,EMP_LFS,BE,2000-01-01,56.0 
Y20-64,PC_POP,F,EMP_LFS,BE,2001-01-01,55.3 b
Y20-64,PC_POP,F,EMP_LFS,BE,2002-01-01,55.8 
Y20-64,PC_POP,F,EMP_LFS,BE,2003-01-01,56.2 
Y20-64,PC_POP,F,EMP_LFS,BE,2004-01-01,57.2 
Y20-64,PC_POP,F,EMP_LFS,BE,2005-01-01,58.6 
Y20-64,PC_POP,F,EMP_LFS,BE,2006-01-01,58.8 
Y20-64,PC_POP,F,EMP_LFS,BE,2007-01-01,60.3 
Y20-64,PC_POP,F,EMP_LFS,BE,2008-01-01,61.3 
Y20-64,PC_POP,F,EMP_LFS,BE,2009-01-01,61.0 
Y20-64,PC_POP,F,EMP_LFS,BE,2010-01-01,61.6 
Y20-64,PC_POP,F,EMP_LFS,BE,2011-01-01,61.5 
Y20-64,PC_POP,F,EMP_LFS,BE,2012-01-01,61.7
Y20-64,PC_POP,F,EMP_LFS,BE,2013-01-01,62.1
Y20-64,PC_POP,F,EMP_LFS,BE,2014-01-01,62.9 
Y20-64,PC_POP,F,EMP_LFS,BE,2015-01-01,63.0 
Y20-64,PC_POP,F,EMP_LFS,BE,2016-01-01,63.0 
Y20-64,PC_POP,F,EMP_LFS,BE,2017-01-01,63.6 b
Y20-64,PC_POP,F,EMP_LFS,BG,2000-01-01,50.7 
Y20-64,PC_POP,F,EMP_LFS,BG,2001-01-01,51.5 b
Y20-64,PC_POP,F,EMP_LFS,BG,2002-01-01,52.3 
Y20-64,PC_POP,F,EMP_LFS,BG,2003-01-01,54.0 
Y20-64,PC_POP,F,EMP_LFS,BG,2004-01-01,56.0 
Y20-64,PC_POP,F,EMP_LFS,BG,2005-01-01,57.1 
Y20-64,PC_POP,F,EMP_LFS,BG,2006-01-01,60.4 
Y20-64,PC_POP,F,EMP_LFS,BG,2007-01-01,63.5 
Y20-64,PC_POP,F,EMP_LFS,BG,2008-01-01,65.4 
Y20-64,PC_POP,F,EMP_LFS,BG,2009-01-01,64.0 
Y20-64,PC_POP,F,EMP_LFS,BG,2010-01-01,60.8 b
Y20-64,PC_POP,F,EMP_LFS,BG,2011-01-01,59.8 b
Y20-64,PC_POP,F,EMP_LFS,BG,2012-01-01,60.2
Y20-64,PC_POP,F,EMP_LFS,BG,2013-01-01,60.7
Y20-64,PC_POP,F,EMP_LFS,BG,2014-01-01,62.0 
Y20-64,PC_POP,F,EMP_LFS,BG,2015-01-01,63.8 
Y20-64,PC_POP,F,EMP_LFS,BG,2016-01-01,64.0 
Y20-64,PC_POP,F,EMP_LFS,BG,2017-01-01,67.3 
Y20-64,PC_POP,F,EMP_LFS,CH,2000-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2001-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2002-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2003-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2004-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2005-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2006-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2007-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2008-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2009-01-01,: 
Y20-64,PC_POP,F,EMP_LFS,CH,2010-01-01,73.2 b
Y20-64,PC_POP,F,EMP_LFS,CH,2011-01-01,74.6 
Y20-64,PC_POP,F,EMP_LFS,CH,2012-01-01,75.3
