unit,crops,agprdmet,geotime,date,value
PC_UAA,UAAXK0000,TOTAL,AT,2000-01-01,13
PC_UAA,UAAXK0000,TOTAL,AT,2001-01-01,14
PC_UAA,UAAXK0000,TOTAL,AT,2002-01-01,14
PC_UAA,UAAXK0000,TOTAL,AT,2003-01-01,15
PC_UAA,UAAXK0000,TOTAL,AT,2004-01-01,16
PC_UAA,UAAXK0000,TOTAL,AT,2005-01-01,16
PC_UAA,UAAXK0000,TOTAL,AT,2006-01-01,16
PC_UAA,UAAXK0000,TOTAL,AT,2007-01-01,17
PC_UAA,UAAXK0000,TOTAL,AT,2008-01-01,17
PC_UAA,UAAXK0000,TOTAL,AT,2009-01-01,18
PC_UAA,UAAXK0000,TOTAL,AT,2010-01-01,19
PC_UAA,UAAXK0000,TOTAL,AT,2011-01-01,19
PC_UAA,UAAXK0000,TOTAL,AT,2012-01-01,18
PC_UAA,UAAXK0000,TOTAL,AT,2013-01-01,18
PC_UAA,UAAXK0000,TOTAL,AT,2014-01-01,19
PC_UAA,UAAXK0000,TOTAL,AT,2015-01-01,20
PC_UAA,UAAXK0000,TOTAL,AT,2016-01-01,21
PC_UAA,UAAXK0000,TOTAL,BE,2000-01-01,1
PC_UAA,UAAXK0000,TOTAL,BE,2001-01-01,1
PC_UAA,UAAXK0000,TOTAL,BE,2002-01-01,2
PC_UAA,UAAXK0000,TOTAL,BE,2003-01-01,1
PC_UAA,UAAXK0000,TOTAL,BE,2004-01-01,1
PC_UAA,UAAXK0000,TOTAL,BE,2005-01-01,1
PC_UAA,UAAXK0000,TOTAL,BE,2006-01-01,2
PC_UAA,UAAXK0000,TOTAL,BE,2007-01-01,2
PC_UAA,UAAXK0000,TOTAL,BE,2008-01-01,2
PC_UAA,UAAXK0000,TOTAL,BE,2009-01-01,3
PC_UAA,UAAXK0000,TOTAL,BE,2010-01-01,3
PC_UAA,UAAXK0000,TOTAL,BE,2011-01-01,4
PC_UAA,UAAXK0000,TOTAL,BE,2012-01-01,4
PC_UAA,UAAXK0000,TOTAL,BE,2013-01-01,4
PC_UAA,UAAXK0000,TOTAL,BE,2014-01-01,5
PC_UAA,UAAXK0000,TOTAL,BE,2015-01-01,5
PC_UAA,UAAXK0000,TOTAL,BE,2016-01-01,5
PC_UAA,UAAXK0000,TOTAL,BG,2000-01-01,
PC_UAA,UAAXK0000,TOTAL,BG,2001-01-01,
PC_UAA,UAAXK0000,TOTAL,BG,2002-01-01,
PC_UAA,UAAXK0000,TOTAL,BG,2003-01-01,
PC_UAA,UAAXK0000,TOTAL,BG,2004-01-01,
PC_UAA,UAAXK0000,TOTAL,BG,2005-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2006-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2007-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2008-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2009-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2010-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2011-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2012-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2013-01-01,1
PC_UAA,UAAXK0000,TOTAL,BG,2014-01-01,0
PC_UAA,UAAXK0000,TOTAL,BG,2015-01-01,2
PC_UAA,UAAXK0000,TOTAL,BG,2016-01-01,3
PC_UAA,UAAXK0000,TOTAL,CH,2000-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2001-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2002-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2003-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2004-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2005-01-01,11
PC_UAA,UAAXK0000,TOTAL,CH,2006-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2007-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2008-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2009-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2010-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2011-01-01,
PC_UAA,UAAXK0000,TOTAL,CH,2012-01-01,11
PC_UAA,UAAXK0000,TOTAL,CH,2013-01-01,12
PC_UAA,UAAXK0000,TOTAL,CH,2014-01-01,12
PC_UAA,UAAXK0000,TOTAL,CH,2015-01-01,13
PC_UAA,UAAXK0000,TOTAL,CH,2016-01-01,13
PC_UAA,UAAXK0000,TOTAL,CY,2000-01-01,
PC_UAA,UAAXK0000,TOTAL,CY,2001-01-01,
PC_UAA,UAAXK0000,TOTAL,CY,2002-01-01,
PC_UAA,UAAXK0000,TOTAL,CY,2003-01-01,
PC_UAA,UAAXK0000,TOTAL,CY,2004-01-01,0
PC_UAA,UAAXK0000,TOTAL,CY,2005-01-01,1
PC_UAA,UAAXK0000,TOTAL,CY,2006-01-01,1
PC_UAA,UAAXK0000,TOTAL,CY,2007-01-01,1
PC_UAA,UAAXK0000,TOTAL,CY,2008-01-01,1
PC_UAA,UAAXK0000,TOTAL,CY,2009-01-01,2
PC_UAA,UAAXK0000,TOTAL,CY,2010-01-01,2
PC_UAA,UAAXK0000,TOTAL,CY,2011-01-01,2
PC_UAA,UAAXK0000,TOTAL,CY,2012-01-01,3
PC_UAA,UAAXK0000,TOTAL,CY,2013-01-01,4
